日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,20,阴,西北风,2级,20.5,1
2019-09-02,22,21,阴,西南风,1级,21.5,1
2019-09-03,24,21,小到中雨,西北风,2级,22.5,3
2019-09-04,26,23,阴,西北风,2级,24.5,3
2019-09-05,31,24,阴,西北风,2级,27.5,7
2019-09-06,31,23,阴,西北风,3级,27.0,8
2019-09-07,32,21,多云,东北风,1级,26.5,11
2019-09-08,31,22,晴,西北风,2级,26.5,9
2019-09-09,32,22,多云,西北风,1级,27.0,10
2019-09-10,34,23,多云,东南风,2级,28.5,11
2019-09-11,33,25,多云,东北风,3级,29.0,8
2019-09-12,33,24,多云,东南风,3级,28.5,9
2019-09-13,32,24,多云,东南风,3级,28.0,8
2019-09-14,31,24,多云,东北风,2级,27.5,7
2019-09-15,29,23,阴,西北风,3级,26.0,6
2019-09-16,29,21,多云,东北风,3级,25.0,8
2019-09-17,30,22,多云,东北风,3级,26.0,8
2019-09-18,29,21,晴,东北风,4级,25.0,8
2019-09-19,26,19,多云,东北风,3级,22.5,7
2019-09-20,27,20,多云,东北风,4级,23.5,7
2019-09-21,24,20,阴,北风,6级,22.0,4
2019-09-22,26,18,阴,西北风,3级,22.0,8
2019-09-23,28,16,晴,西北风,2级,22.0,12
2019-09-24,29,17,晴,东北风,1级,23.0,12
2019-09-25,29,18,阴,西北风,1级,23.5,11
2019-09-26,29,18,多云,东南风,2级,23.5,11
2019-09-27,28,18,多云,东南风,2级,23.0,10
2019-09-28,29,20,多云,东北风,1级,24.5,9
2019-09-29,29,20,多云,东南风,2级,24.5,9
2019-09-30,29,22,多云,东北风,3级,25.5,7
2019-08-01,37,27,晴,东南风,3级,32.0,10
2019-08-02,36,27,晴,东北风,2级,31.5,9
2019-08-03,33,27,多云,西南风,2级,30.0,6
2019-08-04,30,25,阴,东北风,2级,27.5,5
2019-08-05,34,27,多云,东北风,3级,30.5,7
2019-08-06,36,26,多云,东北风,3级,31.0,10
2019-08-07,35,26,晴,东北风,4级,30.5,9
2019-08-08,34,27,阴,东南风,4级,30.5,7
2019-08-09,32,25,中雨,东北风,4级,28.5,7
2019-08-10,27,26,暴雨,西南风,3级,26.5,1
2019-08-11,34,26,多云,西北风,2级,30.0,8
2019-08-12,35,25,多云,东北风,3级,30.0,10
2019-08-13,35,25,晴,东南风,3级,30.0,10
2019-08-14,35,26,晴,西北风,3级,30.5,9
2019-08-15,34,26,多云,西北风,2级,30.0,8
2019-08-16,35,26,多云,东北风,2级,30.5,9
2019-08-17,37,25,多云,西南风,2级,31.0,12
2019-08-18,35,25,多云,西南风,3级,30.0,10
2019-08-19,33,25,阴,东北风,2级,29.0,8
2019-08-20,32,25,多云,东南风,3级,28.5,7
2019-08-21,34,25,晴,东南风,3级,29.5,9
2019-08-22,34,26,多云,东北风,3级,30.0,8
2019-08-23,33,26,小雨,东北风,3级,29.5,7
2019-08-24,34,27,阴,东南风,2级,30.5,7
2019-08-25,32,26,中雨,东南风,2级,29.0,6
2019-08-26,36,27,晴,西南风,2级,31.5,9
2019-08-27,37,26,阴,西北风,2级,31.5,11
2019-08-28,36,23,阴,北风,3级,29.5,13
2019-08-29,23,19,小雨,西南风,1级,21.0,4
2019-08-30,30,22,多云,东北风,2级,26.0,8
2019-08-31,28,21,阴,西北风,微风,24.5,7
2019-07-01,27,23,小雨,东南风,2级,25.0,4
2019-07-02,29,24,阴,东南风,3级,26.5,5
2019-07-03,28,23,小雨,东南风,1级,25.5,5
2019-07-04,26,22,阴,东南风,2级,24.0,4
2019-07-05,27,23,阴,西南风,1级,25.0,4
2019-07-06,32,24,多云,西南风,1级,28.0,8
2019-07-07,33,25,多云,西北风,2级,29.0,8
2019-07-08,30,23,阴,西南风,2级,26.5,7
2019-07-09,22,22,大雨,东北风,3级,22.0,0
2019-07-10,25,20,小雨,北风,微风,22.5,5
