日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,21,阴,东北风,3级,26.5,11
2019-09-02,33,23,晴,东北风,4级,28.0,10
2019-09-03,33,21,多云,西北风,2级,27.0,12
2019-09-04,32,23,晴,北风,3级,27.5,9
2019-09-05,30,18,阴,东北风,5级,24.0,12
2019-09-06,28,19,阴,东北风,4级,23.5,9
2019-09-07,24,16,多云,西北风,3级,20.0,8
2019-09-08,27,15,多云,东北风,3级,21.0,12
2019-09-09,28,18,多云,东北风,4级,23.0,10
2019-09-10,29,14,阴,西北风,1级,21.5,15
2019-09-11,22,11,阴,东南风,3级,16.5,11
2019-09-12,23,13,晴,东北风,4级,18.0,10
2019-09-13,25,12,多云,东北风,4级,18.5,13
2019-09-14,26,12,晴,东北风,3级,19.0,14
2019-09-15,27,14,晴,东北风,3级,20.5,13
2019-09-16,28,15,多云,北风,3级,21.5,13
2019-09-17,26,17,多云,东南风,1级,21.5,9
2019-09-18,28,12,多云,北风,微风,20.0,16
2019-09-19,27,13,晴,西北风,1级,20.0,14
2019-09-20,27,13,阴,北风,微风,20.0,14
2019-09-21,28,15,多云,东北风,2级,21.5,13
2019-09-22,30,15,晴,东北风,1级,22.5,15
2019-09-23,30,15,晴,东北风,2级,22.5,15
2019-09-24,29,14,晴,西北风,2级,21.5,15
2019-09-25,29,16,晴,东北风,2级,22.5,13
2019-09-26,30,15,晴,东北风,2级,22.5,15
2019-09-27,30,15,晴,西北风,2级,22.5,15
2019-09-28,31,15,晴,东北风,2级,23.0,16
2019-09-29,31,16,晴,西南风,1级,23.5,15
2019-09-30,30,14,晴,东北风,1级,22.0,16
2019-08-01,34,24,多云,东北风,4级,29.0,10
2019-08-02,34,22,多云,东北风,4级,28.0,12
2019-08-03,36,26,多云,北风,4级,31.0,10
2019-08-04,36,27,阴,东北风,2级,31.5,9
2019-08-05,32,25,阴,东南风,2级,28.5,7
2019-08-06,32,23,多云,东北风,4级,27.5,9
2019-08-07,34,21,多云,西北风,2级,27.5,13
2019-08-08,34,25,晴,东北风,3级,29.5,9
2019-08-09,37,25,晴,东北风,4级,31.0,12
2019-08-10,36,26,多云,东北风,2级,31.0,10
2019-08-11,31,20,多云,东北风,3级,25.5,11
2019-08-12,32,23,晴,东北风,2级,27.5,9
2019-08-13,35,20,晴,东北风,4级,27.5,15
2019-08-14,37,25,晴,东北风,3级,31.0,12
2019-08-15,36,20,晴,东北风,4级,28.0,16
2019-08-16,35,22,多云,东北风,5级,28.5,13
2019-08-17,32,26,阴,西南风,2级,29.0,6
2019-08-18,30,23,阴,东北风,2级,26.5,7
2019-08-19,29,21,多云,西南风,1级,25.0,8
2019-08-20,26,22,阴,西南风,3级,24.0,4
2019-08-21,23,20,阴,东南风,1级,21.5,3
2019-08-22,26,20,多云,东南风,2级,23.0,6
2019-08-23,30,19,晴,东北风,2级,24.5,11
2019-08-24,33,21,晴,东风,1级,27.0,12
2019-08-25,32,22,多云,东北风,3级,27.0,10
2019-08-26,30,20,多云,东北风,4级,25.0,10
2019-08-27,32,20,晴,东北风,4级,26.0,12
2019-08-28,33,22,晴,西北风,1级,27.5,11
2019-08-29,34,20,多云,西北风,3级,27.0,14
2019-08-30,36,24,晴,东北风,2级,30.0,12
2019-08-31,33,25,阴,东北风,2级,29.0,8
2019-07-01,35,21,多云,东北风,2级,28.0,14
2019-07-02,35,25,阴,南风,2级,30.0,10
2019-07-03,36,20,晴,东北风,2级,28.0,16
2019-07-04,35,20,多云,南风,2级,27.5,15
2019-07-05,29,20,小雨,西南风,3级,24.5,9
2019-07-06,31,19,多云,东南风,4级,25.0,12
2019-07-07,33,19,多云,东北风,4级,26.0,14
2019-07-08,34,22,多云,东北风,4级,28.0,12
2019-07-09,30,25,阴,西南风,2级,27.5,5
2019-07-10,34,22,晴,西风,2级,28.0,12
2019-07-11,31,18,阴,西北风,1级,24.5,13
2019-07-12,32,21,晴,东南风,3级,26.5,11
2019-07-13,33,23,晴,西北风,3级,28.0,10
2019-07-14,30,25,阴,东南风,1级,27.5,5
2019-07-15,30,21,阴,东南风,3级,25.5,9
2019-07-16,31,21,阴,西南风,5级,26.0,10
2019-07-17,33,23,晴,东南风,3级,28.0,10
2019-07-18,35,23,多云,西北风,3级,29.0,12
2019-07-19,34,24,阴,东南风,2级,29.0,10
2019-07-20,30,23,阴,西北风,1级,26.5,7
2019-07-21,32,19,多云,东南风,4级,25.5,13
2019-07-22,30,22,阴,西北风,5级,26.0,8
2019-07-23,32,24,阴,西北风,2级,28.0,8
2019-07-24,34,26,晴,东北风,1级,30.0,8
2019-07-25,32,23,阴,东南风,微风,27.5,9
2019-07-26,30,20,多云,东北风,5级,25.0,10
2019-07-27,31,22,多云,东北风,3级,26.5,9
2019-07-28,33,23,多云,东北风,4级,28.0,10
2019-07-29,34,24,晴,东北风,5级,29.0,10
2019-07-30,36,26,晴,东北风,3级,31.0,10
2019-07-31,32,25,阴,东北风,5级,28.5,7
2019-06-01,33,23,多云,西北风,1级,28.0,10
2019-06-02,33,26,阴,东北风,4级,29.5,7
2019-06-03,30,20,阴,北风,3级,25.0,10
2019-06-04,24,18,阴,东北风,3级,21.0,6
2019-06-05,27,18,晴,东北风,3级,22.5,9
2019-06-06,30,20,多云,东南风,5级,25.0,10
2019-06-07,29,19,阴,西南风,4级,24.0,10
2019-06-08,29,19,多云,东北风,3级,24.0,10
2019-06-09,27,17,阴,西北风,1级,22.0,10
2019-06-10,27,17,晴,东北风,4级,22.0,10
2019-06-11,29,21,阴,西南风,3级,25.0,8
2019-06-12,29,19,多云,西北风,4级,24.0,10
2019-06-13,23,15,阴,西北风,3级,19.0,8
2019-06-14,28,17,晴,西北风,2级,22.5,11
2019-06-15,31,19,多云,东北风,4级,25.0,12
2019-06-16,32,22,晴,西北风,1级,27.0,10
2019-06-17,33,22,晴,东北风,3级,27.5,11
2019-06-18,33,23,多云,东北风,5级,28.0,10
2019-06-19,33,23,阴,西南风,3级,28.0,10
2019-06-20,34,24,多云,西南风,4级,29.0,10
2019-06-21,28,21,阴,东北风,3级,24.5,7
2019-06-22,25,22,多云,西北风,2级,23.5,3
2019-06-23,28,19,多云,西北风,2级,23.5,9
2019-06-24,30,22,多云,东北风,5级,26.0,8
2019-06-25,30,22,多云,西南风,1级,26.0,8
2019-06-26,29,21,多云,东北风,1级,25.0,8
2019-06-27,30,20,多云,西南风,1级,25.0,10
2019-06-28,31,20,晴,东北风,2级,25.5,11
2019-06-29,33,21,晴,南风,3级,27.0,12
2019-06-30,33,23,多云,西北风,2级,28.0,10
2019-05-01,22,14,阴,西南风,4级,18.0,8
2019-05-02,23,14,多云,东北风,3级,18.5,9
2019-05-03,26,15,阴,东北风,3级,20.5,11
2019-05-04,20,10,阴,东北风,3级,15.0,10
2019-05-05,19,11,阴,东南风,1级,15.0,8
2019-05-06,16,10,阴,东北风,3级,13.0,6
2019-05-07,14,13,阴,西北风,3级,13.5,1
2019-05-08,21,10,多云,西北风,2级,15.5,11
2019-05-09,22,11,晴,东南风,2级,16.5,11
2019-05-10,25,13,晴,西北风,2级,19.0,12
2019-05-11,28,14,晴,东北风,2级,21.0,14
2019-05-12,24,16,浮尘,东北风,5级,20.0,8
2019-05-13,23,17,阴,西北风,2级,20.0,6
2019-05-14,27,12,晴,西南风,1级,19.5,15
2019-05-15,27,15,晴,西北风,1级,21.0,12
2019-05-16,28,16,多云,西南风,1级,22.0,12
2019-05-17,25,15,多云,东北风,4级,20.0,10
2019-05-18,22,13,晴,东北风,6级,17.5,9
2019-05-19,24,14,浮尘,东北风,4级,19.0,10
2019-05-20,26,14,浮尘,东北风,3级,20.0,12
2019-05-21,29,16,浮尘,西北风,2级,22.5,13
2019-05-22,31,16,浮尘,东北风,2级,23.5,15
2019-05-23,32,20,浮尘,西北风,3级,26.0,12
2019-05-24,27,18,阴,东北风,4级,22.5,9
2019-05-25,26,16,多云,东北风,4级,21.0,10
2019-05-26,27,16,多云,东北风,6级,21.5,11
2019-05-27,27,18,多云,西北风,1级,22.5,9
2019-05-28,28,18,浮尘,西南风,1级,23.0,10
