日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,12,阴,西南风,2级,19.0,14
2019-09-02,24,10,晴,西风,1级,17.0,14
2019-09-03,25,12,多云,东南风,1级,18.5,13
2019-09-04,28,17,晴,东南风,1级,22.5,11
2019-09-05,28,16,晴,西南风,2级,22.0,12
2019-09-06,27,18,多云,西南风,1级,22.5,9
2019-09-07,25,19,阴,东北风,2级,22.0,6
2019-09-08,25,13,阴,西南风,3级,19.0,12
2019-09-09,22,10,晴,西南风,2级,16.0,12
2019-09-10,19,9,多云,西南风,2级,14.0,10
2019-09-11,21,6,多云,东北风,1级,13.5,15
2019-09-12,23,12,多云,东南风,2级,17.5,11
2019-09-13,22,13,阴,西南风,3级,17.5,9
2019-09-14,23,9,晴,东南风,1级,16.0,14
2019-09-15,23,8,多云,西南风,2级,15.5,15
2019-09-16,17,4,晴,西北风,1级,10.5,13
2019-09-17,19,5,多云,西南风,4级,12.0,14
2019-09-18,14,5,阴,西北风,2级,9.5,9
2019-09-19,16,2,晴,东南风,2级,9.0,14
2019-09-20,20,8,多云,南风,微风,14.0,12
2019-09-21,17,5,多云,西南风,2级,11.0,12
2019-09-22,21,6,晴,西南风,2级,13.5,15
2019-09-23,24,8,晴,东北风,2级,16.0,16
2019-09-24,18,1,多云,西南风,微风,9.5,17
2019-09-25,21,4,多云,西南风,2级,12.5,17
2019-09-26,21,8,晴,东南风,1级,14.5,13
2019-09-27,27,9,晴,西南风,2级,18.0,18
2019-09-28,27,12,多云,西南风,2级,19.5,15
2019-09-29,20,1,多云,东北风,3级,10.5,19
2019-09-30,21,11,晴,西南风,2级,16.0,10
2019-08-01,29,19,阴,西南风,3级,24.0,10
2019-08-02,29,18,多云,西南风,3级,23.5,11
2019-08-03,29,19,阴,西北风,1级,24.0,10
2019-08-04,29,21,多云,西南风,3级,25.0,8
2019-08-05,31,22,多云,西南风,2级,26.5,9
2019-08-06,23,20,小雨,东北风,2级,21.5,3
2019-08-07,20,17,小雨,东北风,3级,18.5,3
2019-08-08,22,18,阴,东北风,3级,20.0,4
2019-08-09,19,15,小雨,东北风,2级,17.0,4
2019-08-10,19,17,小雨,东北风,3级,18.0,2
2019-08-11,19,16,小雨,东南风,1级,17.5,3
2019-08-12,22,16,阴,西南风,1级,19.0,6
2019-08-13,24,19,阴,东南风,1级,21.5,5
2019-08-14,23,19,中雨,南风,微风,21.0,4
2019-08-15,19,17,中雨,东北风,2级,18.0,2
2019-08-16,19,17,中雨,西北风,3级,18.0,2
2019-08-17,18,16,中雨,西北风,2级,17.0,2
2019-08-18,23,14,阴,西南风,3级,18.5,9
2019-08-19,26,13,阴,西北风,2级,19.5,13
2019-08-20,23,16,多云,东南风,2级,19.5,7
2019-08-21,21,16,中雨,东南风,3级,18.5,5
2019-08-22,23,16,小雨,东北风,1级,19.5,7
2019-08-23,19,14,阴,西北风,2级,16.5,5
2019-08-24,22,13,小雨,西北风,1级,17.5,9
2019-08-25,23,13,阴,东北风,1级,18.0,10
2019-08-26,25,16,阴,东南风,1级,20.5,9
2019-08-27,22,16,小雨,西南风,1级,19.0,6
2019-08-28,24,16,阴,东北风,3级,20.0,8
2019-08-29,23,16,阴,东北风,2级,19.5,7
2019-08-30,19,14,阴,西北风,3级,16.5,5
2019-08-31,24,12,多云,东南风,1级,18.0,12
2019-07-01,21,13,小雨,西北风,1级,17.0,8
2019-07-02,26,15,阴,东南风,2级,20.5,11
2019-07-03,25,17,小雨,南风,微风,21.0,8
2019-07-04,25,15,阴,东南风,1级,20.0,10
2019-07-05,26,17,多云,东南风,2级,21.5,9
2019-07-06,27,19,阴,西北风,1级,23.0,8
2019-07-07,29,19,多云,东北风,1级,24.0,10
2019-07-08,32,20,多云,东南风,1级,26.0,12
2019-07-09,31,20,阴,东南风,2级,25.5,11
2019-07-10,30,18,阴,东南风,2级,24.0,12
2019-07-11,29,17,多云,西南风,微风,23.0,12
2019-07-12,27,17,阴,东北风,3级,22.0,10
2019-07-13,26,18,阴,东北风,1级,22.0,8
2019-07-14,25,17,小雨,西北风,1级,21.0,8
2019-07-15,27,18,阴,东南风,2级,22.5,9
2019-07-16,26,19,阴,南风,2级,22.5,7
2019-07-17,27,20,中雨,东南风,1级,23.5,7
2019-07-18,28,19,阴,西南风,2级,23.5,9
2019-07-19,30,19,多云,东南风,1级,24.5,11
2019-07-20,32,22,阴,东南风,3级,27.0,10
2019-07-21,29,21,小雨,东南风,3级,25.0,8
2019-07-22,23,19,大雨,西南风,2级,21.0,4
2019-07-23,29,20,阴,西南风,3级,24.5,9
2019-07-24,27,18,阴,东北风,3级,22.5,9
2019-07-25,24,16,阴,东北风,1级,20.0,8
2019-07-26,20,17,大雨,东北风,1级,18.5,3
2019-07-27,28,18,阴,西南风,1级,23.0,10
2019-07-28,29,19,中雨,西南风,3级,24.0,10
2019-07-29,28,22,阴,西南风,2级,25.0,6
2019-07-30,24,20,大雨,西北风,2级,22.0,4
2019-07-31,31,21,阴,西南风,3级,26.0,10
2019-06-01,22,10,阴,东南风,1级,16.0,12
2019-06-02,25,11,阴,东北风,2级,18.0,14
2019-06-03,21,9,多云,西北风,1级,15.0,12
2019-06-04,24,10,多云,东北风,1级,17.0,14
2019-06-05,26,13,多云,东南风,1级,19.5,13
2019-06-06,22,11,阴,东北风,2级,16.5,11
2019-06-07,25,11,多云,东北风,1级,18.0,14
2019-06-08,28,14,多云,东南风,1级,21.0,14
2019-06-09,23,13,阴,东南风,1级,18.0,10
2019-06-10,27,14,多云,西南风,1级,20.5,13
2019-06-11,26,15,阴,东北风,3级,20.5,11
2019-06-12,24,15,小雨,东北风,1级,19.5,9
2019-06-13,25,14,小雨,西南风,2级,19.5,11
2019-06-14,14,9,小雨,东南风,5级,11.5,5
2019-06-15,18,9,多云,东北风,3级,13.5,9
2019-06-16,20,9,晴,西南风,1级,14.5,11
2019-06-17,20,11,阵雨,东北风,2级,15.5,9
2019-06-18,20,12,多云,西南风,2级,16.0,8
2019-06-19,23,11,小雨,东北风,2级,17.0,12
2019-06-20,17,12,小雨,西北风,4级,14.5,5
2019-06-21,22,13,多云,东南风,2级,17.5,9
2019-06-22,25,14,多云,西南风,1级,19.5,11
2019-06-23,29,15,多云,东南风,2级,22.0,14
2019-06-24,31,19,阴,东南风,2级,25.0,12
2019-06-25,29,20,小雨,东南风,1级,24.5,9
2019-06-26,26,15,多云,东北风,3级,20.5,11
2019-06-27,16,11,中雨,东北风,3级,13.5,5
2019-06-28,15,13,小雨,东南风,1级,14.0,2
2019-06-29,16,14,小雨,东北风,3级,15.0,2
2019-06-30,16,14,小雨,东北风,2级,15.0,2
2019-05-01,16,2,阴,西北风,3级,9.0,14
2019-05-02,19,5,多云,西北风,3级,12.0,14
2019-05-03,26,8,晴,西南风,3级,17.0,18
2019-05-04,22,9,多云,东北风,3级,15.5,13
2019-05-05,10,4,阴,西北风,4级,7.0,6
2019-05-06,16,2,多云,东南风,1级,9.0,14
2019-05-07,18,4,阴,东北风,3级,11.0,14
2019-05-08,20,3,阴,西北风,3级,11.5,17
2019-05-09,18,2,多云,东北风,3级,10.0,16
2019-05-10,19,3,多云,东北风,4级,11.0,16
2019-05-11,19,8,阴,东北风,2级,13.5,11
2019-05-12,25,12,多云,西南风,2级,18.5,13
2019-05-13,27,8,阴,西南风,2级,17.5,19
2019-05-14,23,6,多云,西南风,3级,14.5,17
2019-05-15,27,12,多云,东北风,2级,19.5,15
2019-05-16,25,12,阴,东南风,3级,18.5,13
2019-05-17,24,13,多云,西南风,3级,18.5,11
2019-05-18,18,8,阴,西南风,1级,13.0,10
2019-05-19,17,13,阴,东北风,4级,15.0,4
2019-05-20,17,7,阴,西南风,3级,12.0,10
2019-05-21,14,7,阴,西南风,3级,10.5,7
2019-05-22,16,7,阴,西北风,3级,11.5,9
2019-05-23,21,11,多云,西南风,3级,16.0,10
2019-05-24,32,19,阴,西南风,3级,25.5,13
2019-05-25,33,16,多云,西南风,2级,24.5,17
2019-05-26,21,10,多云,东北风,4级,15.5,11
2019-05-27,12,8,阴,西北风,4级,10.0,4
2019-05-28,14,8,阴,西南风,4级,11.0,6
2019-05-29,14,6,阴,东南风,1级,10.0,8
2019-05-30,18,8,阴,西南风,2级,13.0,10
2019-05-31,18,9,多云,西南风,2级,13.5,9
2019-04-01,4,-7,多云,西北风,2级,-1.5,11
2019-04-02,8,-5,多云,西南风,1级,1.5,13
2019-04-03,12,-5,多云,东南风,3级,3.5,17
2019-04-04,11,-1,多云,东南风,2级,5.0,12
2019-04-05,9,-3,雨夹雪,西南风,2级,3.0,12
2019-04-06,9,-2,多云,西风,1级,3.5,11
2019-04-07,8,-3,阴,西南风,1级,2.5,11
2019-04-08,9,-4,雨夹雪,西南风,1级,2.5,13
2019-04-09,12,-5,晴,西南风,1级,3.5,17
2019-04-10,13,-2,多云,东南风,1级,5.5,15
2019-04-11,14,-2,多云,东南风,1级,6.0,16
2019-04-12,18,4,多云,西南风,2级,11.0,14
2019-04-13,14,-5,阴,东南风,2级,4.5,19
2019-04-14,13,-3,晴,西南风,3级,5.0,16
2019-04-15,18,7,阴,西南风,2级,12.5,11
2019-04-16,25,6,多云,西南风,5级,15.5,19
2019-04-17,16,3,多云,东南风,1级,9.5,13
2019-04-18,7,-3,阴,西北风,3级,2.0,10
2019-04-19,12,-5,晴,西北风,2级,3.5,17
2019-04-20,17,-1,多云,西北风,5级,8.0,18
2019-04-21,15,-2,多云,西北风,3级,6.5,17
2019-04-22,20,8,阴,东南风,4级,14.0,12
2019-04-23,25,5,多云,西北风,5级,15.0,20
2019-04-24,13,0,多云,西北风,3级,6.5,13
2019-04-25,12,-2,多云,东南风,1级,5.0,14
2019-04-26,15,-1,阴,南风,1级,7.0,16
2019-04-27,20,5,多云,西南风,1级,12.5,15
2019-04-28,22,8,阴,西南风,3级,15.0,14
2019-04-29,21,6,多云,东南风,2级,13.5,15
2019-04-30,23,7,多云,东南风,3级,15.0,16
2019-03-01,4,-8,多云,西北风,1级,-2.0,12
2019-03-02,7,-6,多云,西南风,4级,0.5,13
2019-03-03,7,-5,多云,东南风,2级,1.0,12
2019-03-04,10,-4,多云,北风,微风,3.0,14
2019-03-05,4,-9,阴,东北风,4级,-2.5,13
2019-03-06,4,-9,晴,西北风,3级,-2.5,13
2019-03-07,6,-8,多云,西南风,1级,-1.0,14
2019-03-08,10,0,多云,西南风,2级,5.0,10
2019-03-09,6,-10,多云,西北风,2级,-2.0,16
2019-03-10,7,-8,晴,东北风,1级,-0.5,15
2019-03-11,5,-7,阴,东南风,2级,-1.0,12
2019-03-12,2,-8,多云,西南风,4级,-3.0,10
2019-03-13,3,-9,阴,西北风,1级,-3.0,12
2019-03-14,3,-9,阴,西北风,2级,-3.0,12
2019-03-15,4,-9,阴,西北风,1级,-2.5,13
2019-03-16,6,-10,晴,西风,1级,-2.0,16
2019-03-17,10,-2,多云,东南风,2级,4.0,12
2019-03-18,16,-3,多云,西北风,2级,6.5,19
2019-03-19,14,-1,阴,西北风,2级,6.5,15
2019-03-20,4,-5,多云,东南风,3级,-0.5,9
2019-03-21,-4,-9,阴,西北风,2级,-6.5,5
2019-03-22,0,-12,多云,东南风,1级,-6.0,12
2019-03-23,-1,-11,阴,西南风,2级,-6.0,10
2019-03-24,6,-6,阴,西南风,2级,0.0,12
2019-03-25,9,-4,阴,西风,4级,2.5,13
2019-03-26,3,-9,多云,西北风,2级,-3.0,12
2019-03-27,4,-10,多云,西北风,3级,-3.0,14
2019-03-28,3,-13,晴,东南风,1级,-5.0,16
2019-03-29,5,-10,多云,东北风,2级,-2.5,15
2019-03-30,3,-6,多云,东北风,3级,-1.5,9
2019-03-31,3,-7,阴,西北风,1级,-2.0,10
2019-02-01,-10,-24,阴,西北风,1级,-17.0,14
2019-02-02,-10,-19,多云,东北风,1级,-14.5,9
2019-02-03,-10,-24,阴,西北风,2级,-17.0,14
2019-02-04,-13,-27,多云,西南风,2级,-20.0,14
2019-02-05,-14,-28,小雪,西北风,2级,-21.0,14
2019-02-06,-15,-30,多云,西南风,2级,-22.5,15
2019-02-07,-19,-25,多云,西北风,4级,-22.0,6
2019-02-08,-11,-24,多云,西南风,1级,-17.5,13
2019-02-09,-8,-23,阴,西北风,3级,-15.5,15
2019-02-10,-6,-23,多云,西南风,3级,-14.5,17
2019-02-11,-7,-23,多云,西北风,2级,-15.0,16
2019-02-12,-8,-21,晴,西南风,3级,-14.5,13
2019-02-13,-4,-18,晴,西南风,2级,-11.0,14
2019-02-14,-2,-20,晴,西南风,3级,-11.0,18
2019-02-15,-3,-16,阴,西北风,2级,-9.5,13
2019-02-16,0,-12,多云,西南风,3级,-6.0,12
2019-02-17,1,-10,多云,西南风,2级,-4.5,11
2019-02-18,4,-11,多云,东南风,1级,-3.5,15
2019-02-19,3,-11,阴,西北风,1级,-4.0,14
2019-02-20,4,-10,阴,西南风,2级,-3.0,14
2019-02-21,6,-9,多云,西北风,4级,-1.5,15
2019-02-22,6,-12,多云,东北风,3级,-3.0,18
2019-02-23,6,-5,多云,西南风,4级,0.5,11
2019-02-24,5,-7,多云,西北风,3级,-1.0,12
2019-02-25,2,-11,多云,西北风,6级,-4.5,13
2019-02-26,1,-10,多云,西南风,2级,-4.5,11
2019-02-27,4,-8,多云,西南风,4级,-2.0,12
2019-02-28,7,-9,多云,西北风,3级,-1.0,16
2019-01-01,-10,-18,阴,西北风,3级,-14.0,8
2019-01-02,-8,-20,晴,西南风,3级,-14.0,12
2019-01-03,-6,-16,晴,西南风,2级,-11.0,10
2019-01-04,-6,-18,阴,西南风,3级,-12.0,12
2019-01-05,-9,-19,多云,西南风,3级,-14.0,10
2019-01-06,-8,-19,多云,西南风,2级,-13.5,11
2019-01-07,-10,-21,多云,西南风,1级,-15.5,11
2019-01-08,-10,-16,多云,西南风,3级,-13.0,6
2019-01-09,-5,-14,多云,西南风,3级,-9.5,9
2019-01-10,-4,-17,晴,西北风,1级,-10.5,13
2019-01-11,-3,-19,多云,东南风,1级,-11.0,16
2019-01-12,-5,-19,多云,西南风,1级,-12.0,14
2019-01-13,-12,-22,阴,东南风,1级,-17.0,10
