日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,16,多云,东南风,1级,21.0,10
2019-09-02,24,16,阴,东南风,1级,20.0,8
2019-09-03,23,16,阴,东南风,1级,19.5,7
2019-09-04,20,16,阴,东南风,1级,18.0,4
2019-09-05,25,18,阴,东北风,1级,21.5,7
2019-09-06,26,19,阴,东南风,1级,22.5,7
2019-09-07,26,19,多云,东南风,微风,22.5,7
2019-09-08,27,20,阴,东南风,1级,23.5,7
2019-09-09,26,19,阴,东南风,1级,22.5,7
2019-09-10,22,17,阴,东南风,微风,19.5,5
2019-09-11,22,17,阴,东南风,微风,19.5,5
2019-09-12,24,17,阴,东南风,2级,20.5,7
2019-09-13,14,11,阴,南风,微风,12.5,3
2019-09-14,13,12,阴,西北风,1级,12.5,1
2019-09-15,19,11,多云,西北风,1级,15.0,8
2019-09-16,17,12,阴,东南风,1级,14.5,5
2019-09-17,21,12,阴,西北风,微风,16.5,9
2019-09-18,16,11,阴,东南风,1级,13.5,5
2019-09-19,19,12,阴,西北风,1级,15.5,7
2019-09-20,25,10,阴,东南风,1级,17.5,15
2019-09-21,25,9,多云,东南风,1级,17.0,16
2019-09-22,24,9,多云,东南风,2级,16.5,15
2019-09-23,20,12,多云,东南风,1级,16.0,8
2019-09-24,20,10,阴,东南风,1级,15.0,10
2019-09-25,24,9,多云,东南风,2级,16.5,15
2019-09-26,23,10,多云,东南风,1级,16.5,13
2019-09-27,21,10,多云,东南风,1级,15.5,11
2019-09-28,23,12,多云,东南风,1级,17.5,11
2019-09-29,24,14,阴,西南风,1级,19.0,10
2019-09-30,26,14,多云,东南风,1级,20.0,12
2019-08-01,30,18,多云,东南风,1级,24.0,12
2019-08-02,24,18,小雨,东北风,1级,21.0,6
2019-08-03,29,17,阴,西北风,2级,23.0,12
2019-08-04,30,17,阴,东南风,1级,23.5,13
2019-08-05,25,16,阴,东南风,1级,20.5,9
2019-08-06,29,16,小雨,东北风,2级,22.5,13
2019-08-07,31,18,晴,东南风,1级,24.5,13
2019-08-08,29,18,阴,东南风,1级,23.5,11
2019-08-09,29,15,阴,东北风,1级,22.0,14
2019-08-10,32,15,晴,东北风,2级,23.5,17
2019-08-11,32,15,晴,西北风,2级,23.5,17
2019-08-12,32,15,晴,东南风,1级,23.5,17
2019-08-13,33,15,晴,东北风,1级,24.0,18
2019-08-14,31,16,晴,西南风,1级,23.5,15
2019-08-15,33,17,晴,东北风,2级,25.0,16
2019-08-16,32,18,晴,西南风,1级,25.0,14
2019-08-17,30,20,晴,东北风,1级,25.0,10
2019-08-18,30,19,多云,东北风,1级,24.5,11
2019-08-19,28,21,小雨,西南风,1级,24.5,7
2019-08-20,23,16,中雨,东南风,1级,19.5,7
2019-08-21,22,17,小雨,东南风,1级,19.5,5
2019-08-22,26,18,阴,东南风,1级,22.0,8
