日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,13,晴,东南风,2级,20.0,14
2019-09-02,27,16,晴,东南风,3级,21.5,11
2019-09-03,26,16,晴,东南风,4级,21.0,10
2019-09-04,29,16,多云,东南风,3级,22.5,13
2019-09-05,29,15,阴,西南风,2级,22.0,14
2019-09-06,31,17,晴,东南风,3级,24.0,14
2019-09-07,32,19,扬沙,东北风,4级,25.5,13
2019-09-08,29,17,多云,西北风,2级,23.0,12
2019-09-09,18,13,阴,西南风,1级,15.5,5
2019-09-10,22,17,阴,东南风,1级,19.5,5
2019-09-11,29,17,阴,东北风,2级,23.0,12
2019-09-12,19,9,阴,西北风,4级,14.0,10
2019-09-13,18,10,阴,东南风,1级,14.0,8
2019-09-14,21,12,多云,东北风,2级,16.5,9
2019-09-15,24,12,阴,东北风,1级,18.0,12
2019-09-16,24,13,多云,东南风,3级,18.5,11
2019-09-17,25,13,阴,东南风,3级,19.0,12
2019-09-18,23,13,多云,东南风,3级,18.0,10
2019-09-19,17,9,阴,西南风,2级,13.0,8
2019-09-20,25,10,多云,东南风,1级,17.5,15
2019-09-21,23,9,晴,东南风,1级,16.0,14
2019-09-22,25,11,阴,东北风,1级,18.0,14
2019-09-23,25,11,晴,东风,1级,18.0,14
2019-09-24,26,11,多云,西北风,1级,18.5,15
2019-09-25,26,11,晴,东北风,2级,18.5,15
2019-09-26,25,11,多云,东北风,1级,18.0,14
2019-09-27,26,12,晴,东南风,微风,19.0,14
2019-09-28,29,12,晴,东北风,2级,20.5,17
2019-09-29,29,12,晴,西北风,1级,20.5,17
2019-09-30,30,17,晴,东南风,3级,23.5,13
2019-08-01,33,20,晴,东南风,4级,26.5,13
2019-08-02,29,17,阴,东南风,3级,23.0,12
2019-08-03,24,17,小雨,东北风,1级,20.5,7
2019-08-04,30,19,晴,东北风,1级,24.5,11
2019-08-05,34,20,阴,西风,2级,27.0,14
2019-08-06,36,21,晴,西北风,3级,28.5,15
2019-08-07,33,20,多云,东北风,1级,26.5,13
2019-08-08,23,16,阴,西南风,2级,19.5,7
2019-08-09,33,17,晴,西北风,1级,25.0,16
2019-08-10,32,15,晴,西北风,4级,23.5,17
2019-08-11,30,15,晴,东北风,3级,22.5,15
2019-08-12,30,17,晴,东北风,1级,23.5,13
2019-08-13,22,15,阴,东南风,微风,18.5,7
2019-08-14,32,19,阴,东北风,1级,25.5,13
2019-08-15,36,17,晴,东南风,1级,26.5,19
2019-08-16,26,13,多云,东北风,1级,19.5,13
2019-08-17,30,18,晴,东北风,3级,24.0,12
2019-08-18,34,22,晴,东南风,4级,28.0,12
2019-08-19,35,17,阴,西北风,4级,26.0,18
2019-08-20,20,14,中雨,西南风,3级,17.0,6
2019-08-21,24,19,小雨,东南风,2级,21.5,5
2019-08-22,21,18,小雨,东南风,3级,19.5,3
2019-08-23,18,15,小雨,西南风,1级,16.5,3
2019-08-24,25,17,小雨,东北风,1级,21.0,8
2019-08-25,30,18,多云,东北风,1级,24.0,12
2019-08-26,23,15,小雨,西南风,3级,19.0,8
2019-08-27,27,14,阴,东北风,1级,20.5,13
2019-08-28,30,13,多云,东南风,1级,21.5,17
2019-08-29,29,16,阴,东北风,1级,22.5,13
2019-08-30,27,14,阴,东南风,3级,20.5,13
2019-08-31,28,13,晴,东南风,3级,20.5,15
2019-07-01,33,21,晴,东北风,2级,27.0,12
2019-07-02,32,19,阴,西南风,1级,25.5,13
2019-07-03,32,19,多云,东南风,2级,25.5,13
2019-07-04,34,21,晴,西南风,2级,27.5,13
2019-07-05,30,16,扬沙,东北风,2级,23.0,14
2019-07-06,26,16,晴,东北风,3级,21.0,10
2019-07-07,28,13,多云,西北风,4级,20.5,15
2019-07-08,19,14,小雨,东南风,2级,16.5,5
2019-07-09,22,14,小雨,西南风,1级,18.0,8
2019-07-10,29,17,晴,东北风,2级,23.0,12
2019-07-11,31,17,晴,东南风,3级,24.0,14
2019-07-12,33,18,阴,东北风,1级,25.5,15
2019-07-13,33,20,晴,东北风,3级,26.5,13
2019-07-14,27,20,阴,西南风,2级,23.5,7
2019-07-15,24,19,阴,东南风,2级,21.5,5
2019-07-16,27,19,多云,东北风,2级,23.0,8
2019-07-17,30,20,阴,东北风,1级,25.0,10
2019-07-18,31,19,阴,北风,2级,25.0,12
2019-07-19,29,17,阴,东南风,2级,23.0,12
2019-07-20,34,22,晴,东北风,1级,28.0,12
2019-07-21,24,16,小雨,西南风,1级,20.0,8
2019-07-22,30,18,多云,北风,微风,24.0,12
2019-07-23,33,19,晴,西北风,4级,26.0,14
2019-07-24,29,18,阴,东南风,2级,23.5,11
2019-07-25,35,21,晴,东南风,2级,28.0,14
2019-07-26,35,22,晴,东南风,4级,28.5,13
2019-07-27,31,21,扬沙,东北风,微风,26.0,10
2019-07-28,28,19,中雨,西北风,3级,23.5,9
2019-07-29,32,19,多云,西南风,2级,25.5,13
2019-07-30,33,18,小雨,西南风,1级,25.5,15
2019-07-31,34,18,晴,东南风,1级,26.0,16
2019-06-01,31,15,晴,西北风,2级,23.0,16
2019-06-02,31,15,晴,北风,微风,23.0,16
2019-06-03,32,18,晴,西南风,1级,25.0,14
2019-06-04,26,14,阴,西南风,5级,20.0,12
2019-06-05,30,17,晴,东北风,1级,23.5,13
2019-06-06,35,19,晴,东南风,3级,27.0,16
2019-06-07,26,15,阴,东北风,3级,20.5,11
2019-06-08,30,16,晴,东北风,2级,23.0,14
2019-06-09,33,18,多云,东南风,4级,25.5,15
2019-06-10,32,20,多云,南风,微风,26.0,12
2019-06-11,32,16,阴,西南风,3级,24.0,16
2019-06-12,29,17,多云,东北风,2级,23.0,12
2019-06-13,28,21,晴,东北风,3级,24.5,7
2019-06-14,29,15,阴,西南风,3级,22.0,14
2019-06-15,23,14,阴,东南风,微风,18.5,9
2019-06-16,28,18,多云,东北风,1级,23.0,10
2019-06-17,32,18,多云,西南风,2级,25.0,14
2019-06-18,28,19,阴,西南风,2级,23.5,9
2019-06-19,21,17,小雨,东北风,2级,19.0,4
2019-06-20,21,17,小雨,东北风,2级,19.0,4
2019-06-21,20,17,阴,东北风,2级,18.5,3
2019-06-22,24,18,阴,东北风,2级,21.0,6
2019-06-23,28,18,阴,西南风,2级,23.0,10
2019-06-24,31,20,多云,东北风,2级,25.5,11
2019-06-25,30,19,多云,南风,微风,24.5,11
2019-06-26,19,14,大雨,东北风,3级,16.5,5
2019-06-27,22,15,小雨,西南风,1级,18.5,7
2019-06-28,29,15,阴,西南风,1级,22.0,14
2019-06-29,29,15,多云,东北风,2级,22.0,14
2019-06-30,30,18,阴,东南风,1级,24.0,12
2019-05-01,23,10,多云,东南风,3级,16.5,13
2019-05-02,26,13,多云,东南风,4级,19.5,13
2019-05-03,23,12,阴,东北风,1级,17.5,11
2019-05-04,27,13,阴,东南风,2级,20.0,14
2019-05-05,17,10,扬沙,东南风,2级,13.5,7
2019-05-06,13,8,阴,东北风,2级,10.5,5
2019-05-07,12,8,阴,东北风,2级,10.0,4
2019-05-08,13,6,阴,东北风,2级,9.5,7
2019-05-09,18,9,阴,西南风,2级,13.5,9
2019-05-10,22,10,阴,西南风,2级,16.0,12
2019-05-11,25,5,多云,东南风,1级,15.0,20
2019-05-12,14,6,多云,西北风,1级,10.0,8
2019-05-13,25,12,扬沙,东北风,2级,18.5,13
2019-05-14,27,15,阴,西南风,2级,21.0,12
2019-05-15,23,12,扬沙,东北风,1级,17.5,11
2019-05-16,28,14,扬沙,东南风,5级,21.0,14
2019-05-17,31,19,晴,东北风,2级,25.0,12
2019-05-18,22,8,阴,西南风,2级,15.0,14
2019-05-19,18,5,阴,西北风,1级,11.5,13
2019-05-20,23,9,多云,东北风,3级,16.0,14
2019-05-21,26,11,晴,东南风,1级,18.5,15
2019-05-22,31,16,晴,东南风,1级,23.5,15
2019-05-23,31,16,阴,东南风,6级,23.5,15
2019-05-24,33,17,晴,东南风,1级,25.0,16
2019-05-25,27,13,阴,西北风,3级,20.0,14
2019-05-26,19,10,阴,东南风,2级,14.5,9
2019-05-27,17,10,阴,西南风,3级,13.5,7
2019-05-28,22,12,晴,东北风,3级,17.0,10
2019-05-29,22,14,阴,西北风,2级,18.0,8
2019-05-30,26,12,多云,东北风,1级,19.0,14
2019-05-31,23,14,阴,西南风,3级,18.5,9
2019-04-01,20,4,多云,东北风,1级,12.0,16
2019-04-02,19,7,阴,东北风,2级,13.0,12
2019-04-03,21,7,多云,东北风,2级,14.0,14
2019-04-04,22,6,阴,西北风,2级,14.0,16
2019-04-05,25,9,晴,西南风,3级,17.0,16
2019-04-06,23,8,扬沙,东南风,微风,15.5,15
2019-04-07,24,12,阴,东北风,1级,18.0,12
2019-04-08,21,4,阴,西北风,3级,12.5,17
2019-04-09,15,5,多云,东南风,2级,10.0,10
2019-04-10,14,0,阴,西北风,2级,7.0,14
2019-04-11,17,4,晴,东北风,2级,10.5,13
2019-04-12,19,5,阴,东南风,1级,12.0,14
2019-04-13,18,4,阴,东北风,1级,11.0,14
2019-04-14,19,9,多云,东南风,1级,14.0,10
2019-04-15,19,4,阴,西北风,3级,11.5,15
2019-04-16,29,12,晴,东南风,1级,20.5,17
2019-04-17,28,14,晴,东北风,1级,21.0,14
2019-04-18,30,17,多云,东北风,1级,23.5,13
2019-04-19,27,13,扬沙,西北风,6级,20.0,14
2019-04-20,25,9,多云,东南风,微风,17.0,16
2019-04-21,27,12,多云,东南风,4级,19.5,15
2019-04-22,27,12,多云,东北风,1级,19.5,15
2019-04-23,31,14,晴,东北风,1级,22.5,17
2019-04-24,22,12,扬沙,西南风,1级,17.0,10
2019-04-25,28,10,晴,东北风,2级,19.0,18
2019-04-26,26,10,阴,东南风,2级,18.0,16
2019-04-27,17,10,多云,东南风,2级,13.5,7
2019-04-28,21,11,阴,西北风,3级,16.0,10
2019-04-29,21,5,阴,西南风,3级,13.0,16
2019-04-30,20,8,阴,东北风,3级,14.0,12
2019-03-01,9,0,阴,东南风,4级,4.5,9
2019-03-02,10,0,阴,东北风,1级,5.0,10
2019-03-03,15,0,晴,东北风,2级,7.5,15
2019-03-04,14,0,阴,南风,微风,7.0,14
2019-03-05,11,-2,晴,东北风,3级,4.5,13
2019-03-06,13,-1,多云,东北风,3级,6.0,14
2019-03-07,11,1,阴,东南风,5级,6.0,10
2019-03-08,13,0,阴,西北风,2级,6.5,13
2019-03-09,14,0,多云,东南风,1级,7.0,14
2019-03-10,10,-1,阴,西北风,2级,4.5,11
2019-03-11,12,0,阴,西北风,3级,6.0,12
2019-03-12,12,-2,晴,东北风,3级,5.0,14
2019-03-13,12,-1,多云,西北风,3级,5.5,13
2019-03-14,13,-1,多云,东北风,2级,6.0,14
2019-03-15,17,1,晴,东北风,2级,9.0,16
2019-03-16,16,1,晴,东北风,1级,8.5,15
2019-03-17,12,2,阴,西南风,2级,7.0,10
2019-03-18,20,3,晴,东南风,2级,11.5,17
2019-03-19,17,4,阴,东北风,2级,10.5,13
2019-03-20,8,-3,多云,西北风,3级,2.5,11
2019-03-21,9,-3,多云,东北风,2级,3.0,12
2019-03-22,10,-2,阴,西北风,1级,4.0,12
2019-03-23,14,0,晴,东北风,3级,7.0,14
2019-03-24,15,-2,阴,东南风,1级,6.5,17
2019-03-25,17,2,晴,东北风,1级,9.5,15
2019-03-26,19,4,多云,西北风,1级,11.5,15
2019-03-27,18,4,阴,西南风,1级,11.0,14
2019-03-28,15,1,多云,西北风,3级,8.0,14
2019-03-29,13,0,多云,西北风,3级,6.5,13
