日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,22,多云,东北风,1级,24.5,5
2019-09-02,26,22,阴,西北风,2级,24.0,4
2019-09-03,27,21,阴,西北风,2级,24.0,6
2019-09-04,31,22,多云,西北风,1级,26.5,9
2019-09-05,30,23,多云,东北风,1级,26.5,7
2019-09-06,33,23,晴,西南风,1级,28.0,10
2019-09-07,35,23,晴,西南风,1级,29.0,12
2019-09-08,35,24,晴,西南风,1级,29.5,11
2019-09-09,35,24,多云,西南风,1级,29.5,11
2019-09-10,35,24,多云,东南风,1级,29.5,11
2019-09-11,35,24,多云,西南风,2级,29.5,11
2019-09-12,36,24,多云,西南风,1级,30.0,12
2019-09-13,36,25,多云,西南风,1级,30.5,11
2019-09-14,35,24,晴,西北风,1级,29.5,11
2019-09-15,33,25,阴,东北风,2级,29.0,8
2019-09-16,32,25,多云,西北风,2级,28.5,7
2019-09-17,29,22,多云,西北风,3级,25.5,7
2019-09-18,30,21,多云,西北风,3级,25.5,9
2019-09-19,29,19,多云,西南风,1级,24.0,10
2019-09-20,30,19,晴,西北风,3级,24.5,11
2019-09-21,30,19,晴,西北风,3级,24.5,11
2019-09-22,29,19,多云,西北风,1级,24.0,10
2019-09-23,30,16,晴,南风,微风,23.0,14
2019-09-24,31,15,多云,西南风,2级,23.0,16
2019-09-25,31,17,晴,西南风,2级,24.0,14
2019-09-26,31,16,多云,西南风,1级,23.5,15
2019-09-27,31,16,多云,西南风,1级,23.5,15
2019-09-28,32,16,多云,西南风,1级,24.0,16
2019-09-29,33,15,晴,北风,微风,24.0,18
2019-09-30,34,16,晴,西南风,1级,25.0,18
2019-08-01,29,24,阴,东北风,2级,26.5,5
2019-08-02,29,24,阴,西南风,2级,26.5,5
2019-08-03,29,24,小雨,西南风,1级,26.5,5
2019-08-04,35,24,多云,西北风,1级,29.5,11
2019-08-05,35,24,多云,西北风,1级,29.5,11
2019-08-06,35,25,多云,西南风,1级,30.0,10
2019-08-07,37,24,多云,西南风,2级,30.5,13
2019-08-08,35,25,阴,东北风,2级,30.0,10
2019-08-09,35,25,小雨,西北风,2级,30.0,10
2019-08-10,37,25,多云,西南风,2级,31.0,12
2019-08-11,35,25,多云,西南风,1级,30.0,10
2019-08-12,34,24,多云,西南风,2级,29.0,10
2019-08-13,36,24,多云,东北风,1级,30.0,12
2019-08-14,35,24,多云,西南风,1级,29.5,11
2019-08-15,36,25,多云,西南风,2级,30.5,11
2019-08-16,35,24,阴,东南风,2级,29.5,11
2019-08-17,36,24,多云,东南风,3级,30.0,12
2019-08-18,35,24,阴,东南风,3级,29.5,11
2019-08-19,36,25,阴,西南风,2级,30.5,11
2019-08-20,36,23,雾,北风,微风,29.5,13
2019-08-21,36,23,多云,西南风,2级,29.5,13
2019-08-22,36,24,多云,东南风,2级,30.0,12
2019-08-23,36,24,晴,西南风,2级,30.0,12
2019-08-24,36,26,晴,西北风,2级,31.0,10
2019-08-25,34,24,小雨,西北风,1级,29.0,10
2019-08-26,27,24,大雨,东南风,2级,25.5,3
2019-08-27,32,24,小雨,东南风,2级,28.0,8
2019-08-28,36,23,多云,西北风,微风,29.5,13
2019-08-29,31,24,阴,东南风,微风,27.5,7
2019-08-30,28,24,阴,西北风,1级,26.0,4
2019-08-31,30,22,多云,西北风,2级,26.0,8
2019-07-01,32,25,小雨,西北风,2级,28.5,7
2019-07-02,32,24,阴,西北风,1级,28.0,8
2019-07-03,28,25,中雨,西南风,1级,26.5,3
2019-07-04,31,25,小雨,西南风,2级,28.0,6
2019-07-05,30,26,阴,西南风,2级,28.0,4
2019-07-06,30,25,阴,西南风,2级,27.5,5
2019-07-07,31,25,阵雨,西南风,1级,28.0,6
2019-07-08,28,24,小雨,东南风,1级,26.0,4
2019-07-09,26,22,小雨,西北风,3级,24.0,4
2019-07-10,26,22,多云,西北风,1级,24.0,4
2019-07-11,30,24,阴,东北风,2级,27.0,6
2019-07-12,30,24,小雨,东南风,3级,27.0,6
2019-07-13,27,24,小雨,西北风,2级,25.5,3
2019-07-14,27,23,小雨,东北风,1级,25.0,4
2019-07-15,33,24,小雨,西南风,3级,28.5,9
2019-07-16,34,25,阴,西南风,2级,29.5,9
2019-07-17,36,25,多云,西北风,1级,30.5,11
2019-07-18,36,24,阴,东南风,2级,30.0,12
2019-07-19,34,25,阴,东南风,2级,29.5,9
