日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,13,晴,东北风,3级,21.0,16
2019-09-02,29,14,晴,东南风,2级,21.5,15
2019-09-03,29,13,多云,东南风,1级,21.0,16
2019-09-04,29,14,晴,东南风,2级,21.5,15
2019-09-05,29,15,阴,东南风,2级,22.0,14
2019-09-06,31,17,多云,西南风,2级,24.0,14
2019-09-07,26,14,多云,东北风,2级,20.0,12
2019-09-08,25,15,多云,西北风,2级,20.0,10
2019-09-09,23,13,阴,东北风,1级,18.0,10
2019-09-10,23,16,雾,东南风,3级,19.5,7
2019-09-11,20,14,阴,东北风,3级,17.0,6
2019-09-12,19,8,阴,西南风,2级,13.5,11
2019-09-13,21,5,晴,西北风,1级,13.0,16
2019-09-14,21,10,晴,西南风,1级,15.5,11
2019-09-15,25,8,晴,西北风,2级,16.5,17
2019-09-16,25,11,晴,西北风,微风,18.0,14
2019-09-17,26,10,晴,东北风,2级,18.0,16
2019-09-18,25,12,多云,东北风,3级,18.5,13
2019-09-19,18,8,阴,西北风,2级,13.0,10
2019-09-20,22,8,多云,东北风,1级,15.0,14
2019-09-21,24,9,晴,东北风,1级,16.5,15
2019-09-22,25,8,晴,东北风,2级,16.5,17
2019-09-23,27,9,晴,东北风,1级,18.0,18
2019-09-24,26,7,晴,东北风,2级,16.5,19
2019-09-25,26,8,晴,东北风,1级,17.0,18
2019-09-26,25,9,晴,东北风,2级,17.0,16
2019-09-27,25,10,晴,北风,微风,17.5,15
2019-09-28,27,11,晴,东南风,1级,19.0,16
2019-09-29,28,11,晴,东南风,2级,19.5,17
2019-09-30,29,11,晴,东南风,1级,20.0,18
2019-08-01,31,19,晴,东北风,3级,25.0,12
2019-08-02,31,19,晴,东北风,1级,25.0,12
2019-08-03,30,16,多云,东南风,2级,23.0,14
2019-08-04,29,17,晴,东南风,1级,23.0,12
2019-08-05,31,17,小雨,东南风,1级,24.0,14
2019-08-06,33,17,晴,西北风,3级,25.0,16
2019-08-07,27,19,晴,东南风,1级,23.0,8
2019-08-08,26,15,小雨,西南风,2级,20.5,11
2019-08-09,30,15,阴,西南风,2级,22.5,15
2019-08-10,27,15,晴,东南风,1级,21.0,12
2019-08-11,26,15,晴,东北风,微风,20.5,11
2019-08-12,29,18,晴,东北风,1级,23.5,11
2019-08-13,28,16,阴,西南风,2级,22.0,12
2019-08-14,30,14,多云,南风,2级,22.0,16
2019-08-15,30,11,晴,东北风,2级,20.5,19
2019-08-16,23,10,多云,东南风,1级,16.5,13
2019-08-17,29,14,晴,东南风,2级,21.5,15
2019-08-18,30,19,阴,东南风,4级,24.5,11
2019-08-19,24,16,小雨,东北风,2级,20.0,8
2019-08-20,28,13,小雨,东北风,2级,20.5,15
2019-08-21,25,15,多云,东北风,2级,20.0,10
2019-08-22,27,15,多云,东北风,1级,21.0,12
2019-08-23,24,12,阴,东南风,1级,18.0,12
2019-08-24,26,13,晴,东北风,2级,19.5,13
2019-08-25,31,17,晴,西北风,1级,24.0,14
2019-08-26,26,12,阴,东北风,2级,19.0,14
2019-08-27,26,11,多云,南风,微风,18.5,15
2019-08-28,27,10,晴,北风,2级,18.5,17
2019-08-29,25,11,晴,东北风,2级,18.0,14
2019-08-30,27,12,晴,东北风,3级,19.5,15
2019-08-31,29,13,晴,东北风,1级,21.0,16
2019-07-01,31,17,晴,西南风,微风,24.0,14
2019-07-02,30,17,晴,东南风,3级,23.5,13
2019-07-03,34,20,晴,东北风,3级,27.0,14
2019-07-04,31,17,阴,东北风,1级,24.0,14
2019-07-05,25,12,晴,东北风,3级,18.5,13
2019-07-06,25,13,晴,东北风,1级,19.0,12
2019-07-07,28,16,多云,东北风,2级,22.0,12
2019-07-08,25,18,阴,西北风,2级,21.5,7
2019-07-09,28,16,阴,西南风,1级,22.0,12
2019-07-10,29,18,多云,东北风,2级,23.5,11
2019-07-11,31,17,晴,东北风,2级,24.0,14
2019-07-12,32,18,晴,东南风,1级,25.0,14
2019-07-13,31,18,晴,东北风,1级,24.5,13
2019-07-14,33,21,多云,西北风,3级,27.0,12
2019-07-15,24,18,小雨,西南风,2级,21.0,6
2019-07-16,29,18,多云,东南风,1级,23.5,11
2019-07-17,30,20,晴,东北风,3级,25.0,10
2019-07-18,31,22,阴,西北风,2级,26.5,9
2019-07-19,28,19,小雨,东南风,微风,23.5,9
