日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,18,阴,东北风,3级,24.0,12
2019-09-02,27,17,晴,西北风,2级,22.0,10
2019-09-03,23,17,阵雨,西北风,4级,20.0,6
2019-09-04,30,17,多云,西北风,3级,23.5,13
2019-09-05,24,14,多云,东北风,3级,19.0,10
2019-09-06,26,12,多云,西北风,4级,19.0,14
2019-09-07,22,14,阴,西北风,2级,18.0,8
2019-09-08,28,15,晴,西北风,2级,21.5,13
2019-09-09,28,12,阴,东北风,2级,20.0,16
2019-09-10,17,9,阴,西北风,3级,13.0,8
2019-09-11,19,9,阴,东北风,2级,14.0,10
2019-09-12,22,10,晴,西北风,2级,16.0,12
2019-09-13,23,10,晴,西北风,2级,16.5,13
2019-09-14,24,12,晴,西北风,3级,18.0,12
2019-09-15,26,12,晴,西北风,2级,19.0,14
2019-09-16,26,11,多云,西北风,3级,18.5,15
2019-09-17,22,12,阴,西北风,2级,17.0,10
2019-09-18,22,12,晴,西北风,3级,17.0,10
2019-09-19,25,15,晴,西北风,2级,20.0,10
2019-09-20,30,17,阴,西北风,2级,23.5,13
2019-09-21,32,18,晴,西北风,2级,25.0,14
2019-09-22,33,23,晴,东南风,3级,28.0,10
2019-09-23,34,21,晴,东北风,1级,27.5,13
2019-09-24,28,16,晴,东北风,1级,22.0,12
2019-09-25,29,15,阴,东北风,3级,22.0,14
2019-09-26,25,14,晴,东南风,微风,19.5,11
2019-09-27,28,16,多云,西北风,2级,22.0,12
2019-09-28,27,14,晴,东北风,3级,20.5,13
2019-09-29,30,14,晴,西北风,3级,22.0,16
2019-09-30,19,5,阴,东北风,2级,12.0,14
2019-08-01,31,22,晴,东北风,2级,26.5,9
2019-08-02,32,24,晴,西北风,3级,28.0,8
2019-08-03,34,24,晴,西北风,3级,29.0,10
2019-08-04,34,25,多云,东南风,4级,29.5,9
2019-08-05,31,24,多云,西南风,2级,27.5,7
2019-08-06,33,24,晴,西北风,3级,28.5,9
2019-08-07,34,24,晴,西南风,3级,29.0,10
2019-08-08,34,24,晴,东北风,2级,29.0,10
2019-08-09,36,24,晴,西北风,3级,30.0,12
2019-08-10,27,15,阴,东南风,3级,21.0,12
2019-08-11,26,18,晴,西北风,2级,22.0,8
2019-08-12,29,20,晴,东北风,3级,24.5,9
2019-08-13,33,22,晴,西北风,1级,27.5,11
2019-08-14,36,21,多云,西北风,6级,28.5,15
2019-08-15,26,19,阴,东北风,3级,22.5,7
2019-08-16,25,17,多云,西北风,4级,21.0,8
2019-08-17,25,15,多云,北风,4级,20.0,10
2019-08-18,20,14,小雨,东北风,2级,17.0,6
2019-08-19,24,16,晴,西北风,2级,20.0,8
2019-08-20,22,17,阴,北风,2级,19.5,5
2019-08-21,27,19,阴,西北风,2级,23.0,8
2019-08-22,29,21,阴,东南风,3级,25.0,8
2019-08-23,29,16,多云,西北风,4级,22.5,13
2019-08-24,23,16,多云,西北风,5级,19.5,7
2019-08-25,24,18,多云,西北风,3级,21.0,6
2019-08-26,28,18,晴,西北风,2级,23.0,10
2019-08-27,31,20,晴,西北风,2级,25.5,11
2019-08-28,32,21,多云,西北风,3级,26.5,11
2019-08-29,36,23,多云,西北风,3级,29.5,13
2019-08-30,38,23,晴,西北风,2级,30.5,15
2019-08-31,30,20,阴,东北风,2级,25.0,10
2019-07-01,32,23,晴,西南风,3级,27.5,9
2019-07-02,32,24,晴,西北风,3级,28.0,8
2019-07-03,35,24,晴,西风,3级,29.5,11
2019-07-04,27,17,多云,西北风,4级,22.0,10
2019-07-05,27,18,小雨,西南风,3级,22.5,9
2019-07-06,30,21,晴,西南风,3级,25.5,9
2019-07-07,34,22,晴,西南风,4级,28.0,12
2019-07-08,28,22,阴,西南风,2级,25.0,6
2019-07-09,29,22,阴,西南风,1级,25.5,7
2019-07-10,32,19,晴,西北风,6级,25.5,13
2019-07-11,27,18,阴,东北风,3级,22.5,9
2019-07-12,30,20,晴,东北风,2级,25.0,10
2019-07-13,31,21,多云,西北风,3级,26.0,10
2019-07-14,32,23,晴,西北风,2级,27.5,9
2019-07-15,29,23,阴,东北风,2级,26.0,6
2019-07-16,33,24,晴,东北风,2级,28.5,9
2019-07-17,32,24,晴,西北风,2级,28.0,8
2019-07-18,31,24,阴,东北风,2级,27.5,7
2019-07-19,35,24,阴,西南风,4级,29.5,11
2019-07-20,33,23,多云,西北风,3级,28.0,10
2019-07-21,30,21,多云,东北风,3级,25.5,9
2019-07-22,30,21,晴,西南风,3级,25.5,9
2019-07-23,32,23,多云,西北风,2级,27.5,9
2019-07-24,28,21,晴,东北风,2级,24.5,7
2019-07-25,22,17,小雨,西南风,3级,19.5,5
2019-07-26,26,18,多云,东北风,3级,22.0,8
2019-07-27,26,17,多云,西南风,4级,21.5,9
2019-07-28,27,19,晴,西北风,3级,23.0,8
2019-07-29,29,21,晴,西北风,3级,25.0,8
2019-07-30,34,22,多云,东北风,3级,28.0,12
2019-07-31,29,22,阴,西北风,3级,25.5,7
2019-06-01,27,18,晴,西南风,1级,22.5,9
2019-06-02,27,17,阴,西北风,2级,22.0,10
2019-06-03,23,18,阴,西北风,3级,20.5,5
2019-06-04,27,19,多云,东北风,3级,23.0,8
2019-06-05,26,18,多云,西北风,2级,22.0,8
2019-06-06,29,18,晴,东北风,3级,23.5,11
2019-06-07,19,15,阴,西北风,2级,17.0,4
2019-06-08,29,17,晴,西南风,3级,23.0,12
2019-06-09,22,15,多云,东北风,3级,18.5,7
2019-06-10,23,15,晴,西北风,4级,19.0,8
2019-06-11,18,14,阴,西南风,3级,16.0,4
2019-06-12,20,12,小雨,西北风,3级,16.0,8
2019-06-13,20,13,小雨,西北风,4级,16.5,7
2019-06-14,24,15,多云,西北风,3级,19.5,9
2019-06-15,28,19,晴,西北风,2级,23.5,9
2019-06-16,28,14,多云,西南风,4级,21.0,14
2019-06-17,26,15,晴,西南风,3级,20.5,11
2019-06-18,28,19,晴,西南风,2级,23.5,9
2019-06-19,28,19,多云,西北风,2级,23.5,9
2019-06-20,23,17,多云,西南风,2级,20.0,6
2019-06-21,23,19,阴,东南风,3级,21.0,4
