日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,16,16,阴,东北风,2级,16.0,0
2019-09-02,18,18,阴,北风,微风,18.0,0
2019-09-03,22,18,雷阵雨,东南风,1级,20.0,4
2019-09-04,18,18,阴,西南风,1级,18.0,0
2019-09-05,19,19,阴,东北风,2级,19.0,0
2019-09-06,19,17,阴,东北风,1级,18.0,2
2019-09-07,19,17,阴,东南风,2级,18.0,2
2019-09-08,20,19,晴,东北风,3级,19.5,1
2019-09-09,20,20,晴,东南风,1级,20.0,0
2019-09-10,20,20,晴,东北风,3级,20.0,0
2019-09-11,20,20,雾,东北风,2级,20.0,0
2019-09-12,22,22,多云,东南风,1级,22.0,0
2019-09-13,23,21,多云,西北风,2级,22.0,2
2019-09-14,21,19,雾,东南风,1级,20.0,2
2019-09-15,20,18,阴,东北风,2级,19.0,2
2019-09-16,19,16,雾,东北风,2级,17.5,3
2019-09-17,18,16,晴,东北风,2级,17.0,2
2019-09-18,26,16,多云,东北风,3级,21.0,10
2019-09-19,16,13,晴,东北风,3级,14.5,3
2019-09-20,15,14,多云,东北风,1级,14.5,1
2019-09-21,13,10,雾,东北风,3级,11.5,3
2019-09-22,15,10,雾,东北风,2级,12.5,5
2019-09-23,15,14,晴,东南风,1级,14.5,1
2019-09-24,16,16,多云,东北风,4级,16.0,0
2019-09-25,17,17,多云,东南风,1级,17.0,0
2019-09-26,16,15,多云,东南风,1级,15.5,1
2019-09-27,17,16,阴,东南风,2级,16.5,1
2019-09-28,19,17,晴,东南风,1级,18.0,2
2019-09-29,20,16,晴,西南风,1级,18.0,4
2019-09-30,19,17,晴,东北风,2级,18.0,2
2019-08-01,33,25,多云,东南风,1级,29.0,8
2019-08-02,32,23,多云,西北风,2级,27.5,9
2019-08-03,31,22,晴,东风,2级,26.5,9
2019-08-04,29,21,阴,西南风,1级,25.0,8
2019-08-05,30,24,多云,东南风,1级,27.0,6
2019-08-06,31,24,中雨,东南风,1级,27.5,7
2019-08-07,31,22,多云,西南风,1级,26.5,9
2019-08-08,31,22,多云,东南风,4级,26.5,9
2019-08-09,28,22,小雨,东北风,6级,25.0,6
2019-08-10,23,22,暴雨,西北风,4级,22.5,1
2019-08-11,27,22,小雨,东南风,2级,24.5,5
2019-08-12,28,22,小雨,西南风,1级,25.0,6
2019-08-13,30,23,晴,东南风,1级,26.5,7
2019-08-14,30,21,晴,东北风,1级,25.5,9
2019-08-15,28,22,晴,东南风,1级,25.0,6
2019-08-16,31,24,晴,东南风,1级,27.5,7
2019-08-17,31,23,多云,东南风,2级,27.0,8
2019-08-18,31,22,多云,西北风,1级,26.5,9
2019-08-19,30,21,多云,东南风,1级,25.5,9
2019-08-20,29,21,多云,东南风,1级,25.0,8
2019-08-21,29,21,多云,东北风,2级,25.0,8
2019-08-22,30,22,多云,东北风,2级,26.0,8
2019-08-23,29,21,多云,西南风,1级,25.0,8
2019-08-24,29,23,阴,西北风,1级,26.0,6
2019-08-25,30,22,阴,东南风,1级,26.0,8
2019-08-26,31,24,小雨,东南风,4级,27.5,7
2019-08-27,30,23,中雨,西南风,2级,26.5,7
2019-08-28,27,19,阴,西南风,1级,23.0,8
2019-08-29,16,15,阴,东南风,1级,15.5,1
2019-08-30,19,17,多云,东南风,1级,18.0,2
2019-08-31,20,19,阴,西南风,2级,19.5,1
2019-07-01,27,20,多云,西南风,1级,23.5,7
2019-07-02,28,19,阴,西北风,1级,23.5,9
2019-07-03,25,22,雷阵雨,西南风,1级,23.5,3
2019-07-04,26,18,小雨,西南风,3级,22.0,8
2019-07-05,27,20,阴,西南风,1级,23.5,7
2019-07-06,29,21,阴,西风,1级,25.0,8
2019-07-07,26,19,阴,东南风,2级,22.5,7
2019-07-08,25,18,小雨,西南风,1级,21.5,7
2019-07-09,20,17,小雨,东北风,3级,18.5,3
2019-07-10,21,18,小雨,东南风,1级,19.5,3
2019-07-11,24,18,多云,东南风,1级,21.0,6
2019-07-12,23,17,中雨,西南风,2级,20.0,6
2019-07-13,19,17,中雨,东南风,2级,18.0,2
2019-07-14,25,20,多云,西南风,1级,22.5,5
2019-07-15,29,21,多云,西北风,1级,25.0,8
2019-07-16,28,22,阴,东南风,1级,25.0,6
2019-07-17,29,23,阴,东风,2级,26.0,6
2019-07-18,28,22,雾,东南风,1级,25.0,6
2019-07-19,26,21,小雨,东北风,1级,23.5,5
2019-07-20,28,22,多云,西南风,1级,25.0,6
2019-07-21,30,23,中雨,东南风,1级,26.5,7
2019-07-22,30,25,暴雨,西南风,2级,27.5,5
2019-07-23,31,24,多云,东南风,3级,27.5,7
2019-07-24,31,24,阴,西南风,2级,27.5,7
2019-07-25,32,24,多云,西南风,3级,28.0,8
2019-07-26,32,26,多云,西南风,3级,29.0,6
2019-07-27,32,24,阴,东南风,3级,28.0,8
2019-07-28,33,25,多云,东南风,1级,29.0,8
2019-07-29,32,24,多云,西南风,1级,28.0,8
2019-07-30,33,24,多云,东南风,3级,28.5,9
2019-07-31,34,24,阴,西南风,1级,29.0,10
2019-06-01,22,18,阴,西南风,1级,20.0,4
2019-06-02,26,18,多云,东北风,1级,22.0,8
2019-06-03,28,20,多云,东南风,1级,24.0,8
2019-06-04,31,22,晴,西南风,1级,26.5,9
2019-06-05,32,22,阴,东北风,5级,27.0,10
2019-06-06,24,19,阴,东北风,2级,21.5,5
2019-06-07,25,19,晴,西南风,1级,22.0,6
2019-06-08,28,19,阴,西南风,1级,23.5,9
2019-06-09,28,19,多云,东南风,1级,23.5,9
2019-06-10,28,17,多云,西北风,2级,22.5,11
2019-06-11,26,18,多云,东南风,3级,22.0,8
2019-06-12,28,16,小雨,东南风,1级,22.0,12
2019-06-13,17,13,中雨,西风,1级,15.0,4
2019-06-14,23,17,雾,东南风,1级,20.0,6
2019-06-15,29,18,多云,西南风,1级,23.5,11
2019-06-16,27,19,阴,东南风,3级,23.0,8
2019-06-17,24,18,中雨,西南风,4级,21.0,6
2019-06-18,21,19,中雨,西南风,2级,20.0,2
2019-06-19,21,21,暴雨,东南风,1级,21.0,0
2019-06-20,26,19,小雨,西北风,1级,22.5,7
2019-06-21,20,17,中雨,西南风,2级,18.5,3
2019-06-22,21,16,阴,东南风,1级,18.5,5
2019-06-23,24,16,多云,东北风,3级,20.0,8
2019-06-24,27,18,多云,东北风,3级,22.5,9
2019-06-25,23,18,小雨,西南风,1级,20.5,5
2019-06-26,24,19,多云,东南风,1级,21.5,5
2019-06-27,26,22,多云,西南风,2级,24.0,4
2019-06-28,30,23,中雨,西南风,3级,26.5,7
2019-06-29,24,21,大雨,西南风,1级,22.5,3
2019-06-30,27,21,雾,西北风,1级,24.0,6
2019-05-01,20,11,多云,东南风,1级,15.5,9
2019-05-02,21,12,多云,东南风,2级,16.5,9
2019-05-03,24,14,晴,东南风,1级,19.0,10
2019-05-04,25,16,多云,东南风,1级,20.5,9
2019-05-05,25,14,多云,西北风,2级,19.5,11
2019-05-06,15,8,阴,东北风,4级,11.5,7
2019-05-07,19,10,多云,西风,2级,14.5,9
2019-05-08,20,13,多云,东南风,1级,16.5,7
2019-05-09,22,16,多云,东南风,1级,19.0,6
2019-05-10,24,16,多云,西南风,微风,20.0,8
2019-05-11,26,17,多云,东南风,2级,21.5,9
2019-05-12,27,18,阴,东南风,2级,22.5,9
2019-05-13,21,17,阴,东北风,1级,19.0,4
2019-05-14,24,16,阴,东南风,1级,20.0,8
2019-05-15,20,16,阴,东北风,1级,18.0,4
2019-05-16,20,18,雾,东南风,1级,19.0,2
2019-05-17,23,17,阴,东南风,2级,20.0,6
2019-05-18,22,18,多云,西南风,1级,20.0,4
2019-05-19,21,14,阴,东北风,2级,17.5,7
2019-05-20,22,15,多云,东南风,2级,18.5,7
2019-05-21,24,15,多云,东南风,2级,19.5,9
2019-05-22,26,16,晴,东南风,1级,21.0,10
2019-05-23,29,20,晴,西南风,2级,24.5,9
2019-05-24,30,21,多云,东南风,1级,25.5,9
2019-05-25,23,19,阴,东南风,3级,21.0,4
2019-05-26,23,21,阴,东南风,2级,22.0,2
2019-05-27,24,15,阴,西南风,3级,19.5,9
2019-05-28,22,14,晴,东北风,2级,18.0,8
2019-05-29,23,16,多云,西南风,1级,19.5,7
2019-05-30,19,16,阴,西北风,1级,17.5,3
2019-05-31,23,15,阴,东南风,微风,19.0,8
2019-04-01,18,8,多云,东南风,1级,13.0,10
2019-04-02,15,7,阴,东南风,8级,11.0,8
2019-04-03,13,8,多云,东风,3级,10.5,5
2019-04-04,14,9,阴,西南风,2级,11.5,5
2019-04-05,21,11,多云,西南风,微风,16.0,10
2019-04-06,24,14,多云,东南风,3级,19.0,10
2019-04-07,27,16,晴,西南风,2级,21.5,11
2019-04-08,30,14,多云,东南风,1级,22.0,16
