日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,25,阴,东北风,3级,28.5,7
2019-09-02,28,24,阴,东北风,1级,26.0,4
2019-09-03,32,25,阵雨,东南风,1级,28.5,7
2019-09-04,30,24,阴,东北风,2级,27.0,6
2019-09-05,31,24,阴,东南风,1级,27.5,7
2019-09-06,33,25,多云,西南风,1级,29.0,8
2019-09-07,35,25,多云,东南风,1级,30.0,10
2019-09-08,34,26,多云,东北风,1级,30.0,8
2019-09-09,34,25,阴,东南风,1级,29.5,9
2019-09-10,34,25,阴,东南风,1级,29.5,9
2019-09-11,34,26,多云,东南风,1级,30.0,8
2019-09-12,35,26,晴,西南风,1级,30.5,9
2019-09-13,35,24,多云,东南风,1级,29.5,11
2019-09-14,33,25,阴,东北风,1级,29.0,8
2019-09-15,31,25,阴,东南风,1级,28.0,6
2019-09-16,32,25,多云,东南风,1级,28.5,7
2019-09-17,32,24,多云,东南风,1级,28.0,8
2019-09-18,33,23,多云,东南风,1级,28.0,10
2019-09-19,32,23,晴,西北风,2级,27.5,9
2019-09-20,32,22,晴,东南风,1级,27.0,10
2019-09-21,30,20,晴,西南风,2级,25.0,10
2019-09-22,30,20,晴,南风,1级,25.0,10
2019-09-23,30,18,晴,东南风,1级,24.0,12
2019-09-24,31,19,多云,东南风,1级,25.0,12
2019-09-25,31,18,晴,东南风,1级,24.5,13
2019-09-26,32,19,晴,东北风,1级,25.5,13
2019-09-27,32,18,晴,东南风,1级,25.0,14
2019-09-28,33,20,多云,东南风,1级,26.5,13
2019-09-29,33,21,晴,东南风,1级,27.0,12
2019-09-30,34,20,晴,东南风,1级,27.0,14
2019-08-01,24,24,暴雨,东北风,3级,24.0,0
2019-08-02,27,24,中雨,东南风,3级,25.5,3
2019-08-03,27,25,中雨,东北风,1级,26.0,2
2019-08-04,32,24,阴,西南风,1级,28.0,8
2019-08-05,35,25,多云,西南风,1级,30.0,10
2019-08-06,35,26,阴,东北风,1级,30.5,9
2019-08-07,35,25,多云,西南风,1级,30.0,10
2019-08-08,35,26,小雨,东南风,1级,30.5,9
2019-08-09,36,26,多云,东南风,2级,31.0,10
2019-08-10,35,26,小雨,西南风,2级,30.5,9
2019-08-11,35,26,多云,西南风,2级,30.5,9
2019-08-12,34,26,阴,东南风,2级,30.0,8
2019-08-13,36,27,多云,西南风,2级,31.5,9
2019-08-14,36,26,多云,东南风,1级,31.0,10
2019-08-15,35,25,阴,西南风,2级,30.0,10
2019-08-16,35,25,阴,西南风,2级,30.0,10
2019-08-17,31,24,大雨,东南风,1级,27.5,7
2019-08-18,30,25,小雨,西南风,2级,27.5,5
2019-08-19,35,25,多云,东南风,1级,30.0,10
2019-08-20,34,25,多云,西南风,2级,29.5,9
2019-08-21,33,25,阴,东南风,2级,29.0,8
2019-08-22,34,26,多云,西南风,1级,30.0,8
2019-08-23,34,25,小雨,西北风,微风,29.5,9
2019-08-24,35,25,多云,东南风,1级,30.0,10
2019-08-25,32,26,阴,西南风,1级,29.0,6
2019-08-26,29,24,中雨,东北风,1级,26.5,5
2019-08-27,33,25,暴雨,东北风,1级,29.0,8
2019-08-28,35,25,小雨,东南风,1级,30.0,10
2019-08-29,33,25,阴,东北风,1级,29.0,8
2019-08-30,31,25,阴,东北风,1级,28.0,6
2019-08-31,31,24,阴,东北风,2级,27.5,7
2019-07-01,34,26,阴,东南风,1级,30.0,8
2019-07-02,35,24,阴,东北风,3级,29.5,11
2019-07-03,30,25,中雨,东北风,2级,27.5,5
2019-07-04,33,26,小雨,东南风,1级,29.5,7
2019-07-05,33,26,阴,西南风,2级,29.5,7
2019-07-06,34,26,阴,东南风,2级,30.0,8
2019-07-07,34,26,多云,西南风,2级,30.0,8
2019-07-08,34,26,阴,东南风,2级,30.0,8
2019-07-09,31,25,小雨,西南风,2级,28.0,6
2019-07-10,28,25,暴雨,东南风,1级,26.5,3
2019-07-11,31,25,阴,东北风,1级,28.0,6
2019-07-12,35,25,阴,东南风,2级,30.0,10
2019-07-13,33,26,阴,东南风,1级,29.5,7
2019-07-14,33,26,阴,东北风,1级,29.5,7
2019-07-15,34,26,阴,东南风,2级,30.0,8
2019-07-16,35,26,阴,东南风,1级,30.5,9
2019-07-17,36,27,多云,东南风,1级,31.5,9
2019-07-18,37,25,阴,东南风,2级,31.0,12
2019-07-19,36,26,中雨,东北风,1级,31.0,10
2019-07-20,36,25,阴,东北风,1级,30.5,11
2019-07-21,32,25,阴,东北风,1级,28.5,7
2019-07-22,33,25,小雨,东北风,1级,29.0,8
2019-07-23,33,25,阴,东北风,2级,29.0,8
2019-07-24,32,25,阴,东北风,1级,28.5,7
2019-07-25,33,25,中雨,东南风,1级,29.0,8
2019-07-26,35,26,多云,东南风,2级,30.5,9
2019-07-27,35,26,阴,东南风,1级,30.5,9
2019-07-28,35,26,阴,东南风,2级,30.5,9
2019-07-29,33,25,小雨,东北风,1级,29.0,8
2019-07-30,31,25,小雨,西南风,1级,28.0,6
2019-07-31,30,24,小雨,东北风,3级,27.0,6
2019-06-01,32,24,阴,西南风,1级,28.0,8
2019-06-02,29,22,阴,东北风,1级,25.5,7
2019-06-03,33,25,阴,东南风,1级,29.0,8
2019-06-04,31,25,阴,东北风,微风,28.0,6
2019-06-05,30,24,阴,西北风,1级,27.0,6
2019-06-06,34,25,阴,西南风,3级,29.5,9
2019-06-07,35,25,多云,西南风,2级,30.0,10
2019-06-08,34,26,多云,西南风,2级,30.0,8
2019-06-09,34,25,阴,西北风,1级,29.5,9
2019-06-10,35,24,阴,东北风,1级,29.5,11
2019-06-11,32,25,阴,东北风,1级,28.5,7
2019-06-12,31,24,中雨,东南风,1级,27.5,7
2019-06-13,33,24,中雨,东北风,2级,28.5,9
2019-06-14,33,24,多云,东北风,1级,28.5,9
2019-06-15,31,24,阴,东南风,1级,27.5,7
2019-06-16,30,25,阴,东北风,2级,27.5,5
2019-06-17,32,26,雷阵雨,东北风,1级,29.0,6
2019-06-18,31,26,中雨,东北风,1级,28.5,5
2019-06-19,32,26,阴,西北风,1级,29.0,6
2019-06-20,33,26,阴,东南风,1级,29.5,7
2019-06-21,33,26,阴,西南风,1级,29.5,7
2019-06-22,35,26,阴,西南风,3级,30.5,9
2019-06-23,33,25,小雨,西南风,1级,29.0,8
2019-06-24,27,25,中雨,东北风,1级,26.0,2
2019-06-25,31,24,小雨,东南风,1级,27.5,7
2019-06-26,33,26,中雨,东北风,1级,29.5,7
2019-06-27,33,26,阵雨,东风,1级,29.5,7
2019-06-28,36,26,多云,东南风,2级,31.0,10
2019-06-29,36,27,阴,东南风,1级,31.5,9
2019-06-30,36,26,阴,西南风,1级,31.0,10
2019-05-01,26,20,多云,东南风,1级,23.0,6
2019-05-02,22,19,阴,东南风,1级,20.5,3
2019-05-03,22,19,多云,东南风,1级,20.5,3
2019-05-04,20,18,阴,东北风,1级,19.0,2
2019-05-05,20,18,阴,东北风,1级,19.0,2
2019-05-06,20,20,阴,西北风,1级,20.0,0
2019-05-07,20,19,阴,东北风,2级,19.5,1
2019-05-08,22,18,阴,西北风,1级,20.0,4
2019-05-09,25,20,阴,西北风,1级,22.5,5
2019-05-10,28,21,阴,东北风,1级,24.5,7
2019-05-11,31,23,多云,东南风,2级,27.0,8
2019-05-12,32,23,多云,东北风,3级,27.5,9
2019-05-13,33,24,阴,东北风,1级,28.5,9
2019-05-14,33,24,阴,东南风,1级,28.5,9
2019-05-15,35,25,阴,东北风,1级,30.0,10
2019-05-16,34,25,阴,西南风,2级,29.5,9
2019-05-17,35,26,阴,东南风,1级,30.5,9
2019-05-18,35,25,阴,西南风,2级,30.0,10
2019-05-19,35,24,阴,东南风,2级,29.5,11
2019-05-20,32,24,阴,西南风,3级,28.0,8
2019-05-21,26,23,阴,东北风,1级,24.5,3
2019-05-22,29,22,阴,东北风,2级,25.5,7
2019-05-23,26,23,阴,东北风,1级,24.5,3
2019-05-24,30,24,阴,东北风,2级,27.0,6
2019-05-25,28,24,阴,东南风,1级,26.0,4
2019-05-26,32,24,阴,东北风,2级,28.0,8
2019-05-27,30,24,阴,东南风,1级,27.0,6
2019-05-28,30,25,阴,东南风,2级,27.5,5
2019-05-29,25,24,阴,东北风,2级,24.5,1
2019-05-30,26,23,阴,东北风,1级,24.5,3
2019-05-31,31,24,阴,东北风,1级,27.5,7
2019-04-01,17,17,阴,东北风,2级,17.0,0
2019-04-02,19,18,阴,东南风,1级,18.5,1
2019-04-03,24,19,阴,东北风,2级,21.5,5
2019-04-04,24,20,阴,东北风,1级,22.0,4
2019-04-05,24,19,多云,西北风,2级,21.5,5
2019-04-06,31,20,多云,西南风,1级,25.5,11
2019-04-07,32,20,阴,东南风,2级,26.0,12
2019-04-08,29,22,阴,东南风,1级,25.5,7
2019-04-09,31,22,阴,东南风,3级,26.5,9
2019-04-10,31,22,阴,东南风,2级,26.5,9
2019-04-11,31,18,阴,东北风,3级,24.5,13
2019-04-12,19,18,阴,东北风,2级,18.5,1
2019-04-13,21,19,阴,东南风,2级,20.0,2
2019-04-14,22,20,阴,东北风,1级,21.0,2
2019-04-15,21,19,阴,东北风,2级,20.0,2
2019-04-16,23,19,阴,东南风,1级,21.0,4
2019-04-17,25,20,多云,西北风,1级,22.5,5
2019-04-18,25,22,阴,东北风,2级,23.5,3
2019-04-19,27,22,阴,东北风,2级,24.5,5
2019-04-20,24,23,阴,东北风,2级,23.5,1
2019-04-21,29,23,阴,东北风,2级,26.0,6
2019-04-22,30,24,阴,南风,微风,27.0,6
2019-04-23,32,24,多云,西南风,2级,28.0,8
2019-04-24,32,24,阴,东北风,1级,28.0,8
2019-04-25,32,23,阴,西北风,1级,27.5,9
