日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,11,晴,东南风,2级,19.0,16
2019-09-02,28,11,晴,东风,2级,19.5,17
2019-09-03,29,10,晴,东北风,3级,19.5,19
2019-09-04,28,11,晴,西南风,2级,19.5,17
2019-09-05,29,10,晴,西南风,1级,19.5,19
2019-09-06,29,12,晴,东北风,3级,20.5,17
2019-09-07,29,13,晴,西风,3级,21.0,16
2019-09-08,30,15,多云,东北风,4级,22.5,15
2019-09-09,30,15,阴,东风,6级,22.5,15
2019-09-10,18,14,阴,东风,4级,16.0,4
2019-09-11,14,14,阴,东南风,3级,14.0,0
2019-09-12,17,13,阴,西南风,4级,15.0,4
2019-09-13,22,9,多云,西北风,2级,15.5,13
2019-09-14,19,11,多云,西南风,3级,15.0,8
2019-09-15,22,9,多云,西北风,4级,15.5,13
2019-09-16,24,11,多云,西北风,1级,17.5,13
2019-09-17,25,10,阴,东风,2级,17.5,15
2019-09-18,24,10,阴,西南风,3级,17.0,14
2019-09-19,18,12,阴,西南风,1级,15.0,6
2019-09-20,20,8,阴,东北风,3级,14.0,12
2019-09-21,24,8,多云,西南风,2级,16.0,16
2019-09-22,25,10,晴,西北风,2级,17.5,15
2019-09-23,25,9,晴,东风,3级,17.0,16
2019-09-24,27,7,多云,西南风,2级,17.0,20
2019-09-25,26,7,晴,东北风,2级,16.5,19
2019-09-26,25,9,多云,西南风,3级,17.0,16
2019-09-27,23,7,多云,西南风,2级,15.0,16
2019-09-28,25,10,晴,西南风,1级,17.5,15
2019-09-29,27,8,晴,东南风,2级,17.5,19
2019-09-30,26,11,晴,东南风,3级,18.5,15
2019-08-01,29,17,多云,西南风,1级,23.0,12
2019-08-02,28,17,阴,东北风,3级,22.5,11
2019-08-03,23,16,阴,东南风,5级,19.5,7
2019-08-04,22,17,中雨,东南风,4级,19.5,5
2019-08-05,27,18,阴,西南风,3级,22.5,9
2019-08-06,29,16,多云,西南风,2级,22.5,13
2019-08-07,29,17,多云,东北风,3级,23.0,12
2019-08-08,29,20,阴,西南风,2级,24.5,9
2019-08-09,25,16,小雨,西南风,3级,20.5,9
2019-08-10,27,17,多云,西北风,2级,22.0,10
2019-08-11,28,16,多云,东北风,4级,22.0,12
2019-08-12,28,15,多云,东南风,4级,21.5,13
2019-08-13,29,15,晴,东北风,3级,22.0,14
2019-08-14,29,15,晴,东南风,2级,22.0,14
2019-08-15,33,14,晴,西南风,4级,23.5,19
2019-08-16,24,12,晴,东北风,2级,18.0,12
2019-08-17,25,13,晴,东北风,2级,19.0,12
2019-08-18,27,13,晴,东南风,1级,20.0,14
2019-08-19,28,18,多云,东南风,4级,23.0,10
2019-08-20,24,15,小雨,北风,4级,19.5,9
2019-08-21,26,13,多云,东北风,1级,19.5,13
2019-08-22,25,15,多云,东北风,3级,20.0,10
2019-08-23,26,15,阴,东北风,3级,20.5,11
2019-08-24,18,13,中雨,东北风,4级,15.5,5
2019-08-25,25,14,多云,西南风,1级,19.5,11
2019-08-26,22,15,阴,西北风,3级,18.5,7
2019-08-27,27,10,多云,西北风,4级,18.5,17
2019-08-28,28,10,晴,西北风,3级,19.0,18
2019-08-29,25,10,晴,西北风,3级,17.5,15
2019-08-30,25,10,晴,东南风,3级,17.5,15
2019-08-31,27,8,晴,东北风,2级,17.5,19
2019-07-01,31,13,多云,东南风,5级,22.0,18
2019-07-02,33,15,阴,西北风,5级,24.0,18
2019-07-03,33,16,晴,东北风,4级,24.5,17
2019-07-04,34,20,多云,东北风,2级,27.0,14
2019-07-05,34,13,多云,西北风,5级,23.5,21
2019-07-06,25,15,晴,西北风,2级,20.0,10
2019-07-07,28,15,晴,东北风,5级,21.5,13
2019-07-08,24,15,阴,东南风,2级,19.5,9
2019-07-09,25,14,阴,东南风,4级,19.5,11
