日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,21,阴,东北风,3级,23.0,4
2019-09-02,22,20,阴,西北风,1级,21.0,2
2019-09-03,25,20,阵雨,西北风,2级,22.5,5
2019-09-04,23,21,阴,东北风,3级,22.0,2
2019-09-05,25,22,阴,东北风,2级,23.5,3
2019-09-06,26,22,阴,西北风,1级,24.0,4
2019-09-07,24,22,阴,西北风,1级,23.0,2
2019-09-08,25,22,阴,西南风,1级,23.5,3
2019-09-09,29,22,阴,北风,2级,25.5,7
2019-09-10,25,21,阴,东北风,2级,23.0,4
2019-09-11,31,23,阴,东北风,1级,27.0,8
2019-09-12,29,20,阴,东北风,2级,24.5,9
2019-09-13,19,16,阴,北风,4级,17.5,3
2019-09-14,19,17,多云,西南风,1级,18.0,2
2019-09-15,20,18,阴,东南风,1级,19.0,2
2019-09-16,24,18,阴,西北风,1级,21.0,6
2019-09-17,20,19,阴,西北风,2级,19.5,1
2019-09-18,26,18,多云,西北风,1级,22.0,8
2019-09-19,19,17,阴,西南风,2级,18.0,2
2019-09-20,25,18,阴,东南风,微风,21.5,7
2019-09-21,29,17,阴,东南风,1级,23.0,12
2019-09-22,29,18,多云,南风,微风,23.5,11
2019-09-23,27,16,多云,西北风,3级,21.5,11
2019-09-24,17,16,阴,西南风,2级,16.5,1
2019-09-25,26,16,阴,东南风,1级,21.0,10
2019-09-26,26,17,多云,西北风,1级,21.5,9
2019-09-27,27,18,阴,东南风,1级,22.5,9
2019-09-28,28,19,雾,西北风,2级,23.5,9
2019-09-29,28,20,阴,西北风,1级,24.0,8
2019-09-30,27,20,阴,西北风,1级,23.5,7
2019-08-01,33,22,多云,东南风,1级,27.5,11
2019-08-02,30,23,阴,东北风,3级,26.5,7
2019-08-03,27,22,阴,东北风,1级,24.5,5
2019-08-04,31,23,阴,东北风,1级,27.0,8
2019-08-05,30,22,阴,东北风,4级,26.0,8
2019-08-06,24,21,中雨,东南风,2级,22.5,3
2019-08-07,32,23,雾,西北风,1级,27.5,9
2019-08-08,32,23,小雨,西北风,1级,27.5,9
2019-08-09,30,23,小雨,西南风,1级,26.5,7
2019-08-10,35,24,晴,东南风,微风,29.5,11
2019-08-11,36,23,晴,北风,微风,29.5,13
2019-08-12,36,24,晴,南风,微风,30.0,12
2019-08-13,37,23,多云,西南风,2级,30.0,14
2019-08-14,30,22,阴,东南风,1级,26.0,8
2019-08-15,35,22,晴,南风,微风,28.5,13
2019-08-16,36,23,多云,西北风,1级,29.5,13
2019-08-17,36,25,晴,西北风,1级,30.5,11
2019-08-18,35,23,阴,东北风,2级,29.0,12
2019-08-19,25,24,阴,西南风,2级,24.5,1
2019-08-20,27,24,小雨,西南风,1级,25.5,3
2019-08-21,26,22,阴,西北风,2级,24.0,4
2019-08-22,30,23,阴,西南风,2级,26.5,7
2019-08-23,32,23,小雨,西南风,1级,27.5,9
2019-08-24,34,25,多云,西南风,1级,29.5,9
2019-08-25,34,25,多云,西北风,2级,29.5,9
2019-08-26,35,24,多云,西北风,2级,29.5,11
2019-08-27,24,23,小雨,东北风,1级,23.5,1
2019-08-28,33,22,多云,东北风,2级,27.5,11
2019-08-29,30,21,阴,南风,微风,25.5,9
2019-08-30,30,19,阴,西北风,2级,24.5,11
2019-08-31,22,19,阴,东南风,1级,20.5,3
2019-07-01,34,23,晴,东南风,2级,28.5,11
2019-07-02,34,22,小雨,西北风,2级,28.0,12
2019-07-03,26,20,阵雨,东北风,1级,23.0,6
2019-07-04,22,20,中雨,东南风,1级,21.0,2
2019-07-05,28,22,阴,西南风,1级,25.0,6
2019-07-06,28,21,阴,西北风,1级,24.5,7
2019-07-07,28,20,阵雨,西北风,1级,24.0,8
2019-07-08,25,20,小雨,东南风,1级,22.5,5
2019-07-09,29,21,多云,东南风,1级,25.0,8
2019-07-10,31,22,阴,东南风,1级,26.5,9
2019-07-11,25,20,大雨,东北风,3级,22.5,5
2019-07-12,28,21,小雨,西北风,1级,24.5,7
2019-07-13,32,22,阴,东南风,1级,27.0,10
2019-07-14,32,22,阴,东北风,微风,27.0,10
2019-07-15,23,22,大雨,北风,1级,22.5,1
2019-07-16,27,23,阴,东北风,1级,25.0,4
2019-07-17,29,23,阴,东北风,2级,26.0,6
2019-07-18,30,24,阴,西北风,1级,27.0,6
2019-07-19,28,24,中雨,西北风,2级,26.0,4
2019-07-20,26,23,小雨,东北风,微风,24.5,3
2019-07-21,33,25,多云,东北风,1级,29.0,8
2019-07-22,26,23,大雨,东南风,1级,24.5,3
2019-07-23,32,23,阴,东北风,1级,27.5,9
2019-07-24,29,23,小雨,东北风,1级,26.0,6
2019-07-25,34,23,阴,东北风,1级,28.5,11
2019-07-26,34,25,阴,西北风,2级,29.5,9
2019-07-27,34,25,阴,西北风,2级,29.5,9
2019-07-28,34,25,阴,西北风,3级,29.5,9
2019-07-29,25,22,暴雨,西北风,2级,23.5,3
2019-07-30,28,23,阴,东南风,1级,25.5,5
2019-07-31,32,22,多云,东南风,2级,27.0,10
