日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,7,多云,东北风,3级,15.0,16
2019-09-02,23,10,晴,西北风,1级,16.5,13
2019-09-03,24,7,晴,西南风,1级,15.5,17
2019-09-04,23,10,晴,西北风,1级,16.5,13
2019-09-05,25,9,晴,西北风,2级,17.0,16
2019-09-06,25,9,晴,西北风,2级,17.0,16
2019-09-07,27,12,晴,西北风,1级,19.5,15
2019-09-08,28,11,晴,西北风,2级,19.5,17
2019-09-09,25,12,阴,西北风,2级,18.5,13
2019-09-10,15,12,阴,东南风,3级,13.5,3
2019-09-11,13,11,阴,东南风,2级,12.0,2
2019-09-12,14,12,阴,东南风,1级,13.0,2
2019-09-13,15,8,阴,西北风,1级,11.5,7
2019-09-14,16,9,阴,东南风,1级,12.5,7
2019-09-15,20,7,阴,北风,3级,13.5,13
2019-09-16,21,7,多云,北风,2级,14.0,14
2019-09-17,18,7,阴,西北风,1级,12.5,11
2019-09-18,20,8,多云,西北风,1级,14.0,12
2019-09-19,10,6,阴,西北风,1级,8.0,4
2019-09-20,17,7,阴,西南风,2级,12.0,10
2019-09-21,20,4,晴,东南风,1级,12.0,16
2019-09-22,21,5,晴,西南风,1级,13.0,16
2019-09-23,22,7,晴,西南风,1级,14.5,15
2019-09-24,22,5,晴,西南风,1级,13.5,17
2019-09-25,22,7,多云,西北风,2级,14.5,15
2019-09-26,20,7,多云,西北风,2级,13.5,13
2019-09-27,19,5,阴,西北风,2级,12.0,14
2019-09-28,22,8,多云,东北风,2级,15.0,14
2019-09-29,22,8,晴,西北风,2级,15.0,14
2019-09-30,22,7,晴,东北风,1级,14.5,15
2019-08-01,28,16,小雨,东南风,2级,22.0,12
2019-08-02,27,16,阴,东南风,3级,21.5,11
2019-08-03,17,16,小雨,东南风,2级,16.5,1
2019-08-04,24,14,小雨,东北风,1级,19.0,10
2019-08-05,25,15,阴,西北风,1级,20.0,10
2019-08-06,25,15,阴,北风,1级,20.0,10
2019-08-07,28,14,多云,西北风,1级,21.0,14
2019-08-08,26,15,阴,西北风,2级,20.5,11
2019-08-09,24,13,阴,西北风,2级,18.5,11
2019-08-10,26,13,多云,西北风,2级,19.5,13
2019-08-11,24,13,多云,北风,3级,18.5,11
2019-08-12,26,10,晴,东北风,2级,18.0,16
2019-08-13,25,12,晴,西北风,3级,18.5,13
2019-08-14,28,12,晴,西南风,2级,20.0,16
2019-08-15,30,12,晴,西北风,2级,21.0,18
2019-08-16,24,8,晴,西北风,4级,16.0,16
2019-08-17,24,8,晴,西北风,1级,16.0,16
2019-08-18,27,14,多云,西北风,1级,20.5,13
2019-08-19,26,15,阴,东南风,2级,20.5,11
2019-08-20,21,14,中雨,西南风,1级,17.5,7
2019-08-21,24,15,多云,西北风,2级,19.5,9
2019-08-22,21,13,小雨,南风,微风,17.0,8
2019-08-23,16,13,小雨,西南风,1级,14.5,3
2019-08-24,14,14,中雨,西南风,1级,14.0,0
2019-08-25,21,13,阴,西南风,1级,17.0,8
2019-08-26,23,12,阴,西北风,3级,17.5,11
2019-08-27,24,7,多云,西南风,1级,15.5,17
2019-08-28,23,8,多云,西北风,1级,15.5,15
2019-08-29,21,7,晴,西北风,3级,14.0,14
2019-08-30,23,7,阴,西北风,2级,15.0,16
2019-08-31,24,8,多云,西北风,2级,16.0,16
2019-07-01,30,11,多云,西北风,2级,20.5,19
2019-07-02,31,11,阴,西南风,1级,21.0,20
2019-07-03,30,12,晴,东北风,1级,21.0,18
