日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,10,多云,西南风,3级,19.0,18
2019-09-02,29,12,晴,东北风,3级,20.5,17
2019-09-03,28,11,晴,东北风,2级,19.5,17
2019-09-04,29,11,晴,东北风,2级,20.0,18
2019-09-05,30,11,晴,西北风,1级,20.5,19
2019-09-06,30,12,晴,东北风,4级,21.0,18
2019-09-07,30,14,晴,北风,微风,22.0,16
2019-09-08,33,14,晴,西北风,1级,23.5,19
2019-09-09,32,15,阴,西南风,3级,23.5,17
2019-09-10,22,15,阴,东北风,3级,18.5,7
2019-09-11,15,15,阴,东北风,3级,15.0,0
2019-09-12,19,14,阴,北风,微风,16.5,5
2019-09-13,19,10,阴,南风,微风,14.5,9
2019-09-14,20,11,阴,西南风,2级,15.5,9
2019-09-15,25,7,多云,西南风,2级,16.0,18
2019-09-16,26,11,多云,东北风,3级,18.5,15
2019-09-17,24,8,多云,西南风,2级,16.0,16
2019-09-18,25,13,多云,东北风,1级,19.0,12
2019-09-19,18,10,阴,西南风,2级,14.0,8
2019-09-20,22,8,阴,东南风,1级,15.0,14
2019-09-21,25,8,晴,东北风,2级,16.5,17
2019-09-22,27,7,晴,东南风,1级,17.0,20
2019-09-23,24,8,多云,西北风,1级,16.0,16
2019-09-24,28,6,晴,东北风,3级,17.0,22
2019-09-25,28,7,晴,西北风,1级,17.5,21
2019-09-26,26,9,多云,西北风,2级,17.5,17
2019-09-27,25,7,晴,西北风,微风,16.0,18
2019-09-28,26,10,多云,东北风,1级,18.0,16
2019-09-29,27,10,晴,东北风,1级,18.5,17
2019-09-30,27,10,晴,西北风,1级,18.5,17
2019-08-01,31,18,多云,东北风,2级,24.5,13
2019-08-02,30,19,阴,东北风,3级,24.5,11
2019-08-03,24,20,小雨,东北风,2级,22.0,4
2019-08-04,25,18,中雨,西南风,1级,21.5,7
2019-08-05,29,18,阴,东北风,2级,23.5,11
2019-08-06,30,18,阴,西南风,3级,24.0,12
2019-08-07,31,19,多云,东北风,1级,25.0,12
2019-08-08,30,18,阴,西南风,2级,24.0,12
2019-08-09,27,15,中雨,西南风,2级,21.0,12
2019-08-10,30,19,小雨,东北风,1级,24.5,11
2019-08-11,28,16,多云,西北风,1级,22.0,12
2019-08-12,31,14,晴,东北风,2级,22.5,17
2019-08-13,31,17,晴,西风,3级,24.0,14
2019-08-14,31,16,晴,东北风,1级,23.5,15
2019-08-15,33,17,晴,西南风,2级,25.0,16
2019-08-16,28,12,晴,东北风,1级,20.0,16
2019-08-17,28,10,晴,东北风,1级,19.0,18
2019-08-18,31,18,晴,东北风,2级,24.5,13
2019-08-19,31,19,多云,东南风,1级,25.0,12
2019-08-20,26,18,小雨,东风,1级,22.0,8
2019-08-21,29,17,雾,西南风,3级,23.0,12
2019-08-22,22,16,小雨,东北风,1级,19.0,6
2019-08-23,23,17,小雨,西南风,1级,20.0,6
2019-08-24,17,14,中雨,东北风,1级,15.5,3
2019-08-25,25,18,小雨,西南风,1级,21.5,7
2019-08-26,24,17,阴,西南风,1级,20.5,7
2019-08-27,28,10,阴,西北风,1级,19.0,18
2019-08-28,30,10,晴,东北风,2级,20.0,20
2019-08-29,28,8,晴,东北风,2级,18.0,20
2019-08-30,27,11,晴,西北风,1级,19.0,16
2019-08-31,28,11,晴,西北风,1级,19.5,17
2019-07-01,33,16,多云,东北风,2级,24.5,17
2019-07-02,34,16,阴,东南风,3级,25.0,18
2019-07-03,35,17,晴,西南风,1级,26.0,18
2019-07-04,34,19,多云,西南风,5级,26.5,15
2019-07-05,36,17,多云,西北风,3级,26.5,19
2019-07-06,30,13,晴,东南风,2级,21.5,17
2019-07-07,30,15,晴,东北风,4级,22.5,15
2019-07-08,26,16,阴,西北风,2级,21.0,10
2019-07-09,23,16,阴,东南风,2级,19.5,7
2019-07-10,26,17,阴,东北风,2级,21.5,9
2019-07-11,26,16,阴,东北风,1级,21.0,10
2019-07-12,32,12,多云,西南风,1级,22.0,20
2019-07-13,31,17,多云,东北风,2级,24.0,14
2019-07-14,32,19,阴,东南风,1级,25.5,13
2019-07-15,31,20,阴,西北风,5级,25.5,11
2019-07-16,28,18,阴,东北风,3级,23.0,10
2019-07-17,29,18,多云,西南风,3级,23.5,11
2019-07-18,33,18,多云,西南风,1级,25.5,15
2019-07-19,31,22,阴,西南风,1级,26.5,9
2019-07-20,29,20,晴,北风,微风,24.5,9
2019-07-21,34,21,多云,东风,2级,27.5,13
2019-07-22,24,17,中雨,北风,微风,20.5,7
2019-07-23,32,19,晴,西北风,1级,25.5,13
2019-07-24,34,18,多云,东北风,1级,26.0,16
2019-07-25,33,18,小雨,西北风,2级,25.5,15
2019-07-26,36,20,晴,东南风,2级,28.0,16
2019-07-27,34,22,多云,东北风,3级,28.0,12
2019-07-28,36,24,多云,东北风,5级,30.0,12
2019-07-29,25,16,大雨,西南风,2级,20.5,9
2019-07-30,32,19,多云,西南风,2级,25.5,13
2019-07-31,33,19,多云,西北风,1级,26.0,14
2019-06-01,32,13,晴,西南风,1级,22.5,19
2019-06-02,34,14,多云,西风,2级,24.0,20
2019-06-03,33,16,多云,西南风,2级,24.5,17
2019-06-04,33,19,阴,西南风,3级,26.0,14
2019-06-05,18,12,阴,东北风,4级,15.0,6
2019-06-06,26,11,晴,西北风,1级,18.5,15
2019-06-07,29,14,阴,西北风,2级,21.5,15
2019-06-08,32,9,晴,西北风,2级,20.5,23
2019-06-09,30,16,晴,东北风,2级,23.0,14
2019-06-10,30,16,多云,东北风,1级,23.0,14
2019-06-11,31,17,阴,西南风,4级,24.0,14
2019-06-12,31,16,雷阵雨,西北风,1级,23.5,15
2019-06-13,31,11,多云,东南风,1级,21.0,20
2019-06-14,32,19,晴,西北风,1级,25.5,13
2019-06-15,31,18,阴,西南风,2级,24.5,13
2019-06-16,29,16,阴,东北风,4级,22.5,13
2019-06-17,30,14,多云,东南风,1级,22.0,16
2019-06-18,35,20,小雨,东南风,2级,27.5,15
2019-06-19,33,20,阴,东北风,5级,26.5,13
2019-06-20,30,19,小雨,西南风,3级,24.5,11
2019-06-21,30,17,阴,西南风,2级,23.5,13
2019-06-22,31,19,阴,西南风,2级,25.0,12
2019-06-23,32,18,阴,东南风,1级,25.0,14
