日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,12,阴,西南风,2级,17.5,11
2019-09-02,21,13,多云,东南风,3级,17.0,8
2019-09-03,22,13,多云,东南风,3级,17.5,9
2019-09-04,25,14,阴,东南风,3级,19.5,11
2019-09-05,23,14,阴,东南风,2级,18.5,9
2019-09-06,24,15,阴,西南风,1级,19.5,9
2019-09-07,24,13,多云,东南风,2级,18.5,11
2019-09-08,26,13,多云,东南风,2级,19.5,13
2019-09-09,15,14,阴,东北风,2级,14.5,1
2019-09-10,20,13,多云,东南风,2级,16.5,7
2019-09-11,24,17,阴,东南风,3级,20.5,7
2019-09-12,18,9,阴,西北风,2级,13.5,9
2019-09-13,13,8,阴,东南风,2级,10.5,5
2019-09-14,16,9,多云,西南风,1级,12.5,7
2019-09-15,16,9,阴,西南风,1级,12.5,7
2019-09-16,19,11,阴,西南风,2级,15.0,8
2019-09-17,15,7,阴,东南风,1级,11.0,8
2019-09-18,13,9,小雨,东南风,2级,11.0,4
2019-09-19,15,7,阴,东南风,1级,11.0,8
2019-09-20,20,8,阴,东南风,2级,14.0,12
2019-09-21,20,6,晴,西南风,1级,13.0,14
2019-09-22,20,6,多云,西南风,2级,13.0,14
2019-09-23,21,8,多云,西南风,1级,14.5,13
2019-09-24,19,7,阴,西南风,2级,13.0,12
2019-09-25,21,5,晴,西南风,2级,13.0,16
2019-09-26,20,7,阴,东南风,2级,13.5,13
2019-09-27,20,9,多云,东南风,2级,14.5,11
2019-09-28,22,10,多云,东南风,2级,16.0,12
2019-09-29,23,10,阴,东南风,3级,16.5,13
2019-09-30,21,12,阴,东南风,3级,16.5,9
2019-08-01,28,17,多云,东南风,3级,22.5,11
2019-08-02,20,14,中雨,北风,3级,17.0,6
2019-08-03,25,12,多云,东南风,2级,18.5,13
2019-08-04,25,16,阴,东南风,1级,20.5,9
2019-08-05,25,14,阴,西南风,1级,19.5,11
2019-08-06,30,13,多云,东南风,2级,21.5,17
2019-08-07,31,16,晴,东南风,2级,23.5,15
2019-08-08,22,11,阴,东北风,2级,16.5,11
2019-08-09,29,12,晴,东北风,1级,20.5,17
2019-08-10,30,12,晴,东南风,2级,21.0,18
2019-08-11,29,12,晴,东北风,2级,20.5,17
2019-08-12,29,12,晴,东南风,2级,20.5,17
2019-08-13,21,10,阴,东北风,1级,15.5,11
2019-08-14,29,12,晴,东北风,1级,20.5,17
2019-08-15,32,13,晴,西南风,2级,22.5,19
2019-08-16,30,13,多云,东北风,3级,21.5,17
2019-08-17,28,15,多云,东南风,3级,21.5,13
2019-08-18,26,18,多云,东南风,2级,22.0,8
2019-08-19,26,13,阴,东北风,2级,19.5,13
2019-08-20,14,13,中雨,西北风,1级,13.5,1
2019-08-21,15,13,小雨,西南风,微风,14.0,2
2019-08-22,17,15,小雨,东北风,2级,16.0,2
2019-08-23,22,15,阴,西北风,2级,18.5,7
2019-08-24,20,15,小雨,东南风,1级,17.5,5
2019-08-25,25,16,多云,东南风,2级,20.5,9
2019-08-26,19,12,大雨,西南风,2级,15.5,7
2019-08-27,26,12,阴,东南风,1级,19.0,14
2019-08-28,20,14,阴,西南风,1级,17.0,6
2019-08-29,24,13,晴,西南风,1级,18.5,11
2019-08-30,23,11,阴,西北风,2级,17.0,12
2019-08-31,22,10,阴,东南风,2级,16.0,12
2019-07-01,26,12,多云,东南风,3级,19.0,14
2019-07-02,22,12,阴,东南风,2级,17.0,10
2019-07-03,25,14,多云,东南风,2级,19.5,11
2019-07-04,29,13,晴,东南风,2级,21.0,16
2019-07-05,29,13,多云,东北风,2级,21.0,16
2019-07-06,28,13,晴,西南风,3级,20.5,15
2019-07-07,26,13,多云,东南风,2级,19.5,13
2019-07-08,21,10,小雨,西北风,3级,15.5,11
2019-07-09,22,11,阴,西北风,3级,16.5,11
2019-07-10,25,12,晴,东南风,2级,18.5,13
2019-07-11,24,13,多云,东南风,1级,18.5,11
2019-07-12,26,13,多云,东南风,3级,19.5,13
2019-07-13,29,15,多云,东南风,2级,22.0,14
2019-07-14,28,18,阴,西北风,4级,23.0,10
2019-07-15,21,15,小雨,东南风,2级,18.0,6
2019-07-16,26,15,小雨,东南风,3级,20.5,11
2019-07-17,27,16,阴,西南风,2级,21.5,11
2019-07-18,25,16,多云,东南风,2级,20.5,9
2019-07-19,20,12,小雨,东南风,2级,16.0,8
2019-07-20,30,16,多云,西南风,1级,23.0,14
2019-07-21,19,13,小雨,西北风,1级,16.0,6
2019-07-22,27,12,阴,西南风,1级,19.5,15
2019-07-23,30,15,晴,西北风,2级,22.5,15
2019-07-24,21,13,小雨,东南风,1级,17.0,8
2019-07-25,30,15,晴,西南风,2级,22.5,15
2019-07-26,29,17,多云,东南风,4级,23.0,12
2019-07-27,29,19,阴,东南风,1级,24.0,10
2019-07-28,31,16,阴,东北风,3级,23.5,15
2019-07-29,29,13,多云,西南风,2级,21.0,16
2019-07-30,31,14,晴,西南风,2级,22.5,17
2019-07-31,30,15,多云,东北风,2级,22.5,15
2019-06-01,26,8,多云,西北风,2级,17.0,18
2019-06-02,25,9,多云,西南风,2级,17.0,16
2019-06-03,29,13,晴,东南风,2级,21.0,16
2019-06-04,20,10,阴,西北风,3级,15.0,10
2019-06-05,24,11,晴,东南风,1级,17.5,13
2019-06-06,27,14,晴,西南风,1级,20.5,13
2019-06-07,25,12,多云,东北风,3级,18.5,13
2019-06-08,24,12,阴,东南风,3级,18.0,12
2019-06-09,26,14,阴,东南风,2级,20.0,12
2019-06-10,24,13,阴,东南风,3级,18.5,11
2019-06-11,21,11,阴,西南风,2级,16.0,10
2019-06-12,26,11,多云,东北风,3级,18.5,15
2019-06-13,28,15,晴,东南风,3级,21.5,13
2019-06-14,19,11,阴,西北风,3级,15.0,8
2019-06-15,19,11,小雨,东北风,1级,15.0,8
2019-06-16,25,12,阴,东北风,2级,18.5,13
2019-06-17,23,12,晴,西南风,2级,17.5,11
2019-06-18,19,14,多云,西北风,2级,16.5,5
2019-06-19,21,15,阴,东南风,2级,18.0,6
2019-06-20,24,16,阴,东北风,3级,20.0,8
2019-06-21,21,16,阴,西南风,1级,18.5,5
2019-06-22,23,15,阴,东南风,5级,19.0,8
2019-06-23,22,14,阴,东南风,3级,18.0,8
2019-06-24,27,16,阴,西北风,1级,21.5,11
2019-06-25,28,16,多云,西南风,2级,22.0,12
2019-06-26,22,13,中雨,西北风,2级,17.5,9
2019-06-27,16,10,小到中雨,东北风,2级,13.0,6
2019-06-28,23,11,晴,西北风,1级,17.0,12
2019-06-29,27,14,阴,东北风,2级,20.5,13
2019-06-30,24,13,多云,西南风,2级,18.5,11
2019-05-01,14,6,阴,东南风,3级,10.0,8
2019-05-02,20,10,多云,东南风,4级,15.0,10
2019-05-03,16,8,阴,东南风,1级,12.0,8
2019-05-04,22,10,阴,东南风,2级,16.0,12
2019-05-05,13,9,阴,西南风,1级,11.0,4
2019-05-06,11,7,阴,东南风,2级,9.0,4
2019-05-07,9,3,阴,西北风,1级,6.0,6
2019-05-08,14,5,多云,东北风,2级,9.5,9
2019-05-09,16,6,阴,东北风,1级,11.0,10
2019-05-10,18,5,阴,西南风,2级,11.5,13
2019-05-11,22,2,多云,西北风,2级,12.0,20
2019-05-12,14,5,扬沙,北风,微风,9.5,9
2019-05-13,24,9,扬沙,东南风,3级,16.5,15
2019-05-14,19,9,阴,东南风,1级,14.0,10
2019-05-15,18,10,扬沙,东南风,2级,14.0,8
2019-05-16,20,10,阴,东南风,3级,15.0,10
2019-05-17,26,13,多云,东南风,3级,19.5,13
2019-05-18,22,6,阴,东北风,5级,14.0,16
2019-05-19,16,7,阴,西北风,1级,11.5,9
2019-05-20,22,7,阴,南风,2级,14.5,15
2019-05-21,23,7,晴,东北风,微风,15.0,16
