日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,20,多云,东北风,3级,24.5,9
2019-09-02,29,19,多云,东南风,2级,24.0,10
2019-09-03,28,19,多云,西北风,2级,23.5,9
2019-09-04,28,19,多云,西南风,1级,23.5,9
2019-09-05,30,19,多云,东南风,2级,24.5,11
2019-09-06,30,20,多云,东南风,2级,25.0,10
2019-09-07,31,20,晴,西北风,1级,25.5,11
2019-09-08,32,21,晴,东南风,3级,26.5,11
2019-09-09,30,21,晴,东南风,2级,25.5,9
2019-09-10,30,22,多云,东北风,3级,26.0,8
2019-09-11,27,20,阴,东北风,3级,23.5,7
2019-09-12,25,18,阴,东南风,2级,21.5,7
2019-09-13,30,22,多云,东北风,3级,26.0,8
2019-09-14,29,20,多云,东北风,4级,24.5,9
2019-09-15,24,20,阴,西北风,3级,22.0,4
2019-09-17,25,17,阴,西南风,1级,21.0,8
2019-09-18,27,13,晴,东北风,3级,20.0,14
2019-09-19,24,17,阴,东南风,1级,20.5,7
2019-09-20,26,17,阴,东北风,2级,21.5,9
2019-09-21,27,18,多云,东北风,2级,22.5,9
2019-09-22,27,14,晴,东北风,3级,20.5,13
2019-09-23,28,15,晴,东北风,2级,21.5,13
2019-09-24,31,18,多云,西北风,3级,24.5,13
2019-09-25,29,15,阴,东南风,3级,22.0,14
2019-09-26,27,16,多云,东南风,3级,21.5,11
2019-09-27,28,17,多云,东南风,2级,22.5,11
2019-09-28,29,17,晴,西南风,2级,23.0,12
2019-09-29,30,17,晴,东南风,1级,23.5,13
2019-09-30,28,16,多云,东北风,3级,22.0,12
2019-08-02,27,24,小雨,东北风,2级,25.5,3
2019-08-03,32,24,阴,东北风,2级,28.0,8
2019-08-04,30,24,多云,东南风,3级,27.0,6
2019-08-05,29,24,中雨,东北风,3级,26.5,5
2019-08-06,27,24,中雨,东风,2级,25.5,3
2019-08-07,27,24,小雨,东北风,3级,25.5,3
2019-08-08,31,25,阴,东南风,3级,28.0,6
2019-08-09,31,24,多云,东南风,3级,27.5,7
2019-08-10,26,23,暴雨,东北风,3级,24.5,3
2019-08-11,26,23,中雨,西北风,4级,24.5,3
2019-08-12,23,22,小雨,西南风,4级,22.5,1
2019-08-13,28,22,阴,西北风,2级,25.0,6
2019-08-14,26,22,阴,北风,微风,24.0,4
2019-08-15,31,21,多云,西北风,3级,26.0,10
2019-08-17,30,19,晴,西北风,2级,24.5,11
2019-08-18,30,20,晴,东南风,3级,25.0,10
2019-08-19,30,19,多云,东南风,2级,24.5,11
2019-08-20,29,20,阴,东南风,2级,24.5,9
2019-08-21,28,21,阴,西北风,1级,24.5,7
2019-08-22,30,21,多云,东北风,1级,25.5,9
2019-08-23,30,21,多云,东北风,2级,25.5,9
2019-08-24,29,22,多云,东北风,2级,25.5,7
2019-08-25,29,22,多云,东南风,3级,25.5,7
2019-08-26,26,23,阴,东北风,2级,24.5,3
2019-08-27,27,21,阴,西南风,2级,24.0,6
2019-08-28,33,20,多云,西北风,2级,26.5,13
2019-08-29,30,18,晴,东北风,3级,24.0,12
2019-08-30,31,19,晴,东北风,1级,25.0,12
2019-08-31,29,20,阴,东北风,3级,24.5,9
2019-07-01,33,21,晴,东南风,2级,27.0,12
2019-07-02,33,22,晴,西南风,3级,27.5,11
2019-07-03,34,24,雷阵雨,东南风,3级,29.0,10
2019-07-04,32,23,阴,西南风,2级,27.5,9
2019-07-05,34,23,多云,西南风,3级,28.5,11
2019-07-06,25,20,暴雨,东北风,3级,22.5,5
2019-07-07,26,20,雷阵雨,东北风,3级,23.0,6
2019-07-08,27,20,阴,东南风,2级,23.5,7
2019-07-09,27,20,阴,东北风,2级,23.5,7
2019-07-10,26,20,小雨,东南风,1级,23.0,6
2019-07-11,28,21,阴,西北风,2级,24.5,7
2019-07-12,29,21,阴,西北风,2级,25.0,8
2019-07-13,31,22,多云,西南风,微风,26.5,9
2019-07-14,30,23,多云,南风,微风,26.5,7
2019-07-15,32,23,多云,东北风,3级,27.5,9
2019-07-16,30,23,阴,东北风,2级,26.5,7
2019-07-17,26,22,小雨,东北风,3级,24.0,4
2019-07-18,29,24,晴,东北风,4级,26.5,5
2019-07-20,33,26,多云,西南风,1级,29.5,7
2019-07-21,34,26,晴,东南风,2级,30.0,8
2019-07-22,34,26,多云,东南风,4级,30.0,8
2019-07-23,35,26,多云,东北风,3级,30.5,9
2019-07-24,35,26,阴,西北风,3级,30.5,9
2019-07-25,35,26,阴,东北风,3级,30.5,9
2019-07-26,35,26,多云,东南风,2级,30.5,9
2019-07-27,29,25,小雨,东南风,2级,27.0,4
2019-07-28,33,26,阴,东南风,2级,29.5,7
2019-07-29,32,27,中雨,东北风,3级,29.5,5
2019-07-30,31,25,阴,西南风,3级,28.0,6
2019-07-31,33,25,多云,东南风,1级,29.0,8
2019-06-01,29,18,阴,西南风,2级,23.5,11
2019-06-02,32,22,晴,西南风,3级,27.0,10
2019-06-03,35,22,多云,西南风,3级,28.5,13
2019-06-04,36,24,多云,东北风,4级,30.0,12
2019-06-05,32,20,多云,东北风,4级,26.0,12
2019-06-06,22,17,阴,东北风,2级,19.5,5
2019-06-07,29,19,晴,东南风,3级,24.0,10
2019-06-08,30,20,阴,东南风,1级,25.0,10
2019-06-09,31,17,多云,东北风,4级,24.0,14
2019-06-10,28,18,晴,东南风,2级,23.0,10
2019-06-11,31,18,晴,东南风,3级,24.5,13
2019-06-12,30,19,多云,东南风,3级,24.5,11
2019-06-14,31,21,小雨,东南风,2级,26.0,10
2019-06-15,31,21,阴,东南风,3级,26.0,10
2019-06-16,29,22,阴,东南风,4级,25.5,7
2019-06-17,32,21,多云,东南风,2级,26.5,11
2019-06-18,31,22,多云,东南风,3级,26.5,9
2019-06-19,32,23,阴,东南风,2级,27.5,9
2019-06-20,30,22,阴,西南风,1级,26.0,8
2019-06-21,31,22,多云,东南风,3级,26.5,9
2019-06-22,32,19,多云,东北风,2级,25.5,13
2019-06-23,32,20,晴,东南风,3级,26.0,12
2019-06-24,31,21,多云,东南风,2级,26.0,10
2019-06-25,28,21,阴,东南风,4级,24.5,7
2019-06-26,29,20,阴,东南风,4级,24.5,9
2019-06-27,31,22,多云,东南风,3级,26.5,9
2019-06-28,26,23,小雨,东北风,2级,24.5,3
2019-06-29,31,23,多云,西南风,2级,27.0,8
2019-06-30,33,22,大雨,东北风,2级,27.5,11
2019-05-01,25,12,晴,东北风,3级,18.5,13
2019-05-02,27,13,晴,西南风,2级,20.0,14
2019-05-03,26,15,晴,西南风,2级,20.5,11
2019-05-04,26,16,阴,南风,微风,21.0,10
2019-05-05,26,13,多云,东北风,6级,19.5,13
2019-05-06,21,10,阴,西南风,2级,15.5,11
2019-05-07,23,14,阴,西南风,3级,18.5,9
2019-05-08,20,13,阴,西南风,2级,16.5,7
2019-05-09,26,13,多云,西南风,2级,19.5,13
2019-05-10,27,16,多云,东南风,3级,21.5,11
2019-05-11,28,17,多云,东北风,3级,22.5,11
2019-05-12,30,15,多云,西南风,3级,22.5,15
2019-05-13,21,11,扬沙,东南风,3级,16.0,10
2019-05-14,26,18,晴,东北风,3级,22.0,8
2019-05-15,25,16,多云,东南风,3级,20.5,9
2019-05-16,24,18,多云,东北风,3级,21.0,6
2019-05-17,20,17,阴,东北风,4级,18.5,3
2019-05-18,22,15,多云,东南风,1级,18.5,7
2019-05-19,27,15,晴,西北风,3级,21.0,12
2019-05-20,25,13,晴,西北风,3级,19.0,12
2019-05-21,30,15,晴,西北风,2级,22.5,15
2019-05-22,34,19,晴,西北风,3级,26.5,15
2019-05-23,37,22,晴,西南风,3级,29.5,15
2019-05-24,34,23,阴,东南风,2级,28.5,11
2019-05-25,30,21,阴,西南风,3级,25.5,9
2019-05-26,25,22,晴,东南风,2级,23.5,3
2019-05-27,23,16,阴,东北风,1级,19.5,7
2019-05-28,28,16,阴,西南风,3级,22.0,12
2019-05-29,30,19,晴,西南风,1级,24.5,11
2019-05-30,21,15,阴,西南风,2级,18.0,6
2019-05-31,31,19,多云,西北风,2级,25.0,12
2019-04-01,20,6,晴,东北风,4级,13.0,14
2019-04-02,15,6,多云,东南风,3级,10.5,9
2019-04-03,18,6,晴,东南风,2级,12.0,12
2019-04-04,20,9,多云,西南风,2级,14.5,11
2019-04-05,24,13,多云,东南风,3级,18.5,11
2019-04-06,27,11,多云,东北风,5级,19.0,16
2019-04-07,17,9,多云,东南风,3级,13.0,8
2019-04-08,17,7,阴,东北风,4级,12.0,10
2019-04-09,6,5,阴,东北风,4级,5.5,1
2019-04-10,15,7,多云,东南风,1级,11.0,8
2019-04-11,15,5,阴,东北风,3级,10.0,10
2019-04-12,16,11,雾,东南风,1级,13.5,5
2019-04-13,20,11,多云,西南风,2级,15.5,9
2019-04-14,20,6,晴,西南风,2级,13.0,14
2019-04-15,21,12,多云,西南风,2级,16.5,9
2019-04-16,20,10,阴,东南风,3级,15.0,10
2019-04-17,23,15,多云,西南风,3级,19.0,8
2019-04-18,27,12,多云,东北风,5级,19.5,15
2019-04-19,19,10,多云,东南风,3级,14.5,9
2019-04-20,22,14,多云,东南风,3级,18.0,8
2019-04-21,18,13,阴,东南风,2级,15.5,5
2019-04-22,19,14,阴,东北风,2级,16.5,5
2019-04-23,21,14,阴,东北风,2级,17.5,7
2019-04-25,13,8,阴,东北风,3级,10.5,5
2019-04-26,16,5,阴,东北风,3级,10.5,11
2019-04-27,15,9,阴,东北风,4级,12.0,6
2019-04-28,14,10,阴,东南风,1级,12.0,4
2019-04-29,17,9,阴,西南风,2级,13.0,8
2019-04-30,22,11,多云,西北风,2级,16.5,11
2019-03-01,13,4,多云,东南风,2级,8.5,9
2019-03-03,10,0,阴,西南风,2级,5.0,10
2019-03-04,15,0,多云,西南风,2级,7.5,15
2019-03-05,14,3,多云,东南风,1级,8.5,11
2019-03-06,15,0,晴,东北风,5级,7.5,15
2019-03-07,11,0,晴,东南风,1级,5.5,11
2019-03-08,13,4,阴,东南风,3级,8.5,9
2019-03-09,11,3,多云,东南风,2级,7.0,8
2019-03-10,14,5,雾,西南风,3级,9.5,9
2019-03-11,17,4,多云,西北风,2级,10.5,13
2019-03-15,18,5,晴,西北风,3级,11.5,13
2019-03-16,22,5,晴,西北风,3级,13.5,17
2019-03-17,18,8,晴,东南风,3级,13.0,10
2019-03-18,19,8,阴,西南风,3级,13.5,11
2019-03-19,21,12,多云,东南风,3级,16.5,9
2019-03-20,13,9,阴,西北风,3级,11.0,4
2019-03-21,13,2,晴,东北风,3级,7.5,11
2019-03-22,12,4,多云,西南风,3级,8.0,8
2019-03-23,14,3,晴,东南风,3级,8.5,11
2019-03-24,16,6,多云,西南风,4级,11.0,10
2019-03-25,20,7,多云,西南风,3级,13.5,13
2019-03-26,23,11,多云,西南风,3级,17.0,12
2019-03-27,25,7,多云,东北风,6级,16.0,18
2019-03-28,13,6,阴,东南风,3级,9.5,7
2019-03-29,12,6,多云,东北风,3级,9.0,6
2019-03-30,13,2,多云,东北风,3级,7.5,11
2019-03-31,16,4,晴,西北风,3级,10.0,12
2019-02-01,4,-2,多云,西南风,4级,1.0,6
2019-02-02,1,0,雾,东北风,1级,0.5,1
2019-02-03,7,-3,多云,西北风,1级,2.0,10
2019-02-04,8,-1,阴,东南风,2级,3.5,9
2019-02-05,11,0,雾,西南风,3级,5.5,11
2019-02-06,6,-1,雾,东北风,6级,2.5,7
2019-02-07,0,-5,阴,东北风,3级,-2.5,5
2019-02-08,-3,-5,阴,西南风,1级,-4.0,2
2019-02-09,1,-4,阴,东北风,4级,-1.5,5
2019-02-10,-2,-6,阴,西南风,2级,-4.0,4
2019-02-11,4,-4,多云,东南风,2级,0.0,8
2019-02-12,4,-2,阴,东北风,1级,1.0,6
2019-02-13,5,0,阴,东北风,5级,2.5,5
2019-02-14,0,-1,阴,东北风,2级,-0.5,1
2019-02-15,5,-4,阴,东北风,3级,0.5,9
2019-02-16,4,-5,多云,东北风,3级,-0.5,9
2019-02-17,5,-2,多云,西北风,2级,1.5,7
2019-02-18,2,0,阴,东北风,2级,1.0,2
2019-02-19,5,-2,阴,西南风,1级,1.5,7
2019-02-20,7,-2,雾,东北风,2级,2.5,9
2019-02-21,7,0,多云,东南风,2级,3.5,7
2019-02-22,8,-1,多云,西南风,1级,3.5,9
2019-02-24,13,1,多云,西南风,1级,7.0,12
2019-02-25,13,1,多云,南风,2级,7.0,12
2019-02-26,8,3,阴,东北风,3级,5.5,5
2019-02-27,7,1,阴,东南风,1级,4.0,6
2019-01-01,2,-5,多云,西南风,1级,-1.5,7
2019-01-02,3,-4,多云,东南风,2级,-0.5,7
2019-01-03,5,-2,扬沙,东北风,1级,1.5,7
2019-01-04,0,-1,雨夹雪,东北风,3级,-0.5,1
2019-01-05,0,-5,阴,西北风,1级,-2.5,5
2019-01-06,2,-4,阴,东北风,1级,-1.0,6
2019-01-07,3,-2,多云,东北风,2级,0.5,5
2019-01-08,3,-1,多云,东北风,2级,1.0,4
2019-01-09,0,-1,阴,西南风,1级,-0.5,1
2019-01-10,3,-1,多云,西北风,3级,1.0,4
2019-01-11,1,-3,雨夹雪,北风,微风,-1.0,4
2019-01-12,4,-1,多云,西北风,1级,1.5,5
2019-01-13,4,-2,雾,东北风,3级,1.0,6
2019-01-14,5,-2,扬沙,西南风,2级,1.5,7
2019-01-15,0,-7,多云,东北风,4级,-3.5,7
2019-01-16,2,-5,多云,西南风,2级,-1.5,7
2019-01-18,6,0,阴,东北风,3级,3.0,6
2019-01-19,7,-2,阴,东北风,3级,2.5,9
2019-01-20,6,-3,多云,西北风,3级,1.5,9
2019-01-21,7,-5,晴,西北风,3级,1.0,12
2019-01-22,10,-2,晴,西北风,3级,4.0,12
2019-01-23,13,-1,多云,东北风,1级,6.0,14
2019-01-24,11,0,多云,东北风,2级,5.5,11
2019-01-25,5,-5,阴,东北风,3级,0.0,10
2019-01-26,6,-4,晴,西南风,2级,1.0,10
2019-01-27,7,0,多云,西南风,2级,3.5,7
2019-01-28,7,-1,阴,东北风,2级,3.0,8
2019-01-29,8,-1,多云,西南风,2级,3.5,9
2019-01-30,5,-3,雨夹雪,东北风,3级,1.0,8
2018-12-01,14,8,阴,东北风,2级,11.0,6
2018-12-02,14,10,小雨,西北风,1级,12.0,4
2018-12-03,13,5,小雨,东北风,4级,9.0,8
2018-12-04,9,1,多云,东北风,3级,5.0,8
2018-12-05,5,1,雨夹雪,东北风,3级,3.0,4
2018-12-06,5,-4,阴,东北风,4级,0.5,9
2018-12-07,0,-7,多云,东北风,2级,-3.5,7
2018-12-08,0,-7,多云,东北风,2级,-3.5,7
2018-12-09,1,-5,多云,东北风,2级,-2.0,6
2018-12-10,2,-3,小雪,东北风,2级,-0.5,5
2018-12-11,2,-8,小雪,西北风,3级,-3.0,10
2018-12-12,1,-6,晴,西南风,2级,-2.5,7
2018-12-13,5,-4,晴,东北风,2级,0.5,9
2018-12-14,5,-4,晴,东北风,2级,0.5,9
2018-12-15,6,-2,多云,西南风,2级,2.0,8
2018-12-16,8,-3,晴,西北风,2级,2.5,11
2018-12-17,9,-2,晴,西南风,1级,3.5,11
2018-12-18,10,1,晴,东南风,2级,5.5,9
2018-12-19,11,2,多云,东北风,2级,6.5,9
2018-12-20,10,4,多云,东北风,2级,7.0,6
2018-12-21,11,4,雾,东北风,2级,7.5,7
2018-12-22,7,0,阴,东北风,2级,3.5,7
2018-12-23,6,-3,晴,东北风,2级,1.5,9
2018-12-24,6,1,多云,东南风,2级,3.5,5
2018-12-25,7,0,阴,西南风,5级,3.5,7
2018-12-26,1,-4,多云,东北风,4级,-1.5,5
2018-12-27,-1,-7,多云,东北风,3级,-4.0,6
2018-12-28,-2,-9,晴,东北风,2级,-5.5,7
2018-12-29,0,-7,晴,东北风,3级,-3.5,7
2018-12-30,0,-6,多云,东北风,2级,-3.0,6
2018-12-31,0,-7,多云,西南风,1级,-3.5,7
2018-11-01,19,8,晴,西南风,1级,13.5,11
2018-11-02,19,7,晴,东风,2级,13.0,12
