日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,15,阴,西北风,2级,20.5,11
2019-09-02,24,11,多云,东南风,1级,17.5,13
2019-09-03,26,16,晴,东南风,1级,21.0,10
2019-09-04,27,18,雾,西南风,2级,22.5,9
2019-09-05,28,16,阴,西南风,3级,22.0,12
2019-09-06,27,17,多云,东南风,1级,22.0,10
2019-09-07,26,19,阴,东北风,1级,22.5,7
2019-09-08,25,9,阴,西南风,2级,17.0,16
2019-09-09,21,7,阴,西南风,2级,14.0,14
2019-09-10,18,6,多云,北风,微风,12.0,12
2019-09-11,22,9,晴,西北风,1级,15.5,13
2019-09-12,23,13,阴,东南风,1级,18.0,10
2019-09-13,20,7,阴,西北风,2级,13.5,13
2019-09-14,22,11,晴,西南风,2级,16.5,11
2019-09-15,23,4,多云,西北风,3级,13.5,19
2019-09-16,16,5,晴,西南风,2级,10.5,11
2019-09-17,21,0,多云,东南风,1级,10.5,21
2019-09-18,14,3,晴,西南风,1级,8.5,11
2019-09-19,15,5,晴,西南风,2级,10.0,10
2019-09-20,19,3,多云,西北风,2级,11.0,16
2019-09-21,16,3,多云,西南风,1级,9.5,13
2019-09-22,23,7,晴,西南风,2级,15.0,16
2019-09-23,25,5,晴,东北风,4级,15.0,20
2019-09-24,20,3,晴,西南风,2级,11.5,17
2019-09-25,23,9,晴,东北风,1级,16.0,14
2019-09-26,24,11,晴,东南风,1级,17.5,13
2019-09-27,29,11,晴,西南风,3级,20.0,18
2019-09-28,25,12,晴,西南风,4级,18.5,13
2019-09-29,17,8,多云,东北风,2级,12.5,9
2019-09-30,23,16,晴,西南风,3级,19.5,7
2019-08-01,27,19,阴,西北风,2级,23.0,8
2019-08-02,28,20,多云,西南风,1级,24.0,8
2019-08-03,28,21,阴,西南风,3级,24.5,7
2019-08-04,29,21,晴,西南风,3级,25.0,8
2019-08-05,29,20,阴,南风,1级,24.5,9
2019-08-06,29,20,阴,东南风,1级,24.5,9
2019-08-07,26,19,小雨,东南风,1级,22.5,7
2019-08-08,21,16,中雨,西北风,1级,18.5,5
2019-08-09,18,14,小雨,西南风,2级,16.0,4
2019-08-10,19,17,中雨,东南风,1级,18.0,2
2019-08-11,21,17,雾,东北风,1级,19.0,4
2019-08-12,23,18,多云,西北风,2级,20.5,5
2019-08-13,23,19,阴,东北风,2级,21.0,4
2019-08-14,24,18,小雨,东南风,1级,21.0,6
2019-08-15,25,18,阴,东北风,2级,21.5,7
2019-08-16,20,16,中雨,东北风,2级,18.0,4
2019-08-17,18,12,小雨,西北风,2级,15.0,6
2019-08-18,22,14,阴,西南风,1级,18.0,8
2019-08-19,23,12,小雨,东南风,1级,17.5,11
2019-08-20,23,17,阴,东南风,2级,20.0,6
2019-08-21,24,16,小雨,西南风,2级,20.0,8
2019-08-22,20,14,小雨,北风,1级,17.0,6
2019-08-23,23,13,阴,西北风,2级,18.0,10
2019-08-24,24,15,小雨,东南风,1级,19.5,9
2019-08-25,25,15,阴,西南风,2级,20.0,10
2019-08-26,24,18,阴,南风,4级,21.0,6
2019-08-27,25,16,多云,东南风,1级,20.5,9
2019-08-28,16,14,大雨,东北风,2级,15.0,2
2019-08-29,22,12,阴,东北风,1级,17.0,10
2019-08-30,23,13,阴,西北风,1级,18.0,10
2019-08-31,25,13,多云,西南风,2级,19.0,12
2019-07-01,25,16,阴,西南风,1级,20.5,9
2019-07-02,24,15,小雨,东北风,2级,19.5,9
2019-07-03,24,15,雷阵雨,西南风,1级,19.5,9
2019-07-04,26,19,晴,东南风,1级,22.5,7
2019-07-05,26,18,阴,东南风,1级,22.0,8
2019-07-06,28,19,小雨,东南风,1级,23.5,9
2019-07-07,30,20,多云,东北风,1级,25.0,10
2019-07-08,31,21,多云,东北风,2级,26.0,10
2019-07-09,32,20,阴,东北风,1级,26.0,12
2019-07-10,31,19,阴,东南风,1级,25.0,12
2019-07-11,28,18,阴,东南风,1级,23.0,10
2019-07-12,27,17,阴,东北风,1级,22.0,10
2019-07-13,27,17,多云,东北风,1级,22.0,10
2019-07-14,26,18,多云,东北风,1级,22.0,8
2019-07-15,27,19,阴,东南风,1级,23.0,8
2019-07-16,26,21,中雨,东南风,3级,23.5,5
2019-07-17,27,19,多云,西南风,3级,23.0,8
2019-07-18,28,19,暴雨,西南风,3级,23.5,9
2019-07-19,29,21,多云,东南风,2级,25.0,8
2019-07-20,30,24,多云,东南风,1级,27.0,6
2019-07-21,27,21,小雨,东南风,2级,24.0,6
2019-07-22,28,19,阴,东南风,1级,23.5,9
2019-07-23,24,19,小雨,东南风,1级,21.5,5
2019-07-24,27,19,小雨,西北风,2级,23.0,8
2019-07-25,24,16,小雨,东南风,1级,20.0,8
2019-07-26,25,17,大雨,东南风,1级,21.0,8
2019-07-27,28,23,多云,东南风,1级,25.5,5
2019-07-28,30,22,多云,西南风,3级,26.0,8
2019-07-29,30,22,阴,西南风,4级,26.0,8
2019-07-30,26,20,阴,东南风,2级,23.0,6
2019-07-31,29,17,多云,西南风,2级,23.0,12
2019-06-01,23,11,多云,东南风,1级,17.0,12
2019-06-02,21,9,多云,东北风,3级,15.0,12
2019-06-03,23,12,多云,东北风,2级,17.5,11
2019-06-04,26,13,多云,东南风,1级,19.5,13
2019-06-05,25,13,阴,西南风,2级,19.0,12
2019-06-06,27,16,晴,东风,1级,21.5,11
2019-06-07,25,15,阴,东北风,2级,20.0,10
2019-06-08,22,14,阴,东南风,1级,18.0,8
2019-06-09,24,13,阴,东南风,2级,18.5,11
2019-06-10,24,15,阴,东北风,1级,19.5,9
2019-06-11,25,15,阴,东南风,1级,20.0,10
2019-06-12,27,18,多云,东南风,1级,22.5,9
2019-06-13,23,13,小雨,西南风,2级,18.0,10
2019-06-14,21,11,阴,东北风,4级,16.0,10
2019-06-15,20,9,多云,东北风,2级,14.5,11
