日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,18,阴,东南风,1级,19.5,3
2019-09-02,22,18,多云,西北风,1级,20.0,4
2019-09-03,24,18,阴,东南风,1级,21.0,6
2019-09-04,27,17,多云,东南风,2级,22.0,10
2019-09-05,28,17,多云,西北风,2级,22.5,11
2019-09-06,26,18,阴,西南风,2级,22.0,8
2019-09-07,28,19,阴,东南风,2级,23.5,9
2019-09-08,25,19,阴,东南风,2级,22.0,6
2019-09-09,21,19,阴,东南风,3级,20.0,2
2019-09-10,22,19,阴,东南风,2级,20.5,3
2019-09-11,26,19,阴,东南风,3级,22.5,7
2019-09-12,26,19,多云,西南风,2级,22.5,7
2019-09-13,28,19,多云,东南风,2级,23.5,9
2019-09-14,29,18,晴,东南风,2级,23.5,11
2019-09-15,28,19,多云,东南风,1级,23.5,9
2019-09-16,24,19,阴,东南风,2级,21.5,5
2019-09-17,27,17,多云,东南风,3级,22.0,10
2019-09-18,24,19,多云,东北风,1级,21.5,5
2019-09-19,22,17,阴,东南风,2级,19.5,5
2019-09-20,18,13,阴,东北风,2级,15.5,5
2019-09-21,21,12,阴,西南风,1级,16.5,9
2019-09-22,23,12,晴,西南风,1级,17.5,11
2019-09-23,23,12,多云,西南风,1级,17.5,11
2019-09-24,23,12,多云,西风,1级,17.5,11
2019-09-25,19,12,阴,西南风,1级,15.5,7
2019-09-26,22,12,多云,东南风,1级,17.0,10
2019-09-27,24,12,多云,西南风,1级,18.0,12
2019-09-28,25,12,多云,西南风,1级,18.5,13
2019-09-29,27,14,多云,东南风,2级,20.5,13
2019-09-30,26,15,多云,东南风,2级,20.5,11
2019-08-01,30,19,阴,东北风,2级,24.5,11
2019-08-02,27,19,多云,西南风,1级,23.0,8
2019-08-03,25,19,小雨,东南风,2级,22.0,6
2019-08-04,24,19,大雨,东北风,1级,21.5,5
2019-08-05,26,19,阴,东南风,2级,22.5,7
2019-08-06,27,19,多云,东南风,2级,23.0,8
2019-08-07,28,20,中雨,东南风,2级,24.0,8
2019-08-08,28,20,晴,东南风,2级,24.0,8
2019-08-09,28,19,阴,东南风,1级,23.5,9
