日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,16,阴,南风,微风,19.0,6
2019-09-02,19,16,阴,东南风,2级,17.5,3
2019-09-03,22,16,阵雨,西北风,微风,19.0,6
2019-09-04,21,17,阴,西南风,1级,19.0,4
2019-09-05,28,15,阴,东北风,1级,21.5,13
2019-09-06,27,18,多云,东南风,1级,22.5,9
2019-09-07,26,18,阴,东南风,1级,22.0,8
2019-09-08,28,17,阴,西南风,1级,22.5,11
2019-09-09,28,18,阴,东南风,2级,23.0,10
2019-09-10,28,18,阴,东北风,2级,23.0,10
2019-09-11,27,18,阴,东北风,2级,22.5,9
2019-09-12,26,19,阴,西北风,2级,22.5,7
2019-09-13,26,18,阴,东北风,2级,22.0,8
2019-09-14,23,17,阴,西北风,2级,20.0,6
2019-09-15,20,16,阴,西北风,微风,18.0,4
2019-09-16,17,15,阴,西北风,1级,16.0,2
2019-09-17,21,14,阴,西北风,3级,17.5,7
2019-09-18,22,14,多云,东北风,1级,18.0,8
2019-09-19,21,13,阴,西北风,3级,17.0,8
2019-09-20,17,12,阴,东南风,1级,14.5,5
2019-09-21,21,11,阴,西南风,1级,16.0,10
2019-09-22,24,12,多云,东南风,1级,18.0,12
2019-09-23,22,13,多云,东北风,4级,17.5,9
2019-09-24,15,11,阴,西南风,2级,13.0,4
2019-09-25,21,10,阴,东北风,1级,15.5,11
2019-09-26,23,12,多云,东南风,1级,17.5,11
2019-09-27,24,10,晴,东北风,1级,17.0,14
2019-09-28,25,12,多云,西北风,2级,18.5,13
2019-09-29,25,14,阴,东南风,2级,19.5,11
2019-09-30,24,15,阴,北风,2级,19.5,9
2019-08-01,30,17,多云,东北风,1级,23.5,13
2019-08-02,27,18,阴,东北风,1级,22.5,9
2019-08-03,26,17,小雨,东北风,1级,21.5,9
2019-08-04,31,16,阴,东南风,2级,23.5,15
2019-08-05,25,18,小雨,西北风,2级,21.5,7
2019-08-06,25,17,小雨,西北风,1级,21.0,8
2019-08-07,27,17,阴,东南风,1级,22.0,10
2019-08-08,27,17,多云,东北风,1级,22.0,10
2019-08-09,26,18,阴,东北风,2级,22.0,8
2019-08-10,29,16,阴,北风,微风,22.5,13
2019-08-11,31,17,晴,西北风,2级,24.0,14
2019-08-12,32,19,多云,东南风,1级,25.5,13
2019-08-13,31,18,多云,西北风,2级,24.5,13
2019-08-14,24,14,小雨,东北风,2级,19.0,10
2019-08-15,30,16,多云,东北风,1级,23.0,14
2019-08-16,33,17,晴,西南风,1级,25.0,16
2019-08-17,32,19,晴,东北风,2级,25.5,13
2019-08-18,31,18,阴,东北风,1级,24.5,13
2019-08-19,31,19,阴,东北风,3级,25.0,12
2019-08-20,31,19,阴,东北风,3级,25.0,12
2019-08-21,26,19,中雨,东北风,1级,22.5,7
2019-08-22,27,17,中雨,东南风,1级,22.0,10
2019-08-23,24,16,晴,东北风,1级,20.0,8
2019-08-24,30,16,多云,东北风,1级,23.0,14
2019-08-25,31,18,晴,东北风,1级,24.5,13
2019-08-26,31,19,多云,东南风,2级,25.0,12
2019-08-27,29,18,阴,西北风,2级,23.5,11
2019-08-28,30,18,多云,东北风,2级,24.0,12
2019-08-29,24,16,阴,西北风,1级,20.0,8
2019-08-30,24,15,阴,西北风,2级,19.5,9
2019-08-31,18,15,阴,西北风,1级,16.5,3
2019-07-01,26,17,多云,西北风,1级,21.5,9
2019-07-02,30,17,多云,东北风,4级,23.5,13
2019-07-03,23,16,阵雨,西北风,1级,19.5,7
2019-07-04,21,16,中雨,北风,微风,18.5,5
2019-07-05,23,15,小雨,东南风,1级,19.0,8
2019-07-06,25,16,阴,东北风,1级,20.5,9
2019-07-07,23,16,阵雨,西南风,2级,19.5,7
2019-07-08,25,16,阴,东南风,1级,20.5,9
2019-07-09,26,16,阴,西南风,3级,21.0,10
2019-07-10,27,16,阴,西南风,3级,21.5,11
2019-07-11,23,15,阴,北风,3级,19.0,8
2019-07-12,22,16,小雨,西北风,1级,19.0,6
2019-07-13,24,15,阴,西北风,1级,19.5,9
2019-07-14,24,16,阴,西南风,1级,20.0,8
2019-07-15,24,17,小雨,西北风,3级,20.5,7
2019-07-16,27,18,阴,东北风,2级,22.5,9
2019-07-17,30,18,阴,东北风,2级,24.0,12
2019-07-18,30,21,阴,东北风,1级,25.5,9
2019-07-19,28,20,小雨,东南风,2级,24.0,8
2019-07-20,29,19,中雨,东南风,1级,24.0,10
2019-07-21,29,19,阴,西北风,微风,24.0,10
2019-07-22,23,18,小雨,东南风,1级,20.5,5
2019-07-23,25,18,阴,东北风,1级,21.5,7
2019-07-24,30,17,阴,东北风,2级,23.5,13
2019-07-25,29,17,小雨,东南风,1级,23.0,12
2019-07-26,28,19,阴,西北风,2级,23.5,9
2019-07-27,28,19,阴,东北风,1级,23.5,9
2019-07-28,31,19,阴,西北风,2级,25.0,12
2019-07-29,22,19,中雨,西北风,1级,20.5,3
2019-07-30,25,18,小雨,东北风,2级,21.5,7
2019-07-31,26,13,多云,东南风,1级,19.5,13
2019-06-01,18,11,阴,东南风,2级,14.5,7
2019-06-02,28,12,晴,东北风,3级,20.0,16
2019-06-03,33,15,多云,东北风,3级,24.0,18
2019-06-04,30,16,阴,东南风,3级,23.0,14
2019-06-05,33,17,阴,东北风,2级,25.0,16
2019-06-06,25,15,多云,西北风,2级,20.0,10
2019-06-07,30,17,多云,东北风,3级,23.5,13
2019-06-08,26,16,阴,东北风,4级,21.0,10
2019-06-09,27,16,阴,西北风,3级,21.5,11
2019-06-10,24,16,阴,东北风,4级,20.0,8
2019-06-11,31,16,阴,西北风,4级,23.5,15
2019-06-12,25,17,阵雨,西北风,2级,21.0,8
2019-06-13,30,17,多云,东北风,3级,23.5,13
2019-06-14,31,17,阴,西北风,2级,24.0,14
2019-06-15,30,17,阴,北风,4级,23.5,13
2019-06-16,21,15,阴,西北风,1级,18.0,6
2019-06-17,22,16,阵雨,西北风,2级,19.0,6
2019-06-18,24,17,阴,西北风,1级,20.5,7
2019-06-19,30,18,阴,东南风,3级,24.0,12
2019-06-20,32,19,阴,东北风,1级,25.5,13
2019-06-21,32,17,阴,西北风,4级,24.5,15
2019-06-22,33,17,阴,西南风,2级,25.0,16
2019-06-23,28,17,阴,东南风,2级,22.5,11
2019-06-24,23,16,中雨,东南风,2级,19.5,7
2019-06-25,21,17,阴,东南风,2级,19.0,4
2019-06-26,21,17,阵雨,东南风,1级,19.0,4
2019-06-27,26,19,小雨,西北风,3级,22.5,7
2019-06-28,26,16,小雨,东北风,1级,21.0,10
2019-06-29,23,15,小雨,东北风,1级,19.0,8
2019-06-30,23,17,阴,东北风,1级,20.0,6
2019-05-01,22,10,阴,西北风,2级,16.0,12
2019-05-02,23,13,阴,西北风,4级,18.0,10
2019-05-03,30,13,多云,东北风,5级,21.5,17
2019-05-04,28,14,阴,东北风,5级,21.0,14
2019-05-05,24,15,中雨,西北风,3级,19.5,9
2019-05-06,19,12,阴,东北风,1级,15.5,7
2019-05-07,29,11,阴,西北风,4级,20.0,18
2019-05-08,26,13,阴,东北风,3级,19.5,13
2019-05-09,15,11,阴,西南风,1级,13.0,4
2019-05-10,26,12,阴,西北风,3级,19.0,14
2019-05-11,29,12,阴,东北风,3级,20.5,17
2019-05-12,28,12,阴,东北风,4级,20.0,16
2019-05-13,31,11,多云,西北风,4级,21.0,20
2019-05-14,32,12,多云,西南风,2级,22.0,20
2019-05-15,33,14,多云,北风,4级,23.5,19
2019-05-16,32,16,多云,北风,3级,24.0,16
2019-05-17,32,14,多云,西南风,3级,23.0,18
2019-05-18,34,17,多云,西南风,2级,25.5,17
2019-05-19,30,13,阴,西北风,5级,21.5,17
2019-05-20,23,13,阴,西北风,3级,18.0,10
2019-05-21,27,13,多云,东北风,4级,20.0,14
2019-05-22,29,14,阴,北风,4级,21.5,15
2019-05-23,30,14,阴,西北风,4级,22.0,16
2019-05-24,31,15,阴,西北风,5级,23.0,16
2019-05-25,31,16,多云,西北风,5级,23.5,15
2019-05-26,26,14,多云,西北风,4级,20.0,12
2019-05-27,17,14,阴,东北风,1级,15.5,3
2019-05-28,20,14,阴,东北风,3级,17.0,6
2019-05-29,26,14,阴,东北风,2级,20.0,12
2019-05-30,19,12,阴,西北风,4级,15.5,7
2019-05-31,27,12,多云,东北风,3级,19.5,15
2019-04-01,22,7,阴,东南风,4级,14.5,15
2019-04-02,25,8,阴,东北风,5级,16.5,17
2019-04-03,17,7,阴,东北风,2级,12.0,10
2019-04-04,21,6,阴,东北风,5级,13.5,15
2019-04-05,18,6,多云,东北风,1级,12.0,12
2019-04-06,25,6,晴,西北风,2级,15.5,19
2019-04-07,27,8,多云,西南风,3级,17.5,19
2019-04-08,26,9,阴,东南风,3级,17.5,17
2019-04-09,28,10,阴,东南风,3级,19.0,18
2019-04-10,27,9,阴,东北风,6级,18.0,18
2019-04-11,29,10,多云,东北风,2级,19.5,19
2019-04-12,29,9,多云,西北风,6级,19.0,20
2019-04-13,29,12,多云,北风,5级,20.5,17
2019-04-14,25,11,阴,东北风,6级,18.0,14
2019-04-15,28,11,多云,西北风,2级,19.5,17
2019-04-16,20,11,阴,东北风,2级,15.5,9
2019-04-17,24,11,多云,东北风,3级,17.5,13
2019-04-18,30,14,多云,西南风,1级,22.0,16
2019-04-19,30,10,多云,东北风,3级,20.0,20
2019-04-20,30,10,多云,北风,7级,20.0,20
2019-04-21,26,9,阴,东北风,4级,17.5,17
2019-04-22,28,10,多云,东北风,4级,19.0,18
2019-04-23,28,9,晴,东北风,2级,18.5,19
2019-04-24,30,12,多云,东北风,1级,21.0,18
2019-04-25,32,13,多云,东南风,1级,22.5,19
2019-04-26,32,11,晴,东南风,2级,21.5,21
2019-04-27,32,14,多云,西北风,6级,23.0,18
2019-04-28,32,13,多云,北风,4级,22.5,19
2019-04-29,17,12,阴,东北风,2级,14.5,5
2019-04-30,19,11,阴,东北风,2级,15.0,8
2019-03-01,21,1,阴,东南风,3级,11.0,20
2019-03-02,20,0,晴,东北风,1级,10.0,20
2019-03-03,22,4,晴,东南风,2级,13.0,18
2019-03-04,21,4,多云,东南风,4级,12.5,17
2019-03-05,14,4,阴,北风,6级,9.0,10
2019-03-06,12,5,阴,东北风,5级,8.5,7
2019-03-07,14,3,阴,西北风,3级,8.5,11
2019-03-08,19,1,多云,东北风,5级,10.0,18
2019-03-09,19,3,多云,西北风,3级,11.0,16
2019-03-10,17,5,阴,东北风,4级,11.0,12
2019-03-11,18,6,阴,西北风,3级,12.0,12
2019-03-12,20,5,阴,西北风,6级,12.5,15
2019-03-13,23,7,多云,西北风,6级,15.0,16
2019-03-14,14,8,阴,北风,5级,11.0,6
2019-03-15,11,6,阴,东北风,2级,8.5,5
2019-03-16,21,3,阴,东北风,5级,12.0,18
2019-03-17,22,4,多云,东北风,2级,13.0,18
2019-03-18,25,5,晴,西南风,2级,15.0,20
2019-03-19,24,5,多云,东南风,4级,14.5,19
2019-03-20,23,6,多云,西南风,3级,14.5,17
2019-03-21,23,5,晴,北风,3级,14.0,18
2019-03-22,24,5,多云,东北风,2级,14.5,19
2019-03-23,9,3,阴,西北风,2级,6.0,6
2019-03-24,18,4,阴,东北风,1级,11.0,14
2019-03-25,24,6,晴,东南风,4级,15.0,18
2019-03-26,27,6,晴,东南风,5级,16.5,21
2019-03-27,27,6,多云,西南风,4级,16.5,21
2019-03-28,23,5,阴,东南风,3级,14.0,18
2019-03-29,25,8,晴,东北风,2级,16.5,17
2019-03-30,26,9,阴,西北风,3级,17.5,17
2019-03-31,23,8,阴,西北风,3级,15.5,15
2019-02-01,20,0,晴,东北风,2级,10.0,20
2019-02-02,22,0,晴,东南风,5级,11.0,22
2019-02-03,20,1,晴,西南风,3级,10.5,19
2019-02-04,18,1,晴,东北风,1级,9.5,17
2019-02-05,20,0,晴,西北风,1级,10.0,20
2019-02-06,21,2,晴,西北风,1级,11.5,19
2019-02-07,20,2,晴,西北风,1级,11.0,18
2019-02-08,25,3,多云,西北风,1级,14.0,22
2019-02-09,23,5,多云,东南风,4级,14.0,18
2019-02-10,22,4,多云,东北风,7级,13.0,18
2019-02-11,20,0,多云,东南风,4级,10.0,20
2019-02-12,23,2,晴,东南风,4级,12.5,21
2019-02-13,23,2,晴,西南风,2级,12.5,21
2019-02-14,22,3,晴,西北风,3级,12.5,19
2019-02-15,22,2,阴,东南风,3级,12.0,20
2019-02-16,22,4,晴,东南风,4级,13.0,18
2019-02-17,13,1,阴,东南风,4级,7.0,12
2019-02-18,18,0,晴,西南风,2级,9.0,18
2019-02-19,18,0,晴,西南风,4级,9.0,18
2019-02-20,18,2,多云,西北风,3级,10.0,16
2019-02-21,20,3,晴,西南风,微风,11.5,17
2019-02-22,21,4,晴,西南风,4级,12.5,17
2019-02-23,12,3,阴,东北风,4级,7.5,9
2019-02-24,20,2,多云,东北风,2级,11.0,18
2019-02-25,21,3,晴,西北风,1级,12.0,18
2019-02-26,20,6,多云,东南风,4级,13.0,14
2019-02-27,19,2,阴,东南风,4级,10.5,17
2019-02-28,20,4,多云,东南风,5级,12.0,16
2019-01-01,16,-1,多云,西北风,1级,7.5,17
2019-01-02,16,0,晴,东北风,微风,8.0,16
2019-01-03,16,-1,多云,东南风,4级,7.5,17
2019-01-04,16,-1,阴,东南风,4级,7.5,17
2019-01-05,18,-1,晴,西南风,1级,8.5,19
2019-01-06,19,0,晴,东北风,2级,9.5,19
2019-01-07,21,1,晴,西南风,3级,11.0,20
2019-01-08,14,2,阴,西南风,2级,8.0,12
2019-01-09,17,4,阴,东南风,3级,10.5,13
2019-01-10,16,0,多云,西南风,2级,8.0,16
2019-01-11,17,0,多云,西北风,微风,8.5,17
2019-01-12,18,-1,晴,东南风,微风,8.5,19
2019-01-13,18,-1,多云,西南风,1级,8.5,19
2019-01-14,20,0,晴,北风,6级,10.0,20
2019-01-15,6,-1,阴,西北风,4级,2.5,7
2019-01-16,13,-2,晴,西北风,1级,5.5,15
2019-01-17,16,-1,晴,东南风,1级,7.5,17
2019-01-18,18,-1,晴,东南风,5级,8.5,19
2019-01-19,18,0,晴,西南风,2级,9.0,18
2019-01-20,15,0,阴,东北风,5级,7.5,15
2019-01-21,15,-1,雨夹雪,东北风,5级,7.0,16
2019-01-22,14,-1,晴,东北风,1级,6.5,15
2019-01-23,17,0,晴,西南风,1级,8.5,17
2019-01-24,18,0,晴,西北风,1级,9.0,18
2019-01-25,19,0,晴,西北风,5级,9.5,19
2019-01-26,18,1,晴,西北风,1级,9.5,17
2019-01-27,21,1,晴,东南风,3级,11.0,20
2019-01-28,21,2,晴,东南风,4级,11.5,19
2019-01-29,19,4,阴,西南风,5级,11.5,15
2019-01-30,16,0,阵雨,西北风,3级,8.0,16
2019-01-31,17,-1,晴,东南风,微风,8.0,18
2018-12-02,18,2,晴,西南风,1级,10.0,16
2018-12-03,18,1,晴,东北风,1级,9.5,17
2018-12-04,18,1,晴,西南风,1级,9.5,17
2018-12-05,16,3,晴,东南风,微风,9.5,13
2018-12-06,18,1,多云,东北风,1级,9.5,17
2018-12-07,15,2,多云,东北风,1级,8.5,13
2018-12-08,18,1,晴,东北风,2级,9.5,17
2018-12-09,18,0,小雨,西南风,1级,9.0,18
2018-12-10,19,0,晴,东北风,微风,9.5,19
2018-12-11,16,1,小雨,东北风,2级,8.5,15
2018-12-12,13,-1,小雨,东北风,1级,6.0,14
2018-12-13,17,0,晴,东北风,1级,8.5,17
2018-12-14,20,1,晴,东南风,1级,10.5,19
2018-12-15,18,2,多云,东北风,2级,10.0,16
2018-12-16,18,1,多云,东北风,2级,9.5,17
2018-12-17,19,0,晴,西北风,1级,9.5,19
2018-12-18,18,4,晴,西南风,2级,11.0,14
2018-12-19,15,1,阵雨,东北风,2级,8.0,14
2018-12-20,15,1,晴,西南风,1级,8.0,14
2018-12-21,18,0,多云,东南风,2级,9.0,18
2018-12-22,18,1,阴,东北风,1级,9.5,17
2018-12-23,15,0,晴,西南风,1级,7.5,15
2018-12-24,17,0,晴,西南风,1级,8.5,17
2018-12-25,17,0,晴,东北风,1级,8.5,17
2018-12-26,16,0,晴,西北风,3级,8.0,16
2018-12-27,16,0,晴,西北风,4级,8.0,16
2018-12-28,12,1,阴,东北风,5级,6.5,11
2018-12-29,3,-1,阴,西北风,2级,1.0,4
2018-12-30,11,-5,多云,东北风,1级,3.0,16
2018-12-31,14,-1,晴,西北风,1级,6.5,15
2018-11-01,21,5,多云,东南风,2级,13.0,16
2018-11-02,21,4,晴,西南风,微风,12.5,17
2018-11-03,20,5,多云,西风,1级,12.5,15
2018-11-04,18,6,阵雨,北风,4级,12.0,12
2018-11-05,17,7,阵雨,北风,4级,12.0,10
