日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,14,晴,西南风,2级,20.5,13
2019-09-02,26,15,多云,东北风,1级,20.5,11
2019-09-03,28,16,晴,西南风,1级,22.0,12
2019-09-04,29,16,多云,南风,微风,22.5,13
2019-09-05,29,17,阴,南风,微风,23.0,12
2019-09-06,27,18,阴,东南风,1级,22.5,9
2019-09-07,25,17,阴,东北风,4级,21.0,8
2019-09-08,27,10,多云,西北风,3级,18.5,17
2019-09-09,22,11,多云,南风,微风,16.5,11
2019-09-10,20,9,阴,西北风,1级,14.5,11
2019-09-11,23,7,晴,东北风,2级,15.0,16
2019-09-12,23,14,阴,东南风,1级,18.5,9
2019-09-13,19,8,阴,西北风,3级,13.5,11
2019-09-14,24,9,晴,北风,微风,16.5,15
2019-09-15,25,5,多云,东北风,2级,15.0,20
2019-09-16,17,4,晴,南风,微风,10.5,13
2019-09-17,22,3,晴,西北风,2级,12.5,19
2019-09-18,16,1,晴,西南风,2级,8.5,15
2019-09-19,17,4,晴,东北风,2级,10.5,13
2019-09-20,20,5,多云,西北风,3级,12.5,15
2019-09-21,20,2,多云,东北风,2级,11.0,18
2019-09-22,23,5,晴,南风,微风,14.0,18
2019-09-23,25,7,晴,南风,微风,16.0,18
2019-09-24,21,7,晴,北风,微风,14.0,14
2019-09-25,27,9,晴,南风,微风,18.0,18
2019-09-26,27,8,晴,南风,微风,17.5,19
2019-09-27,28,12,阴,南风,微风,20.0,16
2019-09-28,26,10,晴,西南风,3级,18.0,16
2019-09-29,21,8,晴,北风,微风,14.5,13
2019-09-30,27,13,晴,西南风,4级,20.0,14
2019-08-01,28,20,多云,西北风,2级,24.0,8
2019-08-02,30,21,多云,南风,微风,25.5,9
2019-08-03,24,19,小雨,东北风,1级,21.5,5
2019-08-04,28,20,晴,西南风,2级,24.0,8
2019-08-05,30,22,阴,东南风,1级,26.0,8
2019-08-06,29,22,阴,东南风,1级,25.5,7
2019-08-07,29,21,小雨,东北风,1级,25.0,8
2019-08-08,25,19,中雨,西北风,3级,22.0,6
2019-08-09,26,18,多云,东北风,3级,22.0,8
2019-08-10,28,22,阴,东北风,1级,25.0,6
2019-08-11,23,19,小雨,西南风,1级,21.0,4
2019-08-12,24,19,阴,东北风,3级,21.5,5
2019-08-13,25,20,中雨,东北风,2级,22.5,5
2019-08-14,24,20,中雨,北风,微风,22.0,4
2019-08-15,25,19,阴,东北风,3级,22.0,6
2019-08-16,22,17,小雨,西北风,1级,19.5,5
2019-08-17,18,15,大雨,西南风,2级,16.5,3
2019-08-18,24,16,小雨,南风,微风,20.0,8
2019-08-19,26,13,多云,东南风,微风,19.5,13
2019-08-20,25,19,阴,西南风,3级,22.0,6
2019-08-21,25,15,阴,西南风,3级,20.0,10
2019-08-22,21,14,小雨,西北风,2级,17.5,7
2019-08-23,23,13,小雨,西北风,2级,18.0,10
2019-08-24,25,13,多云,北风,微风,19.0,12
2019-08-25,25,16,阴,东南风,1级,20.5,9
2019-08-26,24,17,小雨,西南风,2级,20.5,7
2019-08-27,25,14,阴,东南风,2级,19.5,11
2019-08-28,24,14,阴,东北风,3级,19.0,10
2019-08-29,19,15,小雨,西北风,2级,17.0,4
2019-08-30,21,11,阴,南风,微风,16.0,10
2019-08-31,26,14,多云,西南风,1级,20.0,12
2019-07-01,19,15,小雨,西北风,1级,17.0,4
2019-07-02,29,18,多云,东北风,3级,23.5,11
2019-07-03,26,16,雷阵雨,西南风,1级,21.0,10
2019-07-04,30,20,晴,东南风,2级,25.0,10
2019-07-05,30,21,阴,南风,微风,25.5,9
2019-07-06,30,20,阴,西北风,2级,25.0,10
