日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,13,阴,北风,微风,19.5,13
2019-09-02,24,15,多云,西北风,1级,19.5,9
2019-09-03,20,16,多云,东北风,2级,18.0,4
2019-09-04,20,16,雾,北风,微风,18.0,4
2019-09-05,24,16,阴,西南风,1级,20.0,8
2019-09-06,27,17,多云,西北风,微风,22.0,10
2019-09-07,27,17,阴,西北风,1级,22.0,10
2019-09-08,26,17,多云,东南风,微风,21.5,9
2019-09-09,25,17,阴,西南风,1级,21.0,8
2019-09-10,21,17,阴,东北风,2级,19.0,4
2019-09-11,21,18,阴,西北风,1级,19.5,3
2019-09-12,23,11,阴,东北风,3级,17.0,12
2019-09-13,13,10,阴,东南风,1级,11.5,3
2019-09-14,13,10,阴,东南风,微风,11.5,3
2019-09-15,19,13,阴,东南风,1级,16.0,6
2019-09-16,16,12,阴,东北风,2级,14.0,4
2019-09-17,20,13,阴,东南风,1级,16.5,7
2019-09-18,17,12,小雨,东北风,3级,14.5,5
2019-09-19,18,10,阴,东北风,1级,14.0,8
2019-09-20,24,8,阴,东北风,2级,16.0,16
2019-09-21,25,9,晴,东北风,2级,17.0,16
2019-09-22,25,9,晴,东北风,1级,17.0,16
2019-09-23,20,10,多云,东北风,1级,15.0,10
2019-09-24,20,9,阴,西北风,微风,14.5,11
2019-09-25,24,8,晴,西北风,微风,16.0,16
2019-09-26,23,10,晴,东北风,1级,16.5,13
2019-09-27,22,11,多云,东北风,1级,16.5,11
2019-09-28,23,12,多云,东南风,1级,17.5,11
2019-09-29,23,12,多云,东南风,微风,17.5,11
2019-09-30,25,14,多云,东北风,2级,19.5,11
2019-08-01,29,19,多云,东南风,2级,24.0,10
2019-08-02,26,17,阴,东北风,1级,21.5,9
2019-08-03,28,18,阴,北风,微风,23.0,10
2019-08-04,30,19,多云,北风,微风,24.5,11
2019-08-05,25,19,小雨,东南风,1级,22.0,6
2019-08-06,29,17,小雨,北风,微风,23.0,12
2019-08-07,31,18,晴,东北风,1级,24.5,13
2019-08-08,28,19,阴,南风,微风,23.5,9
2019-08-09,30,17,小雨,东北风,2级,23.5,13
2019-08-10,32,18,晴,东北风,1级,25.0,14
2019-08-11,32,16,晴,北风,微风,24.0,16
2019-08-12,32,16,晴,北风,微风,24.0,16
2019-08-13,32,15,晴,西北风,2级,23.5,17
2019-08-14,32,16,晴,东北风,2级,24.0,16
2019-08-15,32,16,晴,东北风,1级,24.0,16
2019-08-16,33,16,晴,南风,微风,24.5,17
2019-08-17,30,16,多云,东北风,2级,23.0,14
2019-08-18,31,19,多云,南风,微风,25.0,12
2019-08-19,28,20,阴,南风,微风,24.0,8
2019-08-20,23,17,小雨,东南风,1级,20.0,6
2019-08-21,22,19,小雨,东北风,3级,20.5,3
2019-08-22,27,18,多云,东北风,3级,22.5,9
2019-08-23,32,18,多云,东北风,1级,25.0,14
2019-08-24,32,18,多云,东北风,2级,25.0,14
2019-08-25,29,20,暴雨,东北风,1级,24.5,9
2019-08-26,23,18,中雨,南风,微风,20.5,5
2019-08-27,27,17,阴,东北风,2级,22.0,10
2019-08-28,29,14,晴,东南风,微风,21.5,15
2019-08-29,30,15,多云,东北风,1级,22.5,15
2019-08-30,29,16,阴,东南风,1级,22.5,13
2019-08-31,23,14,雾,西南风,1级,18.5,9
2019-07-01,30,17,晴,东北风,1级,23.5,13
2019-07-02,26,18,多云,北风,微风,22.0,8
2019-07-03,27,16,阴,北风,微风,21.5,11
2019-07-04,29,14,多云,北风,微风,21.5,15
2019-07-05,29,16,晴,南风,微风,22.5,13
2019-07-06,28,15,多云,东北风,2级,21.5,13
2019-07-07,29,17,多云,西南风,2级,23.0,12
2019-07-08,21,15,中雨,东北风,1级,18.0,6
2019-07-09,28,14,多云,北风,微风,21.0,14
2019-07-10,29,17,多云,东北风,1级,23.0,12
2019-07-11,23,16,阴,南风,微风,19.5,7
2019-07-12,28,16,多云,东北风,2级,22.0,12
2019-07-13,30,15,多云,东北风,2级,22.5,15
2019-07-14,29,17,阴,北风,微风,23.0,12
2019-07-15,27,15,阴,南风,微风,21.0,12
2019-07-16,22,18,小雨,北风,微风,20.0,4
2019-07-17,24,18,阴,东南风,3级,21.0,6
2019-07-18,23,19,小雨,东北风,2级,21.0,4
2019-07-19,25,19,阴,西南风,2级,22.0,6
2019-07-20,32,19,多云,东北风,2级,25.5,13
2019-07-21,28,21,小雨,北风,微风,24.5,7
2019-07-22,26,15,小雨,东北风,1级,20.5,11
2019-07-23,33,17,多云,北风,微风,25.0,16
2019-07-24,30,17,多云,北风,微风,23.5,13
2019-07-25,31,19,晴,北风,微风,25.0,12
2019-07-26,31,20,阴,南风,微风,25.5,11
2019-07-27,30,22,晴,西北风,微风,26.0,8
2019-07-28,33,21,大雨,北风,微风,27.0,12
2019-07-29,24,16,大雨,东北风,1级,20.0,8
2019-07-30,31,17,晴,北风,微风,24.0,14
2019-07-31,31,18,晴,东风,2级,24.5,13
2019-06-01,29,12,阴,北风,微风,20.5,17
2019-06-02,29,11,晴,东北风,3级,20.0,18
2019-06-03,31,14,多云,北风,微风,22.5,17
2019-06-04,27,14,阴,东风,1级,20.5,13
2019-06-05,22,12,阴,东北风,3级,17.0,10
2019-06-06,23,12,多云,北风,微风,17.5,11
2019-06-07,27,16,多云,南风,微风,21.5,11
2019-06-08,30,14,阴,北风,微风,22.0,16
2019-06-09,24,15,雾,西北风,2级,19.5,9
2019-06-10,27,17,阴,西南风,1级,22.0,10
2019-06-11,22,14,阴,南风,微风,18.0,8
2019-06-12,28,14,多云,东北风,3级,21.0,14
2019-06-13,30,16,多云,西南风,3级,23.0,14
2019-06-14,27,16,阴,东北风,2级,21.5,11
2019-06-15,20,14,中雨,南风,微风,17.0,6
2019-06-16,23,17,阴,北风,微风,20.0,6
2019-06-17,23,16,小雨,西北风,1级,19.5,7
2019-06-18,23,18,阴,西南风,2级,20.5,5
2019-06-19,23,19,多云,西北风,1级,21.0,4
2019-06-20,23,18,中雨,东北风,2级,20.5,5
2019-06-21,21,18,中雨,东北风,2级,19.5,3
2019-06-22,24,17,阴,东北风,2级,20.5,7
2019-06-23,24,17,阴,西南风,2级,20.5,7
2019-06-24,22,18,阴,北风,微风,20.0,4
2019-06-25,29,18,阴,北风,微风,23.5,11
2019-06-26,26,18,小雨,南风,微风,22.0,8
2019-06-27,22,16,中雨,东北风,2级,19.0,6
2019-06-28,25,13,小雨,北风,微风,19.0,12
2019-06-29,21,15,多云,北风,微风,18.0,6
2019-06-30,28,14,多云,东北风,1级,21.0,14
2019-05-01,16,12,多云,东北风,2级,14.0,4
2019-05-02,23,11,多云,东北风,3级,17.0,12
2019-05-03,17,12,阴,东北风,微风,14.5,5
2019-05-04,23,14,阴,东北风,3级,18.5,9
2019-05-05,18,10,阴,东北风,2级,14.0,8
2019-05-06,14,7,阴,东北风,4级,10.5,7
2019-05-07,11,6,阴,北风,微风,8.5,5
2019-05-08,20,7,阴,东南风,微风,13.5,13
2019-05-09,22,9,阴,东北风,2级,15.5,13
2019-05-10,24,10,多云,西南风,2级,17.0,14
2019-05-11,24,11,多云,北风,微风,17.5,13
2019-05-12,18,10,扬沙,北风,微风,14.0,8
2019-05-13,24,10,浮尘,东北风,微风,17.0,14
2019-05-14,15,12,阴,北风,微风,13.5,3
2019-05-15,25,12,阴,北风,微风,18.5,13
2019-05-16,16,10,阴,东北风,2级,13.0,6
2019-05-17,26,15,多云,东北风,1级,20.5,11
2019-05-18,20,13,阴,东北风,1级,16.5,7
2019-05-19,20,9,阴,东北风,1级,14.5,11
2019-05-20,21,8,阴,北风,微风,14.5,13
2019-05-21,28,10,多云,北风,微风,19.0,18
2019-05-22,29,12,多云,北风,微风,20.5,17
2019-05-23,29,13,多云,西北风,2级,21.0,16
2019-05-24,28,13,阴,南风,微风,20.5,15
2019-05-25,30,14,阴,东北风,3级,22.0,16
2019-05-26,27,14,多云,南风,微风,20.5,13
2019-05-27,17,10,阴,东北风,3级,13.5,7
2019-05-28,14,10,阴,南风,微风,12.0,4
2019-05-29,16,10,阴,西北风,1级,13.0,6
2019-05-30,25,13,阴,北风,微风,19.0,12
2019-05-31,25,11,阴,东北风,2级,18.0,14
2019-04-01,22,7,阴,西南风,3级,14.5,15
2019-04-02,15,6,阴,东北风,2级,10.5,9
2019-04-03,18,5,阴,西北风,1级,11.5,13
2019-04-04,22,6,多云,北风,微风,14.0,16
2019-04-05,26,7,晴,南风,微风,16.5,19
