日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,14,阴,西南风,2级,19.0,10
2019-09-02,19,14,阴,西北风,微风,16.5,5
2019-09-03,22,15,中雨,东北风,2级,18.5,7
2019-09-04,23,14,阴,西南风,3级,18.5,9
2019-09-05,23,15,阴,西南风,3级,19.0,8
2019-09-06,23,14,阴,南风,1级,18.5,9
2019-09-07,24,15,阴,东南风,3级,19.5,9
2019-09-08,25,15,阴,东南风,3级,20.0,10
2019-09-09,23,17,阴,西南风,3级,20.0,6
2019-09-10,22,15,阴,东北风,2级,18.5,7
2019-09-11,21,15,阴,西南风,3级,18.0,6
2019-09-12,26,15,阴,西南风,1级,20.5,11
2019-09-13,25,16,阴,西南风,3级,20.5,9
2019-09-14,22,14,阴,西北风,1级,18.0,8
2019-09-15,20,14,阴,西南风,4级,17.0,6
2019-09-16,22,13,阴,西南风,3级,17.5,9
2019-09-17,24,13,阴,西南风,3级,18.5,11
2019-09-18,25,14,多云,东北风,3级,19.5,11
2019-09-19,26,13,阴,东南风,2级,19.5,13
2019-09-20,25,15,阴,西南风,2级,20.0,10
2019-09-21,17,13,阴,西北风,2级,15.0,4
2019-09-22,18,13,阴,东北风,2级,15.5,5
2019-09-23,20,13,阴,西南风,2级,16.5,7
2019-09-24,14,12,阴,西南风,2级,13.0,2
2019-09-25,15,9,阴,南风,1级,12.0,6
2019-09-26,20,9,阴,西南风,2级,14.5,11
2019-09-27,22,9,多云,北风,3级,15.5,13
2019-09-28,22,10,多云,东北风,1级,16.0,12
2019-09-29,23,9,多云,东北风,2级,16.0,14
2019-09-30,24,9,多云,西南风,4级,16.5,15
2019-08-01,23,14,小雨,东南风,1级,18.5,9
2019-08-02,25,16,阴,西南风,1级,20.5,9
2019-08-03,23,16,小雨,西南风,1级,19.5,7
2019-08-04,23,16,小雨,西北风,2级,19.5,7
2019-08-05,24,17,阴,东南风,1级,20.5,7
2019-08-06,26,17,阴,西南风,3级,21.5,9
2019-08-07,25,16,小雨,南风,微风,20.5,9
2019-08-08,27,17,阴,西南风,3级,22.0,10
2019-08-09,23,14,小雨,西南风,2级,18.5,9
2019-08-10,28,14,阴,北风,2级,21.0,14
2019-08-11,29,13,多云,西南风,2级,21.0,16
2019-08-12,30,15,多云,西南风,2级,22.5,15
2019-08-13,29,16,多云,西南风,2级,22.5,13
2019-08-14,23,15,小雨,西北风,2级,19.0,8
2019-08-15,27,13,多云,东北风,2级,20.0,14
2019-08-16,29,15,多云,西南风,3级,22.0,14
2019-08-17,31,17,晴,西北风,2级,24.0,14
2019-08-18,28,18,阴,西南风,3级,23.0,10
