日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,7,多云,东南风,1级,14.0,14
2019-09-02,23,12,多云,东南风,1级,17.5,11
2019-09-03,24,14,多云,西北风,1级,19.0,10
2019-09-04,24,14,阴,西南风,2级,19.0,10
2019-09-05,23,12,阴,西北风,1级,17.5,11
2019-09-06,21,11,阴,西南风,1级,16.0,10
2019-09-07,27,15,阴,西北风,2级,21.0,12
2019-09-08,22,7,多云,西北风,4级,14.5,15
2019-09-09,15,4,阴,西北风,2级,9.5,11
2019-09-10,17,2,多云,东南风,微风,9.5,15
2019-09-11,21,6,晴,西南风,2级,13.5,15
2019-09-12,26,11,阴,西南风,3级,18.5,15
2019-09-13,18,3,阴,西南风,2级,10.5,15
2019-09-14,19,6,多云,东南风,微风,12.5,13
2019-09-15,13,-3,阴,西南风,1级,5.0,16
2019-09-16,15,3,晴,西北风,微风,9.0,12
2019-09-17,11,1,阴,西南风,2级,6.0,10
2019-09-18,14,-2,多云,西北风,2级,6.0,16
2019-09-19,18,5,晴,西北风,1级,11.5,13
2019-09-20,16,-2,多云,西北风,3级,7.0,18
2019-09-21,19,2,多云,西北风,1级,10.5,17
2019-09-22,24,7,晴,东南风,1级,15.5,17
2019-09-23,18,0,多云,西北风,2级,9.0,18
2019-09-24,16,-4,晴,西南风,微风,6.0,20
2019-09-25,19,2,晴,西南风,2级,10.5,17
2019-09-26,22,6,晴,西南风,3级,14.0,16
2019-09-27,31,9,多云,西南风,2级,20.0,22
2019-09-28,24,1,多云,西北风,3级,12.5,23
2019-09-29,14,-1,多云,东南风,2级,6.5,15
2019-09-30,9,6,阴,东北风,1级,7.5,3
2019-08-01,27,14,阴,北风,2级,20.5,13
2019-08-02,29,15,晴,西南风,1级,22.0,14
2019-08-03,28,15,多云,西北风,2级,21.5,13
2019-08-04,30,19,多云,西北风,3级,24.5,11
2019-08-05,21,13,小雨,东南风,1级,17.0,8
2019-08-06,17,14,小雨,西南风,1级,15.5,3
2019-08-07,22,10,阴,西南风,1级,16.0,12
2019-08-08,20,13,小雨,西南风,1级,16.5,7
2019-08-09,21,12,小雨,东北风,2级,16.5,9
2019-08-10,18,14,小雨,西南风,2级,16.0,4
2019-08-11,20,11,小雨,东南风,微风,15.5,9
2019-08-12,25,12,多云,西南风,1级,18.5,13
2019-08-13,25,14,阴,西南风,1级,19.5,11
2019-08-14,27,14,多云,西南风,1级,20.5,13
2019-08-15,26,14,多云,西南风,1级,20.0,12
2019-08-16,23,15,阴,西南风,1级,19.0,8
2019-08-17,18,13,阴,西北风,3级,15.5,5
2019-08-18,16,8,小雨,东北风,1级,12.0,8
2019-08-19,23,10,多云,西北风,2级,16.5,13
2019-08-20,17,14,中雨,东南风,1级,15.5,3
2019-08-21,16,14,中雨,东北风,3级,15.0,2
2019-08-22,18,14,小雨,西北风,2级,16.0,4
2019-08-23,20,12,小雨,西南风,1级,16.0,8
2019-08-24,24,11,多云,东南风,1级,17.5,13
2019-08-25,24,11,多云,西南风,1级,17.5,13
2019-08-26,22,14,小雨,东南风,1级,18.0,8
2019-08-27,22,14,小雨,东北风,2级,18.0,8
2019-08-28,18,12,小雨,西南风,1级,15.0,6
2019-08-29,23,9,多云,东南风,1级,16.0,14
2019-08-30,24,7,阴,东南风,1级,15.5,17
2019-08-31,23,9,阴,北风,微风,16.0,14
2019-07-01,27,12,小雨,西南风,1级,19.5,15
2019-07-02,24,10,多云,东南风,2级,17.0,14
2019-07-03,28,15,小雨,西南风,1级,21.5,13
2019-07-04,22,13,阴,西北风,2级,17.5,9
2019-07-05,16,10,小雨,西北风,1级,13.0,6
2019-07-06,23,14,阴,西南风,2级,18.5,9
2019-07-07,25,12,阵雨,西南风,2级,18.5,13
2019-07-08,27,15,阴,东南风,2级,21.0,12
2019-07-09,28,16,阴,东南风,1级,22.0,12
2019-07-10,28,15,阴,东北风,4级,21.5,13
2019-07-11,29,15,阴,东北风,1级,22.0,14
2019-07-12,29,16,阴,西南风,2级,22.5,13
2019-07-13,29,16,阴,东南风,微风,22.5,13
2019-07-14,24,16,小雨,东南风,1级,20.0,8
2019-07-15,26,14,阴,西南风,3级,20.0,12
2019-07-16,25,16,阴,北风,微风,20.5,9
2019-07-17,26,15,阴,东北风,1级,20.5,11
2019-07-18,29,16,多云,东南风,1级,22.5,13
2019-07-19,29,19,阴,西南风,1级,24.0,10
2019-07-20,24,17,大雨,西南风,1级,20.5,7
2019-07-21,27,15,阴,西南风,1级,21.0,12
2019-07-22,26,16,多云,西北风,1级,21.0,10
2019-07-23,23,12,阴,西北风,3级,17.5,11
2019-07-24,16,12,小雨,东北风,2级,14.0,4
2019-07-25,18,10,小雨,东北风,1级,14.0,8
2019-07-26,22,11,阴,西南风,1级,16.5,11
2019-07-27,29,16,晴,西南风,1级,22.5,13
2019-07-28,24,16,小雨,北风,1级,20.0,8
2019-07-29,26,16,阴,东南风,3级,21.0,10
2019-07-30,20,16,小雨,西南风,1级,18.0,4
2019-07-31,24,15,小雨,西北风,2级,19.5,9
2019-06-01,20,3,阴,西南风,1级,11.5,17
2019-06-02,20,5,阴,西北风,2级,12.5,15
2019-06-03,25,6,多云,西北风,1级,15.5,19
2019-06-04,26,8,多云,东北风,3级,17.0,18
2019-06-05,24,6,阴,西北风,1级,15.0,18
2019-06-06,23,8,多云,东北风,2级,15.5,15
2019-06-07,25,6,多云,西北风,2级,15.5,19
2019-06-08,26,9,多云,西南风,1级,17.5,17
2019-06-09,27,10,多云,西南风,1级,18.5,17
2019-06-10,27,12,阴,东南风,1级,19.5,15
2019-06-11,26,9,阴,南风,微风,17.5,17
2019-06-12,29,14,雷阵雨,西北风,2级,21.5,15
2019-06-13,20,9,多云,东北风,2级,14.5,11
2019-06-14,19,5,阴,西北风,1级,12.0,14
2019-06-15,22,5,晴,西南风,1级,13.5,17
2019-06-16,25,12,多云,东南风,2级,18.5,13
2019-06-17,22,9,阵雨,西南风,1级,15.5,13
2019-06-18,28,11,多云,西南风,2级,19.5,17
2019-06-19,24,6,晴,西北风,2级,15.0,18
