日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,17,6,阴,东南风,2级,11.5,11
2019-09-02,19,7,多云,东南风,2级,13.0,12
2019-09-03,19,7,阵雨,东南风,2级,13.0,12
2019-09-04,21,8,阴,东南风,1级,14.5,13
2019-09-05,21,8,阴,东北风,2级,14.5,13
2019-09-06,21,8,阴,西北风,1级,14.5,13
2019-09-07,20,8,阴,东南风,1级,14.0,12
2019-09-08,21,10,阴,东南风,2级,15.5,11
2019-09-09,13,5,阴,东南风,1级,9.0,8
2019-09-10,12,7,阴,东南风,1级,9.5,5
2019-09-11,23,10,多云,东南风,1级,16.5,13
2019-09-12,12,5,阴,东南风,2级,8.5,7
2019-09-13,8,3,阴,东南风,2级,5.5,5
2019-09-14,15,6,多云,东南风,3级,10.5,9
2019-09-15,9,6,阴,东南风,2级,7.5,3
2019-09-16,11,5,阴,东南风,2级,8.0,6
2019-09-17,10,4,阴,东南风,2级,7.0,6
2019-09-18,8,5,小雨,东南风,2级,6.5,3
2019-09-19,13,2,阴,东南风,2级,7.5,11
2019-09-20,11,0,阴,西南风,1级,5.5,11
2019-09-21,14,0,晴,西北风,1级,7.0,14
2019-09-22,14,2,多云,东北风,1级,8.0,12
2019-09-23,8,0,阴,东南风,3级,4.0,8
2019-09-24,12,0,阴,西北风,1级,6.0,12
2019-09-25,15,1,阴,西北风,2级,8.0,14
2019-09-26,15,0,多云,西北风,1级,7.5,15
2019-09-27,18,1,晴,西北风,1级,9.5,17
2019-09-28,18,1,晴,东北风,3级,9.5,17
2019-09-29,19,2,晴,西北风,2级,10.5,17
2019-09-30,18,4,多云,西北风,1级,11.0,14
2019-08-01,20,10,多云,东北风,2级,15.0,10
2019-08-02,16,7,中雨,西南风,2级,11.5,9
2019-08-03,22,9,晴,西北风,3级,15.5,13
2019-08-04,17,8,小雨,东北风,1级,12.5,9
2019-08-05,18,8,阴,西北风,2级,13.0,10
2019-08-06,21,8,晴,东北风,1级,14.5,13
2019-08-07,21,11,阴,东南风,2级,16.0,10
2019-08-08,14,6,小雨,东南风,2级,10.0,8
2019-08-09,18,6,小雨,东南风,3级,12.0,12
2019-08-10,21,7,晴,西北风,2级,14.0,14
2019-08-11,23,8,晴,东南风,3级,15.5,15
2019-08-12,22,9,晴,东南风,3级,15.5,13
2019-08-13,18,5,小雨,东北风,微风,11.5,13
