日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,24,阴,西北风,3级,27.5,7
2019-09-02,27,23,阴,西北风,3级,25.0,4
2019-09-03,29,23,多云,西北风,3级,26.0,6
2019-09-04,33,23,多云,西北风,2级,28.0,10
2019-09-05,34,24,多云,东北风,2级,29.0,10
2019-09-06,33,23,阴,西北风,3级,28.0,10
2019-09-07,34,23,晴,西北风,2级,28.5,11
2019-09-08,37,23,晴,西北风,2级,30.0,14
2019-09-09,36,25,晴,西北风,2级,30.5,11
2019-09-10,37,26,晴,西北风,1级,31.5,11
2019-09-11,38,27,晴,东北风,1级,32.5,11
2019-09-12,37,27,晴,西北风,2级,32.0,10
2019-09-13,37,27,多云,北风,2级,32.0,10
2019-09-14,37,26,晴,西北风,3级,31.5,11
2019-09-15,36,25,晴,西北风,2级,30.5,11
2019-09-16,34,24,晴,东北风,4级,29.0,10
2019-09-17,34,23,多云,西北风,3级,28.5,11
2019-09-18,35,23,晴,西北风,3级,29.0,12
2019-09-19,31,18,晴,西北风,3级,24.5,13
2019-09-20,31,19,晴,西北风,4级,25.0,12
2019-09-21,28,19,晴,北风,4级,23.5,9
2019-09-22,28,17,晴,西北风,2级,22.5,11
2019-09-23,30,16,晴,东北风,2级,23.0,14
2019-09-24,31,16,晴,北风,3级,23.5,15
2019-09-25,32,17,晴,北风,2级,24.5,15
2019-09-26,32,17,晴,北风,2级,24.5,15
2019-09-27,32,18,晴,北风,3级,25.0,14
2019-09-28,32,19,晴,东北风,2级,25.5,13
2019-09-29,34,20,晴,西北风,2级,27.0,14
2019-09-30,34,21,晴,东北风,2级,27.5,13
2019-08-01,36,26,多云,东南风,2级,31.0,10
2019-08-02,34,25,阴,东南风,1级,29.5,9
2019-08-03,35,25,晴,东北风,2级,30.0,10
2019-08-04,34,26,晴,西北风,2级,30.0,8
2019-08-05,37,26,多云,西南风,2级,31.5,11
2019-08-06,35,26,阴,东北风,2级,30.5,9
2019-08-07,37,26,晴,东北风,3级,31.5,11
2019-08-08,36,27,多云,西北风,2级,31.5,9
2019-08-09,35,27,多云,西北风,3级,31.0,8
2019-08-10,36,27,阴,西南风,1级,31.5,9
2019-08-11,34,26,阴,东南风,1级,30.0,8
2019-08-12,36,26,晴,东北风,3级,31.0,10
2019-08-13,36,26,多云,西南风,2级,31.0,10
2019-08-14,35,26,晴,东北风,1级,30.5,9
2019-08-15,34,24,小雨,西南风,2级,29.0,10
2019-08-16,35,25,多云,西南风,2级,30.0,10
2019-08-17,35,25,晴,西南风,1级,30.0,10
2019-08-18,36,25,晴,西北风,1级,30.5,11
2019-08-19,36,24,晴,东北风,2级,30.0,12
2019-08-20,37,25,晴,东南风,1级,31.0,12
2019-08-21,36,25,晴,西北风,2级,30.5,11
2019-08-22,36,26,晴,西北风,2级,31.0,10
2019-08-23,36,27,阴,西北风,2级,31.5,9
2019-08-24,37,27,阴,东南风,2级,32.0,10
2019-08-25,33,26,阴,东风,3级,29.5,7
2019-08-26,36,27,多云,东南风,2级,31.5,9
2019-08-27,35,27,晴,东南风,1级,31.0,8
2019-08-28,38,26,多云,东北风,2级,32.0,12
2019-08-29,33,25,阴,东北风,2级,29.0,8
2019-08-30,33,23,阴,西北风,2级,28.0,10
2019-08-31,32,24,阴,西北风,2级,28.0,8
2019-07-01,34,26,小雨,东北风,1级,30.0,8
2019-07-02,34,26,阴,东北风,2级,30.0,8
2019-07-03,33,26,中雨,西南风,2级,29.5,7
2019-07-04,29,25,小雨,西南风,1级,27.0,4
2019-07-05,27,25,大雨,西南风,2级,26.0,2
2019-07-06,30,25,小雨,西南风,1级,27.5,5
2019-07-07,28,25,中雨,西南风,2级,26.5,3
2019-07-08,29,24,阴,西南风,1级,26.5,5
2019-07-09,22,22,暴雨,东北风,1级,22.0,0
2019-07-10,28,22,阴,东北风,1级,25.0,6
2019-07-11,31,25,阴,西北风,1级,28.0,6
2019-07-12,32,25,阴,东南风,3级,28.5,7
2019-07-13,28,23,小雨,东北风,2级,25.5,5
2019-07-14,24,23,大雨,西北风,2级,23.5,1
2019-07-15,30,24,小雨,西南风,1级,27.0,6
2019-07-16,33,25,小雨,东北风,1级,29.0,8
2019-07-17,35,26,多云,西北风,2级,30.5,9
2019-07-18,35,26,多云,东北风,2级,30.5,9
2019-07-19,34,26,小雨,东北风,1级,30.0,8
2019-07-20,35,26,阴,西南风,2级,30.5,9
2019-07-21,35,26,阴,东南风,1级,30.5,9
2019-07-22,34,26,阴,东南风,2级,30.0,8
2019-07-23,33,26,多云,西南风,2级,29.5,7
2019-07-24,35,26,晴,东南风,2级,30.5,9
2019-07-25,36,27,阴,东北风,1级,31.5,9
2019-07-26,35,27,大雨,西南风,1级,31.0,8
2019-07-27,37,27,多云,西南风,2级,32.0,10
2019-07-28,37,26,阴,西南风,5级,31.5,11
2019-07-29,35,26,晴,西南风,2级,30.5,9
2019-07-30,37,26,晴,东南风,1级,31.5,11
2019-07-31,36,26,阴,东北风,2级,31.0,10
2019-06-01,22,20,阴,东北风,1级,21.0,2
2019-06-02,26,20,阴,西北风,1级,23.0,6
2019-06-03,32,21,晴,东南风,1级,26.5,11
2019-06-04,35,23,晴,西南风,1级,29.0,12
2019-06-05,33,24,阴,东南风,2级,28.5,9
2019-06-06,32,25,阴,南风,3级,28.5,7
2019-06-07,25,23,阴,西南风,3级,24.0,2
2019-06-08,28,24,中雨,西南风,4级,26.0,4
2019-06-09,25,23,阴,西北风,1级,24.0,2
2019-06-10,30,23,阴,西北风,1级,26.5,7
2019-06-11,33,23,阴,西北风,2级,28.0,10
2019-06-12,29,23,小雨,东北风,2级,26.0,6
2019-06-13,22,20,大雨,西北风,3级,21.0,2
2019-06-14,25,18,小雨,西南风,2级,21.5,7
2019-06-15,31,21,晴,东北风,1级,26.0,10
2019-06-16,33,23,多云,东北风,1级,28.0,10
2019-06-17,33,24,多云,东南风,2级,28.5,9
2019-06-18,33,26,小雨,东南风,2级,29.5,7
2019-06-19,34,25,阴,东南风,2级,29.5,9
2019-06-20,35,26,阴,东南风,2级,30.5,9
2019-06-21,32,25,阴,东南风,1级,28.5,7
2019-06-22,26,24,小雨,北风,3级,25.0,2
2019-06-23,22,21,小雨,东北风,1级,21.5,1
2019-06-24,24,22,小雨,东北风,2级,23.0,2
2019-06-25,26,23,小雨,西北风,2级,24.5,3
2019-06-26,32,24,阵雨,东北风,1级,28.0,8
2019-06-27,34,26,晴,东南风,1级,30.0,8
2019-06-28,36,27,多云,西南风,2级,31.5,9
2019-06-29,36,26,阴,东北风,3级,31.0,10
2019-06-30,37,25,中雨,西南风,1级,31.0,12
2019-05-01,24,14,多云,西南风,1级,19.0,10
2019-05-02,25,15,多云,西南风,1级,20.0,10
2019-05-03,28,17,多云,北风,1级,22.5,11
2019-05-04,24,18,阴,东北风,1级,21.0,6
2019-05-05,21,17,阴,东北风,1级,19.0,4
2019-05-06,19,15,阴,北风,1级,17.0,4
2019-05-07,21,16,阴,西北风,3级,18.5,5
2019-05-08,20,16,阴,西北风,2级,18.0,4
2019-05-09,25,17,多云,东风,1级,21.0,8
2019-05-10,27,19,多云,西北风,1级,23.0,8
2019-05-11,28,19,多云,西南风,1级,23.5,9
2019-05-12,32,21,阴,东南风,6级,26.5,11
2019-05-13,25,21,阴,东北风,2级,23.0,4
2019-05-14,28,22,阴,北风,1级,25.0,6
2019-05-15,32,23,阴,西北风,4级,27.5,9
2019-05-16,29,23,阴,东北风,2级,26.0,6
2019-05-17,27,23,阴,西北风,2级,25.0,4
2019-05-18,32,24,阴,东北风,1级,28.0,8
2019-05-19,24,21,阴,东北风,1级,22.5,3
2019-05-20,27,18,阴,西北风,3级,22.5,9
2019-05-21,26,19,阴,东北风,3级,22.5,7
2019-05-22,22,18,阴,东南风,1级,20.0,4
2019-05-23,31,21,晴,东南风,1级,26.0,10
2019-05-24,29,23,阴,西南风,2级,26.0,6
2019-05-25,30,23,多云,东南风,2级,26.5,7
2019-05-26,29,24,阴,东南风,2级,26.5,5
2019-05-27,27,22,阴,西北风,2级,24.5,5
2019-05-28,22,19,阴,东北风,3级,20.5,3
2019-05-29,28,21,阴,东北风,2级,24.5,7
2019-05-30,26,22,多云,东北风,2级,24.0,4
2019-05-31,24,21,阴,东北风,3级,22.5,3
2019-04-01,20,12,多云,西南风,3级,16.0,8
2019-04-02,15,14,阴,西北风,2级,14.5,1
2019-04-03,14,13,阴,东北风,2级,13.5,1
2019-04-04,14,12,阴,东北风,1级,13.0,2
2019-04-05,19,13,阴,东南风,1级,16.0,6
2019-04-06,28,16,雾,西南风,1级,22.0,12
2019-04-07,31,18,多云,东南风,2级,24.5,13
2019-04-08,32,21,晴,西南风,2级,26.5,11
2019-04-09,33,13,多云,东北风,4级,23.0,20
2019-04-10,15,13,阴,西北风,2级,14.0,2
2019-04-11,13,10,阴,东北风,2级,11.5,3
2019-04-12,18,15,阴,西南风,1级,16.5,3
2019-04-13,19,16,阴,东北风,1级,17.5,3
2019-04-14,18,16,阴,东北风,2级,17.0,2
2019-04-15,20,16,阴,东北风,1级,18.0,4
2019-04-16,21,14,阴,北风,微风,17.5,7
2019-04-17,25,16,阴,西南风,1级,20.5,9
2019-04-18,28,19,阴,东南风,1级,23.5,9
2019-04-19,25,20,阴,西南风,1级,22.5,5
2019-04-20,29,21,阴,东北风,1级,25.0,8
2019-04-21,30,22,阴,东南风,1级,26.0,8
2019-04-22,25,21,阴,东南风,2级,23.0,4
2019-04-23,28,21,阴,东北风,1级,24.5,7
2019-04-24,30,22,阴,东北风,2级,26.0,8
2019-04-25,27,19,阴,东南风,1级,23.0,8
2019-04-26,31,21,雾,西南风,5级,26.0,10
2019-04-27,25,20,阴,西南风,3级,22.5,5
2019-04-28,27,20,阴,西南风,2级,23.5,7
2019-04-29,27,17,阴,东北风,3级,22.0,10
2019-04-30,18,16,阴,东北风,2级,17.0,2
2019-03-01,9,8,阴,东北风,1级,8.5,1
2019-03-02,10,8,阴,西北风,2级,9.0,2
2019-03-03,12,2,阴,北风,1级,7.0,10
2019-03-04,18,2,阴,东南风,1级,10.0,16
2019-03-05,13,9,阴,东北风,3级,11.0,4
2019-03-06,12,9,阴,东北风,2级,10.5,3
2019-03-07,11,9,阴,东北风,2级,10.0,2
2019-03-08,10,9,阴,东北风,1级,9.5,1
2019-03-09,12,9,阴,东北风,2级,10.5,3
2019-03-10,17,7,多云,东北风,2级,12.0,10
2019-03-11,20,8,雾,东北风,2级,14.0,12
2019-03-12,24,8,雾,东北风,1级,16.0,16
2019-03-13,26,13,阴,东北风,2级,19.5,13
2019-03-14,14,10,阴,东北风,2级,12.0,4
2019-03-15,21,11,多云,东北风,2级,16.0,10
2019-03-16,16,12,阴,西南风,1级,14.0,4
2019-03-17,13,11,阴,东北风,1级,12.0,2
2019-03-18,18,10,阴,西南风,1级,14.0,8
2019-03-19,21,17,阴,东南风,1级,19.0,4
2019-03-20,29,20,多云,西南风,3级,24.5,9
2019-03-21,24,13,阴,东北风,3级,18.5,11
2019-03-22,13,10,阴,东北风,3级,11.5,3
2019-03-23,11,8,阴,东北风,2级,9.5,3
2019-03-24,13,11,阴,北风,微风,12.0,2
2019-03-25,16,9,阴,西北风,1级,12.5,7
2019-03-26,17,14,阴,东南风,1级,15.5,3
2019-03-27,27,19,多云,东南风,3级,23.0,8
2019-03-28,27,14,阴,东北风,3级,20.5,13
2019-03-29,19,12,阴,东北风,2级,15.5,7
2019-03-30,24,14,阴,东北风,3级,19.0,10
2019-03-31,14,10,阴,东北风,3级,12.0,4
2019-02-01,9,6,多云,西南风,2级,7.5,3
