日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,15,晴,南风,微风,23.0,16
2019-09-02,31,15,晴,西南风,2级,23.0,16
2019-09-03,30,15,晴,东南风,1级,22.5,15
2019-09-04,31,16,多云,东南风,1级,23.5,15
2019-09-05,31,16,晴,东南风,1级,23.5,15
2019-09-06,31,17,晴,南风,微风,24.0,14
2019-09-07,32,16,晴,西南风,2级,24.0,16
2019-09-08,33,18,晴,南风,微风,25.5,15
2019-09-09,33,19,阴,东北风,2级,26.0,14
2019-09-10,21,16,阴,东北风,2级,18.5,5
2019-09-11,24,16,阴,东北风,1级,20.0,8
2019-09-12,22,16,阴,西南风,2级,19.0,6
2019-09-13,26,15,阴,西南风,2级,20.5,11
2019-09-14,28,14,多云,南风,微风,21.0,14
2019-09-15,28,15,多云,西南风,2级,21.5,13
2019-09-16,26,13,晴,东南风,1级,19.5,13
2019-09-17,27,13,阴,西南风,2级,20.0,14
2019-09-18,25,12,晴,东南风,1级,18.5,13
2019-09-19,23,11,阴,西南风,2级,17.0,12
2019-09-20,23,13,阴,西南风,1级,18.0,10
2019-09-21,27,14,晴,东南风,1级,20.5,13
2019-09-22,27,14,晴,西南风,1级,20.5,13
2019-09-23,30,14,晴,南风,微风,22.0,16
2019-09-24,31,12,晴,东北风,2级,21.5,19
2019-09-25,29,12,晴,南风,微风,20.5,17
2019-09-26,29,12,晴,南风,微风,20.5,17
2019-09-27,29,13,晴,东南风,1级,21.0,16
2019-09-28,29,14,晴,南风,微风,21.5,15
2019-09-29,30,14,晴,南风,微风,22.0,16
2019-09-30,30,15,晴,东南风,3级,22.5,15
2019-08-01,32,23,多云,西南风,1级,27.5,9
2019-08-02,27,21,小雨,东北风,1级,24.0,6
2019-08-03,29,22,阴,西南风,1级,25.5,7
2019-08-04,27,20,小雨,东北风,3级,23.5,7
2019-08-05,30,22,小雨,东北风,2级,26.0,8
2019-08-06,32,22,阴,东南风,1级,27.0,10
2019-08-07,30,23,阴,东南风,1级,26.5,7
2019-08-08,32,24,多云,西南风,1级,28.0,8
2019-08-09,32,23,阴,西北风,2级,27.5,9
2019-08-10,28,22,阴,东北风,2级,25.0,6
