日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,21,阴,东北风,1级,21.0,0
2019-09-02,22,21,阴,东北风,1级,21.5,1
2019-09-03,24,22,小到中雨,西北风,1级,23.0,2
2019-09-04,26,23,阴,东北风,2级,24.5,3
2019-09-05,29,24,阴,东北风,2级,26.5,5
2019-09-06,29,23,阴,西北风,4级,26.0,6
2019-09-07,30,20,阴,西北风,2级,25.0,10
2019-09-08,31,22,晴,东南风,1级,26.5,9
2019-09-09,31,22,多云,西北风,微风,26.5,9
2019-09-10,32,23,多云,东南风,1级,27.5,9
2019-09-11,32,24,阴,东南风,2级,28.0,8
2019-09-12,32,23,多云,东南风,3级,27.5,9
2019-09-13,31,23,多云,东南风,2级,27.0,8
2019-09-14,31,22,多云,东南风,1级,26.5,9
2019-09-15,29,21,阴,东北风,3级,25.0,8
2019-09-16,29,21,多云,东北风,3级,25.0,8
2019-09-17,29,22,多云,东北风,3级,25.5,7
2019-09-18,29,20,晴,东北风,3级,24.5,9
2019-09-19,26,19,多云,东北风,3级,22.5,7
2019-09-20,26,19,多云,东北风,2级,22.5,7
2019-09-21,23,21,阴,东北风,4级,22.0,2
2019-09-22,24,19,阴,东北风,2级,21.5,5
2019-09-23,27,16,多云,西北风,1级,21.5,11
2019-09-24,27,16,多云,北风,微风,21.5,11
2019-09-25,29,17,多云,东南风,3级,23.0,12
2019-09-26,27,18,多云,东南风,2级,22.5,9
2019-09-27,28,17,多云,东南风,2级,22.5,11
2019-09-28,28,19,多云,东南风,1级,23.5,9
2019-09-29,28,20,多云,东南风,3级,24.0,8
2019-09-30,29,23,多云,东南风,2级,26.0,6
2019-08-01,34,27,阴,东南风,4级,30.5,7
2019-08-02,33,26,多云,东北风,3级,29.5,7
2019-08-03,32,26,阴,东南风,4级,29.0,6
2019-08-04,27,26,大暴雨,东南风,2级,26.5,1
2019-08-05,32,26,多云,东南风,4级,29.0,6
2019-08-06,32,25,阴,东南风,3级,28.5,7
2019-08-07,32,27,多云,东南风,3级,29.5,5
2019-08-08,33,27,阴,东南风,4级,30.0,6
2019-08-09,32,26,中雨,东北风,5级,29.0,6
2019-08-10,27,26,大暴雨,东南风,3级,26.5,1
2019-08-11,33,25,多云,西北风,2级,29.0,8
2019-08-12,34,25,多云,东北风,1级,29.5,9
2019-08-13,34,25,多云,东南风,2级,29.5,9
2019-08-14,35,26,晴,东北风,2级,30.5,9
2019-08-15,32,25,多云,西南风,微风,28.5,7
2019-08-16,34,25,晴,东南风,2级,29.5,9
2019-08-17,36,25,晴,东南风,1级,30.5,11
2019-08-18,33,26,阴,西北风,1级,29.5,7
2019-08-19,32,24,阴,东北风,2级,28.0,8
2019-08-20,31,24,多云,东南风,3级,27.5,7
2019-08-21,33,24,晴,东南风,3级,28.5,9
2019-08-22,33,26,多云,东南风,3级,29.5,7
2019-08-23,33,26,大雨,东北风,3级,29.5,7
2019-08-24,33,27,阴,东南风,3级,30.0,6
2019-08-25,32,27,阴,东南风,3级,29.5,5
2019-08-26,35,28,多云,西南风,微风,31.5,7
2019-08-27,36,27,阴,东北风,1级,31.5,9
2019-08-28,33,23,阴,西北风,3级,28.0,10
2019-08-29,21,19,大雨,西南风,2级,20.0,2
2019-08-30,29,22,晴,东南风,1级,25.5,7
2019-08-31,29,22,阴,西南风,1级,25.5,7
2019-07-01,26,22,中雨,东南风,2级,24.0,4
2019-07-02,28,23,阴,东南风,3级,25.5,5
2019-07-03,27,23,小雨,东南风,2级,25.0,4
2019-07-04,26,22,阴,东南风,3级,24.0,4
2019-07-05,28,23,阴,东南风,3级,25.5,5
2019-07-06,30,24,阴,东南风,2级,27.0,6
