日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,19,多云,西北风,2级,24.5,11
2019-09-02,27,19,阴,西北风,1级,23.0,8
2019-09-03,29,19,多云,西北风,1级,24.0,10
2019-09-04,28,20,多云,西南风,2级,24.0,8
2019-09-05,31,20,晴,西北风,1级,25.5,11
2019-09-06,32,20,晴,西北风,2级,26.0,12
2019-09-07,33,21,晴,西北风,1级,27.0,12
2019-09-08,34,23,多云,西北风,2级,28.5,11
2019-09-09,34,23,多云,西北风,1级,28.5,11
2019-09-10,30,22,阴,东北风,3级,26.0,8
2019-09-11,32,23,多云,西北风,2级,27.5,9
2019-09-12,34,24,多云,东北风,1级,29.0,10
2019-09-13,28,20,多云,西北风,2级,24.0,8
2019-09-14,24,19,多云,西北风,2级,21.5,5
2019-09-15,21,17,阴,西北风,1级,19.0,4
2019-09-16,19,18,阴,西北风,1级,18.5,1
2019-09-17,19,17,阴,西北风,2级,18.0,2
2019-09-18,20,17,小雨,西北风,2级,18.5,3
2019-09-19,22,18,多云,西南风,1级,20.0,4
2019-09-20,26,16,多云,西北风,1级,21.0,10
2019-09-21,27,16,多云,西北风,1级,21.5,11
2019-09-22,29,15,晴,西北风,1级,22.0,14
2019-09-23,31,17,多云,西北风,2级,24.0,14
2019-09-24,32,19,多云,西南风,1级,25.5,13
2019-09-25,30,17,阴,西北风,1级,23.5,13
2019-09-26,31,15,晴,西北风,2级,23.0,16
2019-09-27,32,16,晴,西南风,1级,24.0,16
2019-09-28,33,16,晴,东南风,1级,24.5,17
2019-09-29,34,17,晴,东南风,2级,25.5,17
2019-09-30,35,18,晴,西北风,2级,26.5,17
2019-08-01,34,24,阴,西北风,1级,29.0,10
2019-08-02,30,24,阴,西北风,1级,27.0,6
2019-08-03,31,24,阴,西北风,1级,27.5,7
2019-08-04,31,24,阴,东北风,1级,27.5,7
2019-08-05,34,25,阴,西北风,1级,29.5,9
2019-08-06,29,23,阴,西北风,1级,26.0,6
2019-08-07,29,24,阴,西南风,1级,26.5,5
2019-08-08,33,24,多云,西北风,2级,28.5,9
2019-08-09,34,23,多云,西北风,2级,28.5,11
2019-08-10,32,23,多云,东北风,1级,27.5,9
2019-08-11,35,23,晴,东北风,1级,29.0,12
2019-08-12,34,24,多云,西南风,1级,29.0,10
2019-08-13,35,23,多云,西北风,2级,29.0,12
2019-08-14,36,24,晴,西北风,2级,30.0,12
2019-08-15,37,23,晴,西北风,1级,30.0,14
2019-08-16,38,23,晴,东南风,1级,30.5,15
2019-08-17,32,24,多云,西北风,1级,28.0,8
2019-08-18,35,25,多云,西北风,1级,30.0,10
2019-08-19,35,25,阴,东北风,1级,30.0,10
2019-08-20,37,26,阴,西北风,1级,31.5,11
2019-08-21,30,23,阴,东北风,1级,26.5,7
2019-08-22,30,23,多云,东北风,2级,26.5,7
2019-08-23,32,24,多云,西北风,2级,28.0,8
2019-08-24,35,24,多云,西北风,2级,29.5,11
2019-08-25,35,23,多云,西北风,1级,29.0,12
2019-08-26,31,24,阴,西北风,1级,27.5,7
2019-08-27,27,22,暴雨,西北风,1级,24.5,5
2019-08-28,29,21,小雨,西南风,1级,25.0,8
2019-08-29,35,20,晴,西北风,2级,27.5,15
2019-08-30,32,20,多云,西北风,2级,26.0,12
2019-08-31,30,19,多云,西北风,2级,24.5,11
2019-07-01,34,20,晴,东北风,1级,27.0,14
2019-07-02,35,22,多云,西北风,1级,28.5,13
2019-07-03,33,23,多云,西北风,1级,28.0,10
2019-07-04,28,20,阴,西北风,1级,24.0,8
2019-07-05,33,22,晴,东南风,4级,27.5,11
2019-07-06,38,21,多云,西北风,1级,29.5,17
2019-07-07,34,22,多云,东南风,3级,28.0,12
2019-07-08,25,20,小雨,西北风,1级,22.5,5
2019-07-09,31,20,多云,西南风,1级,25.5,11
2019-07-10,31,21,小雨,西北风,1级,26.0,10
2019-07-11,30,22,阴,东南风,2级,26.0,8
2019-07-12,24,20,中雨,南风,微风,22.0,4
2019-07-13,32,21,晴,西北风,2级,26.5,11
2019-07-14,33,21,晴,东南风,2级,27.0,12
2019-07-15,33,23,阴,西南风,1级,28.0,10
2019-07-16,31,24,阴,西北风,1级,27.5,7
2019-07-17,30,23,阴,西北风,2级,26.5,7
2019-07-18,26,23,小雨,西南风,2级,24.5,3
2019-07-19,33,22,阴,西北风,2级,27.5,11
2019-07-20,34,24,阴,西北风,1级,29.0,10
2019-07-21,35,26,多云,东南风,1级,30.5,9
