日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,18,晴,西南风,3级,24.5,13
2019-09-02,30,17,晴,西南风,3级,23.5,13
2019-09-03,30,17,晴,西南风,2级,23.5,13
2019-09-04,28,19,晴,东北风,1级,23.5,9
2019-09-05,28,18,阴,西南风,2级,23.0,10
2019-09-06,28,19,晴,西南风,1级,23.5,9
2019-09-07,26,18,阴,西北风,3级,22.0,8
2019-09-08,30,16,多云,东北风,1级,23.0,14
2019-09-09,27,17,阴,东北风,2级,22.0,10
2019-09-10,23,13,阴,东北风,2级,18.0,10
2019-09-11,26,14,多云,东北风,2级,20.0,12
2019-09-12,23,17,多云,西南风,2级,20.0,6
2019-09-13,20,16,阴,东北风,1级,18.0,4
2019-09-14,27,13,多云,西北风,2级,20.0,14
2019-09-15,27,13,多云,西北风,2级,20.0,14
2019-09-16,23,10,晴,东北风,2级,16.5,13
2019-09-17,26,8,多云,东北风,7级,17.0,18
2019-09-18,22,9,晴,西南风,3级,15.5,13
2019-09-19,21,11,阴,西北风,2级,16.0,10
2019-09-20,24,11,多云,西南风,1级,17.5,13
2019-09-21,26,11,晴,东北风,2级,18.5,15
2019-09-22,26,10,晴,西北风,2级,18.0,16
2019-09-23,26,12,晴,西南风,2级,19.0,14
2019-09-24,27,10,晴,西北风,1级,18.5,17
2019-09-25,27,14,阴,西南风,3级,20.5,13
2019-09-26,26,14,多云,西南风,2级,20.0,12
2019-09-27,24,14,阴,西南风,4级,19.0,10
2019-09-28,26,15,晴,西南风,1级,20.5,11
2019-09-29,26,14,晴,西南风,1级,20.0,12
2019-09-30,27,17,晴,西南风,2级,22.0,10
2019-08-01,32,23,中雨,东南风,3级,27.5,9
2019-08-02,28,21,中雨,东北风,2级,24.5,7
2019-08-03,28,22,阴,西北风,2级,25.0,6
2019-08-04,30,22,阴,东南风,2级,26.0,8
2019-08-05,29,23,小雨,西南风,2级,26.0,6
2019-08-06,26,22,中雨,东南风,2级,24.0,4
2019-08-07,27,22,小雨,西南风,1级,24.5,5
2019-08-08,29,22,阴,西南风,2级,25.5,7
2019-08-09,29,23,阴,西南风,2级,26.0,6
2019-08-10,29,22,暴雨,西南风,1级,25.5,7
2019-08-11,24,21,中雨,东北风,3级,22.5,3
2019-08-12,21,20,大雨,东北风,4级,20.5,1
2019-08-13,21,21,大雨,西北风,4级,21.0,0
2019-08-14,24,20,小雨,东北风,2级,22.0,4
