日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,17,晴,东北风,1级,23.0,12
2019-09-02,30,17,晴,东北风,2级,23.5,13
2019-09-03,31,17,晴,东南风,2级,24.0,14
2019-09-04,27,20,阴,东北风,2级,23.5,7
2019-09-05,25,19,阴,东北风,2级,22.0,6
2019-09-06,26,19,阴,东南风,1级,22.5,7
2019-09-07,21,20,阴,西北风,2级,20.5,1
2019-09-08,28,18,晴,东南风,2级,23.0,10
2019-09-09,29,17,晴,东南风,2级,23.0,12
2019-09-10,22,12,阴,东北风,2级,17.0,10
2019-09-11,24,13,晴,东南风,1级,18.5,11
2019-09-12,23,17,阴,西南风,2级,20.0,6
2019-09-13,21,15,阴,西南风,1级,18.0,6
2019-09-14,24,12,多云,东北风,2级,18.0,12
2019-09-15,26,13,多云,西北风,1级,19.5,13
2019-09-16,22,7,晴,东南风,1级,14.5,15
2019-09-17,25,7,多云,西北风,5级,16.0,18
2019-09-18,18,7,晴,东北风,3级,12.5,11
2019-09-19,23,11,晴,东南风,2级,17.0,12
2019-09-20,26,11,阴,东北风,1级,18.5,15
2019-09-21,24,10,晴,东风,2级,17.0,14
2019-09-22,23,8,晴,东北风,2级,15.5,15
2019-09-23,24,10,晴,东北风,2级,17.0,14
2019-09-24,23,9,晴,东北风,2级,16.0,14
2019-09-25,28,14,晴,西北风,1级,21.0,14
2019-09-26,29,13,晴,东南风,2级,21.0,16
2019-09-27,28,14,晴,东风,1级,21.0,14
2019-09-28,26,14,晴,西北风,1级,20.0,12
2019-09-29,25,15,晴,东北风,1级,20.0,10
2019-09-30,28,17,晴,南风,微风,22.5,11
2019-08-01,31,23,大雨,东南风,3级,27.0,8
2019-08-02,29,22,阴,西南风,3级,25.5,7
2019-08-03,28,22,大雨,东南风,1级,25.0,6
2019-08-04,28,22,阴,南风,2级,25.0,6
2019-08-05,30,22,阴,西南风,1级,26.0,8
2019-08-06,32,23,阴,东南风,2级,27.5,9
2019-08-07,32,22,阴,东南风,1级,27.0,10
2019-08-08,27,21,中雨,东南风,1级,24.0,6
2019-08-09,31,23,多云,东南风,2级,27.0,8
2019-08-10,31,23,阴,东北风,2级,27.0,8
2019-08-11,24,21,中雨,东北风,3级,22.5,3
2019-08-12,29,23,阴,东南风,1级,26.0,6
2019-08-13,27,23,阴,东南风,1级,25.0,4
2019-08-14,27,21,阴,东南风,1级,24.0,6
2019-08-15,23,20,阴,东北风,1级,21.5,3
2019-08-16,28,18,阴,东北风,3级,23.0,10
2019-08-17,24,17,小雨,南风,微风,20.5,7
2019-08-18,26,17,多云,东南风,2级,21.5,9
2019-08-19,29,18,晴,东北风,2级,23.5,11
2019-08-20,27,20,多云,西南风,3级,23.5,7
2019-08-21,27,18,多云,东北风,1级,22.5,9
2019-08-22,27,16,阴,东南风,1级,21.5,11
2019-08-23,25,17,小雨,东南风,1级,21.0,8
2019-08-24,26,16,阴,东北风,2级,21.0,10
2019-08-25,29,19,晴,东南风,微风,24.0,10
2019-08-26,28,19,阴,西南风,4级,23.5,9
2019-08-27,26,18,阴,东南风,1级,22.0,8
2019-08-28,26,15,大雨,西北风,1级,20.5,11
2019-08-29,20,14,阴,西南风,1级,17.0,6
2019-08-30,22,14,阴,东北风,1级,18.0,8
2019-08-31,26,14,晴,东北风,2级,20.0,12
2019-07-01,25,16,阴,西南风,1级,20.5,9
2019-07-02,31,18,多云,西南风,3级,24.5,13
2019-07-03,31,19,晴,东南风,3级,25.0,12
