日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,16,阴,西南风,2级,18.5,5
2019-09-02,21,15,阴,西南风,2级,18.0,6
2019-09-03,20,16,阵雨,西南风,1级,18.0,4
2019-09-04,24,17,多云,东南风,2级,20.5,7
2019-09-05,24,17,多云,西南风,2级,20.5,7
2019-09-06,24,17,多云,西南风,2级,20.5,7
2019-09-07,26,17,阴,西南风,2级,21.5,9
2019-09-08,23,17,阴,西南风,3级,20.0,6
2019-09-09,24,16,阴,西南风,3级,20.0,8
2019-09-10,22,16,阴,东北风,微风,19.0,6
2019-09-11,19,15,阴,西南风,2级,17.0,4
2019-09-12,22,17,阴,西南风,2级,19.5,5
2019-09-13,24,16,阴,西南风,1级,20.0,8
2019-09-14,24,16,多云,西南风,1级,20.0,8
2019-09-15,24,16,阴,西南风,2级,20.0,8
2019-09-16,25,16,多云,西南风,2级,20.5,9
2019-09-17,24,16,多云,西南风,1级,20.0,8
2019-09-18,24,16,多云,西南风,2级,20.0,8
2019-09-19,22,15,阴,西南风,2级,18.5,7
2019-09-20,21,14,阴,东北风,4级,17.5,7
2019-09-21,16,11,阴,东北风,2级,13.5,5
2019-09-22,20,12,多云,东北风,1级,16.0,8
2019-09-23,18,12,晴,西南风,2级,15.0,6
2019-09-24,18,13,多云,东北风,1级,15.5,5
2019-09-25,16,12,阴,北风,微风,14.0,4
2019-09-26,16,12,阴,西南风,1级,14.0,4
2019-09-27,20,12,多云,西南风,1级,16.0,8
2019-09-28,21,13,多云,西南风,1级,17.0,8
2019-09-29,23,14,晴,西南风,3级,18.5,9
2019-09-30,23,15,多云,西南风,1级,19.0,8
2019-08-01,26,16,阴,西南风,1级,21.0,10
2019-08-02,26,17,多云,西南风,1级,21.5,9
2019-08-03,27,16,阴,东北风,2级,21.5,11
2019-08-04,23,16,阴,西北风,2级,19.5,7
2019-08-05,22,17,阴,北风,微风,19.5,5
2019-08-06,24,17,小雨,西南风,2级,20.5,7
2019-08-07,23,17,小雨,西南风,1级,20.0,6
2019-08-08,26,16,阴,西北风,微风,21.0,10
2019-08-09,24,17,阴,北风,微风,20.5,7
2019-08-10,24,16,小雨,西南风,微风,20.0,8
2019-08-11,26,17,多云,西南风,2级,21.5,9
2019-08-12,27,17,多云,西南风,2级,22.0,10
2019-08-13,28,17,阴,西南风,2级,22.5,11
2019-08-14,24,16,小雨,西南风,3级,20.0,8
2019-08-15,26,17,阴,西南风,1级,21.5,9
2019-08-16,27,17,雾,西南风,2级,22.0,10
2019-08-17,28,16,多云,西南风,3级,22.0,12
2019-08-18,27,17,阴,西南风,2级,22.0,10
2019-08-19,26,18,阴,西南风,2级,22.0,8
2019-08-20,25,17,阴,西南风,1级,21.0,8
2019-08-21,27,17,阴,西南风,2级,22.0,10
2019-08-22,25,16,阴,西北风,3级,20.5,9
2019-08-23,22,15,小雨,东北风,1级,18.5,7
2019-08-24,24,16,阴,东北风,1级,20.0,8
2019-08-25,26,17,多云,西南风,1级,21.5,9
2019-08-26,27,17,阴,西南风,1级,22.0,10
2019-08-27,24,17,中雨,东北风,1级,20.5,7
2019-08-28,24,17,小雨,西南风,2级,20.5,7
2019-08-29,25,17,多云,东北风,1级,21.0,8
2019-08-30,23,16,阴,西南风,3级,19.5,7
2019-08-31,19,16,阴,西南风,2级,17.5,3
2019-07-01,23,17,小雨,西南风,1级,20.0,6
2019-07-02,26,17,多云,西南风,2级,21.5,9
2019-07-03,26,18,阵雨,西北风,1级,22.0,8
2019-07-04,27,18,多云,西北风,微风,22.5,9
2019-07-05,21,17,小雨,西南风,1级,19.0,4
2019-07-06,22,17,阴,西南风,2级,19.5,5
2019-07-07,26,19,阵雨,西南风,3级,22.5,7
2019-07-08,24,18,阴,西南风,2级,21.0,6
2019-07-09,24,17,阴,西北风,1级,20.5,7
2019-07-10,18,16,中雨,东南风,1级,17.0,2
2019-07-11,23,17,阴,西南风,3级,20.0,6
2019-07-12,22,17,阴,西南风,3级,19.5,5
2019-07-13,22,17,阴,西南风,2级,19.5,5
2019-07-14,24,17,阴,西南风,3级,20.5,7
2019-07-15,27,17,阴,西南风,3级,22.0,10
2019-07-16,26,17,阴,西南风,3级,21.5,9
2019-07-17,27,17,阴,西南风,3级,22.0,10
2019-07-18,28,18,阴,西南风,3级,23.0,10
2019-07-19,28,17,阴,西南风,1级,22.5,11
2019-07-20,20,18,大雨,西南风,2级,19.0,2
