日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,14,晴,西北风,3级,22.5,17
2019-09-02,32,14,晴,西北风,3级,23.0,18
2019-09-03,32,15,晴,西南风,2级,23.5,17
2019-09-04,31,17,晴,西南风,2级,24.0,14
2019-09-05,32,17,多云,西南风,2级,24.5,15
2019-09-06,33,17,晴,东北风,1级,25.0,16
2019-09-07,34,17,多云,东北风,1级,25.5,17
2019-09-08,34,17,晴,东北风,1级,25.5,17
2019-09-09,25,15,阴,东北风,2级,20.0,10
2019-09-10,21,11,阴,东北风,2级,16.0,10
2019-09-11,25,12,多云,西南风,1级,18.5,13
2019-09-12,22,16,多云,西南风,2级,19.0,6
2019-09-13,24,11,阴,东北风,2级,17.5,13
2019-09-14,27,12,晴,东北风,1级,19.5,15
2019-09-15,27,10,多云,东北风,1级,18.5,17
2019-09-16,26,9,晴,东南风,微风,17.5,17
2019-09-17,27,7,多云,西北风,3级,17.0,20
2019-09-18,24,8,晴,东南风,2级,16.0,16
2019-09-19,24,10,阴,西南风,1级,17.0,14
2019-09-20,28,11,阴,西南风,1级,19.5,17
2019-09-21,28,10,多云,东北风,1级,19.0,18
2019-09-22,27,10,晴,东南风,1级,18.5,17
2019-09-23,31,10,晴,东北风,2级,20.5,21
2019-09-24,29,10,晴,西南风,1级,19.5,19
2019-09-25,31,11,晴,东南风,1级,21.0,20
2019-09-26,31,10,晴,西南风,1级,20.5,21
2019-09-27,28,11,多云,西南风,1级,19.5,17
2019-09-28,29,12,晴,西南风,微风,20.5,17
2019-09-29,29,12,晴,西南风,1级,20.5,17
2019-09-30,30,14,晴,西南风,2级,22.0,16
2019-08-01,32,19,多云,东北风,1级,25.5,13
2019-08-02,25,20,阴,东北风,2级,22.5,5
2019-08-03,30,19,阴,西北风,1级,24.5,11
2019-08-04,29,21,阴,东南风,1级,25.0,8
2019-08-05,27,21,中雨,东南风,2级,24.0,6
2019-08-06,30,21,阴,西南风,2级,25.5,9
2019-08-07,30,20,阴,西北风,1级,25.0,10
2019-08-08,31,19,多云,西南风,2级,25.0,12
2019-08-09,30,21,阴,北风,1级,25.5,9
2019-08-10,24,19,小雨,西北风,微风,21.5,5
2019-08-11,22,20,小雨,西北风,微风,21.0,2
2019-08-12,23,20,阴,西南风,1级,21.5,3
2019-08-13,26,18,阴,东北风,2级,22.0,8
2019-08-14,29,17,多云,东北风,1级,23.0,12
2019-08-15,31,18,多云,东北风,3级,24.5,13
2019-08-16,25,14,小雨,西北风,2级,19.5,11
2019-08-17,27,14,多云,东北风,1级,20.5,13
2019-08-18,29,17,多云,东北风,1级,23.0,12
2019-08-19,30,19,多云,东南风,3级,24.5,11
2019-08-20,21,15,小雨,西北风,1级,18.0,6
2019-08-21,27,13,多云,西北风,2级,20.0,14
2019-08-22,27,13,多云,西北风,1级,20.0,14
2019-08-23,28,14,晴,东北风,1级,21.0,14
2019-08-24,30,15,多云,西南风,2级,22.5,15
2019-08-25,31,16,晴,西南风,1级,23.5,15
2019-08-26,25,15,阴,东北风,1级,20.0,10
2019-08-27,28,13,多云,东南风,1级,20.5,15
2019-08-28,26,12,多云,西北风,2级,19.0,14
2019-08-29,26,12,多云,西北风,3级,19.0,14
2019-08-30,27,12,晴,东北风,1级,19.5,15
2019-08-31,29,13,多云,西南风,1级,21.0,16
2019-07-01,32,16,多云,东南风,1级,24.0,16
2019-07-02,32,16,小雨,西北风,1级,24.0,16
2019-07-03,34,20,晴,东南风,2级,27.0,14
2019-07-04,37,22,晴,东北风,2级,29.5,15
2019-07-05,27,19,阴,西南风,2级,23.0,8
2019-07-06,23,18,小雨,东北风,1级,20.5,5
2019-07-07,29,18,阵雨,东北风,1级,23.5,11
2019-07-08,29,19,多云,西北风,2级,24.0,10
2019-07-09,26,18,阴,东风,1级,22.0,8
2019-07-10,29,18,阴,西北风,2级,23.5,11
2019-07-11,28,18,阴,西南风,2级,23.0,10
2019-07-12,33,18,多云,西南风,2级,25.5,15
2019-07-13,32,19,多云,西南风,1级,25.5,13
2019-07-14,30,19,小雨,东北风,1级,24.5,11
2019-07-15,34,20,阴,东南风,1级,27.0,14
2019-07-16,31,21,阴,西南风,1级,26.0,10
2019-07-17,25,20,小雨,西北风,1级,22.5,5
2019-07-18,33,20,阴,西南风,3级,26.5,13
2019-07-19,31,23,阴,东南风,1级,27.0,8
2019-07-20,27,21,阴,西南风,1级,24.0,6
2019-07-21,37,23,晴,西南风,1级,30.0,14
2019-07-22,31,23,阴,西南风,1级,27.0,8
2019-07-23,28,21,小雨,西南风,1级,24.5,7
2019-07-24,34,23,多云,西北风,2级,28.5,11
2019-07-25,33,22,小雨,西北风,1级,27.5,11
2019-07-26,33,21,多云,东南风,2级,27.0,12
2019-07-27,33,21,多云,西南风,3级,27.0,12
2019-07-28,32,22,阴,西南风,2级,27.0,10
2019-07-29,28,20,小雨,东北风,2级,24.0,8
2019-07-30,33,20,多云,西南风,2级,26.5,13
2019-07-31,33,19,多云,东北风,2级,26.0,14
2019-06-01,26,14,阴,东北风,1级,20.0,12
2019-06-02,29,14,阴,西南风,2级,21.5,15
2019-06-03,29,14,晴,东南风,4级,21.5,15
2019-06-04,26,15,阴,东北风,1级,20.5,11
2019-06-05,30,16,多云,西南风,1级,23.0,14
2019-06-06,26,14,阴,西北风,2级,20.0,12
2019-06-07,31,14,晴,西南风,2级,22.5,17
2019-06-08,30,14,多云,西北风,3级,22.0,16
2019-06-09,28,13,多云,东北风,2级,20.5,15
2019-06-10,31,15,多云,东南风,2级,23.0,16
2019-06-11,33,17,多云,西南风,3级,25.0,16
2019-06-12,32,18,雷阵雨,西南风,2级,25.0,14
2019-06-13,29,16,小雨,东南风,2级,22.5,13
2019-06-14,31,14,晴,东北风,1级,22.5,17
2019-06-15,32,16,多云,东南风,3级,24.0,16
2019-06-16,19,13,小雨,西南风,1级,16.0,6
2019-06-17,30,18,晴,西北风,2级,24.0,12
2019-06-18,32,18,多云,东北风,2级,25.0,14
2019-06-19,33,19,阴,西南风,3级,26.0,14
2019-06-20,35,18,小雨,东北风,3级,26.5,17
2019-06-21,30,19,多云,西南风,1级,24.5,11
2019-06-22,34,18,多云,西南风,2级,26.0,16
2019-06-23,36,19,晴,西南风,2级,27.5,17
2019-06-24,36,20,多云,西南风,2级,28.0,16
2019-06-25,34,21,阴,西南风,3级,27.5,13
2019-06-26,34,21,多云,东南风,3级,27.5,13
2019-06-27,32,21,多云,西北风,2级,26.5,11
2019-06-28,32,18,小雨,西南风,2级,25.0,14
2019-06-29,28,15,多云,西北风,3级,21.5,13
2019-06-30,27,15,阴,西北风,2级,21.0,12
2019-05-01,27,7,晴,西北风,3级,17.0,20
2019-05-02,29,7,晴,西北风,3级,18.0,22
2019-05-03,29,10,多云,西南风,2级,19.5,19
2019-05-04,28,10,多云,西北风,3级,19.0,18
2019-05-05,20,4,多云,西北风,2级,12.0,16
2019-05-06,23,5,晴,西北风,3级,14.0,18
2019-05-07,27,8,晴,西北风,3级,17.5,19
2019-05-08,27,9,阴,西南风,4级,18.0,18
2019-05-09,29,10,晴,西南风,2级,19.5,19
2019-05-10,30,12,多云,西南风,3级,21.0,18
2019-05-11,27,12,多云,东北风,微风,19.5,15
2019-05-12,21,6,阴,西南风,1级,13.5,15
2019-05-13,21,8,晴,西南风,3级,14.5,13
2019-05-14,28,10,晴,西南风,4级,19.0,18
2019-05-15,27,12,阴,西北风,2级,19.5,15
2019-05-16,31,14,多云,东南风,3级,22.5,17
2019-05-17,30,15,阴,东南风,3级,22.5,15
2019-05-18,21,13,阴,南风,3级,17.0,8
2019-05-19,19,6,阴,西北风,4级,12.5,13
2019-05-20,19,7,晴,西北风,2级,13.0,12
2019-05-21,26,9,晴,西北风,3级,17.5,17
2019-05-22,31,13,多云,东南风,1级,22.0,18
2019-05-23,37,16,晴,西南风,4级,26.5,21
2019-05-24,35,18,阴,西南风,3级,26.5,17
2019-05-25,33,18,晴,西南风,3级,25.5,15
2019-05-26,23,10,阴,西北风,3级,16.5,13
2019-05-27,24,8,晴,西北风,1级,16.0,16
2019-05-28,29,11,晴,西北风,2级,20.0,18
2019-05-29,30,14,阴,西南风,2级,22.0,16
2019-05-30,26,9,阴,西北风,2级,17.5,17
2019-05-31,27,12,晴,西北风,2级,19.5,15
2019-04-01,14,-2,多云,东南风,1级,6.0,16
2019-04-02,15,-2,晴,西北风,2级,6.5,17
2019-04-03,20,3,晴,东南风,3级,11.5,17
2019-04-04,26,4,晴,西北风,5级,15.0,22
2019-04-05,16,5,阴,东南风,2级,10.5,11
2019-04-06,20,2,多云,西北风,1级,11.0,18
2019-04-07,14,2,多云,东北风,1级,8.0,12
2019-04-08,16,3,多云,西南风,2级,9.5,13
2019-04-09,8,0,雨夹雪,西北风,2级,4.0,8
2019-04-10,17,1,多云,东北风,1级,9.0,16
2019-04-11,18,3,多云,西南风,4级,10.5,15
2019-04-12,21,5,阴,西南风,3级,13.0,16
2019-04-13,18,4,多云,西北风,4级,11.0,14
2019-04-14,22,4,晴,西南风,2级,13.0,18
2019-04-15,25,7,多云,东南风,3级,16.0,18
2019-04-16,26,10,晴,西南风,4级,18.0,16
2019-04-17,25,11,阴,西北风,2级,18.0,14
2019-04-18,18,4,多云,东南风,3级,11.0,14
2019-04-19,21,8,多云,东南风,2级,14.5,13
2019-04-20,17,7,阴,东北风,2级,12.0,10
2019-04-21,23,7,晴,西南风,3级,15.0,16
2019-04-22,28,12,多云,西南风,4级,20.0,16
2019-04-23,29,12,多云,西南风,4级,20.5,17
2019-04-24,15,3,阴,东北风,3级,9.0,12
2019-04-25,15,2,多云,东南风,1级,8.5,13
2019-04-26,19,4,多云,东北风,1级,11.5,15
2019-04-27,15,4,阴,西北风,2级,9.5,11
2019-04-28,16,8,多云,西北风,1级,12.0,8
2019-04-29,16,10,多云,西南风,1级,13.0,6
2019-04-30,21,5,多云,西北风,3级,13.0,16
2019-03-01,13,-3,晴,西北风,1级,5.0,16
2019-03-02,14,-2,多云,西北风,3级,6.0,16
2019-03-03,13,-3,多云,东南风,1级,5.0,16
2019-03-04,14,-3,多云,东北风,1级,5.5,17
2019-03-05,14,-3,晴,西北风,3级,5.5,17
2019-03-06,7,-7,阴,东北风,1级,0.0,14
2019-03-07,12,-5,晴,西南风,1级,3.5,17
2019-03-08,14,-3,多云,西南风,2级,5.5,17
2019-03-09,12,1,阴,东南风,3级,6.5,11
2019-03-10,13,-1,阴,西南风,2级,6.0,14
2019-03-11,13,-6,晴,西北风,5级,3.5,19
2019-03-12,5,-7,晴,西北风,2级,-1.0,12
2019-03-13,10,-4,晴,西北风,1级,3.0,14
2019-03-14,11,-4,多云,西北风,3级,3.5,15
2019-03-15,9,-3,多云,东南风,4级,3.0,12
2019-03-16,13,-2,多云,西北风,2级,5.5,15
2019-03-17,18,1,晴,东南风,1级,9.5,17
2019-03-18,20,3,阴,东南风,2级,11.5,17
2019-03-19,24,7,多云,东南风,2级,15.5,17
2019-03-20,20,2,阴,西北风,1级,11.0,18
2019-03-21,7,-5,晴,西北风,1级,1.0,12
2019-03-22,9,-4,晴,西北风,3级,2.5,13
2019-03-23,9,-4,晴,西南风,3级,2.5,13
2019-03-24,17,-1,晴,西北风,3级,8.0,18
2019-03-25,17,0,晴,东北风,1级,8.5,17
2019-03-26,17,1,多云,东南风,1级,9.0,16
2019-03-27,16,-4,多云,西北风,3级,6.0,20
2019-03-28,5,-2,阴,西南风,2级,1.5,7
2019-03-29,8,-3,阴,西北风,4级,2.5,11
2019-03-30,6,-5,多云,西北风,4级,0.5,11
2019-03-31,11,-4,晴,西北风,2级,3.5,15
2019-02-01,4,-11,晴,东北风,1级,-3.5,15
2019-02-02,1,-9,阴,东北风,1级,-4.0,10
2019-02-03,2,-13,阴,西北风,3级,-5.5,15
2019-02-04,2,-10,多云,东北风,1级,-4.0,12
