日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,24,阴,东北风,3级,26.0,4
2019-09-01,28,24,阴,东北风,3级,26.0,4
2019-09-02,29,23,阴,东北风,3级,26.0,6
2019-09-02,29,23,阴,东北风,3级,26.0,6
2019-09-03,31,24,多云,东北风,2级,27.5,7
2019-09-03,31,24,多云,东北风,3级,27.5,7
2019-09-04,33,26,多云,北风,2级,29.5,7
2019-09-04,33,26,多云,西北风,3级,29.5,7
2019-09-05,35,27,多云,东北风,2级,31.0,8
2019-09-05,35,27,多云,东北风,3级,31.0,8
2019-09-06,36,26,多云,东北风,3级,31.0,10
2019-09-06,36,26,多云,西北风,2级,31.0,10
2019-09-07,36,26,多云,西南风,1级,31.0,10
2019-09-07,36,26,多云,西南风,2级,31.0,10
2019-09-08,35,27,阴,西南风,3级,31.0,8
2019-09-08,35,27,阴,东南风,2级,31.0,8
2019-09-09,32,26,阴,西南风,1级,29.0,6
2019-09-09,33,26,小雨,西北风,2级,29.5,7
2019-09-10,32,26,阴,西南风,4级,29.0,6
2019-09-10,32,26,阴,东北风,2级,29.0,6
2019-09-11,32,26,多云,南风,微风,29.0,6
2019-09-11,32,26,多云,东南风,1级,29.0,6
2019-09-12,36,27,多云,东南风,1级,31.5,9
2019-09-12,36,27,多云,东南风,2级,31.5,9
2019-09-13,37,27,多云,西北风,2级,32.0,10
2019-09-13,37,27,多云,西南风,2级,32.0,10
2019-09-14,37,26,多云,东南风,1级,31.5,11
2019-09-14,36,26,多云,西南风,2级,31.0,10
2019-09-15,35,27,多云,西北风,2级,31.0,8
2019-09-15,35,27,多云,东南风,1级,31.0,8
2019-09-16,35,27,多云,东北风,3级,31.0,8
2019-09-16,35,27,多云,东北风,3级,31.0,8
2019-09-17,33,26,多云,北风,2级,29.5,7
2019-09-17,33,26,多云,东北风,2级,29.5,7
2019-09-18,32,24,多云,东北风,3级,28.0,8
2019-09-18,32,24,多云,东北风,4级,28.0,8
2019-09-19,31,23,多云,东北风,3级,27.0,8
2019-09-19,31,23,多云,东北风,2级,27.0,8
2019-09-20,32,23,多云,东北风,2级,27.5,9
2019-09-20,32,23,多云,东北风,3级,27.5,9
2019-09-21,31,22,多云,东北风,3级,26.5,9
2019-09-21,31,22,多云,东北风,3级,26.5,9
2019-09-22,31,21,多云,东北风,1级,26.0,10
2019-09-22,32,22,多云,西北风,3级,27.0,10
2019-09-23,32,23,多云,东北风,2级,27.5,9
2019-09-23,32,23,多云,东北风,2级,27.5,9
2019-09-24,33,22,多云,西北风,1级,27.5,11
2019-09-24,33,22,多云,东北风,1级,27.5,11
2019-09-25,32,22,晴,北风,2级,27.0,10
2019-09-25,32,22,晴,东北风,2级,27.0,10
2019-09-26,32,22,阴,西北风,1级,27.0,10
2019-09-26,32,22,阴,西南风,2级,27.0,10
2019-09-27,34,22,晴,东北风,2级,28.0,12
2019-09-27,34,22,晴,东北风,2级,28.0,12
2019-09-28,34,22,晴,东北风,1级,28.0,12
2019-09-28,34,22,晴,东北风,1级,28.0,12
2019-09-29,35,22,晴,东北风,1级,28.5,13
2019-09-29,35,22,晴,东北风,1级,28.5,13
2019-09-30,35,22,晴,东南风,1级,28.5,13
2019-09-30,35,22,晴,西北风,2级,28.5,13
2019-08-01,33,27,阴,东北风,3级,30.0,6
2019-08-01,33,27,阴,东北风,3级,30.0,6
2019-08-02,31,26,阴,东北风,2级,28.5,5
2019-08-02,31,26,阴,东南风,2级,28.5,5
2019-08-03,36,26,多云,东北风,2级,31.0,10
2019-08-03,36,26,多云,东北风,2级,31.0,10
2019-08-04,34,26,阴,东南风,1级,30.0,8
2019-08-04,34,26,阴,西南风,1级,30.0,8
2019-08-05,36,27,小雨,西北风,1级,31.5,9
2019-08-05,36,27,小雨,东北风,1级,31.5,9
2019-08-06,37,27,多云,西北风,1级,32.0,10
2019-08-06,37,27,多云,东南风,2级,32.0,10
2019-08-07,35,27,阴,东北风,2级,31.0,8
2019-08-07,37,27,多云,东北风,1级,32.0,10
2019-08-08,37,27,阴,东南风,1级,32.0,10
2019-08-08,37,27,阴,西北风,2级,32.0,10
