日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,13,晴,西南风,1级,18.5,11
2019-09-02,25,14,阴,东南风,2级,19.5,11
2019-09-03,26,14,晴,西南风,3级,20.0,12
2019-09-04,25,14,晴,东南风,1级,19.5,11
2019-09-05,26,14,多云,东南风,3级,20.0,12
2019-09-06,26,14,晴,西南风,3级,20.0,12
2019-09-07,23,13,扬沙,东南风,2级,18.0,10
2019-09-08,18,10,阴,东北风,2级,14.0,8
2019-09-09,13,10,阴,西北风,1级,11.5,3
2019-09-10,17,11,阴,东南风,1级,14.0,6
2019-09-11,23,9,多云,东北风,1级,16.0,14
2019-09-12,8,7,阴,东北风,微风,7.5,1
2019-09-13,13,7,多云,西北风,2级,10.0,6
2019-09-14,16,9,晴,东北风,2级,12.5,7
2019-09-15,18,10,多云,东南风,2级,14.0,8
2019-09-16,17,11,多云,西南风,2级,14.0,6
2019-09-17,18,11,阴,西南风,2级,14.5,7
2019-09-18,17,9,小雨,东北风,2级,13.0,8
2019-09-19,15,7,阴,西南风,2级,11.0,8
2019-09-20,18,6,晴,西南风,2级,12.0,12
2019-09-21,18,7,晴,西南风,2级,12.5,11
2019-09-22,18,7,多云,西南风,2级,12.5,11
2019-09-23,18,7,晴,西南风,3级,12.5,11
2019-09-24,19,7,多云,西南风,2级,13.0,12
2019-09-25,20,7,晴,东北风,1级,13.5,13
2019-09-26,20,7,晴,西南风,3级,13.5,13
2019-09-27,21,8,晴,西南风,3级,14.5,13
2019-09-28,23,9,晴,西南风,4级,16.0,14
2019-09-29,24,9,晴,西南风,3级,16.5,15
2019-09-30,25,11,晴,西南风,3级,18.0,14
2019-08-01,28,16,晴,东南风,3级,22.0,12
2019-08-02,28,13,阴,东南风,3级,20.5,15
2019-08-03,26,15,晴,西南风,1级,20.5,11
2019-08-04,27,15,多云,东南风,3级,21.0,12
2019-08-05,28,15,晴,西南风,3级,21.5,13
2019-08-06,28,15,晴,东南风,3级,21.5,13
2019-08-07,29,14,多云,西南风,1级,21.5,15
2019-08-08,18,11,中雨,西南风,2级,14.5,7
2019-08-09,24,13,阴,西南风,1级,18.5,11
2019-08-10,25,12,晴,西南风,1级,18.5,13
2019-08-11,25,13,晴,西北风,2级,19.0,12
2019-08-12,26,14,多云,东北风,1级,20.0,12
2019-08-13,21,12,阴,西北风,1级,16.5,9
2019-08-14,27,13,晴,西南风,1级,20.0,14
2019-08-15,29,13,晴,东南风,1级,21.0,16
2019-08-16,19,12,阴,西南风,2级,15.5,7
2019-08-17,27,16,晴,西南风,2级,21.5,11
2019-08-18,26,16,多云,西南风,2级,21.0,10
2019-08-19,23,12,多云,东北风,3级,17.5,11
2019-08-20,19,11,阴,东南风,2级,15.0,8
2019-08-21,19,11,多云,东北风,2级,15.0,8
2019-08-22,14,11,阴,东南风,1级,12.5,3
2019-08-23,16,13,多云,西南风,2级,14.5,3
2019-08-24,23,13,阴,南风,1级,18.0,10
2019-08-25,25,13,多云,西南风,3级,19.0,12
2019-08-26,22,13,小雨,西南风,2级,17.5,9
2019-08-27,21,12,多云,西南风,2级,16.5,9
2019-08-28,24,12,阴,西南风,2级,18.0,12
2019-08-29,23,14,晴,东南风,2级,18.5,9
2019-08-30,20,11,阴,东南风,3级,15.5,9
2019-08-31,23,11,晴,东南风,3级,17.0,12
2019-07-01,26,14,多云,东南风,3级,20.0,12
2019-07-02,25,15,多云,东南风,2级,20.0,10
2019-07-03,24,15,多云,东南风,2级,19.5,9
2019-07-04,29,16,晴,东南风,3级,22.5,13
2019-07-05,24,13,多云,西北风,1级,18.5,11
2019-07-06,24,15,多云,东北风,1级,19.5,9
2019-07-07,21,11,小雨,东北风,2级,16.0,10
2019-07-08,17,10,阴,西北风,3级,13.5,7
2019-07-09,19,10,小雨,东北风,2级,14.5,9
2019-07-10,24,12,晴,西北风,2级,18.0,12
2019-07-11,23,13,阴,西南风,2级,18.0,10
2019-07-12,24,13,阴,西南风,3级,18.5,11
2019-07-13,27,13,晴,西北风,1级,20.0,14
2019-07-14,18,13,小雨,西南风,2级,15.5,5
2019-07-15,24,13,阴,西南风,2级,18.5,11
2019-07-16,26,13,晴,西南风,1级,19.5,13
2019-07-17,26,14,阴,西南风,1级,20.0,12
2019-07-18,18,14,小雨,东南风,2级,16.0,4
2019-07-19,24,14,阴,西南风,2级,19.0,10
2019-07-20,29,16,晴,西南风,1级,22.5,13
2019-07-21,20,13,阴,东北风,2级,16.5,7
2019-07-22,24,13,多云,西南风,2级,18.5,11
2019-07-23,21,13,小雨,西南风,3级,17.0,8
2019-07-24,26,13,多云,东南风,3级,19.5,13
2019-07-25,30,17,晴,东南风,3级,23.5,13
2019-07-26,31,16,多云,西北风,3级,23.5,15
2019-07-27,25,15,晴,西北风,3级,20.0,10
2019-07-28,18,12,小雨,东南风,4级,15.0,6
2019-07-29,24,13,多云,东南风,2级,18.5,11
2019-07-30,26,14,多云,西南风,2级,20.0,12
2019-07-31,24,15,多云,西南风,3级,19.5,9
2019-06-01,22,11,晴,西南风,2级,16.5,11
2019-06-02,22,9,多云,西南风,3级,15.5,13
2019-06-03,26,12,多云,西南风,2级,19.0,14
2019-06-04,18,10,阴,南风,2级,14.0,8
2019-06-05,24,13,晴,西南风,3级,18.5,11
2019-06-06,26,12,阴,东风,1级,19.0,14
2019-06-07,17,10,阴,东北风,2级,13.5,7
2019-06-08,23,13,阴,西南风,2级,18.0,10
2019-06-09,25,12,阴,西南风,4级,18.5,13
2019-06-10,23,13,阴,东南风,2级,18.0,10
2019-06-11,21,11,阴,西南风,3级,16.0,10
2019-06-12,24,12,晴,西南风,2级,18.0,12
2019-06-13,27,12,多云,东北风,2级,19.5,15
2019-06-14,15,10,小雨,东南风,1级,12.5,5
2019-06-15,17,11,小雨,西南风,2级,14.0,6
2019-06-16,23,11,多云,南风,2级,17.0,12
2019-06-17,25,14,晴,西南风,2级,19.5,11
2019-06-18,21,13,小雨,东南风,3级,17.0,8
2019-06-19,21,13,阴,西北风,1级,17.0,8
2019-06-20,20,14,阴,东北风,2级,17.0,6
2019-06-21,14,13,中雨,东北风,2级,13.5,1
2019-06-22,18,14,阴,西南风,1级,16.0,4
2019-06-23,18,13,中雨,东南风,3级,15.5,5
2019-06-24,24,15,阴,西南风,3级,19.5,9
2019-06-25,16,12,小雨,西北风,1级,14.0,4
2019-06-26,15,12,中到大雨,西风,1级,13.5,3
2019-06-27,17,9,小雨,西南风,2级,13.0,8
2019-06-28,21,12,多云,西北风,1级,16.5,9
2019-06-29,21,13,阴,西南风,3级,17.0,8
2019-06-30,24,12,晴,西南风,2级,18.0,12
2019-05-01,17,8,多云,西南风,1级,12.5,9
2019-05-02,19,8,阴,西南风,4级,13.5,11
2019-05-03,15,7,阴,西北风,2级,11.0,8
2019-05-04,19,8,多云,东南风,2级,13.5,11
2019-05-05,9,6,阴,西北风,2级,7.5,3
2019-05-06,9,4,阴,东北风,2级,6.5,5
2019-05-07,6,4,阴,东北风,3级,5.0,2
2019-05-08,10,3,阴,西南风,1级,6.5,7
2019-05-09,10,3,阴,西南风,3级,6.5,7
2019-05-10,13,3,阴,西南风,3级,8.0,10
2019-05-11,17,0,多云,东北风,3级,8.5,17
2019-05-12,10,3,晴,西南风,1级,6.5,7
2019-05-13,18,8,多云,西北风,1级,13.0,10
2019-05-14,19,8,阴,西南风,2级,13.5,11
2019-05-15,18,10,扬沙,西南风,2级,14.0,8
2019-05-16,21,8,扬沙,西南风,2级,14.5,13
2019-05-17,24,8,晴,西南风,1级,16.0,16
2019-05-18,12,1,多云,西南风,2级,6.5,11
2019-05-19,13,5,阴,西北风,2级,9.0,8
2019-05-20,18,7,晴,东南风,1级,12.5,11
2019-05-21,19,8,多云,西南风,2级,13.5,11
2019-05-22,24,13,晴,东南风,2级,18.5,11
2019-05-23,22,10,阴,东北风,3级,16.0,12
2019-05-24,25,10,晴,东南风,3级,17.5,15
2019-05-25,18,7,多云,西北风,3级,12.5,11
2019-05-26,11,7,阴,东北风,2级,9.0,4
2019-05-27,15,6,阴,东北风,3级,10.5,9
2019-05-28,17,9,晴,西北风,2级,13.0,8
2019-05-29,17,8,阴,东北风,2级,12.5,9
2019-05-30,19,9,多云,西北风,2级,14.0,10
2019-05-31,19,9,阴,西南风,2级,14.0,10
2019-04-01,11,2,阴,西南风,2级,6.5,9
2019-04-02,14,3,阴,西北风,2级,8.5,11
2019-04-03,13,4,多云,西南风,3级,8.5,9
2019-04-04,14,2,晴,西南风,1级,8.0,12
2019-04-05,17,3,晴,西南风,1级,10.0,14
2019-04-06,17,2,多云,东南风,1级,9.5,15
2019-04-07,14,5,多云,西南风,1级,9.5,9
2019-04-08,8,-1,阴,西南风,2级,3.5,9
2019-04-09,7,-1,多云,东北风,1级,3.0,8
2019-04-10,8,0,阴,西南风,1级,4.0,8
2019-04-11,13,3,晴,西北风,1级,8.0,10
2019-04-12,14,2,阴,西南风,1级,8.0,12
2019-04-13,7,1,阴,西南风,2级,4.0,6
2019-04-14,15,4,多云,西北风,1级,9.5,11
2019-04-15,14,3,阴,西北风,1级,8.5,11
2019-04-16,25,7,晴,西南风,1级,16.0,18
2019-04-17,23,9,晴,西南风,2级,16.0,14
2019-04-18,20,8,晴,西南风,1级,14.0,12
2019-04-19,18,7,阴,西北风,4级,12.5,11
2019-04-20,17,8,多云,东南风,1级,12.5,9
2019-04-21,21,8,晴,东南风,4级,14.5,13
2019-04-22,22,7,阴,西南风,2级,14.5,15
2019-04-23,26,9,晴,西北风,2级,17.5,17
2019-04-24,18,7,阴,东南风,1级,12.5,11
2019-04-25,22,8,多云,西北风,2级,15.0,14
2019-04-26,17,6,扬沙,东北风,3级,11.5,11
2019-04-27,18,8,多云,西北风,2级,13.0,10
2019-04-28,14,4,阴,东南风,1级,9.0,10
2019-04-29,7,-1,阴,东南风,2级,3.0,8
2019-04-30,13,3,晴,西北风,1级,8.0,10
2019-03-01,5,-4,多云,西北风,1级,0.5,9
2019-03-02,7,-5,阴,西南风,2级,1.0,12
2019-03-03,12,-1,晴,东南风,2级,5.5,13
2019-03-04,6,-1,阴,东南风,2级,2.5,7
2019-03-05,9,-2,多云,西南风,3级,3.5,11
2019-03-06,9,-3,多云,东南风,2级,3.0,12
2019-03-07,6,-3,阴,西北风,1级,1.5,9
2019-03-08,6,-5,阴,东南风,1级,0.5,11
2019-03-09,6,-6,多云,东北风,1级,0.0,12
2019-03-10,4,-5,阴,东南风,2级,-0.5,9
2019-03-11,5,-4,阴,西南风,1级,0.5,9
2019-03-12,8,-3,晴,西北风,2级,2.5,11
2019-03-13,5,-3,阴,西南风,1级,1.0,8
2019-03-14,7,-4,多云,东北风,2级,1.5,11
2019-03-15,8,-2,晴,东北风,3级,3.0,10
2019-03-16,9,-1,晴,西北风,1级,4.0,10
2019-03-17,7,-2,阴,西南风,2级,2.5,9
2019-03-18,14,0,晴,东南风,2级,7.0,14
2019-03-19,12,-3,阴,东北风,1级,4.5,15
2019-03-20,0,-6,阴,东南风,2级,-3.0,6
2019-03-21,5,-4,多云,东北风,1级,0.5,9
2019-03-22,6,-3,阴,西南风,1级,1.5,9
2019-03-23,6,-2,晴,西北风,1级,2.0,8
2019-03-24,8,-3,晴,东北风,1级,2.5,11
2019-03-25,10,-1,晴,西南风,1级,4.5,11
2019-03-26,11,1,多云,东北风,1级,6.0,10
2019-03-27,11,-2,阴,西北风,2级,4.5,13
2019-03-28,9,-2,晴,东北风,2级,3.5,11
2019-03-29,7,-3,晴,西北风,2级,2.0,10
2019-03-30,7,-3,阴,西北风,2级,2.0,10
2019-03-31,13,0,晴,西南风,1级,6.5,13
