日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,26,阴,东南风,2级,28.0,4
2019-09-01,30,26,阴,东南风,2级,28.0,4
2019-09-02,31,25,阴,东南风,2级,28.0,6
2019-09-02,31,25,阴,东南风,2级,28.0,6
2019-09-03,30,25,多云,东南风,1级,27.5,5
2019-09-04,28,25,阴,西北风,2级,26.5,3
2019-09-04,28,25,阴,西北风,2级,26.5,3
2019-09-05,29,25,阴,西北风,2级,27.0,4
2019-09-06,31,25,阴,东南风,2级,28.0,6
2019-09-06,31,25,阴,东南风,2级,28.0,6
2019-09-07,31,24,阴,东南风,1级,27.5,7
2019-09-08,30,24,多云,西南风,1级,27.0,6
2019-09-09,30,25,多云,西南风,1级,27.5,5
2019-09-10,30,25,晴,东南风,2级,27.5,5
2019-09-10,30,25,晴,东南风,2级,27.5,5
2019-09-11,31,25,阴,东北风,5级,28.0,6
2019-09-12,31,25,阴,东北风,5级,28.0,6
2019-09-13,31,25,多云,东北风,4级,28.0,6
2019-09-14,30,25,多云,东北风,4级,27.5,5
2019-09-15,29,25,阴,东北风,4级,27.0,4
2019-09-16,28,24,阴,西北风,2级,26.0,4
2019-09-16,28,24,阴,西北风,2级,26.0,4
2019-09-17,28,24,阴,东风,4级,26.0,4
2019-09-18,28,24,小雨,东北风,6级,26.0,4
2019-09-19,28,24,多云,东北风,5级,26.0,4
2019-09-19,28,24,多云,西北风,2级,26.0,4
2019-09-20,26,22,阴,东北风,5级,24.0,4
2019-09-21,26,23,阴,南风,3级,24.5,3
2019-09-22,27,22,多云,东北风,2级,24.5,5
2019-09-23,26,20,阴,东北风,4级,23.0,6
2019-09-24,26,21,阴,西北风,1级,23.5,5
2019-09-25,26,21,阴,西北风,1级,23.5,5
2019-09-26,27,23,多云,东北风,5级,25.0,4
2019-09-27,25,23,阴,东北风,5级,24.0,2
2019-09-27,25,23,阴,东北风,5级,24.0,2
2019-09-28,26,23,阴,东北风,3级,24.5,3
2019-09-29,27,23,多云,东北风,5级,25.0,4
2019-09-30,25,23,阴,东北风,5级,24.0,2
2019-09-30,25,23,阴,东北风,5级,24.0,2
