日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,23,阴,东北风,3级,26.0,6
2019-09-02,25,23,阴,东北风,2级,24.0,2
2019-09-03,29,23,阴,东南风,2级,26.0,6
2019-09-04,31,24,多云,东北风,2级,27.5,7
2019-09-05,34,25,多云,东北风,2级,29.5,9
2019-09-06,35,25,多云,东南风,2级,30.0,10
2019-09-07,36,25,晴,东南风,2级,30.5,11
2019-09-08,37,26,晴,东南风,2级,31.5,11
2019-09-09,37,27,多云,西南风,1级,32.0,10
2019-09-10,37,26,阴,西北风,2级,31.5,11
2019-09-11,36,27,晴,东南风,2级,31.5,9
2019-09-12,37,27,晴,东北风,1级,32.0,10
2019-09-13,38,27,晴,东北风,2级,32.5,11
2019-09-14,37,27,晴,东北风,3级,32.0,10
2019-09-15,36,27,晴,东北风,3级,31.5,9
2019-09-16,34,25,多云,东北风,2级,29.5,9
2019-09-17,34,24,晴,东北风,3级,29.0,10
2019-09-18,33,23,晴,东北风,2级,28.0,10
2019-09-19,32,20,多云,东北风,1级,26.0,12
2019-09-20,31,20,晴,东北风,1级,25.5,11
2019-09-21,30,20,晴,东北风,2级,25.0,10
2019-09-22,30,19,晴,东南风,3级,24.5,11
2019-09-23,31,17,晴,东北风,2级,24.0,14
2019-09-24,32,17,多云,东北风,2级,24.5,15
2019-09-25,32,19,晴,东北风,2级,25.5,13
2019-09-26,29,19,多云,西北风,2级,24.0,10
2019-09-27,32,19,多云,西北风,1级,25.5,13
2019-09-28,33,19,晴,东北风,1级,26.0,14
2019-09-29,34,20,晴,东北风,3级,27.0,14
2019-09-30,34,21,晴,西北风,1级,27.5,13
2019-08-01,36,26,阴,东南风,2级,31.0,10
2019-08-02,35,26,阴,东南风,1级,30.5,9
2019-08-03,34,26,多云,东北风,1级,30.0,8
2019-08-04,36,27,多云,东北风,2级,31.5,9
2019-08-05,36,27,多云,东南风,2级,31.5,9
2019-08-06,37,28,阴,东南风,1级,32.5,9
2019-08-07,37,28,多云,西北风,2级,32.5,9
2019-08-08,37,29,多云,东北风,2级,33.0,8
2019-08-09,37,28,多云,西北风,3级,32.5,9
2019-08-10,37,28,多云,西南风,3级,32.5,9
2019-08-11,37,27,多云,西北风,1级,32.0,10
2019-08-12,38,28,晴,西北风,2级,33.0,10
2019-08-13,37,28,多云,西南风,2级,32.5,9
2019-08-14,37,27,多云,西南风,2级,32.0,10
2019-08-15,36,26,多云,西北风,3级,31.0,10
2019-08-16,36,27,多云,东南风,2级,31.5,9
2019-08-17,38,27,晴,东南风,2级,32.5,11
2019-08-18,37,27,晴,东南风,1级,32.0,10
2019-08-19,37,27,晴,东北风,2级,32.0,10
2019-08-20,37,27,晴,东北风,2级,32.0,10
2019-08-21,38,28,多云,东南风,2级,33.0,10
2019-08-22,37,27,晴,东北风,2级,32.0,10
2019-08-23,37,28,晴,东北风,2级,32.5,9
2019-08-24,36,28,阴,东北风,2级,32.0,8
2019-08-25,33,27,阴,东北风,3级,30.0,6
2019-08-26,35,28,阴,西南风,3级,31.5,7
2019-08-27,36,28,多云,西南风,2级,32.0,8
2019-08-28,39,27,晴,西北风,1级,33.0,12
2019-08-29,33,26,小雨,东北风,3级,29.5,7
2019-08-30,32,24,阴,东北风,2级,28.0,8
2019-08-31,34,25,多云,东北风,3级,29.5,9
2019-07-01,33,26,阴,西南风,2级,29.5,7
2019-07-02,33,26,阴,东北风,2级,29.5,7
2019-07-03,33,25,雷阵雨,东北风,1级,29.0,8
2019-07-04,31,26,阴,西南风,2级,28.5,5
2019-07-05,30,26,小雨,东南风,1级,28.0,4
2019-07-06,32,25,小雨,西南风,3级,28.5,7
2019-07-07,27,24,暴雨,东北风,2级,25.5,3
2019-07-08,25,23,中雨,东北风,微风,24.0,2
2019-07-09,22,21,暴雨,西北风,2级,21.5,1
2019-07-10,26,22,小雨,南风,微风,24.0,4
2019-07-11,32,25,多云,东南风,1级,28.5,7
2019-07-12,33,24,阴,西南风,1级,28.5,9
2019-07-13,26,23,暴雨,东南风,1级,24.5,3
2019-07-14,26,23,中雨,西北风,2级,24.5,3
2019-07-15,32,25,阴,北风,微风,28.5,7
2019-07-16,34,26,多云,东北风,1级,30.0,8
2019-07-17,36,27,多云,北风,2级,31.5,9
2019-07-18,35,27,阴,西北风,3级,31.0,8
2019-07-19,34,27,阴,西南风,2级,30.5,7
2019-07-20,29,26,大雨,东南风,2级,27.5,3
2019-07-21,33,26,小雨,西南风,1级,29.5,7
2019-07-22,35,27,阴,东南风,微风,31.0,8
2019-07-23,33,27,多云,西南风,2级,30.0,6
2019-07-24,35,27,晴,西南风,3级,31.0,8
2019-07-25,36,27,多云,西南风,2级,31.5,9
2019-07-26,37,28,晴,西南风,3级,32.5,9
2019-07-27,37,28,阴,西南风,1级,32.5,9
2019-07-28,36,27,多云,西南风,3级,31.5,9
2019-07-29,35,27,晴,东南风,3级,31.0,8
2019-07-30,35,28,多云,西北风,1级,31.5,7
2019-07-31,37,28,多云,西北风,2级,32.5,9
2019-06-01,25,21,阴,西北风,2级,23.0,4
2019-06-02,29,21,多云,东南风,1级,25.0,8
2019-06-03,32,22,多云,东南风,1级,27.0,10
2019-06-04,35,25,多云,东南风,2级,30.0,10
2019-06-05,33,26,阴,东南风,4级,29.5,7
2019-06-06,32,25,阴,西南风,2级,28.5,7
2019-06-07,24,23,阴,西南风,1级,23.5,1
2019-06-08,32,25,阴,东南风,1级,28.5,7
2019-06-09,25,23,阴,东北风,微风,24.0,2
2019-06-10,29,25,阴,西南风,2级,27.0,4
2019-06-11,31,23,多云,东北风,2级,27.0,8
2019-06-12,27,22,雷阵雨,西北风,2级,24.5,5
2019-06-13,23,20,小雨,西北风,2级,21.5,3
2019-06-14,28,18,多云,东北风,2级,23.0,10
2019-06-15,31,21,晴,东北风,1级,26.0,10
2019-06-16,32,26,多云,东南风,1级,29.0,6
2019-06-17,33,26,多云,西北风,1级,29.5,7
2019-06-18,33,26,阴,西南风,2级,29.5,7
2019-06-19,33,27,阴,东南风,1级,30.0,6
2019-06-20,34,28,多云,西南风,2级,31.0,6
2019-06-21,33,26,阴,西南风,1级,29.5,7
2019-06-22,27,23,小雨,东北风,3级,25.0,4
2019-06-23,23,22,小雨,东北风,2级,22.5,1
2019-06-24,25,23,小雨,西北风,1级,24.0,2
2019-06-25,28,24,阴,东南风,微风,26.0,4
2019-06-26,32,25,多云,东南风,2级,28.5,7
2019-06-27,34,27,多云,西北风,2级,30.5,7
2019-06-28,35,28,多云,西南风,2级,31.5,7
2019-06-29,34,27,阴,西南风,1级,30.5,7
2019-06-30,36,26,阴,西南风,2级,31.0,10
2019-05-01,25,16,多云,东北风,微风,20.5,9
2019-05-02,24,15,阴,西南风,2级,19.5,9
2019-05-03,27,18,阴,西南风,1级,22.5,9
2019-05-04,28,19,多云,西北风,微风,23.5,9
2019-05-05,18,17,阴,东北风,3级,17.5,1
2019-05-06,19,16,阴,东北风,2级,17.5,3
2019-05-07,19,15,阴,东北风,3级,17.0,4
2019-05-08,18,16,阴,西南风,1级,17.0,2
2019-05-09,24,18,多云,西北风,2级,21.0,6
2019-05-10,28,19,多云,北风,微风,23.5,9
2019-05-11,29,19,多云,西南风,1级,24.0,10
2019-05-12,30,21,阴,东北风,3级,25.5,9
2019-05-13,23,21,阴,西北风,1级,22.0,2
2019-05-14,27,23,阴,东北风,1级,25.0,4
2019-05-15,32,23,阴,东南风,2级,27.5,9
2019-05-16,31,23,阴,西北风,3级,27.0,8
2019-05-17,26,23,阴,西南风,微风,24.5,3
2019-05-18,31,24,阴,东北风,2级,27.5,7
2019-05-19,26,21,阴,西北风,2级,23.5,5
2019-05-20,26,17,阴,东北风,1级,21.5,9
2019-05-21,23,20,阴,西北风,微风,21.5,3
2019-05-22,24,18,阴,西南风,2级,21.0,6
2019-05-23,29,21,晴,西南风,1级,25.0,8
2019-05-24,30,24,阴,东南风,2级,27.0,6
2019-05-25,29,25,阴,东南风,3级,27.0,4
2019-05-26,31,24,阴,东南风,1级,27.5,7
2019-05-27,27,22,阴,西南风,1级,24.5,5
2019-05-28,22,17,阴,西北风,1级,19.5,5
2019-05-29,28,20,多云,西北风,1级,24.0,8
2019-05-30,26,22,多云,东北风,2级,24.0,4
2019-05-31,23,20,阴,西北风,2级,21.5,3
2019-04-01,20,13,阴,西南风,2级,16.5,7
2019-04-02,19,15,阴,东北风,3级,17.0,4
2019-04-03,13,13,阴,西北风,1级,13.0,0
2019-04-04,15,12,阴,南风,微风,13.5,3
2019-04-05,21,13,多云,西南风,1级,17.0,8
2019-04-06,27,17,多云,西南风,1级,22.0,10
2019-04-07,32,20,晴,东南风,1级,26.0,12
2019-04-08,32,23,多云,东南风,2级,27.5,9
2019-04-09,33,15,多云,西南风,3级,24.0,18
2019-04-10,14,13,阴,西北风,2级,13.5,1
2019-04-11,15,11,阴,东北风,2级,13.0,4
2019-04-12,17,15,阴,东北风,微风,16.0,2
2019-04-13,18,16,阴,西北风,微风,17.0,2
2019-04-14,18,14,阴,东北风,2级,16.0,4
2019-04-15,20,16,阴,西北风,1级,18.0,4
2019-04-16,22,14,阴,东南风,1级,18.0,8
2019-04-17,24,17,雾,南风,微风,20.5,7
2019-04-18,27,20,阴,南风,3级,23.5,7
2019-04-19,24,21,阴,西南风,微风,22.5,3
2019-04-20,29,22,阴,西北风,1级,25.5,7
2019-04-21,31,22,阴,西北风,1级,26.5,9
2019-04-22,23,21,阴,东北风,微风,22.0,2
2019-04-23,27,22,阴,东南风,1级,24.5,5
2019-04-24,31,22,阴,东南风,3级,26.5,9
2019-04-25,29,21,阴,东南风,2级,25.0,8
2019-04-26,31,20,阴,西南风,3级,25.5,11
2019-04-27,22,20,阴,西北风,2级,21.0,2
2019-04-28,26,21,阴,东北风,1级,23.5,5
2019-04-29,22,16,阴,西北风,3级,19.0,6
2019-04-30,18,15,阴,东北风,微风,16.5,3
2019-03-01,10,10,阴,西北风,1级,10.0,0
2019-03-02,10,9,阴,东北风,2级,9.5,1
2019-03-03,14,4,阴,东南风,2级,9.0,10
2019-03-04,17,4,雾,东南风,2级,10.5,13
2019-03-05,12,10,阴,东北风,1级,11.0,2
2019-03-06,12,8,阴,东北风,2级,10.0,4
2019-03-07,11,8,阴,东北风,1级,9.5,3
2019-03-08,9,8,阴,西北风,1级,8.5,1
2019-03-09,10,9,阴,西北风,1级,9.5,1
2019-03-10,18,8,多云,东南风,1级,13.0,10
2019-03-11,22,8,晴,北风,微风,15.0,14
2019-03-12,24,11,晴,东南风,1级,17.5,13
2019-03-13,23,12,阴,东北风,2级,17.5,11
2019-03-14,16,10,阴,东北风,1级,13.0,6
2019-03-15,20,12,多云,西南风,1级,16.0,8
2019-03-16,14,11,阴,西南风,2级,12.5,3
2019-03-17,13,12,阴,西北风,微风,12.5,1
2019-03-18,18,10,多云,西南风,1级,14.0,8
2019-03-19,24,20,多云,东南风,3级,22.0,4
2019-03-20,30,21,多云,西南风,4级,25.5,9
2019-03-21,30,14,阴,西北风,3级,22.0,16
2019-03-22,12,9,阴,东北风,3级,10.5,3
2019-03-23,9,9,阴,西北风,2级,9.0,0
2019-03-24,11,10,多云,西北风,4级,10.5,1
2019-03-25,18,10,阴,东南风,微风,14.0,8
2019-03-26,16,13,阴,东北风,2级,14.5,3
2019-03-27,27,18,阴,西南风,3级,22.5,9
2019-03-28,27,16,阴,东北风,1级,21.5,11
2019-03-29,20,13,阴,东北风,微风,16.5,7
2019-03-30,23,12,雾,东北风,2级,17.5,11
2019-03-31,14,10,阴,西北风,3级,12.0,4
2019-02-01,11,6,小雨,东北风,2级,8.5,5
2019-02-02,21,15,小雨,西南风,2级,18.0,6
2019-02-03,26,9,阴,东北风,4级,17.5,17
2019-02-04,17,9,多云,东北风,3级,13.0,8
2019-02-05,11,9,中雨,东北风,微风,10.0,2
2019-02-06,22,14,小雨,东北风,2级,18.0,8
2019-02-07,15,8,小雨,西北风,4级,11.5,7
2019-02-08,6,5,小雨,东北风,3级,5.5,1
2019-02-09,4,4,小雨,东北风,3级,4.0,0
2019-02-10,3,3,阴,东北风,3级,3.0,0
2019-02-11,5,4,雨夹雪,东北风,2级,4.5,1
2019-02-12,9,6,阴,东北风,2级,7.5,3
2019-02-13,6,6,阴,东北风,2级,6.0,0
2019-02-14,9,7,阴,东北风,3级,8.0,2
2019-02-15,8,5,阴,东北风,3级,6.5,3
2019-02-16,6,5,阴,东北风,3级,5.5,1
2019-02-17,4,4,阴,西北风,3级,4.0,0
2019-02-18,5,4,阴,东北风,2级,4.5,1
2019-02-19,8,7,晴,东北风,2级,7.5,1
2019-02-20,7,5,阴,东北风,1级,6.0,2
2019-02-21,6,5,阴,西北风,1级,5.5,1
2019-02-22,10,5,阴,东北风,1级,7.5,5
2019-02-23,6,4,小雨,西北风,2级,5.0,2
2019-02-24,8,5,阴,东北风,2级,6.5,3
2019-02-25,10,7,多云,西北风,1级,8.5,3
2019-02-26,11,9,阴,东北风,2级,10.0,2
2019-02-27,9,8,阴,东北风,2级,8.5,1
2019-02-28,9,8,阴,东南风,微风,8.5,1
2019-01-01,1,1,阴,西北风,2级,1.0,0
2019-01-02,3,3,阴,东北风,2级,3.0,0
2019-01-03,5,4,阴,东北风,2级,4.5,1
2019-01-04,6,5,小雨,东北风,1级,5.5,1
2019-01-05,7,5,中雨,东北风,1级,6.0,2
2019-01-06,9,7,阴,东北风,1级,8.0,2
2019-01-07,7,6,小雨,东北风,1级,6.5,1
2019-01-08,6,6,小雨,东北风,2级,6.0,0
2019-01-09,6,5,小雨,西北风,1级,5.5,1
2019-01-10,7,6,中雨,西北风,微风,6.5,1
2019-01-11,8,5,中雨,西北风,微风,6.5,3
2019-01-12,9,7,阴,东北风,2级,8.0,2
2019-01-13,9,7,阴,东北风,2级,8.0,2
2019-01-14,10,7,阴,东北风,2级,8.5,3
2019-01-15,8,4,阴,东北风,3级,6.0,4
2019-01-16,5,3,阴,东北风,2级,4.0,2
2019-01-17,6,1,阴,东北风,1级,3.5,5
2019-01-18,12,7,阴,东北风,1级,9.5,5
2019-01-19,12,7,阴,西北风,3级,9.5,5
2019-01-20,8,5,小雨,东北风,1级,6.5,3
2019-01-21,9,3,阵雨,西南风,1级,6.0,6
2019-01-22,13,2,阴,西北风,微风,7.5,11
2019-01-23,15,3,阴,西南风,1级,9.0,12
2019-01-24,15,6,晴,东南风,微风,10.5,9
2019-01-25,17,7,多云,东北风,3级,12.0,10
2019-01-26,12,6,小雨,东北风,3级,9.0,6
2019-01-27,15,5,晴,西北风,1级,10.0,10
2019-01-28,17,8,阴,东北风,2级,12.5,9
2019-01-29,17,8,多云,东北风,1级,12.5,9
2019-01-30,20,10,多云,西北风,1级,15.0,10
2019-01-31,13,3,小雨,东北风,2级,8.0,10
2018-12-02,21,16,小雨,东北风,2级,18.5,5
2018-12-03,26,16,多云,东北风,1级,21.0,10
2018-12-04,17,11,小雨,东北风,3级,14.0,6
2018-12-05,14,11,阴,东北风,2级,12.5,3
2018-12-06,11,7,小雨,东北风,3级,9.0,4
2018-12-07,9,4,多云,东北风,4级,6.5,5
2018-12-08,5,2,小雨,东北风,3级,3.5,3
2018-12-09,3,1,小雨,东北风,2级,2.0,2
2018-12-10,5,3,小雨,东北风,3级,4.0,2
2018-12-11,6,4,小雨,东北风,2级,5.0,2
2018-12-12,7,4,阴,东北风,2级,5.5,3
2018-12-13,6,3,小雨,东北风,2级,4.5,3
2018-12-14,10,3,晴,东北风,2级,6.5,7
2018-12-15,7,5,小雨,东北风,1级,6.0,2
2018-12-16,12,3,晴,东北风,1级,7.5,9
2018-12-17,15,3,雾,东北风,1级,9.0,12
2018-12-18,15,2,雾,东北风,1级,8.5,13
2018-12-19,20,7,多云,东北风,1级,13.5,13
2018-12-20,12,11,小雨,东北风,2级,11.5,1
2018-12-21,12,12,小雨,东北风,2级,12.0,0
2018-12-22,13,11,小雨,东北风,2级,12.0,2
2018-12-23,13,7,小雨,东北风,2级,10.0,6
2018-12-24,12,9,多云,东北风,2级,10.5,3
2018-12-25,11,9,小雨,东北风,2级,10.0,2
2018-12-26,10,8,小雨,东北风,2级,9.0,2
2018-12-27,9,4,阴,东北风,3级,6.5,5
2018-12-28,5,0,小雨,东北风,3级,2.5,5
2018-12-29,3,0,阴,东北风,2级,1.5,3
