日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,14,4,局部多云,东风,2级,9.0,10
2019-09-02,15,3,局部多云,东风,2级,9.0,12
2019-09-03,17,5,局部雷雨,东北风,2级,11.0,12
2019-09-04,17,5,局部多云,东北偏东风,2级,11.0,12
2019-09-05,17,5,局部多云,北风,2级,11.0,12
2019-09-06,16,6,零散雷雨,东风,2级,11.0,10
2019-09-07,16,4,零散雷雨,东北偏东风,2级,10.0,12
2019-09-08,17,7,零散雷雨,东风,2级,12.0,10
2019-09-09,15,4,阴,东北风,4级,9.5,11
2019-09-10,16,5,阴,东北风,1级,10.5,11
2019-09-11,17,7,零散雷雨,东风,2级,12.0,10
2019-09-12,0,0,雨夹雪,,,0.0,0
2019-09-13,0,-1,局部多云,东北偏东风,2级,-0.5,1
2019-09-14,1,0,阵雨,东北风,2级,0.5,1
2019-09-15,1,0,雨,东北偏东风,2级,0.5,1
2019-09-16,1,0,雨夹雪,东北风,2级,0.5,1
2019-09-17,1,0,阵雨,东北偏东风,2级,0.5,1
2019-09-18,1,0,阵雨,东北偏北风,2级,0.5,1
2019-09-19,5,0,阴,西北风,2级,2.5,5
2019-09-20,0,-1,雨夹雪,东北偏北风,2级,-0.5,1
2019-09-21,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-22,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-23,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-24,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-25,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-26,11,-5,晴,西南风,1级,3.0,16
2019-09-27,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-28,0,0,雨夹雪,西北偏北风,2级,0.0,0
2019-09-29,0,-1,少云,,,-0.5,1
2019-09-30,0,0,局部多云,东南偏东风,2级,0.0,0
2019-08-01,4,0,晴,西北风,2级,2.0,4
2019-08-02,4,0,晴,西北风,2级,2.0,4
2019-08-03,4,0,晴,西北风,2级,2.0,4
2019-08-04,14,6,阵雨,东风,2级,10.0,8
2019-08-05,13,3,雷雨,东风,2级,8.0,10
2019-08-06,17,4,少云,东风,2级,10.5,13
2019-08-07,18,5,局部多云,东南偏东风,3级,11.5,13
2019-08-08,13,5,零散雷雨,东风,2级,9.0,8
2019-08-09,13,3,阵雨,西北风,2级,8.0,10
2019-08-10,16,3,晴,西北风,2级,9.5,13
2019-08-11,18,3,晴,东风,2级,10.5,15
2019-08-12,18,4,晴,东南偏东风,2级,11.0,14
2019-08-13,17,4,零散阵雨,东风,2级,10.5,13
2019-08-14,17,4,零散阵雨,东风,2级,10.5,13
2019-08-15,17,4,零散阵雨,东风,2级,10.5,13
2019-08-16,17,4,零散阵雨,东风,2级,10.5,13
2019-08-17,17,4,零散阵雨,东风,2级,10.5,13
2019-08-18,17,4,零散阵雨,东风,2级,10.5,13
2019-08-19,17,4,零散阵雨,东风,2级,10.5,13
2019-08-20,17,4,零散阵雨,东风,2级,10.5,13
2019-08-21,17,4,零散阵雨,东风,2级,10.5,13
2019-08-22,17,4,零散阵雨,东风,2级,10.5,13
2019-08-23,17,4,零散阵雨,东风,2级,10.5,13
2019-08-24,17,4,零散阵雨,东风,2级,10.5,13
2019-08-25,17,4,零散阵雨,东风,2级,10.5,13
2019-08-26,17,4,零散阵雨,东风,2级,10.5,13
2019-08-27,17,4,零散阵雨,东风,2级,10.5,13
2019-08-28,17,4,零散阵雨,东风,2级,10.5,13
2019-08-29,17,4,零散阵雨,东风,2级,10.5,13
2019-08-30,7,2,雨,东北风,2级,4.5,5
2019-08-31,14,2,局部多云,北风,2级,8.0,12
2019-07-01,14,4,零散雷雨,东北偏东风,2级,9.0,10
2019-07-02,13,6,阵雨,东北偏东风,2级,9.5,7
2019-07-03,6,0,阵雨,东北偏东风,3级,3.0,6
2019-07-04,13,6,零散雷雨,东北偏东风,2级,9.5,7
2019-07-05,13,5,零散雷雨,西北偏北风,2级,9.0,8
2019-07-06,13,5,零散雷雨,西北偏北风,2级,9.0,8
2019-07-07,13,5,零散雷雨,西北偏北风,2级,9.0,8
2019-07-08,13,5,零散雷雨,西北偏北风,2级,9.0,8
2019-07-09,13,5,零散雷雨,西北偏北风,2级,9.0,8
2019-07-10,6,0,阵雨,,,3.0,6
2019-07-11,9,2,雨,北风,2级,5.5,7
2019-07-12,4,0,局部多云,东北风,2级,2.0,4
2019-07-13,6,0,雷雨,东风,2级,3.0,6
2019-07-14,4,0,局部多云,东北偏北风,2级,2.0,4
2019-07-15,3,0,零散阵雨,,,1.5,3
2019-07-16,6,0,零散阵雨,东风,2级,3.0,6
2019-07-17,7,0,零散阵雨,东北风,2级,3.5,7
2019-07-18,5,0,阵雨,西北偏北风,2级,2.5,5
2019-07-19,5,0,少云,北风,2级,2.5,5
2019-07-20,5,0,雨,东风,2级,2.5,5
2019-07-21,4,0,局部多云,北风,2级,2.0,4
2019-07-22,4,0,局部多云,西北风,2级,2.0,4
2019-07-23,4,0,局部多云,西北风,2级,2.0,4
2019-07-24,4,0,晴,西北风,2级,2.0,4
2019-07-25,4,0,晴,西北风,2级,2.0,4
2019-07-26,4,0,晴,西北风,2级,2.0,4
2019-07-27,4,0,晴,西北风,2级,2.0,4
2019-07-28,4,0,晴,西北风,2级,2.0,4
2019-07-29,4,0,晴,西北风,2级,2.0,4
2019-07-30,4,0,晴,西北风,2级,2.0,4
2019-07-31,4,0,晴,西北风,2级,2.0,4
2019-06-01,0,0,,,,0.0,0
2019-06-02,0,0,,,,0.0,0
2019-06-03,0,0,,,,0.0,0
2019-06-04,0,0,,,,0.0,0
2019-06-05,0,0,,,,0.0,0
2019-06-06,0,0,,,,0.0,0
2019-06-07,0,0,,,,0.0,0
2019-06-08,0,0,,,,0.0,0
2019-06-09,0,0,,,,0.0,0
2019-06-10,0,0,,,,0.0,0
2019-06-11,0,0,,,,0.0,0
2019-06-12,0,0,,,,0.0,0
2019-06-13,0,0,,,,0.0,0
2019-06-14,0,0,,,,0.0,0
2019-06-15,0,0,,,,0.0,0
2019-06-16,0,0,,,,0.0,0
2019-06-17,0,0,,,,0.0,0
2019-06-18,0,0,,,,0.0,0
2019-06-19,0,0,,,,0.0,0
2019-06-20,7,0,雷雨,,,3.5,7
2019-06-21,7,0,阴天,东北偏北风,2级,3.5,7
2019-06-22,7,0,零散雷雨,东北偏东风,2级,3.5,7
2019-06-23,6,0,零散雷雨,东北风,2级,3.0,6
2019-06-24,6,0,局部多云,东北风,2级,3.0,6
2019-06-25,7,0,雨,东风,2级,3.5,7
2019-06-26,10,4,阵雨,东北风,2级,7.0,6
2019-06-27,7,3,雨,东北风,2级,5.0,4
2019-06-28,11,3,零散阵雨,东北偏东风,2级,7.0,8
