日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,19,9,多云,西北风,2级,14.0,10
2019-09-02,23,13,晴,东南风,2级,18.0,10
2019-09-03,26,15,多云,东南风,1级,20.5,11
2019-09-04,31,16,晴,西北风,3级,23.5,15
2019-09-05,24,12,雾,东北风,1级,18.0,12
2019-09-06,26,13,雾,东南风,2级,19.5,13
2019-09-07,31,7,多云,西北风,4级,19.0,24
2019-09-08,15,6,多云,西南风,2级,10.5,9
2019-09-09,15,5,阴,北风,2级,10.0,10
2019-09-10,17,5,多云,东南风,1级,11.0,12
2019-09-11,24,15,晴,东南风,3级,19.5,9
2019-09-12,25,10,多云,东南风,4级,17.5,15
2019-09-13,18,5,多云,西南风,3级,11.5,13
2019-09-14,20,7,多云,东南风,3级,13.5,13
2019-09-15,9,1,阴,西南风,2级,5.0,8
2019-09-16,16,4,晴,东南风,3级,10.0,12
2019-09-17,9,0,阴,西北风,3级,4.5,9
2019-09-18,11,1,晴,西南风,3级,6.0,10
2019-09-19,17,7,多云,西南风,2级,12.0,10
2019-09-20,16,3,阴,西南风,1级,9.5,13
2019-09-21,19,5,多云,西南风,3级,12.0,14
2019-09-22,24,8,晴,西南风,3级,16.0,16
2019-09-23,16,5,晴,西北风,1级,10.5,11
2019-09-24,20,5,晴,西南风,1级,12.5,15
2019-09-25,23,7,晴,西南风,1级,15.0,16
2019-09-26,27,13,晴,东南风,3级,20.0,14
2019-09-27,29,10,多云,东南风,5级,19.5,19
2019-09-28,15,0,阴,西北风,4级,7.5,15
2019-09-29,15,7,阴,东南风,4级,11.0,8
2019-09-30,22,9,阴,东北风,1级,15.5,13
2019-08-01,27,15,多云,西南风,2级,21.0,12
2019-08-02,27,16,阴,东北风,3级,21.5,11
2019-08-03,28,18,多云,东南风,2级,23.0,10
2019-08-04,33,18,多云,西南风,2级,25.5,15
2019-08-05,25,13,阴,东北风,5级,19.0,12
2019-08-06,16,14,小雨,东南风,3级,15.0,2
2019-08-07,17,14,小雨,东南风,2级,15.5,3
2019-08-08,19,12,小雨,东北风,4级,15.5,7
2019-08-09,21,14,多云,东南风,4级,17.5,7
2019-08-10,17,13,阴,东北风,3级,15.0,4
2019-08-11,18,10,小雨,东北风,2级,14.0,8
2019-08-12,23,14,晴,东南风,2级,18.5,9
2019-08-13,22,10,阴,西北风,3级,16.0,12
2019-08-14,24,12,晴,西北风,4级,18.0,12
2019-08-15,23,15,阴,东北风,1级,19.0,8
2019-08-16,19,13,小雨,东北风,3级,16.0,6
2019-08-17,20,12,阴,西北风,3级,16.0,8
2019-08-18,22,11,多云,西北风,微风,16.5,11
2019-08-19,23,15,小雨,东南风,2级,19.0,8
2019-08-20,19,13,小雨,西南风,1级,16.0,6
2019-08-21,17,13,小雨,西北风,3级,15.0,4
2019-08-22,21,11,小雨,东北风,3级,16.0,10
2019-08-23,22,11,阴,东北风,1级,16.5,11
2019-08-24,23,12,阴,东南风,2级,17.5,11
2019-08-25,24,14,阴,东南风,1级,19.0,10
2019-08-26,20,10,中雨,西南风,1级,15.0,10
2019-08-27,16,8,中雨,东南风,2级,12.0,8
2019-08-28,19,11,阴,东北风,3级,15.0,8
2019-08-29,21,8,晴,北风,2级,14.5,13
2019-08-30,23,10,阴,西南风,2级,16.5,13
2019-08-31,24,12,多云,西北风,1级,18.0,12
2019-07-01,28,14,多云,西南风,2级,21.0,14
2019-07-02,27,14,多云,东北风,3级,20.5,13
2019-07-03,31,17,多云,东北风,5级,24.0,14
2019-07-04,23,12,小雨,西北风,3级,17.5,11
2019-07-05,16,12,阴,东北风,2级,14.0,4
2019-07-06,12,11,中雨,东北风,2级,11.5,1
2019-07-07,25,14,多云,西南风,3级,19.5,11
2019-07-08,22,13,阴,西南风,1级,17.5,9
2019-07-09,28,16,阴,西北风,3级,22.0,12
2019-07-10,28,16,阴,东南风,2级,22.0,12
2019-07-11,31,16,阴,东北风,2级,23.5,15
2019-07-12,28,17,多云,西北风,1级,22.5,11
2019-07-13,29,16,阴,东南风,3级,22.5,13
2019-07-14,29,16,阴,东南风,2级,22.5,13
2019-07-15,25,15,阴,东南风,1级,20.0,10
2019-07-16,28,14,多云,西南风,1级,21.0,14
2019-07-17,30,17,晴,西南风,1级,23.5,13
2019-07-18,32,20,多云,东南风,2级,26.0,12
2019-07-19,31,20,小雨,东南风,1级,25.5,11
2019-07-20,27,16,小雨,东南风,3级,21.5,11
2019-07-21,21,13,多云,西南风,4级,17.0,8
2019-07-22,24,14,晴,西北风,3级,19.0,10
2019-07-23,21,14,阴,东南风,2级,17.5,7
2019-07-24,19,12,小雨,东北风,3级,15.5,7
2019-07-25,20,11,多云,东南风,2级,15.5,9
2019-07-26,24,14,多云,东南风,2级,19.0,10
2019-07-27,29,18,多云,西南风,6级,23.5,11
2019-07-28,31,16,中雨,东北风,2级,23.5,15
2019-07-29,29,15,小雨,东南风,3级,22.0,14
2019-07-30,22,14,大雨,西南风,2级,18.0,8
2019-07-31,24,13,阴,西北风,3级,18.5,11
2019-06-01,16,3,阴,东北风,2级,9.5,13
2019-06-02,21,8,多云,东北风,2级,14.5,13
2019-06-03,24,12,多云,东南风,1级,18.0,12
2019-06-04,26,9,晴,东南风,6级,17.5,17
2019-06-05,19,5,多云,西北风,2级,12.0,14
2019-06-06,24,12,晴,西南风,3级,18.0,12
2019-06-07,20,12,阴,东北风,4级,16.0,8
