日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,15,晴,西南风,3级,21.0,12
2019-09-02,28,17,晴,东南风,1级,22.5,11
2019-09-03,28,17,多云,东南风,1级,22.5,11
2019-09-04,30,17,多云,东南风,1级,23.5,13
2019-09-05,27,17,阴,东南风,1级,22.0,10
2019-09-06,25,17,阴,北风,微风,21.0,8
2019-09-07,23,18,阴,东北风,5级,20.5,5
2019-09-08,27,12,多云,西北风,2级,19.5,15
2019-09-09,26,11,多云,北风,微风,18.5,15
2019-09-10,21,8,阴,东北风,1级,14.5,13
2019-09-11,23,10,多云,东南风,1级,16.5,13
2019-09-12,23,16,阴,东南风,2级,19.5,7
2019-09-13,20,9,阴,西北风,2级,14.5,11
2019-09-14,24,10,晴,南风,微风,17.0,14
2019-09-15,25,6,多云,西风,3级,15.5,19
2019-09-16,19,5,晴,东南风,1级,12.0,14
2019-09-17,23,4,晴,西北风,3级,13.5,19
2019-09-18,18,4,晴,西南风,2级,11.0,14
2019-09-19,22,7,多云,东南风,1级,14.5,15
2019-09-20,23,7,多云,东南风,1级,15.0,16
2019-09-21,22,5,晴,东南风,1级,13.5,17
2019-09-22,23,6,晴,东北风,1级,14.5,17
2019-09-23,25,8,晴,东南风,1级,16.5,17
2019-09-24,23,7,晴,东南风,1级,15.0,16
2019-09-25,27,9,晴,西南风,2级,18.0,18
2019-09-26,28,14,晴,东南风,微风,21.0,14
2019-09-27,27,12,多云,东南风,1级,19.5,15
2019-09-28,25,10,晴,西南风,3级,17.5,15
2019-09-29,24,11,晴,东南风,微风,17.5,13
2019-09-30,27,17,多云,南风,3级,22.0,10
2019-08-01,30,21,多云,西南风,2级,25.5,9
2019-08-02,30,21,阴,西南风,1级,25.5,9
2019-08-03,24,19,大暴雨,西南风,1级,21.5,5
2019-08-04,27,20,阴,南风,微风,23.5,7
2019-08-05,29,22,阴,东南风,2级,25.5,7
2019-08-06,28,22,阴,东南风,2级,25.0,6
2019-08-07,29,21,阴,西南风,1级,25.0,8
2019-08-08,26,19,小雨,西北风,1级,22.5,7
2019-08-09,29,20,多云,东南风,2级,24.5,9
2019-08-10,28,22,阴,西南风,2级,25.0,6
2019-08-11,23,20,小雨,东北风,1级,21.5,3
2019-08-12,25,20,阴,东北风,3级,22.5,5
2019-08-13,29,21,小雨,西南风,2级,25.0,8
2019-08-14,23,20,中雨,北风,微风,21.5,3
2019-08-15,26,19,阴,东北风,2级,22.5,7
2019-08-16,24,17,小雨,西北风,2级,20.5,7
2019-08-17,21,16,中雨,东南风,2级,18.5,5
2019-08-18,25,17,阴,西南风,1级,21.0,8
2019-08-19,27,16,阴,东北风,2级,21.5,11
