日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,13,晴,南风,微风,20.0,14
2019-09-02,29,15,晴,东北风,微风,22.0,14
2019-09-03,29,17,多云,西南风,1级,23.0,12
2019-09-04,24,18,阴,东北风,微风,21.0,6
2019-09-05,23,17,阴,东北风,2级,20.0,6
2019-09-06,25,19,阴,东南风,2级,22.0,6
2019-09-07,23,20,阴,东南风,6级,21.5,3
2019-09-08,28,17,多云,南风,微风,22.5,11
2019-09-09,28,15,晴,南风,微风,21.5,13
2019-09-10,22,11,阴,南风,微风,16.5,11
2019-09-11,22,8,晴,北风,微风,15.0,14
2019-09-12,23,12,阴,北风,微风,17.5,11
2019-09-13,21,15,阴,东南风,3级,18.0,6
2019-09-14,22,8,多云,西北风,2级,15.0,14
2019-09-15,23,10,多云,东南风,2级,16.5,13
2019-09-16,24,5,晴,北风,微风,14.5,19
2019-09-17,20,9,晴,东南风,1级,14.5,11
2019-09-18,17,8,晴,西北风,3级,12.5,9
2019-09-19,21,4,晴,北风,微风,12.5,17
2019-09-20,20,8,多云,东南风,3级,14.0,12
2019-09-21,23,5,多云,南风,微风,14.0,18
2019-09-22,20,6,多云,南风,微风,13.0,14
2019-09-23,23,8,晴,北风,微风,15.5,15
2019-09-24,22,4,晴,北风,微风,13.0,18
2019-09-25,22,7,晴,东北风,1级,14.5,15
2019-09-26,28,9,晴,南风,微风,18.5,19
2019-09-27,27,11,雾,东南风,1级,19.0,16
2019-09-28,23,11,阴,东北风,2级,17.0,12
2019-09-29,26,8,多云,北风,微风,17.0,18
2019-09-30,25,11,晴,东南风,2级,18.0,14
2019-08-01,31,21,小雨,东北风,3级,26.0,10
2019-08-02,31,21,多云,北风,微风,26.0,10
2019-08-03,29,21,阴,东南风,3级,25.0,8
2019-08-04,30,21,小雨,北风,微风,25.5,9
2019-08-05,32,22,多云,东北风,2级,27.0,10
2019-08-06,30,22,多云,东北风,2级,26.0,8
2019-08-07,28,22,多云,东北风,1级,25.0,6
2019-08-08,30,21,阴,南风,微风,25.5,9
2019-08-09,27,20,阴,东北风,2级,23.5,7
2019-08-10,20,19,阴,东南风,1级,19.5,1
2019-08-11,19,18,小雨,东南风,2级,18.5,1
2019-08-12,20,18,中雨,东北风,2级,19.0,2
2019-08-13,20,19,大雨,东北风,3级,19.5,1
2019-08-14,20,18,小雨,东南风,3级,19.0,2
2019-08-15,19,19,中雨,南风,微风,19.0,0
2019-08-16,24,18,小雨,西南风,1级,21.0,6
2019-08-17,29,18,阴,东北风,3级,23.5,11
2019-08-18,25,17,小雨,东北风,2级,21.0,8
2019-08-19,22,17,阴,西南风,1级,19.5,5
2019-08-20,25,17,阴,东北风,3级,21.0,8
2019-08-21,22,16,小雨,东北风,1级,19.0,6
2019-08-22,26,16,小雨,东南风,2级,21.0,10
2019-08-23,25,16,小雨,西北风,2级,20.5,9
2019-08-24,25,16,小雨,西北风,1级,20.5,9
2019-08-25,26,15,多云,北风,微风,20.5,11
2019-08-26,25,18,阴,东北风,2级,21.5,7
2019-08-27,23,17,小雨,东北风,2级,20.0,6
2019-08-28,24,17,小雨,东北风,2级,20.5,7
2019-08-29,25,16,阴,东南风,2级,20.5,9
2019-08-30,24,14,阴,南风,微风,19.0,10
