日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,18,阴,东南风,1级,20.5,5
2019-09-02,28,19,多云,东北风,2级,23.5,9
2019-09-03,28,20,多云,东南风,1级,24.0,8
2019-09-04,28,20,多云,东南风,1级,24.0,8
2019-09-05,29,19,多云,东南风,1级,24.0,10
2019-09-06,30,19,晴,西北风,1级,24.5,11
2019-09-07,32,18,晴,北风,微风,25.0,14
2019-09-08,32,20,晴,东南风,2级,26.0,12
2019-09-09,32,20,晴,东北风,1级,26.0,12
2019-09-10,31,22,晴,东南风,2级,26.5,9
2019-09-11,28,22,阴,东北风,2级,25.0,6
2019-09-12,30,22,阴,东北风,2级,26.0,8
2019-09-13,33,23,晴,西北风,3级,28.0,10
2019-09-14,30,20,多云,东北风,1级,25.0,10
2019-09-15,28,20,阴,西北风,2级,24.0,8
2019-09-16,23,20,阴,西北风,1级,21.5,3
2019-09-17,24,19,阴,西北风,2级,21.5,5
2019-09-18,29,14,多云,东北风,3级,21.5,15
2019-09-19,25,15,多云,东北风,2级,20.0,10
2019-09-20,28,16,多云,东北风,1级,22.0,12
2019-09-21,29,17,晴,东北风,2级,23.0,12
2019-09-22,30,15,晴,西北风,2级,22.5,15
2019-09-23,29,15,晴,西北风,1级,22.0,14
2019-09-24,31,18,多云,东南风,1级,24.5,13
2019-09-25,32,17,阴,东南风,1级,24.5,15
2019-09-26,30,16,多云,东南风,2级,23.0,14
2019-09-27,29,15,晴,东南风,1级,22.0,14
2019-09-28,30,14,晴,东南风,2级,22.0,16
2019-09-29,31,16,晴,东南风,2级,23.5,15
2019-09-30,30,16,晴,东南风,3级,23.0,14
2019-08-01,33,25,暴雨,东北风,4级,29.0,8
2019-08-02,32,25,多云,东北风,2级,28.5,7
2019-08-03,32,24,阴,东北风,2级,28.0,8
2019-08-04,32,24,阴,东北风,2级,28.0,8
2019-08-05,31,24,阴,东北风,2级,27.5,7
2019-08-06,32,25,小雨,东南风,2级,28.5,7
2019-08-07,31,24,阴,东北风,2级,27.5,7
2019-08-08,33,25,多云,东北风,2级,29.0,8
2019-08-09,33,26,多云,东北风,2级,29.5,7
2019-08-10,28,24,小雨,西北风,4级,26.0,4
2019-08-11,26,24,小雨,西北风,4级,25.0,2
2019-08-12,25,22,中雨,西南风,3级,23.5,3
2019-08-13,30,23,多云,西北风,2级,26.5,7
2019-08-14,31,23,多云,西北风,1级,27.0,8
2019-08-15,31,23,晴,西北风,2级,27.0,8
2019-08-16,33,23,晴,东北风,2级,28.0,10
2019-08-17,30,21,多云,东南风,1级,25.5,9
2019-08-18,31,21,晴,东北风,2级,26.0,10
2019-08-19,30,19,晴,东北风,2级,24.5,11
2019-08-20,30,22,多云,东北风,2级,26.0,8
2019-08-21,30,22,阴,东北风,3级,26.0,8
2019-08-22,31,22,多云,东北风,1级,26.5,9
2019-08-23,32,21,晴,东北风,微风,26.5,11
2019-08-24,31,22,多云,东北风,2级,26.5,9
2019-08-25,31,24,多云,东北风,2级,27.5,7
2019-08-26,31,25,阴,东北风,3级,28.0,6
2019-08-27,28,22,小雨,东北风,2级,25.0,6
2019-08-28,30,21,阴,东南风,1级,25.5,9
2019-08-29,32,18,晴,西北风,2级,25.0,14
2019-08-30,30,20,晴,东南风,1级,25.0,10
2019-08-31,30,20,阴,东南风,2级,25.0,10
2019-07-01,35,21,晴,东南风,2级,28.0,14
2019-07-02,35,23,多云,东南风,2级,29.0,12
2019-07-03,33,21,阴,东南风,2级,27.0,12
2019-07-04,30,22,阴,东南风,2级,26.0,8
2019-07-05,36,24,多云,东南风,3级,30.0,12
2019-07-06,33,21,中雨,东北风,2级,27.0,12
2019-07-07,30,22,多云,西北风,2级,26.0,8
2019-07-08,28,21,阴,东北风,3级,24.5,7
2019-07-09,28,20,阴,北风,微风,24.0,8
2019-07-10,29,20,小雨,北风,微风,24.5,9
2019-07-11,31,22,多云,北风,微风,26.5,9
2019-07-12,29,22,小雨,西南风,2级,25.5,7
2019-07-13,32,22,多云,西南风,2级,27.0,10
2019-07-14,34,23,晴,西南风,2级,28.5,11
2019-07-15,34,24,多云,东南风,2级,29.0,10
2019-07-16,33,24,阴,东南风,3级,28.5,9
2019-07-17,29,23,阴,东北风,3级,26.0,6
2019-07-18,30,24,多云,东北风,3级,27.0,6
2019-07-19,31,24,阴,东北风,2级,27.5,7
2019-07-20,35,26,晴,东南风,2级,30.5,9
2019-07-21,37,26,多云,东南风,1级,31.5,11
2019-07-22,37,28,多云,东南风,3级,32.5,9
2019-07-23,37,28,多云,东南风,2级,32.5,9
2019-07-24,36,27,阴,西北风,1级,31.5,9
2019-07-25,34,25,小雨,东南风,2级,29.5,9
2019-07-26,35,26,阴,东南风,2级,30.5,9
2019-07-27,36,28,阴,东南风,2级,32.0,8
2019-07-28,35,28,阴,东南风,2级,31.5,7
2019-07-29,36,28,多云,东南风,2级,32.0,8
2019-07-30,35,27,阴,西北风,2级,31.0,8
2019-07-31,35,26,多云,西北风,3级,30.5,9
2019-06-01,32,22,阴,东南风,3级,27.0,10
2019-06-02,36,23,晴,东南风,3级,29.5,13
2019-06-03,38,25,晴,西南风,2级,31.5,13
2019-06-04,38,25,多云,东南风,2级,31.5,13
2019-06-05,38,24,阴,东南风,3级,31.0,14
2019-06-06,25,20,阴,东北风,2级,22.5,5
2019-06-07,32,22,多云,东南风,2级,27.0,10
2019-06-08,34,22,多云,东南风,3级,28.0,12
2019-06-09,37,20,阴,西北风,3级,28.5,17
2019-06-10,33,20,阴,东南风,2级,26.5,13
2019-06-11,33,20,晴,东南风,2级,26.5,13
