日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,14,多云,东南风,3级,21.5,15
2019-09-02,29,13,晴,东南风,3级,21.0,16
2019-09-03,30,13,晴,西北风,2级,21.5,17
2019-09-04,29,13,晴,东南风,3级,21.0,16
2019-09-05,30,14,晴,东南风,3级,22.0,16
2019-09-06,30,14,晴,东南风,4级,22.0,16
2019-09-07,32,16,晴,东北风,2级,24.0,16
2019-09-08,34,15,晴,东南风,3级,24.5,19
2019-09-09,30,17,多云,东南风,4级,23.5,13
2019-09-10,18,15,小雨,东北风,3级,16.5,3
2019-09-11,16,13,小雨,东南风,3级,14.5,3
2019-09-12,19,14,小雨,东南风,2级,16.5,5
2019-09-13,23,15,小雨,西北风,3级,19.0,8
2019-09-14,24,14,多云,东南风,2级,19.0,10
2019-09-15,25,12,多云,东北风,1级,18.5,13
2019-09-16,24,13,多云,东北风,2级,18.5,11
2019-09-16,24,13,多云,东北风,3级,18.5,11
2019-09-17,26,12,阴,西南风,2级,19.0,14
2019-09-18,23,12,阴,东南风,4级,17.5,11
2019-09-19,21,12,多云,西南风,5级,16.5,9
2019-09-20,23,11,晴,西北风,1级,17.0,12
2019-09-21,24,10,晴,东南风,2级,17.0,14
2019-09-22,26,10,晴,东南风,2级,18.0,16
2019-09-23,27,11,小雨,西北风,3级,19.0,16
2019-09-24,28,10,晴,东南风,4级,19.0,18
2019-09-25,28,10,晴,东北风,1级,19.0,18
2019-09-25,28,10,晴,西南风,2级,19.0,18
2019-09-26,27,10,晴,东南风,3级,18.5,17
2019-09-27,27,11,小雨,东南风,2级,19.0,16
2019-09-28,27,12,晴,西北风,1级,19.5,15
2019-09-29,29,14,晴,西南风,2级,21.5,15
2019-09-30,28,13,晴,东南风,3级,20.5,15
2019-08-01,31,20,小雨,东南风,4级,25.5,11
2019-08-02,27,19,小雨,东南风,4级,23.0,8
2019-08-03,27,19,阴,东北风,3级,23.0,8
2019-08-04,21,18,中雨,东南风,3级,19.5,3
2019-08-05,27,21,雷阵雨,东南风,3级,24.0,6
2019-08-06,30,20,小雨,东南风,2级,25.0,10
2019-08-07,30,20,小雨,东南风,3级,25.0,10
2019-08-08,30,21,多云,东南风,3级,25.5,9
2019-08-09,28,18,小雨,东南风,2级,23.0,10
2019-08-10,29,19,小雨,西北风,1级,24.0,10
2019-08-11,26,18,小雨,东南风,3级,22.0,8
2019-08-12,30,19,小雨,东北风,3级,24.5,11
2019-08-13,30,20,多云,东北风,1级,25.0,10
2019-08-14,32,18,晴,东北风,4级,25.0,14
2019-08-15,35,17,晴,西南风,4级,26.0,18
2019-08-16,30,15,晴,西北风,3级,22.5,15
