日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,8,多云,东北风,3级,14.5,13
2019-09-02,21,9,阴,东南风,5级,15.0,12
2019-09-03,23,11,阵雨,东北风,5级,17.0,12
2019-09-04,24,10,多云,东北风,3级,17.0,14
2019-09-05,23,10,阴,东南风,3级,16.5,13
2019-09-06,24,10,阴,东南风,3级,17.0,14
2019-09-07,21,11,多云,东北风,2级,16.0,10
2019-09-08,20,11,阴,东北风,5级,15.5,9
2019-09-09,17,9,阴,东南风,3级,13.0,8
2019-09-10,16,9,阴,西南风,1级,12.5,7
2019-09-11,25,11,雾,西北风,4级,18.0,14
2019-09-12,15,8,阴,西南风,5级,11.5,7
2019-09-13,11,5,阴,东南风,3级,8.0,6
2019-09-14,17,8,多云,东南风,6级,12.5,9
2019-09-15,14,7,阴,东南风,5级,10.5,7
2019-09-16,14,8,阴,东南风,2级,11.0,6
2019-09-17,14,7,阴,东南风,4级,10.5,7
2019-09-18,11,7,小雨,东南风,2级,9.0,4
2019-09-19,12,5,阴,东南风,3级,8.5,7
2019-09-20,16,2,阴,东南风,3级,9.0,14
2019-09-21,18,3,晴,东北风,4级,10.5,15
2019-09-22,16,5,阴,东北风,6级,10.5,11
2019-09-23,15,4,阴,东北风,3级,9.5,11
2019-09-24,18,3,阴,东北风,2级,10.5,15
2019-09-25,18,3,晴,东南风,4级,10.5,15
2019-09-26,19,4,晴,东南风,3级,11.5,15
2019-09-27,21,4,晴,东南风,4级,12.5,17
2019-09-28,21,4,晴,东北风,3级,12.5,17
2019-09-29,22,4,晴,西南风,1级,13.0,18
2019-09-30,21,4,阴,东南风,3级,12.5,17
2019-08-01,25,11,多云,东南风,3级,18.0,14
2019-08-02,22,10,小雨,东南风,3级,16.0,12
2019-08-03,28,10,晴,东北风,3级,19.0,18
2019-08-04,25,11,多云,西北风,6级,18.0,14
2019-08-05,26,9,阴,东南风,6级,17.5,17
2019-08-06,27,10,晴,东南风,4级,18.5,17
2019-08-07,26,13,阴,东北风,4级,19.5,13
2019-08-08,20,8,小雨,东南风,4级,14.0,12
2019-08-09,22,8,阴,东南风,3级,15.0,14
2019-08-10,25,9,晴,东北风,3级,17.0,16
2019-08-11,28,10,晴,东南风,5级,19.0,18
2019-08-12,27,12,晴,东南风,4级,19.5,15
2019-08-13,24,7,小雨,东南风,4级,15.5,17
2019-08-14,25,8,小雨,西北风,3级,16.5,17
2019-08-15,29,10,晴,西南风,2级,19.5,19
2019-08-16,26,10,阴,东南风,4级,18.0,16
2019-08-17,26,14,多云,东南风,4级,20.0,12
2019-08-18,29,14,阴,东南风,4级,21.5,15
2019-08-19,29,14,阴,东北风,6级,21.5,15
2019-08-20,16,10,小雨,西北风,6级,13.0,6
2019-08-21,19,12,阴,东南风,4级,15.5,7
2019-08-22,17,12,阴,东南风,3级,14.5,5
2019-08-23,18,12,小雨,东南风,4级,15.0,6
2019-08-24,21,11,阴,东南风,4级,16.0,10
2019-08-25,24,13,阴,东南风,3级,18.5,11
2019-08-26,14,10,中雨,北风,微风,12.0,4
2019-08-27,23,10,多云,西南风,2级,16.5,13
2019-08-28,22,7,小雨,东南风,4级,14.5,15
2019-08-29,22,11,阴,东南风,5级,16.5,11
2019-08-30,12,7,阴,南风,微风,9.5,5
2019-08-31,21,7,阴,西南风,3级,14.0,14
2019-07-01,21,10,阴,东南风,4级,15.5,11
2019-07-02,25,14,多云,东北风,6级,19.5,11
2019-07-03,23,12,小雨,东南风,2级,17.5,11
2019-07-04,27,11,晴,东北风,3级,19.0,16
2019-07-05,24,10,多云,东北风,3级,17.0,14
2019-07-06,22,13,阴,东北风,3级,17.5,9
2019-07-07,21,10,小雨,南风,微风,15.5,11
2019-07-08,17,8,小雨,东南风,2级,12.5,9
2019-07-09,22,9,多云,东南风,5级,15.5,13
2019-07-10,21,10,阴,东南风,5级,15.5,11
2019-07-11,18,9,阴,东北风,5级,13.5,9
2019-07-12,24,9,多云,东北风,3级,16.5,15
2019-07-13,24,12,多云,东南风,4级,18.0,12
2019-07-14,17,9,中雨,东南风,3级,13.0,8
2019-07-15,20,9,阴,东南风,2级,14.5,11
2019-07-16,23,12,阴,东南风,3级,17.5,11
2019-07-17,22,14,阴,东北风,2级,18.0,8
2019-07-18,21,13,阴,东南风,1级,17.0,8
2019-07-19,22,10,阴,东北风,5级,16.0,12
2019-07-20,25,13,晴,东南风,2级,19.0,12
2019-07-21,17,11,小雨,西北风,4级,14.0,6
2019-07-22,25,10,多云,西北风,1级,17.5,15
2019-07-23,22,11,阴,东南风,4级,16.5,11
2019-07-24,23,8,阴,西北风,3级,15.5,15
2019-07-25,28,9,晴,西南风,2级,18.5,19
2019-07-26,29,14,晴,西北风,6级,21.5,15
2019-07-27,26,16,多云,东南风,5级,21.0,10
2019-07-28,21,10,阴,南风,微风,15.5,11
2019-07-29,25,11,多云,东北风,4级,18.0,14
2019-07-30,25,11,阴,东南风,4级,18.0,14
2019-07-31,25,10,阴,东南风,4级,17.5,15
2019-06-01,23,6,多云,东北风,2级,14.5,17
2019-06-02,21,6,多云,西北风,3级,13.5,15
2019-06-03,24,8,多云,东北风,2级,16.0,16
2019-06-04,12,3,阴,西北风,3级,7.5,9
2019-06-05,21,7,阴,西北风,5级,14.0,14
2019-06-06,23,9,阴,东北风,3级,16.0,14
2019-06-07,22,9,阴,东南风,5级,15.5,13
2019-06-08,21,10,阴,东北风,6级,15.5,11
2019-06-09,22,10,阴,东南风,3级,16.0,12
2019-06-10,19,10,阴,东北风,3级,14.5,9
2019-06-11,16,6,阴,东南风,4级,11.0,10
2019-06-12,26,8,晴,西南风,3级,17.0,18
2019-06-13,23,13,晴,东南风,6级,18.0,10
2019-06-14,14,10,中雨,东南风,1级,12.0,4
2019-06-15,18,10,小雨,东南风,4级,14.0,8
2019-06-16,19,10,阴,西北风,2级,14.5,9
2019-06-17,21,10,多云,东北风,4级,15.5,11
2019-06-18,12,10,小雨,西北风,2级,11.0,2
2019-06-19,18,11,阴,东北风,3级,14.5,7
2019-06-20,22,12,阴,东南风,4级,17.0,10
2019-06-21,19,12,阴,东南风,6级,15.5,7
2019-06-22,25,15,阴,东南风,6级,20.0,10
