日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,21,多云,西北风,1级,24.5,7
2019-09-02,26,21,阴,西北风,3级,23.5,5
2019-09-03,27,22,多云,东北风,3级,24.5,5
2019-09-04,25,22,阴,东北风,2级,23.5,3
2019-09-05,26,22,阴,西南风,2级,24.0,4
2019-09-06,26,23,阴,西北风,1级,24.5,3
2019-09-07,24,23,阴,西北风,1级,23.5,1
2019-09-08,24,22,阴,东北风,2级,23.0,2
2019-09-09,28,23,阴,东北风,3级,25.5,5
2019-09-10,29,23,阴,北风,微风,26.0,6
2019-09-11,31,24,阴,西北风,2级,27.5,7
2019-09-12,34,21,多云,东北风,1级,27.5,13
2019-09-13,26,16,阴,西北风,4级,21.0,10
2019-09-14,18,17,阴,西北风,1级,17.5,1
2019-09-15,19,18,阴,西南风,1级,18.5,1
2019-09-16,22,18,阴,西北风,2级,20.0,4
2019-09-17,19,18,阴,西南风,1级,18.5,1
2019-09-18,23,18,多云,西北风,2级,20.5,5
2019-09-19,19,18,阴,西北风,2级,18.5,1
2019-09-20,25,16,阴,西南风,1级,20.5,9
2019-09-21,26,17,阴,东南风,1级,21.5,9
2019-09-22,29,18,晴,东南风,1级,23.5,11
2019-09-23,25,18,阴,东北风,1级,21.5,7
2019-09-24,21,17,阴,西南风,2级,19.0,4
2019-09-25,25,16,多云,东南风,1级,20.5,9
2019-09-26,26,17,多云,东北风,1级,21.5,9
2019-09-27,27,18,晴,东北风,1级,22.5,9
2019-09-28,29,19,多云,东北风,1级,24.0,10
2019-09-29,28,21,多云,西北风,2级,24.5,7
2019-09-30,29,20,多云,东南风,1级,24.5,9
2019-08-01,33,24,多云,东南风,1级,28.5,9
2019-08-02,32,24,小雨,西北风,2级,28.0,8
2019-08-03,26,23,中雨,东北风,1级,24.5,3
2019-08-04,31,23,阴,东南风,2级,27.0,8
2019-08-05,29,23,阴,西北风,3级,26.0,6
2019-08-06,23,22,大雨,南风,微风,22.5,1
2019-08-07,31,24,多云,东南风,1级,27.5,7
2019-08-08,33,24,多云,西北风,2级,28.5,9
2019-08-09,32,24,阴,东南风,2级,28.0,8
2019-08-10,35,23,多云,西南风,1级,29.0,12
2019-08-11,36,24,晴,西南风,1级,30.0,12
2019-08-12,37,24,晴,北风,微风,30.5,13
2019-08-13,37,25,多云,北风,2级,31.0,12
2019-08-14,33,24,阴,西南风,2级,28.5,9
2019-08-15,36,23,晴,西南风,2级,29.5,13
2019-08-16,37,24,晴,东南风,2级,30.5,13
2019-08-17,38,25,晴,东南风,1级,31.5,13
2019-08-18,35,25,阴,东北风,3级,30.0,10
2019-08-19,35,26,阴,西北风,2级,30.5,9
2019-08-20,35,25,阴,东北风,2级,30.0,10
2019-08-21,35,25,多云,西北风,1级,30.0,10
2019-08-22,36,24,多云,东北风,2级,30.0,12
2019-08-23,36,25,晴,东南风,1级,30.5,11
2019-08-24,37,25,多云,东南风,1级,31.0,12
2019-08-25,38,25,多云,东南风,1级,31.5,13
2019-08-26,38,24,多云,东北风,2级,31.0,14
2019-08-27,28,23,多云,西南风,1级,25.5,5
2019-08-28,29,22,阴,东北风,2级,25.5,7
2019-08-29,34,21,多云,东南风,2级,27.5,13
2019-08-30,33,20,阴,东北风,3级,26.5,13
2019-08-31,22,19,阴,南风,微风,20.5,3
2019-07-01,33,24,晴,东南风,1级,28.5,9
2019-07-02,34,23,多云,东北风,1级,28.5,11
2019-07-03,29,21,阵雨,东北风,4级,25.0,8
2019-07-04,22,20,中雨,西南风,2级,21.0,2
2019-07-05,28,22,阴,东南风,1级,25.0,6
