日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,33,25,阴,西北风,3级,29.0,8
2019-09-02,31,24,阴,西北风,1级,27.5,7
2019-09-03,32,24,雷阵雨,东南风,2级,28.0,8
2019-09-04,31,25,阴,东北风,2级,28.0,6
2019-09-05,32,26,阴,西北风,3级,29.0,6
2019-09-06,35,26,多云,西北风,1级,30.5,9
2019-09-07,35,27,多云,西北风,3级,31.0,8
2019-09-08,35,28,多云,西北风,2级,31.5,7
2019-09-09,33,27,多云,东北风,1级,30.0,6
2019-09-10,35,27,多云,西北风,1级,31.0,8
2019-09-11,34,27,阴,西北风,1级,30.5,7
2019-09-12,35,28,阴,西北风,2级,31.5,7
2019-09-13,35,28,多云,东南风,3级,31.5,7
2019-09-14,32,27,阴,西南风,1级,29.5,5
2019-09-15,32,27,阴,西北风,2级,29.5,5
2019-09-16,33,26,阴,西北风,2级,29.5,7
2019-09-17,33,26,阴,西南风,2级,29.5,7
2019-09-18,34,26,多云,西北风,2级,30.0,8
2019-09-19,32,25,多云,西北风,2级,28.5,7
2019-09-20,32,23,晴,西北风,2级,27.5,9
2019-09-21,31,23,晴,西北风,2级,27.0,8
2019-09-22,30,22,晴,西北风,2级,26.0,8
2019-09-23,30,21,晴,西北风,2级,25.5,9
2019-09-24,32,21,晴,西北风,2级,26.5,11
2019-09-25,32,22,晴,西北风,2级,27.0,10
2019-09-26,32,23,多云,西北风,2级,27.5,9
2019-09-27,32,23,多云,西北风,2级,27.5,9
2019-09-28,33,23,多云,西北风,2级,28.0,10
2019-09-29,34,24,晴,西北风,2级,29.0,10
2019-09-30,34,24,晴,西北风,2级,29.0,10
2019-08-01,27,25,阴,东南风,4级,26.0,2
2019-08-02,29,25,阴,东南风,2级,27.0,4
2019-08-03,28,25,阴,西北风,1级,26.5,3
2019-08-04,32,24,阴,西北风,2级,28.0,8
2019-08-05,35,26,多云,西北风,2级,30.5,9
2019-08-06,32,27,阴,西北风,2级,29.5,5
2019-08-07,34,28,阴,东北风,1级,31.0,6
2019-08-08,36,28,阴,西北风,2级,32.0,8
2019-08-09,37,28,多云,西北风,2级,32.5,9
2019-08-10,36,28,阴,东北风,1级,32.0,8
2019-08-11,35,27,阴,东南风,1级,31.0,8
2019-08-12,35,27,阴,东南风,2级,31.0,8
2019-08-13,34,27,阴,东北风,1级,30.5,7
2019-08-14,35,27,多云,东南风,3级,31.0,8
2019-08-15,34,26,阴,西北风,1级,30.0,8
2019-08-16,34,26,阴,西北风,3级,30.0,8
2019-08-17,29,25,阴,西北风,1级,27.0,4
2019-08-18,30,25,阴,东南风,2级,27.5,5
2019-08-19,34,26,阴,西北风,2级,30.0,8
2019-08-20,33,26,多云,东南风,4级,29.5,7
2019-08-21,34,27,阴,西北风,2级,30.5,7
2019-08-22,35,27,多云,东南风,3级,31.0,8
2019-08-23,33,28,阴,西北风,2级,30.5,5
2019-08-24,36,26,多云,西北风,2级,31.0,10
2019-08-25,31,26,阴,西南风,4级,28.5,5
2019-08-26,29,26,阴,东北风,2级,27.5,3
2019-08-27,33,27,阴,西北风,1级,30.0,6
2019-08-28,35,26,多云,西北风,2级,30.5,9
2019-08-29,34,26,阴,西北风,1级,30.0,8
2019-08-30,31,26,阴,西北风,2级,28.5,5
2019-08-31,30,26,阴,西北风,2级,28.0,4
2019-07-01,35,27,阴,东北风,2级,31.0,8
2019-07-02,34,25,阴,西北风,2级,29.5,9
2019-07-03,30,25,中雨,东南风,1级,27.5,5
2019-07-04,31,26,阴,东南风,1级,28.5,5
2019-07-05,33,28,阴,东南风,1级,30.5,5
2019-07-06,34,28,阴,东南风,3级,31.0,6
2019-07-07,34,28,多云,东南风,3级,31.0,6
2019-07-08,33,28,阴,西南风,4级,30.5,5
2019-07-09,32,27,阴,西北风,1级,29.5,5
2019-07-10,28,26,多云,西南风,1级,27.0,2
2019-07-11,31,26,阴,东南风,2级,28.5,5
2019-07-12,33,27,阴,东南风,3级,30.0,6
2019-07-13,33,28,阴,东南风,4级,30.5,5
2019-07-14,33,28,阴,东北风,1级,30.5,5
2019-07-15,34,27,多云,东南风,2级,30.5,7
2019-07-16,35,27,多云,西北风,2级,31.0,8
2019-07-17,36,28,多云,西北风,2级,32.0,8
2019-07-18,37,28,多云,西北风,2级,32.5,9
2019-07-19,34,28,阴,东北风,1级,31.0,6
2019-07-20,34,27,阴,西南风,1级,30.5,7
2019-07-21,31,26,阴,西北风,1级,28.5,5
2019-07-22,31,26,阴,西北风,1级,28.5,5
2019-07-23,30,26,阴,西北风,1级,28.0,4
2019-07-24,30,26,阴,东北风,1级,28.0,4
2019-07-25,33,27,阴,东南风,3级,30.0,6
2019-07-26,35,27,多云,东南风,2级,31.0,8
2019-07-27,35,27,阴,南风,3级,31.0,8
2019-07-28,32,27,阴,东北风,1级,29.5,5
2019-07-29,34,27,阴,西北风,2级,30.5,7
2019-07-30,32,26,阴,东北风,2级,29.0,6
2019-07-31,31,26,中雨,东北风,2级,28.5,5
2019-06-01,30,25,阴,东北风,1级,27.5,5
2019-06-02,29,25,阴,东南风,2级,27.0,4
2019-06-03,31,26,阴,东北风,2级,28.5,5
2019-06-04,31,26,阴,西北风,1级,28.5,5
2019-06-05,31,26,多云,西北风,2级,28.5,5
2019-06-06,32,27,阴,东北风,2级,29.5,5
2019-06-07,33,28,阴,东南风,2级,30.5,5
2019-06-08,33,28,阴,东南风,3级,30.5,5
2019-06-09,34,26,阴,东南风,3级,30.0,8
2019-06-10,32,24,阴,东南风,2级,28.0,8
2019-06-11,30,24,阴,东南风,1级,27.0,6
2019-06-12,29,24,大雨,西北风,1级,26.5,5
2019-06-13,32,24,小雨,西南风,1级,28.0,8
2019-06-14,32,25,晴,西北风,2级,28.5,7
2019-06-15,33,26,晴,东南风,2级,29.5,7
2019-06-16,32,26,阴,东南风,3级,29.0,6
2019-06-17,33,25,多云,东南风,2级,29.0,8
2019-06-18,28,27,大雨,东北风,1级,27.5,1
2019-06-19,31,27,中雨,东南风,2级,29.0,4
2019-06-20,33,28,小雨,东南风,3级,30.5,5
2019-06-21,33,28,阴,东南风,3级,30.5,5
2019-06-22,35,28,阴,西南风,4级,31.5,7
2019-06-23,33,26,阴,西北风,2级,29.5,7
2019-06-24,26,25,大暴雨,西南风,1级,25.5,1
2019-06-25,30,25,小雨,东南风,2级,27.5,5
2019-06-26,28,25,中雨,西北风,2级,26.5,3
2019-06-27,32,27,雷阵雨,东南风,1级,29.5,5
2019-06-28,35,28,多云,东南风,3级,31.5,7
2019-06-29,34,28,阴,东南风,3级,31.0,6
2019-06-30,34,28,小雨,西北风,1级,31.0,6
2019-05-01,26,20,阴,东北风,2级,23.0,6
2019-05-02,22,20,阴,西北风,2级,21.0,2
2019-05-03,24,20,阴,西北风,1级,22.0,4
2019-05-04,22,20,阴,西北风,1级,21.0,2
2019-05-05,20,19,阴,西北风,2级,19.5,1
2019-05-06,21,19,阴,东北风,2级,20.0,2
2019-05-07,22,18,阴,东北风,1级,20.0,4
2019-05-08,21,19,阴,西北风,2级,20.0,2
2019-05-09,26,21,阴,西北风,2级,23.5,5
2019-05-10,29,22,阴,西北风,1级,25.5,7
2019-05-11,30,23,阴,西北风,1级,26.5,7
2019-05-12,32,23,多云,东南风,3级,27.5,9
2019-05-13,32,24,阴,东南风,3级,28.0,8
2019-05-14,32,26,阴,东南风,3级,29.0,6
2019-05-15,32,26,阴,东南风,2级,29.0,6
2019-05-16,33,26,阴,东南风,3级,29.5,7
2019-05-17,33,27,阴,西北风,1级,30.0,6
2019-05-18,35,26,阴,东南风,3级,30.5,9
2019-05-19,35,24,阴,东南风,4级,29.5,11
2019-05-20,31,23,阴,西北风,4级,27.0,8
2019-05-21,27,24,阴,东南风,1级,25.5,3
2019-05-22,28,25,阴,东南风,3级,26.5,3
2019-05-23,28,24,阴,东南风,3级,26.0,4
2019-05-24,29,24,阴,东南风,2级,26.5,5
2019-05-25,28,24,阴,东南风,3级,26.0,4
2019-05-26,29,24,多云,东南风,2级,26.5,5
2019-05-27,30,23,阴,东南风,1级,26.5,7
2019-05-28,29,23,阴,西北风,1级,26.0,6
2019-05-29,25,24,阴,东北风,2级,24.5,1
2019-05-30,25,24,阴,西北风,1级,24.5,1
2019-05-31,29,24,阴,东北风,1级,26.5,5
2019-04-01,18,18,阴,东北风,2级,18.0,0
2019-04-02,24,19,阴,西南风,3级,21.5,5
2019-04-03,27,20,阴,西北风,2级,23.5,7
2019-04-04,22,19,阴,西北风,2级,20.5,3
2019-04-05,26,19,阴,西北风,2级,22.5,7
2019-04-06,29,21,多云,西南风,2级,25.0,8
2019-04-07,30,22,阴,东南风,2级,26.0,8
2019-04-08,30,23,阴,东南风,3级,26.5,7
2019-04-09,28,24,多云,东南风,4级,26.0,4
2019-04-10,31,24,阴,东南风,3级,27.5,7
2019-04-11,28,20,阴,东北风,7级,24.0,8
2019-04-12,18,16,阴,东北风,2级,17.0,2
2019-04-13,21,19,阴,东南风,1级,20.0,2
2019-04-14,25,19,阴,东北风,1级,22.0,6
2019-04-15,20,19,阴,东北风,1级,19.5,1
2019-04-16,25,20,阴,西北风,1级,22.5,5
2019-04-17,25,21,多云,西南风,3级,23.0,4
2019-04-18,24,22,阴,东南风,1级,23.0,2
2019-04-19,23,22,阴,东南风,2级,22.5,1
2019-04-20,23,21,阴,东南风,2级,22.0,2
2019-04-21,26,23,阴,东北风,1级,24.5,3
2019-04-22,29,24,阴,东南风,2级,26.5,5
2019-04-23,32,24,阴,东南风,3级,28.0,8
2019-04-24,32,24,多云,东南风,3级,28.0,8
2019-04-25,32,24,阴,西北风,1级,28.0,8
2019-04-26,29,24,阴,西北风,1级,26.5,5
2019-04-27,23,22,阴,东北风,2级,22.5,1
2019-04-28,27,24,阴,东北风,1级,25.5,3
2019-04-29,29,22,多云,东南风,2级,25.5,7
2019-04-30,26,21,阴,西北风,1级,23.5,5
