日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,21,晴,西南风,3级,26.0,10
2019-09-02,30,20,晴,西南风,3级,25.0,10
2019-09-03,31,20,晴,西南风,1级,25.5,11
2019-09-04,28,20,晴,东南风,1级,24.0,8
2019-09-05,28,19,阴,西南风,3级,23.5,9
2019-09-06,28,21,晴,东南风,1级,24.5,7
2019-09-07,26,20,阴,西北风,2级,23.0,6
2019-09-08,30,19,晴,西北风,1级,24.5,11
2019-09-09,27,19,多云,东北风,1级,23.0,8
2019-09-10,23,14,阴,东北风,微风,18.5,9
2019-09-11,26,15,多云,东北风,2级,20.5,11
2019-09-12,23,17,阴,西南风,3级,20.0,6
2019-09-13,20,17,阴,东北风,1级,18.5,3
2019-09-14,27,15,多云,西南风,1级,21.0,12
2019-09-15,27,15,多云,西南风,2级,21.0,12
2019-09-16,23,11,晴,西北风,1级,17.0,12
2019-09-17,26,11,多云,西北风,3级,18.5,15
2019-09-18,22,10,晴,西南风,2级,16.0,12
2019-09-19,21,14,阴,西北风,1级,17.5,7
2019-09-20,24,14,晴,西南风,2级,19.0,10
2019-09-21,26,13,晴,东北风,1级,19.5,13
2019-09-22,26,12,晴,东北风,1级,19.0,14
2019-09-23,26,14,晴,西南风,2级,20.0,12
2019-09-24,27,12,晴,东南风,2级,19.5,15
2019-09-25,27,17,阴,西南风,3级,22.0,10
2019-09-26,26,16,多云,西南风,2级,21.0,10
2019-09-27,24,16,阴,西南风,2级,20.0,8
2019-09-28,26,17,晴,西南风,2级,21.5,9
2019-09-29,26,17,晴,西南风,1级,21.5,9
2019-09-30,27,19,晴,西南风,3级,23.0,8
2019-08-01,33,25,小雨,东南风,4级,29.0,8
2019-08-02,28,23,小雨,东北风,3级,25.5,5
2019-08-03,27,23,阴,西风,1级,25.0,4
2019-08-04,30,23,多云,西南风,2级,26.5,7
2019-08-05,29,23,阴,西南风,3级,26.0,6
2019-08-06,25,24,小雨,东南风,3级,24.5,1
2019-08-07,27,22,阴,西南风,2级,24.5,5
2019-08-08,29,23,多云,西南风,1级,26.0,6
2019-08-09,30,24,多云,西南风,3级,27.0,6
2019-08-10,28,22,暴雨,西南风,2级,25.0,6
2019-08-11,24,21,中雨,东北风,2级,22.5,3
2019-08-12,22,20,暴雨,北风,3级,21.0,2
2019-08-13,21,20,暴雨,东南风,2级,20.5,1
2019-08-14,24,20,小雨,东南风,1级,22.0,4
2019-08-15,30,20,晴,西北风,2级,25.0,10
2019-08-16,29,18,暴雨,西北风,2级,23.5,11
2019-08-17,25,19,阴,西南风,1级,22.0,6
2019-08-18,28,19,多云,西南风,2级,23.5,9
2019-08-19,28,20,晴,东南风,2级,24.0,8
2019-08-20,26,21,阴,西南风,2级,23.5,5
2019-08-21,29,18,多云,西南风,2级,23.5,11
2019-08-22,30,19,晴,西北风,2级,24.5,11
2019-08-23,28,18,多云,东北风,1级,23.0,10
2019-08-24,29,19,阴,西南风,3级,24.0,10
2019-08-25,29,22,多云,西南风,3级,25.5,7
2019-08-26,28,19,阴,西南风,5级,23.5,9
2019-08-27,29,18,晴,西南风,2级,23.5,11
2019-08-28,29,16,多云,西北风,2级,22.5,13
2019-08-29,25,17,阴,西北风,2级,21.0,8
2019-08-30,29,16,多云,西北风,1级,22.5,13
2019-08-31,29,18,晴,西南风,2级,23.5,11
2019-07-01,31,20,晴,西南风,2级,25.5,11
2019-07-02,27,22,阴,西南风,2级,24.5,5
2019-07-03,32,21,晴,西南风,2级,26.5,11
2019-07-04,34,23,多云,西南风,3级,28.5,11
2019-07-05,27,22,阴,东南风,2级,24.5,5
2019-07-06,24,20,小雨,西北风,1级,22.0,4
2019-07-07,28,21,多云,西北风,3级,24.5,7
2019-07-08,30,21,小雨,西南风,2级,25.5,9
2019-07-09,28,20,阴,西南风,1级,24.0,8
2019-07-10,29,21,阴,东南风,2级,25.0,8
2019-07-11,28,21,多云,东南风,3级,24.5,7
2019-07-12,29,21,多云,西南风,1级,25.0,8
2019-07-13,29,21,小雨,西南风,2级,25.0,8
2019-07-14,29,21,多云,西北风,1级,25.0,8
2019-07-15,30,22,多云,东南风,2级,26.0,8
2019-07-16,27,23,阴,西南风,2级,25.0,4
2019-07-17,29,23,多云,西南风,2级,26.0,6
2019-07-18,29,22,多云,西南风,3级,25.5,7
2019-07-19,30,22,多云,西南风,2级,26.0,8
2019-07-20,32,24,多云,东南风,2级,28.0,8
2019-07-21,37,25,小雨,西南风,3级,31.0,12
2019-07-22,38,26,多云,西南风,2级,32.0,12
2019-07-23,27,24,小雨,西南风,2级,25.5,3
2019-07-24,33,26,多云,西南风,5级,29.5,7
2019-07-25,31,25,阴,东南风,3级,28.0,6
2019-07-26,34,25,晴,西南风,2级,29.5,9
2019-07-27,35,26,晴,西南风,6级,30.5,9
2019-07-28,32,27,多云,西南风,4级,29.5,5
2019-07-29,34,23,阴,西北风,4级,28.5,11
2019-07-30,34,24,阴,东南风,4级,29.0,10
2019-07-31,35,24,多云,东南风,3级,29.5,11
2019-06-01,27,16,阴,西南风,2级,21.5,11
2019-06-02,23,16,阴,东南风,4级,19.5,7
2019-06-03,23,15,阴,东北风,1级,19.0,8
2019-06-04,23,15,阴,西南风,1级,19.0,8
2019-06-05,26,17,阴,西南风,2级,21.5,9
2019-06-06,24,17,阴,西南风,3级,20.5,7
2019-06-07,26,18,晴,西南风,3级,22.0,8
2019-06-08,26,17,多云,东南风,2级,21.5,9
2019-06-09,23,15,阴,西南风,1级,19.0,8
2019-06-10,25,17,阴,西南风,2级,21.0,8
2019-06-11,23,18,多云,东南风,2级,20.5,5
2019-06-12,26,18,多云,西南风,3级,22.0,8
2019-06-13,21,17,小雨,东北风,2级,19.0,4
2019-06-14,29,17,多云,东北风,2级,23.0,12
2019-06-15,27,16,多云,东北风,3级,21.5,11
2019-06-16,25,17,多云,西南风,3级,21.0,8
2019-06-17,27,18,晴,西南风,3级,22.5,9
2019-06-18,26,20,多云,东北风,1级,23.0,6
2019-06-19,28,20,晴,西南风,2级,24.0,8
2019-06-20,29,19,阴,东北风,1级,24.0,10
2019-06-21,28,19,晴,东南风,2级,23.5,9
2019-06-22,32,19,晴,东南风,3级,25.5,13
2019-06-23,31,21,晴,西南风,3级,26.0,10
2019-06-24,29,22,晴,东南风,3级,25.5,7
2019-06-25,26,21,多云,西南风,4级,23.5,5
2019-06-26,28,20,多云,西南风,4级,24.0,8
2019-06-27,30,23,多云,东南风,3级,26.5,7
2019-06-28,25,21,阴,东南风,3级,23.0,4
2019-06-29,26,18,大雨,北风,2级,22.0,8
2019-06-30,27,19,多云,西南风,3级,23.0,8
2019-05-01,25,10,晴,西南风,2级,17.5,15
2019-05-02,29,12,晴,西南风,2级,20.5,17
2019-05-03,32,15,多云,西南风,3级,23.5,17
2019-05-04,28,12,阴,西北风,4级,20.0,16
2019-05-05,18,7,阴,东北风,2级,12.5,11
2019-05-06,23,11,晴,西南风,2级,17.0,12
2019-05-07,27,15,晴,东南风,2级,21.0,12
2019-05-08,30,13,阴,西南风,2级,21.5,17
2019-05-09,28,14,晴,西南风,4级,21.0,14
2019-05-10,28,12,多云,西南风,3级,20.0,16
2019-05-11,23,11,晴,西南风,4级,17.0,12
2019-05-12,22,11,多云,西南风,4级,16.5,11
2019-05-13,21,12,晴,西南风,4级,16.5,9
2019-05-14,23,13,晴,西南风,4级,18.0,10
2019-05-15,20,14,阴,西南风,3级,17.0,6
2019-05-16,25,15,晴,西南风,5级,20.0,10
2019-05-17,20,16,阴,西南风,3级,18.0,4
2019-05-18,25,14,多云,西南风,3级,19.5,11
2019-05-19,20,11,阴,西北风,3级,15.5,9
2019-05-20,23,14,多云,西北风,2级,18.5,9
2019-05-21,27,13,晴,西北风,1级,20.0,14
2019-05-22,30,16,阴,西南风,2级,23.0,14
2019-05-23,31,18,晴,西南风,4级,24.5,13
2019-05-24,33,20,多云,西南风,4级,26.5,13
2019-05-25,30,18,阴,东南风,4级,24.0,12
2019-05-26,18,12,阴,西北风,3级,15.0,6
2019-05-27,24,12,多云,西北风,2级,18.0,12
2019-05-28,28,13,晴,东北风,1级,20.5,15
2019-05-29,30,20,多云,西南风,4级,25.0,10
2019-05-30,24,13,阴,东南风,1级,18.5,11
2019-05-31,27,16,晴,西南风,5级,21.5,11
2019-04-01,12,1,晴,西南风,2级,6.5,11
2019-04-02,11,3,多云,东南风,1级,7.0,8
2019-04-03,23,10,晴,西南风,3级,16.5,13
2019-04-04,27,5,多云,北风,5级,16.0,22
2019-04-05,15,6,多云,西南风,2级,10.5,9
2019-04-06,18,3,多云,东北风,2级,10.5,15
2019-04-07,13,3,多云,东北风,2级,8.0,10
2019-04-08,15,5,晴,西南风,3级,10.0,10
2019-04-09,13,6,阴,东北风,1级,9.5,7
2019-04-10,18,5,晴,西南风,2级,11.5,13
2019-04-11,20,6,多云,西南风,3级,13.0,14
2019-04-12,20,8,晴,西南风,5级,14.0,12
2019-04-13,18,7,阴,东北风,1级,12.5,11
2019-04-14,19,8,晴,西南风,3级,13.5,11
2019-04-15,28,13,晴,西南风,4级,20.5,15
2019-04-16,19,10,阴,东南风,3级,14.5,9
2019-04-17,13,10,多云,东北风,1级,11.5,3
2019-04-18,16,6,多云,东北风,1级,11.0,10
2019-04-19,19,10,多云,西南风,3级,14.5,9
2019-04-20,11,7,阴,东南风,1级,9.0,4
2019-04-21,19,7,晴,西南风,2级,13.0,12
2019-04-22,19,13,晴,西南风,5级,16.0,6
2019-04-23,22,11,多云,东南风,3级,16.5,11
2019-04-24,15,7,阴,西北风,4级,11.0,8
2019-04-25,15,6,阴,西北风,2级,10.5,9
2019-04-26,19,7,晴,东北风,1级,13.0,12
2019-04-27,19,10,多云,西南风,4级,14.5,9
2019-04-28,14,9,多云,西南风,4级,11.5,5
2019-04-29,14,9,阴,西南风,3级,11.5,5
2019-04-30,21,12,晴,东南风,1级,16.5,9
2019-03-01,14,-1,晴,东南风,1级,6.5,15
2019-03-02,11,1,晴,东北风,1级,6.0,10
2019-03-03,14,1,多云,东北风,2级,7.5,13
2019-03-04,14,1,多云,西南风,2级,7.5,13
2019-03-05,12,0,阴,东北风,1级,6.0,12
2019-03-06,8,-4,多云,西北风,3级,2.0,12
2019-03-07,12,-2,晴,西南风,2级,5.0,14
2019-03-08,13,2,晴,西南风,2级,7.5,11
2019-03-09,11,2,阴,东南风,2级,6.5,9
2019-03-10,10,0,阴,西南风,2级,5.0,10
2019-03-11,15,-4,晴,西北风,4级,5.5,19
2019-03-12,6,-4,晴,西北风,3级,1.0,10
2019-03-13,9,-2,晴,西北风,3级,3.5,11
2019-03-14,11,1,晴,东北风,1级,6.0,10
2019-03-15,8,0,多云,西北风,2级,4.0,8
2019-03-16,12,-1,晴,西北风,4级,5.5,13
2019-03-17,12,3,晴,西南风,3级,7.5,9
2019-03-18,16,2,晴,西南风,4级,9.0,14
2019-03-19,19,6,晴,西南风,4级,12.5,13
2019-03-20,12,0,阴,西北风,1级,6.0,12
2019-03-21,6,-4,多云,北风,2级,1.0,10
2019-03-22,9,-1,晴,西南风,2级,4.0,10
2019-03-23,9,1,晴,西南风,2级,5.0,8
2019-03-24,18,2,晴,东北风,3级,10.0,16
