日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,16,晴,东南风,微风,23.5,15
2019-09-02,31,18,晴,东南风,1级,24.5,13
2019-09-03,31,17,晴,东南风,2级,24.0,14
2019-09-04,30,15,晴,东南风,1级,22.5,15
2019-09-05,31,17,晴,东南风,2级,24.0,14
2019-09-06,31,19,晴,东北风,1级,25.0,12
2019-09-07,32,17,晴,西南风,2级,24.5,15
2019-09-08,34,20,多云,东南风,2级,27.0,14
2019-09-09,32,18,晴,北风,微风,25.0,14
2019-09-10,26,17,阴,西北风,4级,21.5,9
2019-09-11,20,16,阴,北风,2级,18.0,4
2019-09-12,19,16,阴,西北风,1级,17.5,3
2019-09-13,25,16,阴,西北风,微风,20.5,9
2019-09-14,27,18,多云,西南风,2级,22.5,9
2019-09-15,24,16,多云,东南风,3级,20.0,8
2019-09-16,24,17,雾,西南风,1级,20.5,7
2019-09-17,25,15,多云,东南风,3级,20.0,10
2019-09-18,25,15,多云,东北风,1级,20.0,10
2019-09-19,22,15,多云,东南风,1级,18.5,7
2019-09-20,22,15,阴,西北风,1级,18.5,7
2019-09-21,27,15,晴,东北风,2级,21.0,12
2019-09-22,27,14,晴,北风,微风,20.5,13
2019-09-23,30,14,晴,西南风,1级,22.0,16
2019-09-24,32,14,晴,东北风,1级,23.0,18
2019-09-25,30,14,晴,东北风,2级,22.0,16
2019-09-26,30,13,多云,东北风,1级,21.5,17
2019-09-27,30,14,晴,东南风,2级,22.0,16
2019-09-28,31,14,晴,东南风,3级,22.5,17
2019-09-29,31,18,晴,东南风,2级,24.5,13
2019-09-30,31,18,晴,东南风,2级,24.5,13
2019-08-01,34,23,阴,西南风,3级,28.5,11
2019-08-02,26,22,小雨,东北风,2级,24.0,4
2019-08-03,29,23,多云,西北风,1级,26.0,6
2019-08-04,28,24,中雨,西北风,1级,26.0,4
2019-08-05,32,25,阴,东北风,3级,28.5,7
2019-08-06,31,24,阴,东南风,2级,27.5,7
2019-08-07,29,23,大雨,西南风,微风,26.0,6
2019-08-08,32,24,多云,东北风,1级,28.0,8
2019-08-09,33,23,阴,东北风,4级,28.0,10
2019-08-10,24,22,小雨,西北风,1级,23.0,2
2019-08-11,24,21,小雨,西北风,4级,22.5,3
2019-08-12,29,20,小雨,东北风,4级,24.5,9
2019-08-13,29,21,多云,北风,微风,25.0,8
2019-08-14,32,21,阴,东北风,1级,26.5,11
2019-08-15,32,22,晴,东南风,3级,27.0,10
2019-08-16,29,18,多云,北风,微风,23.5,11
2019-08-17,30,18,晴,西南风,1级,24.0,12
2019-08-18,32,19,晴,东南风,3级,25.5,13
2019-08-19,31,21,晴,东南风,2级,26.0,10
2019-08-20,28,22,阴,东南风,3级,25.0,6
2019-08-21,31,22,多云,东北风,1级,26.5,9
2019-08-22,30,19,多云,西南风,1级,24.5,11
2019-08-23,32,21,多云,西南风,1级,26.5,11
2019-08-24,26,20,阴,西北风,2级,23.0,6
2019-08-25,22,19,中雨,西北风,1级,20.5,3
2019-08-26,27,21,多云,西南风,1级,24.0,6
2019-08-27,30,19,雾,西南风,3级,24.5,11
2019-08-28,34,15,晴,东北风,2级,24.5,19
2019-08-29,30,16,晴,西南风,1级,23.0,14
2019-08-30,30,16,晴,东南风,1级,23.0,14
2019-08-31,31,16,晴,东南风,1级,23.5,15
2019-07-01,35,22,晴,东南风,2级,28.5,13
2019-07-02,39,25,晴,东北风,5级,32.0,14
2019-07-03,37,24,晴,东北风,1级,30.5,13
2019-07-04,36,26,阴,东南风,3级,31.0,10
2019-07-05,38,21,多云,东北风,3级,29.5,17
2019-07-06,26,20,小雨,东南风,3级,23.0,6
2019-07-07,28,20,多云,东北风,3级,24.0,8
2019-07-08,28,20,阴,东南风,2级,24.0,8
2019-07-09,30,20,阴,西北风,2级,25.0,10
2019-07-10,28,20,阴,东北风,2级,24.0,8
2019-07-11,30,20,小雨,东南风,1级,25.0,10
2019-07-12,33,22,阴,东南风,3级,27.5,11
2019-07-13,35,23,晴,东南风,3级,29.0,12
2019-07-14,36,23,多云,东南风,2级,29.5,13
2019-07-15,35,25,多云,东南风,2级,30.0,10
2019-07-16,35,25,阴,东北风,2级,30.0,10
2019-07-17,32,24,阴,东南风,1级,28.0,8
2019-07-18,33,25,多云,东北风,2级,29.0,8
2019-07-19,34,25,多云,东北风,2级,29.5,9
2019-07-20,32,24,小雨,东南风,2级,28.0,8
2019-07-21,36,27,多云,东南风,1级,31.5,9
2019-07-22,35,26,阴,东南风,3级,30.5,9
2019-07-23,35,25,小雨,东南风,2级,30.0,10
2019-07-24,39,26,晴,西南风,2级,32.5,13
2019-07-25,35,26,阴,东南风,2级,30.5,9
2019-07-26,38,26,晴,东南风,3级,32.0,12
2019-07-27,34,26,暴雨,东南风,1级,30.0,8
2019-07-28,34,28,阴,东南风,2级,31.0,6
2019-07-29,34,22,中雨,西北风,1级,28.0,12
2019-07-30,32,25,多云,东南风,2级,28.5,7
2019-07-31,33,24,晴,东南风,3级,28.5,9
2019-06-01,33,19,阴,东南风,2级,26.0,14
2019-06-02,38,22,晴,东南风,3级,30.0,16
2019-06-03,35,22,晴,东南风,2级,28.5,13
2019-06-04,33,23,多云,东北风,3级,28.0,10
2019-06-05,26,18,阴,东北风,4级,22.0,8
2019-06-06,25,17,阴,西北风,2级,21.0,8
2019-06-07,31,22,多云,西南风,3级,26.5,9
2019-06-08,34,19,晴,西南风,2级,26.5,15
2019-06-09,31,17,晴,东北风,1级,24.0,14
2019-06-10,33,20,晴,东南风,1级,26.5,13
2019-06-11,36,23,多云,东南风,3级,29.5,13
2019-06-12,37,23,晴,西南风,2级,30.0,14
2019-06-13,36,22,多云,东北风,4级,29.0,14
2019-06-14,36,21,晴,东南风,2级,28.5,15
2019-06-15,35,23,多云,东南风,1级,29.0,12
2019-06-16,29,19,多云,东北风,3级,24.0,10
2019-06-17,33,24,阴,东南风,1级,28.5,9
2019-06-18,36,26,晴,东南风,3级,31.0,10
2019-06-19,36,25,阴,西南风,2级,30.5,11
2019-06-20,34,24,多云,西南风,3级,29.0,10
2019-06-21,31,22,阴,东南风,2级,26.5,9
2019-06-22,33,22,多云,东南风,1级,27.5,11
2019-06-23,36,23,阴,西南风,1级,29.5,13
2019-06-24,37,25,多云,西南风,4级,31.0,12
2019-06-25,34,23,多云,东南风,3级,28.5,11
2019-06-26,34,25,晴,东南风,2级,29.5,9
2019-06-27,35,24,多云,东南风,2级,29.5,11
2019-06-28,25,20,小雨,西南风,3级,22.5,5
2019-06-29,36,23,晴,东北风,2级,29.5,13
2019-06-30,34,19,晴,西北风,1级,26.5,15
2019-05-01,27,7,晴,南风,微风,17.0,20
2019-05-02,28,12,晴,西南风,2级,20.0,16
2019-05-03,28,14,多云,西南风,3级,21.0,14
2019-05-04,25,13,阴,西南风,2级,19.0,12
2019-05-05,23,9,阴,东北风,3级,16.0,14
2019-05-06,22,9,晴,东南风,2级,15.5,13
2019-05-07,25,13,阴,西南风,3级,19.0,12
2019-05-08,22,12,阴,西南风,3级,17.0,10
2019-05-09,28,15,晴,西南风,2级,21.5,13
2019-05-10,27,15,多云,东北风,3级,21.0,12
2019-05-11,29,16,晴,东南风,2级,22.5,13
2019-05-12,29,10,阴,西北风,4级,19.5,19
2019-05-13,23,14,多云,西南风,3级,18.5,9
2019-05-14,26,16,多云,东南风,2级,21.0,10
