日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,19,10,阴,西南风,1级,14.5,9
2019-09-02,24,11,多云,西南风,2级,17.5,13
2019-09-03,23,13,阵雨,西南风,1级,18.0,10
2019-09-04,26,16,阴,西南风,2级,21.0,10
2019-09-05,25,16,阴,西南风,2级,20.5,9
2019-09-06,26,16,阴,东北风,1级,21.0,10
2019-09-07,28,17,多云,西南风,2级,22.5,11
2019-09-08,26,9,阴,西南风,4级,17.5,17
2019-09-09,17,7,阴,西南风,2级,12.0,10
2019-09-10,16,6,阴,西南风,2级,11.0,10
2019-09-11,21,7,晴,西南风,1级,14.0,14
2019-09-12,23,14,多云,西南风,2级,18.5,9
2019-09-13,17,4,阴,西南风,2级,10.5,13
2019-09-14,21,11,多云,西南风,1级,16.0,10
2019-09-15,23,3,多云,西北风,3级,13.0,20
2019-09-16,15,6,晴,西南风,1级,10.5,9
2019-09-17,16,3,阴,西北风,2级,9.5,13
2019-09-18,13,2,多云,西北风,3级,7.5,11
2019-09-19,15,2,晴,西南风,1级,8.5,13
2019-09-20,14,3,阴,东北风,2级,8.5,11
2019-09-21,15,6,多云,西南风,2级,10.5,9
2019-09-22,23,10,晴,西南风,2级,16.5,13
2019-09-23,20,5,多云,西南风,2级,12.5,15
2019-09-24,15,1,晴,西南风,1级,8.0,14
2019-09-25,18,3,晴,西南风,2级,10.5,15
2019-09-26,22,7,晴,北风,微风,14.5,15
2019-09-27,28,13,多云,西南风,3级,20.5,15
2019-09-28,25,3,多云,西南风,4级,14.0,22
2019-09-29,15,-1,晴,东北风,1级,7.0,16
2019-09-30,14,5,阴,西南风,1级,9.5,9
2019-08-01,27,15,小雨,西南风,3级,21.0,12
2019-08-02,28,18,多云,西南风,2级,23.0,10
2019-08-03,29,18,多云,西南风,3级,23.5,11
2019-08-04,27,21,多云,西南风,2级,24.0,6
2019-08-05,24,15,阴,西北风,2级,19.5,9
2019-08-06,20,14,阴,东北风,2级,17.0,6
2019-08-07,20,14,阴,东北风,2级,17.0,6
2019-08-08,22,14,阴,东南风,1级,18.0,8
2019-08-09,17,13,中雨,东北风,2级,15.0,4
2019-08-10,20,14,阴,东北风,1级,17.0,6
2019-08-11,20,14,阴,东南风,微风,17.0,6
2019-08-12,25,11,多云,西南风,1级,18.0,14
2019-08-13,27,17,多云,西南风,1级,22.0,10
2019-08-14,26,16,阴,东北风,1级,21.0,10
2019-08-15,23,17,阴,东北风,2级,20.0,6
2019-08-16,18,15,小雨,东北风,3级,16.5,3
2019-08-17,18,15,小雨,东北风,2级,16.5,3
2019-08-18,16,11,小雨,东北风,1级,13.5,5
2019-08-19,19,11,阴,西南风,2级,15.0,8
2019-08-20,21,13,阴,东北风,2级,17.0,8
2019-08-21,18,16,大雨,东北风,3级,17.0,2
2019-08-22,22,15,小雨,东北风,3级,18.5,7
2019-08-23,22,12,小雨,西南风,1级,17.0,10
2019-08-24,23,12,小雨,西南风,2级,17.5,11
2019-08-25,25,11,阴,西南风,2级,18.0,14
2019-08-26,24,15,中雨,东北风,1级,19.5,9
2019-08-27,24,10,小雨,西南风,1级,17.0,14
2019-08-28,20,15,雾,东北风,2级,17.5,5
2019-08-29,22,13,小雨,西北风,1级,17.5,9
2019-08-30,24,10,多云,西南风,1级,17.0,14
2019-08-31,24,12,晴,西南风,1级,18.0,12
2019-07-01,28,15,小雨,西南风,2级,21.5,13
2019-07-02,22,14,中雨,西南风,2级,18.0,8
2019-07-03,23,14,阵雨,西南风,1级,18.5,9
2019-07-04,26,16,阴,东南风,1级,21.0,10
2019-07-05,16,13,小雨,东北风,2级,14.5,3
2019-07-06,21,14,小雨,东北风,1级,17.5,7
2019-07-07,30,17,多云,东南风,2级,23.5,13
2019-07-08,30,17,多云,西南风,2级,23.5,13
2019-07-09,31,19,阴,东南风,2级,25.0,12
2019-07-10,29,18,阴,西北风,2级,23.5,11
2019-07-11,28,18,多云,东北风,2级,23.0,10
2019-07-12,26,17,阴,西北风,1级,21.5,9
2019-07-13,28,16,多云,东南风,1级,22.0,12
2019-07-14,27,17,小雨,东北风,1级,22.0,10
2019-07-15,27,17,阴,西南风,1级,22.0,10
