日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,14,阴,西南风,微风,18.5,9
2019-09-02,21,17,阴,南风,微风,19.0,4
2019-09-03,22,16,阵雨,东北风,2级,19.0,6
2019-09-04,19,18,阴,东北风,微风,18.5,1
2019-09-05,21,17,阴,北风,1级,19.0,4
2019-09-06,24,18,雾,东南风,1级,21.0,6
2019-09-07,21,19,阴,西北风,1级,20.0,2
2019-09-08,21,19,阴,西南风,1级,20.0,2
2019-09-09,22,18,阴,西北风,1级,20.0,4
2019-09-10,19,18,阴,西南风,1级,18.5,1
2019-09-11,21,17,阴,东北风,1级,19.0,4
2019-09-12,22,11,阴,西南风,1级,16.5,11
2019-09-13,13,12,阴,西南风,2级,12.5,1
2019-09-14,14,11,阴,东北风,1级,12.5,3
2019-09-15,18,14,阴,北风,1级,16.0,4
2019-09-16,17,14,阴,西南风,1级,15.5,3
2019-09-17,19,13,阴,西南风,微风,16.0,6
2019-09-18,17,14,小雨,东北风,2级,15.5,3
2019-09-19,17,14,阴,东北风,1级,15.5,3
2019-09-20,25,12,雾,西北风,1级,18.5,13
2019-09-21,25,12,多云,西南风,1级,18.5,13
2019-09-22,24,12,晴,西南风,2级,18.0,12
2019-09-23,18,14,阴,西南风,1级,16.0,4
2019-09-24,19,12,阴,西南风,1级,15.5,7
2019-09-25,25,10,晴,西南风,1级,17.5,15
2019-09-26,24,12,雾,西南风,1级,18.0,12
2019-09-27,23,12,多云,东北风,1级,17.5,11
2019-09-28,23,13,多云,东南风,1级,18.0,10
2019-09-29,22,14,多云,西南风,1级,18.0,8
2019-09-30,26,16,阴,西北风,1级,21.0,10
2019-08-01,29,20,小雨,西南风,1级,24.5,9
2019-08-02,26,20,小雨,南风,微风,23.0,6
2019-08-03,29,21,阴,西北风,1级,25.0,8
2019-08-04,30,20,阴,西南风,1级,25.0,10
2019-08-05,24,20,小雨,西南风,1级,22.0,4
2019-08-06,23,18,中雨,西南风,1级,20.5,5
2019-08-07,29,19,多云,西北风,1级,24.0,10
2019-08-08,27,19,阴,西北风,1级,23.0,8
2019-08-09,28,20,小雨,东南风,1级,24.0,8
2019-08-10,33,19,晴,西南风,1级,26.0,14
2019-08-11,33,18,晴,西北风,1级,25.5,15
2019-08-12,33,18,晴,西南风,1级,25.5,15
2019-08-13,33,19,晴,西南风,2级,26.0,14
2019-08-14,32,19,晴,西南风,1级,25.5,13
2019-08-15,34,17,晴,西南风,1级,25.5,17
2019-08-16,34,19,多云,西南风,微风,26.5,15
2019-08-17,29,19,阴,东南风,2级,24.0,10
2019-08-18,27,20,阴,北风,1级,23.5,7
2019-08-19,27,20,小雨,西南风,1级,23.5,7
2019-08-20,31,19,阴,西南风,2级,25.0,12
2019-08-21,25,19,阴,西南风,1级,22.0,6
2019-08-22,27,19,阴,西南风,1级,23.0,8
2019-08-23,32,21,多云,西北风,2级,26.5,11
2019-08-24,29,19,多云,西南风,1级,24.0,10
2019-08-25,29,21,多云,西南风,1级,25.0,8
2019-08-26,27,19,阴,西南风,1级,23.0,8
2019-08-27,25,18,多云,东北风,2级,21.5,7
2019-08-28,26,17,多云,西南风,1级,21.5,9
2019-08-29,31,17,多云,西南风,2级,24.0,14
2019-08-30,28,18,多云,西南风,1级,23.0,10
2019-08-31,25,17,阴,东南风,1级,21.0,8
2019-07-01,31,16,多云,西北风,1级,23.5,15
2019-07-02,27,19,阴,西南风,1级,23.0,8
2019-07-03,25,18,小雨,西北风,1级,21.5,7
2019-07-04,24,16,阴,西南风,1级,20.0,8
2019-07-05,29,17,阴,西南风,3级,23.0,12
2019-07-06,28,19,阴,东南风,1级,23.5,9
2019-07-07,28,18,小雨,西南风,1级,23.0,10
2019-07-08,24,17,中雨,东北风,2级,20.5,7
2019-07-09,27,17,多云,西南风,1级,22.0,10
2019-07-10,30,18,晴,西南风,2级,24.0,12
2019-07-11,22,18,中雨,西南风,微风,20.0,4
2019-07-12,29,18,阴,西南风,1级,23.5,11
2019-07-13,31,17,晴,西南风,1级,24.0,14
2019-07-14,31,18,阴,西北风,1级,24.5,13
2019-07-15,24,18,小雨,西南风,1级,21.0,6
2019-07-16,21,19,中雨,西北风,1级,20.0,2
2019-07-17,21,18,小雨,西南风,微风,19.5,3
2019-07-18,23,20,小雨,西南风,1级,21.5,3
2019-07-19,23,20,暴雨,西南风,2级,21.5,3
2019-07-20,30,21,多云,西南风,1级,25.5,9
2019-07-21,28,22,小雨,西北风,2级,25.0,6
2019-07-22,26,19,中雨,西南风,1级,22.5,7
2019-07-23,31,22,阴,东南风,1级,26.5,9
2019-07-24,31,20,阴,西南风,2级,25.5,11
2019-07-25,30,21,多云,南风,微风,25.5,9
2019-07-26,33,20,多云,西南风,1级,26.5,13
2019-07-27,31,22,阴,西北风,1级,26.5,9
2019-07-28,29,22,小雨,西南风,1级,25.5,7
2019-07-29,25,20,大雨,西北风,1级,22.5,5
2019-07-30,30,20,阴,西北风,1级,25.0,10
2019-07-31,32,20,多云,西南风,1级,26.0,12
2019-06-01,30,13,阴,西南风,1级,21.5,17
2019-06-02,30,14,晴,西南风,2级,22.0,16
2019-06-03,31,14,晴,西南风,1级,22.5,17
2019-06-04,28,16,阴,西南风,1级,22.0,12
2019-06-05,25,15,阴,西南风,1级,20.0,10
2019-06-06,26,15,阴,西北风,1级,20.5,11
2019-06-07,27,16,阴,西北风,1级,21.5,11
2019-06-08,26,17,阴,西南风,1级,21.5,9
2019-06-09,26,17,阴,东北风,1级,21.5,9
2019-06-10,25,18,阴,东北风,2级,21.5,7
2019-06-11,21,17,阴,西南风,1级,19.0,4
2019-06-12,28,17,晴,东北风,2级,22.5,11
2019-06-13,28,18,多云,东北风,2级,23.0,10
2019-06-14,25,18,小雨,西南风,微风,21.5,7
2019-06-15,20,14,中雨,西北风,1级,17.0,6
2019-06-16,23,17,多云,东南风,1级,20.0,6
2019-06-17,22,16,小雨,东北风,1级,19.0,6
2019-06-18,23,18,阴,西北风,1级,20.5,5
2019-06-19,22,18,小雨,东南风,1级,20.0,4
2019-06-20,23,19,中雨,西南风,1级,21.0,4
2019-06-21,21,19,小雨,东北风,1级,20.0,2
2019-06-22,21,20,多云,东北风,2级,20.5,1
