日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,16,晴,南风,微风,23.5,15
2019-09-02,32,18,晴,东南风,微风,25.0,14
2019-09-03,30,18,晴,东南风,微风,24.0,12
2019-09-04,31,17,阴,东南风,2级,24.0,14
2019-09-05,31,17,晴,东南风,1级,24.0,14
2019-09-06,32,18,晴,西北风,1级,25.0,14
2019-09-07,33,17,晴,西南风,2级,25.0,16
2019-09-08,34,20,晴,东南风,2级,27.0,14
2019-09-09,33,20,多云,东北风,1级,26.5,13
2019-09-10,22,15,阴,东北风,3级,18.5,7
2019-09-11,23,17,阴,西北风,1级,20.0,6
2019-09-12,21,16,阴,东南风,2级,18.5,5
2019-09-13,24,15,阴,东南风,1级,19.5,9
2019-09-14,27,15,多云,西南风,1级,21.0,12
2019-09-15,28,15,晴,西南风,2级,21.5,13
2019-09-16,26,14,雾,南风,微风,20.0,12
2019-09-17,27,14,多云,东南风,2级,20.5,13
2019-09-18,25,13,晴,东南风,1级,19.0,12
2019-09-19,22,13,阴,东南风,2级,17.5,9
2019-09-20,23,14,阴,西南风,1级,18.5,9
2019-09-21,27,16,晴,西北风,1级,21.5,11
2019-09-22,28,14,晴,西北风,1级,21.0,14
2019-09-23,31,14,多云,南风,微风,22.5,17
2019-09-24,31,14,晴,东北风,2级,22.5,17
2019-09-25,30,13,晴,东南风,1级,21.5,17
2019-09-26,31,14,晴,东南风,1级,22.5,17
2019-09-27,30,14,晴,东南风,1级,22.0,16
2019-09-28,30,15,晴,东南风,1级,22.5,15
2019-09-29,31,14,晴,东南风,2级,22.5,17
2019-09-30,30,15,晴,东南风,2级,22.5,15
2019-08-01,32,23,多云,东北风,1级,27.5,9
2019-08-02,28,22,小雨,东北风,1级,25.0,6
2019-08-03,29,22,多云,西北风,2级,25.5,7
2019-08-04,26,21,大雨,东北风,2级,23.5,5
2019-08-05,29,23,小雨,西北风,2级,26.0,6
2019-08-06,32,23,阴,东南风,2级,27.5,9
2019-08-07,30,22,多云,东南风,2级,26.0,8
2019-08-08,32,24,雾,东南风,1级,28.0,8
2019-08-09,32,22,阴,西北风,3级,27.0,10
2019-08-10,27,21,阴,东北风,1级,24.0,6
2019-08-11,26,22,小雨,西北风,3级,24.0,4
2019-08-12,29,22,阴,东北风,4级,25.5,7
2019-08-13,31,21,多云,东南风,1级,26.0,10
2019-08-14,32,22,多云,西南风,1级,27.0,10
2019-08-15,33,21,晴,东南风,4级,27.0,12
2019-08-16,29,19,多云,西南风,1级,24.0,10
2019-08-17,31,19,晴,东南风,3级,25.0,12
2019-08-18,31,21,晴,东南风,2级,26.0,10
2019-08-19,31,22,多云,东南风,2级,26.5,9
2019-08-20,26,20,小雨,东北风,2级,23.0,6
2019-08-21,31,20,晴,东北风,1级,25.5,11
2019-08-22,29,17,多云,东南风,1级,23.0,12
2019-08-23,32,20,阴,东南风,2级,26.0,12
2019-08-24,26,17,阴,西北风,1级,21.5,9
2019-08-25,27,19,阴,西南风,2级,23.0,8
2019-08-26,25,20,阴,北风,微风,22.5,5
2019-08-27,32,17,晴,东南风,2级,24.5,15
2019-08-28,33,16,晴,西北风,3级,24.5,17
2019-08-29,30,16,晴,东南风,1级,23.0,14
2019-08-30,31,17,晴,东南风,1级,24.0,14
2019-08-31,31,16,晴,东南风,2级,23.5,15
2019-07-01,35,23,晴,东南风,2级,29.0,12
2019-07-02,37,23,多云,东北风,2级,30.0,14
2019-07-03,38,21,晴,东南风,2级,29.5,17
2019-07-04,37,27,多云,东南风,2级,32.0,10
2019-07-05,35,22,阴,东南风,3级,28.5,13
2019-07-06,25,21,小雨,东北风,2级,23.0,4
2019-07-07,28,22,多云,东北风,2级,25.0,6
2019-07-08,29,21,阴,东南风,2级,25.0,8
2019-07-09,31,20,阴,西北风,1级,25.5,11
2019-07-10,27,20,暴雨,西北风,1级,23.5,7
2019-07-11,31,21,小雨,东南风,1级,26.0,10
2019-07-12,34,23,晴,东南风,2级,28.5,11
2019-07-13,35,23,晴,东北风,2级,29.0,12
2019-07-14,32,24,多云,东南风,2级,28.0,8
2019-07-15,34,24,晴,东南风,1级,29.0,10
2019-07-16,32,23,阴,西北风,2级,27.5,9
2019-07-17,31,24,阴,东南风,2级,27.5,7
2019-07-18,32,24,多云,东北风,1级,28.0,8
2019-07-19,33,25,阴,东南风,1级,29.0,8
2019-07-20,29,24,小雨,东南风,2级,26.5,5
2019-07-21,35,26,晴,东南风,2级,30.5,9
2019-07-22,32,24,小雨,东北风,2级,28.0,8
2019-07-23,34,25,晴,东南风,2级,29.5,9
2019-07-24,36,26,多云,西北风,2级,31.0,10
2019-07-25,35,25,阴,东南风,2级,30.0,10
2019-07-26,36,25,晴,东南风,2级,30.5,11
2019-07-27,36,26,多云,西南风,1级,31.0,10
2019-07-28,35,26,多云,东南风,2级,30.5,9
2019-07-29,27,22,暴雨,东北风,2级,24.5,5
2019-07-30,34,23,晴,东南风,2级,28.5,11
2019-07-31,34,25,晴,东北风,2级,29.5,9
2019-06-01,30,18,多云,东南风,1级,24.0,12
2019-06-02,34,20,晴,东南风,2级,27.0,14
2019-06-03,34,19,多云,东南风,1级,26.5,15
2019-06-04,27,20,阴,东北风,3级,23.5,7
2019-06-05,24,17,阴,西北风,2级,20.5,7
2019-06-06,22,19,阴,西北风,2级,20.5,3
2019-06-07,30,21,多云,西南风,4级,25.5,9
2019-06-08,35,18,晴,东南风,2级,26.5,17
2019-06-09,31,19,晴,东南风,2级,25.0,12
2019-06-10,33,20,多云,东南风,2级,26.5,13
2019-06-11,36,23,晴,东南风,2级,29.5,13
2019-06-12,35,23,多云,东南风,2级,29.0,12
2019-06-13,28,21,阴,西南风,3级,24.5,7
2019-06-14,36,22,晴,东南风,2级,29.0,14
2019-06-15,33,21,阴,东北风,4级,27.0,12
2019-06-16,24,18,小雨,东北风,2级,21.0,6
2019-06-17,31,21,多云,东北风,3级,26.0,10
2019-06-18,36,24,晴,东北风,3级,30.0,12
2019-06-19,32,24,阴,东北风,2级,28.0,8
2019-06-20,34,23,阴,东南风,2级,28.5,11
2019-06-21,32,22,多云,东北风,3级,27.0,10
2019-06-22,33,23,阴,西南风,1级,28.0,10
2019-06-23,37,21,阴,东南风,2级,29.0,16
2019-06-24,37,24,多云,东南风,2级,30.5,13
2019-06-25,36,23,阴,东南风,3级,29.5,13
2019-06-26,34,24,晴,东南风,1级,29.0,10
2019-06-27,33,23,阴,东南风,2级,28.0,10
2019-06-28,30,21,阴,西南风,3级,25.5,9
2019-06-29,36,23,晴,西北风,1级,29.5,13
2019-06-30,34,21,晴,东南风,2级,27.5,13
2019-05-01,27,11,晴,西南风,2级,19.0,16
2019-05-02,28,10,晴,东南风,2级,19.0,18
2019-05-03,28,14,多云,东南风,3级,21.0,14
2019-05-04,27,14,阴,东南风,3级,20.5,13
2019-05-05,22,10,阴,东南风,3级,16.0,12
2019-05-06,22,11,阴,西南风,2级,16.5,11
2019-05-07,26,12,晴,西南风,3级,19.0,14
2019-05-08,23,14,阴,西南风,1级,18.5,9
2019-05-09,30,14,多云,东南风,2级,22.0,16
2019-05-10,28,13,多云,东南风,2级,20.5,15
2019-05-11,29,16,多云,东南风,1级,22.5,13
2019-05-12,23,11,阴,西北风,2级,17.0,12
2019-05-13,24,13,晴,东南风,2级,18.5,11
2019-05-14,26,16,多云,东南风,1级,21.0,10
2019-05-15,30,16,多云,西南风,4级,23.0,14
2019-05-16,33,20,晴,西南风,3级,26.5,13
2019-05-17,32,21,晴,东南风,2级,26.5,11
2019-05-18,26,18,阴,南风,微风,22.0,8
2019-05-19,25,12,多云,西北风,4级,18.5,13
2019-05-20,27,14,晴,西南风,3级,20.5,13
2019-05-21,31,16,晴,西南风,2级,23.5,15
2019-05-22,36,20,晴,西南风,4级,28.0,16
2019-05-23,37,23,晴,东南风,2级,30.0,14
2019-05-24,33,22,阴,东南风,2级,27.5,11
