日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,17,8,阴,东南风,4级,12.5,9
2019-09-02,19,8,阴,东南风,5级,13.5,11
2019-09-03,18,7,小雨,西北风,3级,12.5,11
2019-09-04,15,8,阴,东南风,2级,11.5,7
2019-09-05,18,8,阴,东南风,3级,13.0,10
2019-09-06,17,8,阴,西南风,4级,12.5,9
2019-09-07,19,7,阴,西南风,4级,13.0,12
2019-09-08,19,8,阴,西南风,4级,13.5,11
2019-09-09,19,8,阴,西南风,3级,13.5,11
2019-09-10,20,6,阴,南风,4级,13.0,14
2019-09-11,19,9,多云,西南风,4级,14.0,10
2019-09-12,19,8,阴,西南风,6级,13.5,11
2019-09-13,17,7,阴,西南风,4级,12.0,10
2019-09-14,19,6,阴,东南风,4级,12.5,13
2019-09-15,18,6,多云,西南风,5级,12.0,12
2019-09-16,19,5,阴,西南风,4级,12.0,14
2019-09-17,16,5,阴,西南风,5级,10.5,11
2019-09-18,14,3,小雨,西南风,4级,8.5,11
2019-09-19,15,4,阴,东南风,5级,9.5,11
2019-09-20,8,3,阴,西南风,3级,5.5,5
2019-09-21,13,3,阴,西南风,4级,8.0,10
2019-09-22,16,4,阴,西南风,3级,10.0,12
2019-09-23,16,2,阴,西北风,2级,9.0,14
2019-09-24,11,3,阴,西北风,2级,7.0,8
2019-09-25,14,1,多云,西北风,1级,7.5,13
2019-09-26,16,2,晴,东南风,3级,9.0,14
2019-09-27,15,2,阴,东南风,3级,8.5,13
2019-09-28,11,3,阴,西南风,4级,7.0,8
2019-09-29,11,2,阴,东北风,3级,6.5,9
2019-09-30,15,2,阴,东南风,5级,8.5,13
2019-08-01,19,8,阴,西南风,4级,13.5,11
2019-08-02,12,7,阴,东南风,4级,9.5,5
2019-08-03,19,9,阴,东南风,4级,14.0,10
2019-08-04,18,9,阴,东南风,4级,13.5,9
2019-08-05,17,9,阴,东北风,3级,13.0,8
2019-08-06,18,8,阴,东南风,3级,13.0,10
2019-08-07,19,6,阴,东南风,2级,12.5,13
2019-08-08,19,7,阴,西北风,4级,13.0,12
2019-08-09,18,7,阴,东南风,3级,12.5,11
2019-08-10,17,7,阴,东南风,3级,12.0,10
