日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,16,阴,西南风,2级,19.5,7
2019-09-02,20,15,阴,东北风,2级,17.5,5
2019-09-03,27,15,阵雨,南风,2级,21.0,12
2019-09-04,25,18,雾,西南风,2级,21.5,7
2019-09-05,23,16,阴,北风,微风,19.5,7
2019-09-06,23,18,阴,西北风,1级,20.5,5
2019-09-07,28,18,阴,东南风,3级,23.0,10
2019-09-08,25,19,阴,东南风,3级,22.0,6
2019-09-09,20,18,阴,东北风,1级,19.0,2
2019-09-10,24,18,阴,东南风,3级,21.0,6
2019-09-11,24,17,阴,西南风,3级,20.5,7
2019-09-12,25,18,阴,东南风,3级,21.5,7
2019-09-13,27,17,阴,西南风,1级,22.0,10
2019-09-14,29,14,多云,西南风,2级,21.5,15
2019-09-15,28,14,晴,东南风,2级,21.0,14
2019-09-16,28,17,多云,东南风,4级,22.5,11
2019-09-17,27,19,多云,东南风,2级,23.0,8
2019-09-18,27,17,阵雨,东南风,3级,22.0,10
2019-09-19,26,17,阴,东南风,3级,21.5,9
2019-09-20,18,15,阴,东北风,3级,16.5,3
2019-09-21,19,9,多云,西北风,3级,14.0,10
2019-09-22,23,9,多云,东北风,2级,16.0,14
2019-09-23,22,11,多云,东南风,3级,16.5,11
2019-09-24,21,11,阴,东南风,2级,16.0,10
2019-09-25,19,13,阴,东北风,2级,16.0,6
2019-09-26,21,13,阴,东南风,4级,17.0,8
2019-09-27,23,11,多云,东南风,1级,17.0,12
2019-09-28,24,11,阴,西南风,2级,17.5,13
2019-09-29,27,14,多云,东南风,3级,20.5,13
2019-09-30,27,15,多云,东南风,2级,21.0,12
2019-08-01,28,17,多云,东南风,2级,22.5,11
2019-08-02,28,17,多云,西南风,3级,22.5,11
2019-08-03,28,18,阴,东南风,1级,23.0,10
2019-08-04,26,18,小雨,东南风,1级,22.0,8
2019-08-05,23,19,小雨,西南风,2级,21.0,4
2019-08-06,28,18,阴,西南风,2级,23.0,10
2019-08-07,25,17,小雨,东南风,1级,21.0,8
2019-08-08,26,18,阴,西北风,3级,22.0,8
2019-08-09,29,19,阴,东北风,2级,24.0,10
2019-08-10,26,17,小雨,西北风,3级,21.5,9
2019-08-11,30,17,多云,西南风,2级,23.5,13
2019-08-12,31,18,晴,西南风,3级,24.5,13
