日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,20,多云,东南风,2级,25.0,10
2019-09-02,30,20,多云,东北风,3级,25.0,10
2019-09-03,30,21,多云,西南风,2级,25.5,9
2019-09-04,31,22,多云,东南风,1级,26.5,9
2019-09-05,31,22,多云,西南风,2级,26.5,9
2019-09-06,33,22,晴,西南风,2级,27.5,11
2019-09-07,33,23,晴,东南风,2级,28.0,10
2019-09-08,33,24,多云,东南风,1级,28.5,9
2019-09-09,32,24,晴,西南风,3级,28.0,8
2019-09-10,31,24,多云,西南风,2级,27.5,7
2019-09-11,33,24,阴,东南风,1级,28.5,9
2019-09-12,35,25,多云,东南风,2级,30.0,10
2019-09-13,34,22,阴,东北风,3级,28.0,12
2019-09-14,25,21,多云,西南风,2级,23.0,4
2019-09-15,29,20,多云,东北风,2级,24.5,9
2019-09-16,24,21,多云,东北风,2级,22.5,3
2019-09-17,23,19,阴,东北风,3级,21.0,4
2019-09-18,20,18,小雨,西南风,3级,19.0,2
2019-09-19,29,20,多云,东北风,2级,24.5,9
2019-09-20,27,18,多云,东南风,1级,22.5,9
2019-09-21,30,17,晴,东北风,2级,23.5,13
2019-09-22,30,16,晴,西南风,2级,23.0,14
2019-09-23,30,17,多云,西南风,2级,23.5,13
2019-09-24,31,20,多云,西南风,2级,25.5,11
2019-09-25,29,18,阴,西北风,2级,23.5,11
2019-09-26,31,18,多云,西南风,2级,24.5,13
2019-09-27,31,18,晴,西南风,2级,24.5,13
2019-09-28,33,19,晴,东南风,2级,26.0,14
2019-09-29,33,19,晴,东南风,3级,26.0,14
2019-09-30,34,19,晴,西南风,2级,26.5,15
2019-08-01,35,25,多云,西南风,微风,30.0,10
2019-08-02,33,25,阴,东南风,1级,29.0,8
2019-08-03,33,25,阴,西北风,3级,29.0,8
2019-08-04,33,25,多云,西北风,3级,29.0,8
2019-08-05,34,25,多云,东北风,1级,29.5,9
2019-08-06,34,25,阴,西南风,3级,29.5,9
2019-08-07,26,25,大雨,西北风,2级,25.5,1
2019-08-08,33,25,阴,西北风,2级,29.0,8
2019-08-09,34,25,多云,西北风,2级,29.5,9
2019-08-10,34,24,中雨,东南风,2级,29.0,10
2019-08-11,34,25,多云,西北风,3级,29.5,9
2019-08-12,35,24,多云,东南风,1级,29.5,11
2019-08-13,35,25,多云,东南风,2级,30.0,10
2019-08-14,35,26,晴,西南风,2级,30.5,9
2019-08-15,36,24,多云,东南风,2级,30.0,12
2019-08-16,38,24,晴,东南风,3级,31.0,14
2019-08-17,35,26,多云,东北风,2级,30.5,9
2019-08-18,35,25,多云,西南风,2级,30.0,10
2019-08-19,36,26,晴,东南风,2级,31.0,10
2019-08-20,38,25,阴,东南风,2级,31.5,13
2019-08-21,36,25,多云,东南风,3级,30.5,11
2019-08-22,33,25,阴,东北风,3级,29.0,8
2019-08-23,33,25,多云,东南风,1级,29.0,8
2019-08-24,34,25,晴,西北风,2级,29.5,9
2019-08-25,36,25,多云,东北风,2级,30.5,11
2019-08-26,26,25,小雨,西南风,1级,25.5,1
2019-08-27,33,24,阴,东北风,3级,28.5,9
2019-08-28,28,23,阴,西北风,2级,25.5,5
2019-08-29,33,21,多云,西南风,2级,27.0,12
2019-08-30,33,21,多云,东南风,1级,27.0,12
2019-08-31,27,20,阴,西南风,1级,23.5,7
2019-07-01,32,21,多云,西南风,2级,26.5,11
2019-07-02,34,22,阴,西南风,1级,28.0,12
2019-07-03,34,23,多云,西南风,1级,28.5,11
2019-07-04,30,21,阴,西北风,2级,25.5,9
2019-07-05,32,22,多云,东南风,2级,27.0,10
2019-07-06,35,24,阴,西南风,2级,29.5,11
2019-07-07,31,24,小雨,西北风,3级,27.5,7
2019-07-08,25,21,阴,西北风,2级,23.0,4
2019-07-09,29,20,阴,西南风,1级,24.5,9
2019-07-10,30,21,多云,东南风,2级,25.5,9
2019-07-11,29,22,阴,东南风,1级,25.5,7
2019-07-12,24,21,大雨,西南风,2级,22.5,3
2019-07-13,31,20,多云,东南风,3级,25.5,11
2019-07-14,30,22,阴,东南风,3级,26.0,8
2019-07-15,31,23,多云,东南风,1级,27.0,8
2019-07-16,28,24,小雨,西北风,2级,26.0,4
2019-07-17,31,24,阴,西南风,1级,27.5,7
2019-07-18,27,24,小雨,东北风,1级,25.5,3
2019-07-19,32,23,阴,西南风,3级,27.5,9
2019-07-20,33,25,阴,东南风,2级,29.0,8
2019-07-21,33,26,阴,西南风,1级,29.5,7
2019-07-22,34,25,阴,西南风,2级,29.5,9
2019-07-23,34,25,阴,东南风,2级,29.5,9
2019-07-24,34,25,阴,东南风,1级,29.5,9
2019-07-25,35,25,多云,西南风,1级,30.0,10
2019-07-26,36,27,阴,东南风,2级,31.5,9
2019-07-27,37,28,多云,东南风,2级,32.5,9
2019-07-28,37,27,多云,东南风,3级,32.0,10
2019-07-29,37,26,多云,东南风,3级,31.5,11
2019-07-30,34,27,小雨,西南风,3级,30.5,7
2019-07-31,34,24,多云,东南风,1级,29.0,10
2019-06-01,30,20,阴,东南风,2级,25.0,10
2019-06-02,33,19,多云,东南风,3级,26.0,14
2019-06-03,34,21,晴,东南风,3级,27.5,13
2019-06-04,35,23,晴,东南风,3级,29.0,12
2019-06-05,30,22,阴,西北风,4级,26.0,8
2019-06-06,27,22,多云,西南风,2级,24.5,5
2019-06-07,30,24,多云,东南风,2级,27.0,6
2019-06-08,29,24,阴,西北风,2级,26.5,5
2019-06-09,31,24,阴,西南风,2级,27.5,7
2019-06-10,30,23,多云,西南风,2级,26.5,7
2019-06-11,28,20,阴,西北风,3级,24.0,8
2019-06-12,23,18,小雨,西南风,2级,20.5,5
2019-06-13,28,18,多云,西南风,2级,23.0,10
2019-06-14,32,20,多云,东南风,2级,26.0,12
2019-06-15,29,20,阴,西北风,3级,24.5,9
2019-06-16,23,21,阴,西北风,1级,22.0,2
2019-06-17,24,21,小雨,北风,1级,22.5,3
2019-06-18,27,22,阴,东南风,1级,24.5,5
2019-06-19,29,24,阴,东北风,1级,26.5,5
2019-06-20,31,23,小雨,东北风,1级,27.0,8
2019-06-21,24,22,阴,西南风,3级,23.0,2
2019-06-22,22,22,阴,西南风,3级,22.0,0
2019-06-23,31,20,多云,西南风,1级,25.5,11
2019-06-24,30,21,阴,东南风,1级,25.5,9
2019-06-25,31,23,晴,东南风,1级,27.0,8
2019-06-26,32,23,多云,东南风,2级,27.5,9
2019-06-27,32,24,小雨,东南风,1级,28.0,8
2019-06-28,28,22,小雨,西北风,2级,25.0,6
2019-06-29,26,22,大雨,东南风,2级,24.0,4
2019-06-30,31,23,多云,西南风,1级,27.0,8
2019-05-01,26,14,多云,西南风,2级,20.0,12
