日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,17,阴,东北风,1级,19.5,5
2019-09-02,21,17,雾,东北风,1级,19.0,4
2019-09-03,23,18,小雨,西南风,3级,20.5,5
2019-09-04,22,17,阴,西南风,2级,19.5,5
2019-09-05,24,18,阴,西南风,1级,21.0,6
2019-09-06,24,19,阴,东北风,1级,21.5,5
2019-09-07,24,19,阴,东北风,2级,21.5,5
2019-09-08,26,19,雾,北风,微风,22.5,7
2019-09-09,25,20,阴,西北风,1级,22.5,5
2019-09-10,26,19,阴,东南风,微风,22.5,7
2019-09-11,30,20,阴,西南风,4级,25.0,10
2019-09-12,27,19,阴,西南风,2级,23.0,8
2019-09-13,21,17,阴,北风,1级,19.0,4
2019-09-14,19,16,阴,西北风,3级,17.5,3
2019-09-15,20,16,阴,西北风,1级,18.0,4
2019-09-16,22,16,阴,东南风,1级,19.0,6
2019-09-17,18,16,阴,东北风,1级,17.0,2
2019-09-18,22,15,小雨,西南风,2级,18.5,7
2019-09-19,18,15,阴,东北风,1级,16.5,3
2019-09-20,18,14,阴,东北风,1级,16.0,4
2019-09-21,24,14,阴,东北风,1级,19.0,10
2019-09-22,23,15,多云,西北风,1级,19.0,8
2019-09-23,17,14,阴,西北风,微风,15.5,3
2019-09-24,16,13,阴,东北风,微风,14.5,3
2019-09-25,23,12,阴,西北风,微风,17.5,11
2019-09-26,19,14,多云,西北风,1级,16.5,5
2019-09-27,23,13,多云,东南风,1级,18.0,10
2019-09-28,23,15,多云,东北风,1级,19.0,8
2019-09-29,24,16,多云,东北风,微风,20.0,8
2019-09-30,24,16,阴,西北风,1级,20.0,8
2019-08-01,31,19,阴,东南风,1级,25.0,12
2019-08-02,27,20,小雨,西南风,1级,23.5,7
2019-08-03,28,18,阴,西南风,微风,23.0,10
2019-08-04,30,19,阴,西南风,3级,24.5,11
2019-08-05,23,19,小雨,西北风,1级,21.0,4
2019-08-06,25,18,阴,东北风,1级,21.5,7
2019-08-07,31,17,多云,东北风,1级,24.0,14
2019-08-08,28,19,阴,东北风,2级,23.5,9
2019-08-09,27,19,阴,东北风,2级,23.0,8
2019-08-10,32,18,晴,东北风,1级,25.0,14
2019-08-11,34,19,晴,西南风,1级,26.5,15
2019-08-12,33,20,晴,东北风,1级,26.5,13
2019-08-13,29,20,阴,西南风,1级,24.5,9
2019-08-14,30,18,阴,西北风,1级,24.0,12
2019-08-15,33,19,晴,东北风,1级,26.0,14
2019-08-16,33,20,多云,东北风,2级,26.5,13
2019-08-17,31,21,阴,北风,1级,26.0,10
2019-08-18,26,20,阴,东北风,1级,23.0,6
2019-08-19,22,20,小雨,东北风,1级,21.0,2
2019-08-20,23,20,小雨,东北风,1级,21.5,3
2019-08-21,24,20,大雨,东北风,2级,22.0,4
2019-08-22,19,19,大雨,东南风,1级,19.0,0
2019-08-23,29,19,多云,东南风,1级,24.0,10
2019-08-24,29,20,多云,东南风,1级,24.5,9
2019-08-25,30,21,阴,东北风,2级,25.5,9
2019-08-26,30,20,阴,西北风,微风,25.0,10
2019-08-27,24,20,小雨,东北风,2级,22.0,4
2019-08-28,29,18,阴,西南风,2级,23.5,11
2019-08-29,24,18,阴,东北风,1级,21.0,6
2019-08-30,21,16,阴,西南风,1级,18.5,5
2019-08-31,21,15,阴,西南风,3级,18.0,6
2019-07-01,29,18,晴,北风,1级,23.5,11
2019-07-02,24,18,阴,西北风,1级,21.0,6
2019-07-03,22,18,阵雨,西南风,2级,20.0,4
2019-07-04,24,17,小雨,东北风,1级,20.5,7
2019-07-05,28,18,多云,东北风,1级,23.0,10
2019-07-06,24,17,小雨,东北风,1级,20.5,7
2019-07-07,25,17,阵雨,西南风,1级,21.0,8
2019-07-08,24,17,小雨,东南风,1级,20.5,7
2019-07-09,27,19,中雨,东南风,微风,23.0,8
2019-07-10,26,18,阴,东南风,1级,22.0,8
2019-07-11,24,17,中雨,东北风,2级,20.5,7
2019-07-12,24,18,小雨,西北风,1级,21.0,6
2019-07-13,28,18,小雨,东北风,1级,23.0,10
2019-07-14,25,18,阴,东南风,1级,21.5,7
2019-07-15,23,18,阴,北风,微风,20.5,5
2019-07-16,27,20,阴,西南风,3级,23.5,7
2019-07-17,26,21,阴,西北风,微风,23.5,5
2019-07-18,29,20,阴,东北风,1级,24.5,9
2019-07-19,27,23,小雨,南风,微风,25.0,4
2019-07-20,26,20,中雨,东北风,1级,23.0,6
2019-07-21,31,21,阴,东北风,1级,26.0,10
2019-07-22,23,19,中雨,西南风,1级,21.0,4
2019-07-23,30,20,小雨,东北风,2级,25.0,10
2019-07-24,26,19,阴,东北风,2级,22.5,7
2019-07-25,30,18,多云,东北风,1级,24.0,12
2019-07-26,30,20,阴,东北风,1级,25.0,10
2019-07-27,32,22,阴,东北风,2级,27.0,10
2019-07-28,33,21,阴,西南风,1级,27.0,12
2019-07-29,25,20,小雨,东北风,1级,22.5,5
2019-07-30,26,19,阴,东北风,1级,22.5,7
2019-07-31,30,14,阴,东北风,1级,22.0,16
2019-06-01,29,13,阴,东北风,1级,21.0,16
2019-06-02,30,14,晴,东南风,1级,22.0,16
2019-06-03,31,17,多云,东北风,1级,24.0,14
2019-06-04,29,17,阴,西南风,1级,23.0,12
2019-06-05,25,18,阴,东北风,2级,21.5,7
2019-06-06,28,17,阴,西北风,1级,22.5,11
2019-06-07,29,17,多云,东北风,微风,23.0,12
2019-06-08,21,18,阴,西南风,1级,19.5,3
2019-06-09,24,17,阴,北风,1级,20.5,7
2019-06-10,23,17,阴,东北风,1级,20.0,6
2019-06-11,24,17,阴,西南风,1级,20.5,7
2019-06-12,27,19,阵雨,东北风,1级,23.0,8
2019-06-13,28,18,阴,西南风,1级,23.0,10
2019-06-14,24,18,阴,东北风,1级,21.0,6
2019-06-15,23,17,小雨,西南风,2级,20.0,6
2019-06-16,22,17,小雨,东北风,1级,19.5,5
2019-06-17,24,17,阵雨,西南风,2级,20.5,7
2019-06-18,26,18,阴,西南风,2级,22.0,8
2019-06-19,27,19,阴,西南风,2级,23.0,8
2019-06-20,29,20,阴,西南风,3级,24.5,9
2019-06-21,25,20,阴,西北风,2级,22.5,5
2019-06-22,25,19,阴,东北风,1级,22.0,6
2019-06-23,22,18,小雨,西南风,2级,20.0,4
2019-06-24,24,18,阴,西北风,2级,21.0,6
2019-06-25,23,15,阴,东北风,1级,19.0,8
2019-06-26,23,19,阵雨,西南风,2级,21.0,4
2019-06-27,26,20,小雨,西北风,2级,23.0,6
2019-06-28,26,18,小雨,东北风,1级,22.0,8
2019-06-29,26,17,阴,东北风,1级,21.5,9
2019-06-30,26,18,多云,西南风,微风,22.0,8
2019-05-01,18,13,阴,西南风,3级,15.5,5
