日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,14,晴,东南风,2级,21.0,14
2019-09-02,30,15,晴,东北风,1级,22.5,15
2019-09-03,30,15,晴,西南风,1级,22.5,15
2019-09-04,28,12,晴,东南风,2级,20.0,16
2019-09-05,27,12,多云,东南风,2级,19.5,15
2019-09-06,28,14,晴,东南风,1级,21.0,14
2019-09-07,23,13,阴,东南风,2级,18.0,10
2019-09-08,25,13,多云,东南风,1级,19.0,12
2019-09-09,20,12,阴,东南风,2级,16.0,8
2019-09-10,21,6,阴,东南风,2级,13.5,15
2019-09-11,24,9,多云,西南风,2级,16.5,15
2019-09-12,23,11,阴,东南风,4级,17.0,12
2019-09-13,20,7,阴,西北风,1级,13.5,13
2019-09-14,23,10,晴,东南风,2级,16.5,13
2019-09-15,26,5,晴,东北风,1级,15.5,21
2019-09-16,19,7,晴,西南风,2级,13.0,12
2019-09-17,26,2,晴,东北风,2级,14.0,24
2019-09-18,19,5,晴,东南风,2级,12.0,14
2019-09-19,25,8,阴,西南风,3级,16.5,17
2019-09-20,25,5,晴,东南风,1级,15.0,20
2019-09-21,22,4,晴,东南风,1级,13.0,18
2019-09-22,23,6,晴,东南风,2级,14.5,17
2019-09-23,29,6,阴,东南风,3级,17.5,23
2019-09-24,23,7,晴,西南风,2级,15.0,16
2019-09-25,31,9,晴,东南风,2级,20.0,22
2019-09-26,30,9,晴,西南风,2级,19.5,21
2019-09-27,27,11,晴,东南风,3级,19.0,16
2019-09-28,29,7,晴,东南风,2级,18.0,22
2019-09-29,25,11,多云,西南风,3级,18.0,14
2019-09-30,29,13,晴,西南风,4级,21.0,16
2019-08-01,29,17,晴,东北风,2级,23.0,12
2019-08-02,29,15,小雨,东南风,2级,22.0,14
2019-08-03,29,18,多云,东南风,2级,23.5,11
2019-08-04,29,19,阴,东南风,2级,24.0,10
2019-08-05,28,19,阴,东南风,4级,23.5,9
2019-08-06,29,20,阴,西南风,4级,24.5,9
2019-08-07,29,18,小雨,东北风,1级,23.5,11
2019-08-08,27,18,小雨,东风,2级,22.5,9
2019-08-09,29,20,阴,西北风,4级,24.5,9
2019-08-10,22,20,中雨,东北风,2级,21.0,2
2019-08-11,21,18,小雨,东北风,3级,19.5,3
2019-08-12,18,16,小雨,东北风,4级,17.0,2
2019-08-13,18,15,小雨,东北风,2级,16.5,3
2019-08-14,26,14,阴,东南风,1级,20.0,12
2019-08-15,27,16,晴,西北风,2级,21.5,11
2019-08-16,18,14,中雨,西北风,3级,16.0,4
2019-08-17,21,12,小雨,西北风,2级,16.5,9
2019-08-18,25,14,晴,东南风,3级,19.5,11
2019-08-19,27,17,多云,东南风,2级,22.0,10
2019-08-20,21,13,中雨,西南风,5级,17.0,8
2019-08-21,26,11,晴,东北风,1级,18.5,15
2019-08-22,24,10,晴,东南风,1级,17.0,14
2019-08-23,24,11,多云,东南风,2级,17.5,13
2019-08-24,26,14,多云,西南风,1级,20.0,12
2019-08-25,29,15,晴,西南风,1级,22.0,14
2019-08-26,27,13,阴,东南风,1级,20.0,14
2019-08-27,25,12,多云,东北风,3级,18.5,13
2019-08-28,22,12,小雨,西北风,2级,17.0,10
2019-08-29,21,11,阴,东北风,1级,16.0,10
2019-08-30,23,10,晴,东南风,1级,16.5,13
2019-08-31,25,13,晴,西南风,2级,19.0,12
2019-07-01,28,13,多云,东南风,1级,20.5,15
2019-07-02,27,14,阴,西南风,3级,20.5,13
2019-07-03,31,18,多云,东北风,2级,24.5,13
2019-07-04,35,22,晴,西南风,2级,28.5,13
2019-07-05,28,17,大雨,西南风,3级,22.5,11
2019-07-06,18,15,小雨,东北风,2级,16.5,3
2019-07-07,26,14,小雨,西北风,1级,20.0,12
2019-07-08,27,19,晴,东北风,2级,23.0,8
2019-07-09,26,16,阴,东南风,3级,21.0,10
2019-07-10,27,16,阴,东南风,2级,21.5,11
2019-07-11,26,16,多云,西南风,1级,21.0,10
2019-07-12,29,15,多云,东南风,2级,22.0,14
2019-07-13,27,16,阴,东北风,2级,21.5,11
2019-07-14,26,15,阴,东北风,2级,20.5,11
2019-07-15,29,17,多云,东南风,1级,23.0,12
2019-07-16,30,21,阴,东南风,3级,25.5,9
2019-07-17,27,19,小雨,东南风,3级,23.0,8
2019-07-18,31,20,晴,西南风,2级,25.5,11
2019-07-19,31,21,多云,西南风,3级,26.0,10
2019-07-20,29,21,阴,东南风,2级,25.0,8
2019-07-21,34,22,阴,东南风,2级,28.0,12
2019-07-22,36,21,阴,西北风,2级,28.5,15
2019-07-23,23,19,小雨,南风,2级,21.0,4
2019-07-24,34,22,晴,西南风,3级,28.0,12
2019-07-25,30,20,小雨,西南风,3级,25.0,10
2019-07-26,34,22,晴,西北风,3级,28.0,12
2019-07-27,34,20,多云,西南风,5级,27.0,14
2019-07-28,32,25,多云,西南风,4级,28.5,7
2019-07-29,27,20,小雨,东南风,3级,23.5,7
2019-07-30,33,17,晴,西南风,2级,25.0,16
2019-07-31,31,15,晴,西南风,2级,23.0,16
2019-06-01,28,15,阴,西南风,3级,21.5,13
2019-06-02,27,14,阴,西北风,2级,20.5,13
2019-06-03,18,9,阴,东北风,1级,13.5,9
2019-06-04,22,13,多云,东北风,3级,17.5,9
2019-06-05,26,15,晴,东南风,2级,20.5,11
2019-06-06,28,16,多云,西南风,4级,22.0,12
2019-06-07,29,10,多云,东南风,微风,19.5,19
2019-06-08,27,12,阴,东南风,1级,19.5,15
2019-06-09,22,12,多云,西北风,2级,17.0,10
2019-06-10,25,14,多云,东南风,2级,19.5,11
2019-06-11,30,18,晴,东南风,3级,24.0,12
2019-06-12,31,17,阴,西南风,3级,24.0,14
2019-06-13,25,13,阴,西南风,2级,19.0,12
2019-06-14,24,11,晴,东北风,1级,17.5,13
2019-06-15,22,10,多云,东北风,2级,16.0,12
2019-06-16,21,12,阴,西南风,3级,16.5,9
2019-06-17,27,18,多云,西南风,3级,22.5,9
2019-06-18,27,15,阴,西南风,1级,21.0,12
2019-06-19,32,18,多云,西南风,3级,25.0,14
2019-06-20,28,16,阴,东北风,3级,22.0,12
2019-06-21,26,14,晴,东北风,1级,20.0,12
2019-06-22,31,14,晴,东北风,2级,22.5,17
2019-06-23,33,18,多云,东南风,2级,25.5,15
2019-06-24,35,21,多云,东南风,4级,28.0,14
2019-06-25,32,21,阴,西南风,5级,26.5,11
2019-06-26,32,20,多云,西南风,6级,26.0,12
2019-06-27,34,20,阴,东南风,1级,27.0,14
2019-06-28,27,18,小雨,东南风,4级,22.5,9
2019-06-29,21,14,小雨,东北风,3级,17.5,7
2019-06-30,24,12,多云,东北风,2级,18.0,12
2019-05-01,19,4,晴,东南风,2级,11.5,15
2019-05-02,26,7,多云,东南风,2级,16.5,19
2019-05-03,28,15,多云,西南风,4级,21.5,13
2019-05-04,28,6,多云,东南风,2级,17.0,22
2019-05-05,14,3,晴,西南风,1级,8.5,11
2019-05-06,19,2,晴,东南风,1级,10.5,17
2019-05-07,24,7,晴,东南风,2级,15.5,17
2019-05-08,25,7,阴,东北风,1级,16.0,18
2019-05-09,25,13,多云,西南风,3级,19.0,12
2019-05-10,28,12,阴,东南风,4级,20.0,16
2019-05-11,25,12,晴,西南风,4级,18.5,13
2019-05-12,23,5,阴,西南风,3级,14.0,18
2019-05-13,19,9,晴,西南风,4级,14.0,10
2019-05-14,26,15,晴,东南风,4级,20.5,11
2019-05-15,27,11,阴,西南风,3级,19.0,16
2019-05-16,30,18,多云,西南风,4级,24.0,12
2019-05-17,30,14,阴,西南风,3级,22.0,16
2019-05-18,17,14,阴,东北风,3级,15.5,3
2019-05-19,15,5,阴,西北风,6级,10.0,10
2019-05-20,17,6,多云,西北风,4级,11.5,11
2019-05-21,21,7,晴,西北风,2级,14.0,14
2019-05-22,25,11,晴,东南风,2级,18.0,14
2019-05-23,35,19,多云,西南风,3级,27.0,16
2019-05-24,36,22,阴,西南风,5级,29.0,14
2019-05-25,33,15,晴,西南风,5级,24.0,18
2019-05-26,11,7,阴,东北风,4级,9.0,4
2019-05-27,19,8,阴,东南风,1级,13.5,11
2019-05-28,24,8,晴,西南风,1级,16.0,16
2019-05-29,28,12,阴,西南风,5级,20.0,16
2019-05-30,22,6,阴,西北风,2级,14.0,16
2019-05-31,24,8,晴,西南风,2级,16.0,16
2019-04-01,7,-8,多云,东南风,2级,-0.5,15
2019-04-02,8,-6,晴,东南风,3级,1.0,14
2019-04-03,18,6,晴,东南风,1级,12.0,12
2019-04-04,18,-3,多云,西北风,4级,7.5,21
2019-04-05,9,-1,多云,东南风,1级,4.0,10
2019-04-06,11,-5,多云,东北风,2级,3.0,16
2019-04-07,4,-6,多云,东南风,1级,-1.0,10
2019-04-08,9,-3,多云,东南风,1级,3.0,12
2019-04-09,9,-3,阴,东南风,1级,3.0,12
2019-04-10,13,-2,多云,东南风,2级,5.5,15
2019-04-11,15,0,多云,东南风,3级,7.5,15
2019-04-12,19,1,多云,西南风,4级,10.0,18
2019-04-13,13,-3,阴,西北风,2级,5.0,16
2019-04-14,16,4,晴,西南风,4级,10.0,12
2019-04-15,24,9,多云,西南风,3级,16.5,15
2019-04-16,25,14,多云,西南风,6级,19.5,11
2019-04-17,23,5,阴,西北风,2级,14.0,18
2019-04-18,11,0,晴,东南风,2级,5.5,11
2019-04-19,19,0,阴,东南风,4级,9.5,19
2019-04-20,19,0,扬沙,东北风,2级,9.5,19
2019-04-21,20,11,晴,东南风,5级,15.5,9
2019-04-22,30,13,多云,西南风,7级,21.5,17
2019-04-23,22,4,阴,东北风,3级,13.0,18
2019-04-24,8,-2,雨夹雪,西北风,1级,3.0,10
2019-04-25,12,-2,阴,南风,1级,5.0,14
2019-04-26,15,2,多云,东南风,2级,8.5,13
2019-04-27,16,4,阴,西南风,5级,10.0,12
2019-04-28,21,9,阴,西南风,2级,15.0,12
2019-04-29,19,7,阴,东南风,4级,13.0,12
2019-04-30,15,2,阴,东南风,1级,8.5,13
2019-03-01,9,-3,晴,西北风,1级,3.0,12
2019-03-02,15,-2,晴,东北风,2级,6.5,17
2019-03-03,14,-3,多云,东北风,2级,5.5,17
2019-03-04,10,-3,多云,东南风,1级,3.5,13
2019-03-05,10,-4,多云,北风,3级,3.0,14
2019-03-06,2,-7,阴,西北风,3级,-2.5,9
2019-03-07,9,-4,晴,西北风,1级,2.5,13
2019-03-08,15,-1,晴,西南风,2级,7.0,16
2019-03-09,6,-4,阴,西北风,3级,1.0,10
2019-03-10,7,-3,阴,西北风,1级,2.0,10
2019-03-11,7,-8,晴,西北风,5级,-0.5,15
2019-03-12,0,-9,多云,西北风,4级,-4.5,9
2019-03-13,4,-5,多云,西南风,1级,-0.5,9
2019-03-14,5,-6,多云,西北风,2级,-0.5,11
2019-03-15,5,-2,晴,西北风,2级,1.5,7
2019-03-16,8,-4,多云,东北风,3级,2.0,12
2019-03-17,16,4,晴,东南风,2级,10.0,12
2019-03-18,19,4,晴,西北风,1级,11.5,15
2019-03-19,23,0,多云,西南风,4级,11.5,23
2019-03-20,6,-6,阴,东北风,3级,0.0,12
2019-03-21,0,-10,阴,东南风,1级,-5.0,10
2019-03-22,3,-10,多云,东南风,1级,-3.5,13
2019-03-23,4,-3,晴,西南风,3级,0.5,7
2019-03-24,13,-8,晴,东南风,2级,2.5,21
2019-03-25,11,-6,晴,东南风,1级,2.5,17
2019-03-26,10,-6,阴,东南风,2级,2.0,16
2019-03-27,4,-9,阴,东北风,1级,-2.5,13
2019-03-28,5,-8,晴,东南风,2级,-1.5,13
2019-03-29,9,-5,阴,西南风,3级,2.0,14
2019-03-30,1,-9,阴,西北风,3级,-4.0,10
2019-03-31,4,-9,多云,西北风,3级,-2.5,13
2019-02-01,3,-8,晴,西南风,3级,-2.5,11
2019-02-02,6,-12,阴,西南风,1级,-3.0,18
2019-02-03,-5,-15,多云,东北风,2级,-10.0,10
2019-02-04,0,-16,多云,西北风,1级,-8.0,16
2019-02-05,-11,-18,小雪,西北风,2级,-14.5,7
2019-02-06,-12,-20,小雪,西北风,2级,-16.0,8
2019-02-07,-11,-21,晴,西北风,4级,-16.0,10
2019-02-08,-9,-19,多云,西北风,2级,-14.0,10
2019-02-09,-9,-19,晴,西北风,2级,-14.0,10
2019-02-10,-7,-17,多云,西北风,1级,-12.0,10
2019-02-11,-6,-19,阴,西北风,3级,-12.5,13
2019-02-12,-8,-19,多云,北风,微风,-13.5,11
2019-02-13,-6,-19,晴,西北风,2级,-12.5,13
2019-02-14,-9,-15,阴,东南风,2级,-12.0,6
2019-02-15,-5,-15,多云,西北风,4级,-10.0,10
2019-02-16,-1,-13,晴,西北风,5级,-7.0,12
2019-02-17,5,-13,晴,西北风,1级,-4.0,18
2019-02-18,1,-9,阴,东南风,2级,-4.0,10
2019-02-19,0,-10,阴,西北风,3级,-5.0,10
2019-02-20,4,-8,晴,西北风,微风,-2.0,12
2019-02-21,9,-8,晴,西北风,1级,0.5,17
2019-02-22,8,-7,晴,西北风,1级,0.5,15
