日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,15,多云,东北风,3级,20.0,10
2019-09-02,25,11,晴,西南风,2级,18.0,14
2019-09-03,24,12,多云,东南风,2级,18.0,12
2019-09-04,25,11,多云,西南风,3级,18.0,14
2019-09-05,27,11,多云,东南风,1级,19.0,16
2019-09-06,29,13,晴,东南风,3级,21.0,16
2019-09-07,31,14,多云,东南风,1级,22.5,17
2019-09-08,31,15,晴,东南风,2级,23.0,16
2019-09-09,23,16,阴,西北风,1级,19.5,7
2019-09-10,19,14,阴,东北风,3级,16.5,5
2019-09-11,19,15,阴,东北风,1级,17.0,4
2019-09-12,22,11,阴,西南风,2级,16.5,11
2019-09-13,16,10,阴,东南风,3级,13.0,6
2019-09-14,13,10,阴,西南风,2级,11.5,3
2019-09-15,20,9,阴,西南风,1级,14.5,11
2019-09-16,23,13,阴,东北风,1级,18.0,10
2019-09-17,21,8,阴,东南风,2级,14.5,13
2019-09-18,22,11,阴,东南风,2级,16.5,11
2019-09-19,14,9,阴,东北风,2级,11.5,5
2019-09-20,22,7,阴,东北风,微风,14.5,15
2019-09-21,23,7,晴,东北风,1级,15.0,16
2019-09-22,25,8,多云,东南风,1级,16.5,17
2019-09-23,25,8,晴,西南风,1级,16.5,17
2019-09-24,26,7,多云,东南风,1级,16.5,19
2019-09-25,25,7,晴,东南风,1级,16.0,18
2019-09-26,24,7,多云,西南风,2级,15.5,17
2019-09-27,24,8,多云,南风,2级,16.0,16
2019-09-28,25,10,多云,东南风,2级,17.5,15
2019-09-29,26,10,晴,东南风,2级,18.0,16
2019-09-30,26,12,雾,东南风,2级,19.0,14
2019-08-01,30,17,多云,东南风,3级,23.5,13
2019-08-02,29,18,阴,西南风,2级,23.5,11
2019-08-03,21,17,中雨,东南风,3级,19.0,4
2019-08-04,28,18,多云,东北风,1级,23.0,10
2019-08-05,29,18,阴,西南风,2级,23.5,11
2019-08-06,28,17,多云,西南风,4级,22.5,11
2019-08-07,31,17,晴,南风,3级,24.0,14
2019-08-08,28,18,阴,西南风,3级,23.0,10
2019-08-09,29,16,阴,西南风,2级,22.5,13
2019-08-10,30,16,晴,西南风,1级,23.0,14
2019-08-11,27,16,晴,东北风,2级,21.5,11
2019-08-12,29,14,晴,北风,2级,21.5,15
2019-08-13,29,15,晴,西北风,2级,22.0,14
2019-08-14,30,15,晴,东北风,2级,22.5,15
2019-08-15,33,15,晴,西南风,2级,24.0,18
2019-08-16,27,13,多云,东北风,3级,20.0,14
2019-08-17,28,14,晴,东北风,2级,21.0,14
2019-08-18,31,18,多云,东南风,3级,24.5,13
2019-08-19,29,20,阴,西南风,4级,24.5,9
2019-08-20,20,16,大雨,西南风,3级,18.0,4
2019-08-21,23,16,阴,西南风,1级,19.5,7
2019-08-22,19,15,小雨,西南风,1级,17.0,4
2019-08-23,22,16,多云,东北风,2级,19.0,6
2019-08-24,19,16,小雨,东北风,1级,17.5,3
2019-08-25,23,17,阴,东北风,2级,20.0,6
2019-08-26,17,15,暴雨,北风,3级,16.0,2
2019-08-27,26,12,雾,西南风,2级,19.0,14
2019-08-28,27,10,雾,西南风,3级,18.5,17
2019-08-29,27,10,晴,东北风,2级,18.5,17
2019-08-30,27,11,阴,东北风,1级,19.0,16
2019-08-31,27,12,晴,东南风,2级,19.5,15
2019-07-01,31,14,晴,东南风,3级,22.5,17
2019-07-02,31,17,多云,西南风,3级,24.0,14
2019-07-03,33,17,多云,西南风,3级,25.0,16
2019-07-04,30,18,多云,东南风,4级,24.0,12
2019-07-05,33,15,多云,西北风,4级,24.0,18
2019-07-06,28,12,晴,东北风,2级,20.0,16
2019-07-07,29,17,晴,西南风,4级,23.0,12
2019-07-08,20,15,小雨,西南风,微风,17.5,5
2019-07-09,22,16,多云,东北风,1级,19.0,6
2019-07-10,27,14,多云,西南风,2级,20.5,13
2019-07-11,27,15,多云,西南风,2级,21.0,12
2019-07-12,29,14,雾,西南风,2级,21.5,15
2019-07-13,32,16,阴,西南风,3级,24.0,16
2019-07-14,31,19,多云,西南风,2级,25.0,12
2019-07-15,29,17,小雨,东北风,1级,23.0,12
2019-07-16,22,16,小雨,东北风,1级,19.0,6
2019-07-17,21,17,阴,西南风,2级,19.0,4
2019-07-18,22,18,雾,东南风,1级,20.0,4
2019-07-19,24,19,阴,西南风,2级,21.5,5
2019-07-20,31,18,小雨,西南风,1级,24.5,13
2019-07-21,31,21,阴,东北风,2级,26.0,10
2019-07-22,27,17,阴,东南风,2级,22.0,10
2019-07-23,31,18,晴,东北风,1级,24.5,13
2019-07-24,29,15,多云,西北风,2级,22.0,14
2019-07-25,32,18,晴,西南风,2级,25.0,14
2019-07-26,32,21,晴,东南风,4级,26.5,11
2019-07-27,32,21,晴,西南风,1级,26.5,11
2019-07-28,34,21,多云,东南风,3级,27.5,13
2019-07-29,27,16,阴,东南风,2级,21.5,11
2019-07-30,31,17,阴,西南风,3级,24.0,14
2019-07-31,32,17,多云,东北风,3级,24.5,15
2019-06-01,30,13,晴,南风,1级,21.5,17
2019-06-02,31,13,阴,西南风,3级,22.0,18
2019-06-03,32,16,多云,东南风,2级,24.0,16
2019-06-04,27,13,阴,西北风,5级,20.0,14
2019-06-05,18,11,阴,东北风,3级,14.5,7
2019-06-06,28,14,雾,西北风,3级,21.0,14
2019-06-07,28,12,多云,东北风,3级,20.0,16
2019-06-08,29,13,雾,西南风,1级,21.0,16
2019-06-09,32,14,多云,西南风,1级,23.0,18
2019-06-10,32,16,多云,西南风,2级,24.0,16
2019-06-11,29,15,阴,西南风,2级,22.0,14
2019-06-12,28,14,阴,东北风,2级,21.0,14
2019-06-13,28,13,多云,东南风,3级,20.5,15
2019-06-14,30,17,阴,东南风,3级,23.5,13
2019-06-15,24,15,阴,西南风,2级,19.5,9
2019-06-16,28,15,阴,西南风,3级,21.5,13
2019-06-17,29,16,多云,东南风,4级,22.5,13
2019-06-18,31,19,多云,西南风,2级,25.0,12
2019-06-19,28,18,阴,西南风,2级,23.0,10
2019-06-20,23,17,阴,东南风,2级,20.0,6
2019-06-21,20,16,小雨,东北风,1级,18.0,4
2019-06-22,20,15,小雨,北风,微风,17.5,5
2019-06-23,25,17,小雨,西南风,2级,21.0,8
2019-06-24,22,14,小雨,东南风,2级,18.0,8
2019-06-25,25,16,多云,西南风,2级,20.5,9
2019-06-26,33,16,小雨,西南风,2级,24.5,17
2019-06-27,19,13,中雨,西北风,4级,16.0,6
2019-06-28,27,15,小雨,西南风,3级,21.0,12
2019-06-29,29,13,多云,东北风,4级,21.0,16
2019-06-30,29,14,多云,东北风,3级,21.5,15
2019-05-01,15,4,多云,西南风,2级,9.5,11
2019-05-02,21,10,阴,东南风,3级,15.5,11
2019-05-03,22,11,阴,西南风,1级,16.5,11
2019-05-04,23,12,多云,东北风,2级,17.5,11
2019-05-05,23,8,阴,西南风,3级,15.5,15
2019-05-06,13,6,阴,西南风,2级,9.5,7
2019-05-07,10,6,阴,西北风,1级,8.0,4
2019-05-08,11,4,阴,西北风,2级,7.5,7
2019-05-09,19,8,阴,东南风,2级,13.5,11
2019-05-10,21,8,阴,西北风,3级,14.5,13
2019-05-11,25,9,多云,西南风,3级,17.0,16
2019-05-12,15,1,扬沙,东北风,4级,8.0,14
2019-05-13,23,9,多云,东南风,3级,16.0,14
2019-05-14,25,9,阴,西南风,3级,17.0,16
2019-05-15,27,11,多云,西北风,2级,19.0,16
2019-05-16,23,9,阴,西南风,3级,16.0,14
2019-05-17,27,14,晴,东南风,4级,20.5,13
2019-05-18,25,11,阴,西南风,6级,18.0,14
2019-05-19,17,4,浮尘,西北风,3级,10.5,13
2019-05-20,22,7,晴,东北风,1级,14.5,15
2019-05-21,27,7,晴,西南风,2级,17.0,20
2019-05-22,30,7,晴,西南风,2级,18.5,23
2019-05-23,30,15,多云,西南风,5级,22.5,15
2019-05-24,31,15,晴,西南风,2级,23.0,16
2019-05-25,33,15,多云,东南风,4级,24.0,18
2019-05-26,24,10,晴,西北风,4级,17.0,14
2019-05-27,22,11,阴,东北风,1级,16.5,11
2019-05-28,17,8,阴,西南风,3级,12.5,9
2019-05-29,24,12,多云,西南风,3级,18.0,12
2019-05-30,27,10,多云,西北风,3级,18.5,17
2019-05-31,27,11,多云,西南风,6级,19.0,16
2019-04-01,22,6,多云,东南风,2级,14.0,16
2019-04-02,20,5,阴,东南风,2级,12.5,15
2019-04-03,19,5,阴,南风,4级,12.0,14
2019-04-04,21,4,多云,西北风,2级,12.5,17
2019-04-05,25,5,晴,西北风,2级,15.0,20
2019-04-06,23,6,阴,西北风,4级,14.5,17
2019-04-07,26,9,阴,东北风,4级,17.5,17
2019-04-08,23,9,阴,东南风,3级,16.0,14
2019-04-09,16,4,多云,西北风,2级,10.0,12
2019-04-10,14,3,多云,东南风,1级,8.5,11
2019-04-11,16,1,晴,东北风,4级,8.5,15
2019-04-12,12,2,阴,西南风,3级,7.0,10
2019-04-13,19,-2,阴,东北风,6级,8.5,21
2019-04-14,18,2,阴,西南风,3级,10.0,16
2019-04-15,18,5,阴,西南风,4级,11.5,13
2019-04-16,25,9,晴,西南风,4级,17.0,16
2019-04-17,29,12,晴,南风,6级,20.5,17
2019-04-18,32,13,晴,东南风,3级,22.5,19
2019-04-19,26,11,多云,东南风,3级,18.5,15
2019-04-20,16,7,阴,东南风,2级,11.5,9
2019-04-21,23,11,雾,东南风,3级,17.0,12
2019-04-22,18,10,阴,东南风,2级,14.0,8
2019-04-23,26,10,晴,西南风,3级,18.0,16
2019-04-24,26,8,阴,西北风,3级,17.0,18
2019-04-25,28,8,晴,东南风,4级,18.0,20
2019-04-26,26,8,多云,东南风,3级,17.0,18
2019-04-27,9,6,阴,东北风,2级,7.5,3
2019-04-28,16,4,阴,东南风,2级,10.0,12
2019-04-29,23,6,雾,西北风,4级,14.5,17
2019-04-30,20,4,多云,东北风,3级,12.0,16
2019-03-01,9,0,阴,东南风,2级,4.5,9
2019-03-02,6,-5,阴,南风,2级,0.5,11
2019-03-03,11,-3,雾,西南风,2级,4.0,14
2019-03-04,13,-3,阴,东北风,1级,5.0,16
2019-03-05,12,-6,多云,西北风,3级,3.0,18
2019-03-06,11,-3,阴,东北风,3级,4.0,14
2019-03-07,13,-2,阴,西南风,3级,5.5,15
2019-03-08,7,-1,阴,西南风,2级,3.0,8
2019-03-09,15,-3,多云,东北风,2级,6.0,18
2019-03-10,12,-6,阴,西北风,3级,3.0,18
2019-03-11,11,-6,多云,西南风,2级,2.5,17
2019-03-12,11,-5,晴,东北风,3级,3.0,16
2019-03-13,11,-4,阴,西北风,2级,3.5,15
2019-03-14,14,-4,晴,西北风,4级,5.0,18
2019-03-15,16,-4,晴,北风,2级,6.0,20
2019-03-16,17,-1,多云,东北风,2级,8.0,18
2019-03-17,14,4,阴,东北风,2级,9.0,10
2019-03-18,19,4,晴,东南风,2级,11.5,15
2019-03-19,15,6,多云,西南风,1级,10.5,9
2019-03-20,13,-5,扬沙,西北风,4级,4.0,18
2019-03-21,8,-6,多云,东北风,3级,1.0,14
2019-03-22,10,-6,多云,东北风,3级,2.0,16
2019-03-23,12,-3,晴,东风,2级,4.5,15
2019-03-24,15,-4,多云,西北风,2级,5.5,19
2019-03-25,18,-3,晴,西北风,2级,7.5,21
2019-03-26,22,4,多云,东北风,3级,13.0,18
2019-03-27,20,5,浮尘,东北风,3级,12.5,15
2019-03-28,18,1,多云,东北风,2级,9.5,17
2019-03-29,16,-6,多云,西北风,4级,5.0,22
2019-03-30,11,-5,晴,东北风,3级,3.0,16
2019-03-31,15,-2,晴,东南风,2级,6.5,17
2019-02-01,7,-10,晴,东南风,3级,-1.5,17
2019-02-02,2,-6,阴,西北风,4级,-2.0,8
2019-02-03,5,-9,阴,西南风,1级,-2.0,14
2019-02-04,11,-5,阴,西南风,2级,3.0,16
2019-02-05,13,-6,阴,东北风,2级,3.5,19
2019-02-06,8,-11,阴,东北风,2级,-1.5,19
2019-02-07,-4,-6,多云,西北风,2级,-5.0,2
2019-02-08,0,-11,多云,西北风,3级,-5.5,11
2019-02-09,-4,-10,阴,东南风,2级,-7.0,6
2019-02-10,1,-11,阴,南风,4级,-5.0,12
2019-02-11,5,-7,晴,东风,1级,-1.0,12
2019-02-12,8,-7,晴,东南风,2级,0.5,15
2019-02-13,2,-6,阴,东南风,2级,-2.0,8
2019-02-14,1,-11,阴,东南风,1级,-5.0,12
2019-02-15,1,-13,多云,东北风,2级,-6.0,14
2019-02-16,1,-11,阴,东南风,2级,-5.0,12
2019-02-17,3,-5,阴,东南风,1级,-1.0,8
2019-02-18,0,-9,阴,西南风,3级,-4.5,9
2019-02-19,5,-8,多云,东北风,3级,-1.5,13
2019-02-20,7,-6,阴,东北风,2级,0.5,13
2019-02-21,6,-5,阴,西南风,2级,0.5,11
2019-02-22,10,-6,多云,东南风,1级,2.0,16
2019-02-23,11,-6,晴,西南风,3级,2.5,17
2019-02-24,10,-5,阴,东北风,2级,2.5,15
2019-02-25,8,0,多云,东北风,1级,4.0,8
2019-02-26,3,-4,雨夹雪,东南风,1级,-0.5,7
2019-02-27,5,-5,多云,西南风,2级,0.0,10
2019-02-28,7,-3,雾,西北风,1级,2.0,10
2019-01-01,0,-14,阴,东北风,3级,-7.0,14
2019-01-02,2,-12,晴,东南风,3级,-5.0,14
2019-01-03,1,-12,阴,东北风,2级,-5.5,13
2019-01-04,0,-11,阴,东北风,3级,-5.5,11
2019-01-05,2,-11,阴,西南风,3级,-4.5,13
2019-01-06,3,-10,多云,北风,2级,-3.5,13
2019-01-07,1,-12,多云,西北风,3级,-5.5,13
2019-01-08,-2,-11,多云,东北风,3级,-6.5,9
2019-01-09,-3,-11,阴,东北风,2级,-7.0,8
2019-01-10,0,-13,多云,西南风,1级,-6.5,13
2019-01-11,3,-13,晴,东北风,1级,-5.0,16
2019-01-12,4,-13,多云,西南风,1级,-4.5,17
2019-01-13,5,-11,多云,南风,微风,-3.0,16
2019-01-14,4,-12,阴,西北风,3级,-4.0,16
2019-01-15,-5,-16,阴,东北风,3级,-10.5,11
2019-01-16,-3,-15,晴,东北风,1级,-9.0,12
2019-01-17,4,-12,多云,东北风,2级,-4.0,16
2019-01-18,4,-11,阴,西北风,3级,-3.5,15
2019-01-19,2,-12,多云,西北风,1级,-5.0,14
2019-01-20,-3,-13,阴,西北风,2级,-8.0,10
2019-01-21,2,-15,晴,西南风,1级,-6.5,17
2019-01-22,8,-12,晴,东北风,1级,-2.0,20
2019-01-23,8,-10,多云,东南风,2级,-1.0,18
2019-01-24,0,-7,阴,西北风,1级,-3.5,7
2019-01-25,5,-9,多云,东南风,1级,-2.0,14
2019-01-26,4,-5,阴,东南风,2级,-0.5,9
2019-01-27,3,-10,阴,东北风,2级,-3.5,13
2019-01-28,4,-9,阴,东南风,2级,-2.5,13
2019-01-29,6,-6,阴,东北风,3级,0.0,12
2019-01-30,1,-9,阴,西北风,4级,-4.0,10
2019-01-31,-2,-12,小雪,西南风,1级,-7.0,10
2018-12-01,10,0,晴,东北风,微风,5.0,10
2018-12-02,6,-5,扬沙,西北风,4级,0.5,11
2018-12-03,3,-9,浮尘,东北风,3级,-3.0,12
2018-12-04,0,-8,多云,东南风,2级,-4.0,8
2018-12-05,2,-9,晴,西北风,3级,-3.5,11
2018-12-06,-2,-13,多云,东北风,3级,-7.5,11
2018-12-07,-4,-15,多云,东北风,3级,-9.5,11
2018-12-08,-8,-15,阴,东北风,2级,-11.5,7
2018-12-09,0,-10,晴,东南风,2级,-5.0,10
2018-12-10,0,-14,多云,东北风,3级,-7.0,14
2018-12-11,-5,-18,晴,东北风,2级,-11.5,13
2018-12-12,0,-18,晴,东北风,1级,-9.0,18
2018-12-13,0,-13,多云,东南风,1级,-6.5,13
2018-12-14,3,-10,阴,东南风,1级,-3.5,13
2018-12-15,4,-10,多云,西北风,2级,-3.0,14
2018-12-16,8,-11,晴,西北风,2级,-1.5,19
2018-12-17,8,-11,晴,西南风,2级,-1.5,19
2018-12-18,10,-8,多云,西北风,2级,1.0,18
2018-12-19,8,-6,多云,东南风,1级,1.0,14
2018-12-20,4,-8,阴,西北风,2级,-2.0,12
2018-12-21,0,-6,阴,东北风,2级,-3.0,6
2018-12-22,1,-14,阴,西北风,4级,-6.5,15
2018-12-23,-3,-12,晴,东南风,2级,-7.5,9
2018-12-24,1,-9,多云,西南风,1级,-4.0,10
2018-12-25,1,-11,多云,东北风,2级,-5.0,12
2018-12-26,2,-11,阴,东南风,2级,-4.5,13
2018-12-27,-5,-19,阴,西北风,3级,-12.0,14
2018-12-28,-8,-17,多云,东北风,3级,-12.5,9
2018-12-29,-6,-17,阴,东北风,1级,-11.5,11
2018-12-30,-4,-15,多云,东南风,2级,-9.5,11
2018-12-31,0,-14,阴,东北风,2级,-7.0,14
2018-11-01,17,0,多云,东风,2级,8.5,17
2018-11-02,18,0,晴,东南风,2级,9.0,18
2018-11-03,16,1,多云,西北风,3级,8.5,15
2018-11-04,6,-2,阴,东北风,1级,2.0,8
2018-11-05,7,-2,阴,东风,1级,2.5,9
2018-11-06,9,-3,阴,东北风,2级,3.0,12
2018-11-07,8,-2,阴,西风,微风,3.0,10
2018-11-08,14,-4,晴,西南风,2级,5.0,18
2018-11-09,12,-1,多云,东北风,2级,5.5,13
2018-11-10,7,-3,多云,西南风,微风,2.0,10
2018-11-11,10,-3,多云,东南风,1级,3.5,13
2018-11-12,13,-1,多云,东南风,2级,6.0,14
2018-11-13,13,-1,多云,西南风,2级,6.0,14
2018-11-14,8,1,阴,西北风,3级,4.5,7
2018-11-15,4,-2,阴,东北风,3级,1.0,6
2018-11-16,0,-4,雨夹雪,东北风,2级,-2.0,4
2018-11-17,4,-4,阴,西北风,2级,0.0,8
2018-11-18,6,-6,晴,西南风,2级,0.0,12
2018-11-19,10,-3,晴,西南风,2级,3.5,13
2018-11-20,7,-5,多云,西北风,3级,1.0,12
2018-11-21,3,-7,晴,西南风,1级,-2.0,10
2018-11-22,11,-6,晴,西南风,2级,2.5,17
2018-11-23,10,-6,晴,东北风,2级,2.0,16
2018-11-24,11,-5,多云,西北风,2级,3.0,16
2018-11-25,15,-3,晴,西南风,2级,6.0,18
2018-11-26,11,-5,多云,东北风,2级,3.0,16
2018-11-27,10,-4,多云,东南风,2级,3.0,14
2018-11-28,11,-4,多云,东北风,1级,3.5,15
2018-11-29,12,-3,多云,东南风,1级,4.5,15
2018-11-30,11,-3,阴,西北风,3级,4.0,14
2018-10-01,16,2,晴,西风,微风,9.0,14
2018-10-02,19,4,晴,南风,2级,11.5,15
2018-10-03,21,2,晴,南风,1级,11.5,19
2018-10-04,22,5,晴,东南风,2级,13.5,17
2018-10-05,23,7,多云,北风,4级,15.0,16
2018-10-06,15,2,阴,东南风,1级,8.5,13
2018-10-07,17,4,多云,东南风,1级,10.5,13
2018-10-08,16,1,阴,西南风,2级,8.5,15
2018-10-09,14,0,晴,西南风,1级,7.0,14
2018-10-10,17,0,晴,北风,2级,8.5,17
2018-10-11,18,0,晴,东北风,2级,9.0,18
2018-10-12,20,4,多云,东北风,1级,12.0,16
2018-10-14,17,3,阴,南风,2级,10.0,14
2018-10-15,19,5,多云,东风,2级,12.0,14
2018-10-16,19,4,晴,东北风,2级,11.5,15
2018-10-17,18,4,多云,东风,2级,11.0,14
2018-10-18,15,4,小雨,北风,2级,9.5,11
2018-10-19,12,6,阴,南风,2级,9.0,6
2018-10-20,11,3,阵雨,东北风,1级,7.0,8
2018-10-21,15,3,多云,南风,2级,9.0,12
2018-10-22,15,0,多云,东北风,1级,7.5,15
2018-10-23,16,-2,晴,南风,2级,7.0,18
2018-10-24,19,6,多云,东风,1级,12.5,13
2018-10-25,13,-3,多云,西风,2级,5.0,16
2018-10-26,10,-3,晴,南风,1级,3.5,13
2018-10-27,15,-1,晴,西北风,1级,7.0,16
2018-10-28,16,0,晴,西风,2级,8.0,16
2018-10-29,17,0,晴,西风,2级,8.5,17
2018-10-30,17,0,晴,西风,2级,8.5,17
2018-10-31,15,0,多云,北风,3级,7.5,15
2018-09-01,28,17,阴,南风,4级,22.5,11
2018-09-02,24,14,小雨,西风,1级,19.0,10
2018-09-03,25,14,多云,南风,1级,19.5,11
2018-09-04,24,12,多云,东北风,3级,18.0,12
2018-09-05,25,15,多云,西南风,2级,20.0,10
2018-09-06,21,10,多云,西北风,2级,15.5,11
2018-09-10,21,13,阴,东南风,1级,17.0,8
2018-09-11,24,14,多云,南风,1级,19.0,10
2018-09-12,24,12,阴,东风,1级,18.0,12
2018-09-13,22,12,小雨,东南风,1级,17.0,10
2018-09-14,23,13,多云,南风,1级,18.0,10
2018-09-16,18,8,多云,东南风,2级,13.0,10
2018-09-17,16,11,小雨,东风,1级,13.5,5
2018-09-18,15,11,小雨,北风,2级,13.0,4
2018-09-19,16,10,小雨,南风,1级,13.0,6
2018-09-20,20,6,多云,南风,1级,13.0,14
2018-09-21,20,2,晴,东北风,1级,11.0,18
2018-09-22,20,4,晴,东北风,1级,12.0,16
2018-09-23,19,7,晴,东北风,1级,13.0,12
2018-09-24,18,8,小雨,东北风,3级,13.0,10
2018-09-25,13,8,小雨,东北风,2级,10.5,5
2018-09-26,14,9,阴,东风,1级,11.5,5
2018-09-27,13,3,小雨,西南风,1级,8.0,10
2018-09-28,19,2,晴,西南风,1级,10.5,17
2018-09-29,21,2,晴,东南风,2级,11.5,19
2018-09-30,16,3,多云,北风,2级,9.5,13
2018-08-01,29,18,阵雨,东南风,2级,23.5,11
2018-08-02,30,19,晴,东南风,2级,24.5,11
2018-08-03,31,17,多云,西风,1级,24.0,14
2018-08-04,32,17,晴,东南风,1级,24.5,15
2018-08-05,31,18,多云,西南风,2级,24.5,13
2018-08-06,30,20,多云,南风,2级,25.0,10
2018-08-07,30,19,小雨,南风,2级,24.5,11
2018-08-08,30,19,小雨,东南风,1级,24.5,11
2018-08-09,31,19,阵雨,西南风,1级,25.0,12
2018-08-10,31,20,小雨,南风,1级,25.5,11
2018-08-11,30,19,雷阵雨,南风,2级,24.5,11
2018-08-12,30,19,雷阵雨,南风,2级,24.5,11
2018-08-13,28,19,中雨,东南风,2级,23.5,9
2018-08-14,28,19,小雨,南风,2级,23.5,9
2018-08-15,29,18,小雨,南风,1级,23.5,11
2018-08-16,29,17,雷阵雨,东北风,2级,23.0,12
2018-08-17,28,16,多云,北风,2级,22.0,12
2018-08-18,28,16,多云,北风,2级,22.0,12
2018-08-19,28,16,晴,南风,1级,22.0,12
2018-08-20,29,18,多云,东南风,2级,23.5,11
2018-08-21,24,17,中雨,西风,2级,20.5,7
2018-08-22,20,14,小雨,南风,2级,17.0,6
2018-08-23,27,16,晴,东北风,1级,21.5,11
2018-08-24,28,15,阵雨,东南风,1级,21.5,13
2018-08-25,27,17,阴,东风,2级,22.0,10
2018-08-26,29,19,多云,南风,1级,24.0,10
2018-08-27,29,17,多云,南风,2级,23.0,12
2018-08-28,29,16,多云,南风,2级,22.5,13
2018-08-29,30,19,多云,东南风,2级,24.5,11
