日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,16,阴,东南风,1级,19.5,7
2019-09-02,27,16,多云,东南风,1级,21.5,11
2019-09-03,25,18,多云,西南风,1级,21.5,7
2019-09-04,21,18,阴,西北风,1级,19.5,3
2019-09-05,28,18,阴,东南风,2级,23.0,10
2019-09-06,30,20,多云,西南风,微风,25.0,10
2019-09-07,31,20,多云,东南风,1级,25.5,11
2019-09-08,29,19,多云,南风,微风,24.0,10
2019-09-09,24,19,阴,西南风,2级,21.5,5
2019-09-10,21,18,阴,东南风,3级,19.5,3
2019-09-11,21,19,阴,东南风,2级,20.0,2
2019-09-12,19,16,阴,东南风,1级,17.5,3
2019-09-13,15,12,阴,东北风,1级,13.5,3
2019-09-14,14,13,阴,东南风,1级,13.5,1
2019-09-15,20,14,阴,北风,微风,17.0,6
2019-09-16,20,15,阴,南风,微风,17.5,5
2019-09-17,17,16,阴,南风,微风,16.5,1
2019-09-18,18,14,小雨,东南风,1级,16.0,4
2019-09-19,18,14,阴,东南风,1级,16.0,4
2019-09-20,27,12,阴,南风,微风,19.5,15
2019-09-21,26,12,晴,南风,微风,19.0,14
2019-09-22,26,12,多云,西南风,1级,19.0,14
2019-09-23,26,13,多云,西北风,1级,19.5,13
2019-09-24,27,12,阴,西北风,微风,19.5,15
2019-09-25,26,12,多云,东南风,1级,19.0,14
2019-09-26,27,13,晴,西南风,微风,20.0,14
2019-09-27,26,14,多云,西北风,微风,20.0,12
2019-09-28,28,14,晴,西南风,1级,21.0,14
2019-09-29,28,15,晴,东南风,1级,21.5,13
2019-09-30,28,17,晴,东南风,微风,22.5,11
2019-08-01,33,23,多云,东南风,2级,28.0,10
2019-08-02,25,20,阴,西南风,1级,22.5,5
2019-08-03,29,21,小雨,东南风,3级,25.0,8
2019-08-04,32,23,阴,西北风,1级,27.5,9
2019-08-05,30,23,阴,东南风,1级,26.5,7
2019-08-06,28,21,小雨,东南风,2级,24.5,7
2019-08-07,31,22,晴,东南风,1级,26.5,9
2019-08-08,30,22,阴,西南风,2级,26.0,8
2019-08-09,31,21,阴,东南风,1级,26.0,10
2019-08-10,37,21,晴,西北风,微风,29.0,16
2019-08-11,35,21,晴,东南风,1级,28.0,14
2019-08-12,36,21,晴,东南风,2级,28.5,15
2019-08-13,36,21,晴,东南风,1级,28.5,15
2019-08-14,35,21,晴,东南风,微风,28.0,14
2019-08-15,38,22,晴,东南风,1级,30.0,16
2019-08-16,37,21,晴,西南风,2级,29.0,16
2019-08-17,31,21,多云,东南风,1级,26.0,10
2019-08-18,31,23,多云,西南风,1级,27.0,8
2019-08-19,29,23,阴,西南风,微风,26.0,6
2019-08-20,24,20,阴,西南风,1级,22.0,4
2019-08-21,25,22,阴,西北风,1级,23.5,3
2019-08-22,22,21,小雨,西北风,1级,21.5,1
2019-08-23,23,21,小雨,南风,微风,22.0,2
2019-08-24,30,23,多云,东南风,1级,26.5,7
2019-08-25,25,21,阴,东南风,1级,23.0,4
2019-08-26,22,19,中雨,西北风,2级,20.5,3
2019-08-27,28,20,阴,东南风,1级,24.0,8
2019-08-28,28,19,多云,西南风,微风,23.5,9
2019-08-29,32,18,多云,西南风,1级,25.0,14
2019-08-30,28,19,多云,西南风,1级,23.5,9
2019-08-31,23,19,阴,南风,微风,21.0,4
2019-07-01,33,21,阴,东南风,1级,27.0,12
2019-07-02,29,22,多云,西南风,1级,25.5,7
2019-07-03,32,21,阴,西北风,1级,26.5,11
2019-07-04,33,19,多云,东南风,1级,26.0,14
2019-07-05,37,21,晴,西北风,1级,29.0,16
2019-07-06,31,19,阴,西南风,3级,25.0,12
2019-07-07,31,21,多云,东南风,2级,26.0,10
2019-07-08,20,18,中雨,西北风,1级,19.0,2
2019-07-09,27,17,小雨,西南风,2级,22.0,10
2019-07-10,31,19,多云,东南风,1级,25.0,12
2019-07-11,27,19,阴,西南风,1级,23.0,8
2019-07-12,31,18,多云,东南风,1级,24.5,13
2019-07-13,34,21,晴,东南风,1级,27.5,13
2019-07-14,34,22,阴,东南风,1级,28.0,12
2019-07-15,30,20,阴,西北风,2级,25.0,10
2019-07-16,25,21,小雨,东南风,3级,23.0,4
2019-07-17,24,22,小雨,东南风,3级,23.0,2
2019-07-18,22,20,小雨,南风,微风,21.0,2
2019-07-19,24,23,小雨,西北风,1级,23.5,1
2019-07-20,34,22,多云,东南风,2级,28.0,12
2019-07-21,27,22,小雨,北风,微风,24.5,5
2019-07-22,28,19,小雨,东南风,2级,23.5,9
2019-07-23,34,21,多云,西南风,1级,27.5,13
2019-07-24,34,21,多云,西北风,2级,27.5,13
2019-07-25,35,22,晴,东北风,1级,28.5,13
2019-07-26,35,23,多云,东南风,1级,29.0,12
2019-07-27,37,26,多云,东南风,2级,31.5,11
2019-07-28,36,25,多云,西南风,1级,30.5,11
2019-07-29,26,20,中雨,东南风,1级,23.0,6
2019-07-30,34,21,晴,东南风,1级,27.5,13
2019-07-31,35,22,晴,东南风,1级,28.5,13
2019-06-01,34,18,阴,西南风,2级,26.0,16
2019-06-02,35,18,多云,西北风,2级,26.5,17
2019-06-03,35,19,多云,南风,微风,27.0,16
2019-06-04,28,18,阴,西北风,2级,23.0,10
2019-06-05,24,16,阴,东南风,1级,20.0,8
2019-06-06,28,16,阴,东南风,1级,22.0,12
2019-06-07,30,20,多云,西南风,1级,25.0,10
2019-06-08,30,19,阴,西北风,微风,24.5,11
2019-06-09,29,21,阴,西南风,1级,25.0,8
2019-06-10,31,20,多云,西北风,1级,25.5,11
2019-06-11,25,18,阴,西南风,1级,21.5,7
2019-06-12,30,19,多云,东南风,4级,24.5,11
2019-06-13,31,20,阴,东南风,3级,25.5,11
2019-06-14,29,20,阴,西北风,4级,24.5,9
2019-06-15,22,18,小雨,东南风,1级,20.0,4
2019-06-16,27,21,阴,西南风,1级,24.0,6
2019-06-17,28,19,阴,西南风,2级,23.5,9
2019-06-18,28,21,阴,西南风,2级,24.5,7
2019-06-19,27,21,阴,东南风,3级,24.0,6
2019-06-20,22,19,小雨,东南风,2级,20.5,3
2019-06-21,21,19,小雨,东北风,2级,20.0,2
2019-06-22,20,19,小雨,南风,微风,19.5,1
2019-06-23,27,20,阴,西南风,1级,23.5,7
2019-06-24,24,18,阴,东南风,2级,21.0,6
2019-06-25,30,21,多云,东南风,1级,25.5,9
2019-06-26,29,20,多云,西南风,微风,24.5,9
2019-06-27,23,19,中雨,东北风,1级,21.0,4
2019-06-28,26,17,小雨,东南风,1级,21.5,9
2019-06-29,28,19,阴,西北风,1级,23.5,9
2019-06-30,31,18,多云,西南风,微风,24.5,13
2019-05-01,17,11,多云,西北风,1级,14.0,6
2019-05-02,21,13,多云,西南风,1级,17.0,8
2019-05-03,18,13,阴,东南风,1级,15.5,5
2019-05-04,25,16,多云,东南风,1级,20.5,9
2019-05-05,21,12,阴,西北风,1级,16.5,9
2019-05-06,14,9,阴,东北风,1级,11.5,5
2019-05-07,12,9,阴,东南风,1级,10.5,3
2019-05-08,23,10,雾,东南风,2级,16.5,13
2019-05-09,23,12,多云,东北风,微风,17.5,11
2019-05-10,26,15,多云,西南风,微风,20.5,11
2019-05-11,28,14,多云,东北风,微风,21.0,14
2019-05-12,19,13,扬沙,西北风,2级,16.0,6
2019-05-13,24,13,浮尘,西南风,1级,18.5,11
2019-05-14,18,13,阴,西南风,1级,15.5,5
2019-05-15,28,15,阴,西北风,2级,21.5,13
2019-05-16,20,13,阴,东南风,2级,16.5,7
2019-05-17,26,16,多云,东南风,微风,21.0,10
2019-05-18,25,16,阴,西南风,微风,20.5,9
2019-05-19,22,12,浮尘,西南风,2级,17.0,10
2019-05-20,22,12,阴,东南风,1级,17.0,10
2019-05-21,30,14,晴,东南风,1级,22.0,16
2019-05-22,32,17,晴,东南风,微风,24.5,15
2019-05-23,31,17,多云,东南风,1级,24.0,14
2019-05-24,35,19,多云,西北风,1级,27.0,16
2019-05-25,34,21,多云,东南风,1级,27.5,13
2019-05-26,30,16,多云,西南风,2级,23.0,14
2019-05-27,19,12,阴,西北风,2级,15.5,7
2019-05-28,15,11,阴,西南风,2级,13.0,4
2019-05-29,17,14,阴,西北风,1级,15.5,3
2019-05-30,29,16,阴,西北风,1级,22.5,13
2019-05-31,28,16,阴,西北风,3级,22.0,12
2019-04-01,21,10,阴,东北风,1级,15.5,11
2019-04-02,16,10,阴,东南风,1级,13.0,6
2019-04-03,20,9,阴,西南风,1级,14.5,11
2019-04-04,25,12,多云,西北风,1级,18.5,13
2019-04-05,30,13,晴,西北风,2级,21.5,17
2019-04-06,32,14,晴,南风,微风,23.0,18
2019-04-07,28,12,多云,东南风,2级,20.0,16
2019-04-08,25,12,阴,东南风,3级,18.5,13
2019-04-09,20,11,阴,东南风,1级,15.5,9
2019-04-10,12,9,阴,西南风,1级,10.5,3
2019-04-11,22,11,多云,东南风,1级,16.5,11
2019-04-12,15,9,阴,西南风,2级,12.0,6
2019-04-13,17,10,阴,西南风,1级,13.5,7
2019-04-14,19,10,多云,东南风,1级,14.5,9
2019-04-15,20,10,阴,西北风,1级,15.0,10
2019-04-16,27,14,晴,南风,1级,20.5,13
2019-04-17,27,14,晴,西北风,1级,20.5,13
2019-04-18,31,16,晴,西南风,1级,23.5,15
2019-04-19,25,14,多云,西南风,2级,19.5,11
2019-04-20,18,12,阴,东南风,1级,15.0,6
2019-04-21,23,13,多云,东南风,4级,18.0,10
2019-04-22,21,14,阴,东北风,2级,17.5,7
2019-04-23,22,14,多云,西北风,1级,18.0,8
2019-04-24,30,14,多云,东南风,1级,22.0,16
2019-04-25,28,14,晴,西北风,1级,21.0,14
2019-04-26,15,11,多云,东北风,3级,13.0,4
2019-04-27,16,10,阴,东南风,2级,13.0,6
2019-04-28,12,10,阴,东南风,微风,11.0,2
2019-04-29,23,12,多云,西北风,2级,17.5,11
2019-04-30,23,12,阴,东南风,1级,17.5,11
2019-03-01,6,5,阴,东南风,1级,5.5,1
2019-03-02,8,2,阴,南风,微风,5.0,6
2019-03-03,12,3,雾,东南风,微风,7.5,9
2019-03-04,11,3,阴,西北风,1级,7.0,8
2019-03-05,18,3,阴,东南风,微风,10.5,15
2019-03-06,14,6,阴,东南风,1级,10.0,8
2019-03-07,10,5,阴,西北风,1级,7.5,5
2019-03-08,11,3,阴,东南风,1级,7.0,8
2019-03-09,20,5,阴,东南风,微风,12.5,15
2019-03-10,14,3,阴,东南风,1级,8.5,11
2019-03-11,17,3,多云,南风,微风,10.0,14
2019-03-12,18,5,晴,东南风,4级,11.5,13
2019-03-13,13,4,阴,西南风,2级,8.5,9
2019-03-14,20,4,多云,东南风,1级,12.0,16
2019-03-15,17,6,阴,东南风,3级,11.5,11
2019-03-16,22,7,阴,东南风,微风,14.5,15
2019-03-17,17,7,阴,西北风,2级,12.0,10
2019-03-18,24,10,晴,南风,微风,17.0,14
2019-03-19,17,10,阴,东南风,微风,13.5,7
2019-03-20,21,8,晴,西北风,4级,14.5,13
2019-03-21,13,3,阴,东南风,2级,8.0,10
2019-03-22,16,4,阴,东南风,1级,10.0,12
2019-03-23,16,4,阴,东南风,微风,10.0,12
2019-03-24,20,5,阴,东南风,1级,12.5,15
2019-03-25,22,9,晴,东南风,1级,15.5,13
2019-03-26,23,9,阴,东南风,1级,16.0,14
2019-03-27,22,9,阴,东南风,微风,15.5,13
2019-03-28,24,9,晴,东南风,1级,16.5,15
2019-03-29,22,6,阴,东南风,1级,14.0,16
2019-03-30,18,7,多云,东南风,1级,12.5,11
2019-03-31,18,6,多云,西南风,1级,12.0,12
2019-02-01,5,-3,多云,东南风,1级,1.0,8
2019-02-02,11,-1,阴,东南风,1级,5.0,12
2019-02-03,11,0,晴,东南风,1级,5.5,11
2019-02-04,13,0,多云,东南风,1级,6.5,13
2019-02-05,13,2,多云,东南风,1级,7.5,11
2019-02-06,16,2,阴,南风,微风,9.0,14
2019-02-07,6,2,阴,东南风,2级,4.0,4
2019-02-08,5,-1,阴,东南风,微风,2.0,6
2019-02-09,1,-3,阴,东南风,3级,-1.0,4
2019-02-10,0,-5,阴,西南风,1级,-2.5,5
2019-02-11,0,-1,多云,东南风,1级,-0.5,1
2019-02-12,8,0,多云,东南风,微风,4.0,8
2019-02-13,0,-1,阴,东南风,2级,-0.5,1
2019-02-14,7,-1,阴,东南风,2级,3.0,8
2019-02-15,5,-2,阴,东南风,2级,1.5,7
2019-02-16,2,0,阴,西北风,2级,1.0,2
2019-02-17,2,0,阴,东南风,2级,1.0,2
2019-02-18,6,0,阴,东南风,3级,3.0,6
2019-02-19,5,0,多云,东北风,微风,2.5,5
2019-02-20,6,0,多云,东南风,微风,3.0,6
2019-02-21,4,0,雨夹雪,东南风,1级,2.0,4
2019-02-22,8,3,多云,西北风,1级,5.5,5
2019-02-23,9,2,阴,东南风,2级,5.5,7
2019-02-24,10,3,阴,东南风,1级,6.5,7
2019-02-25,10,5,阴,西北风,2级,7.5,5
2019-02-26,5,4,阴,东南风,2级,4.5,1
2019-02-27,6,3,阴,西南风,1级,4.5,3
2019-02-28,8,4,阴,东南风,1级,6.0,4
2019-01-01,0,-6,多云,东南风,1级,-3.0,6
2019-01-02,0,-4,多云,东南风,微风,-2.0,4
2019-01-03,1,-3,多云,东南风,1级,-1.0,4
2019-01-04,5,-2,阴,西南风,微风,1.5,7
2019-01-05,2,-3,多云,东南风,1级,-0.5,5
2019-01-06,0,-2,多云,西北风,1级,-1.0,2
2019-01-07,7,-2,阴,西北风,1级,2.5,9
2019-01-08,3,-1,阴,东南风,1级,1.0,4
2019-01-09,1,-2,多云,西北风,2级,-0.5,3
2019-01-10,3,-1,阴,东南风,微风,1.0,4
2019-01-11,6,-3,多云,东南风,微风,1.5,9
2019-01-12,11,0,阴,南风,微风,5.5,11
2019-01-13,7,-1,多云,东南风,1级,3.0,8
2019-01-14,10,0,阴,西北风,1级,5.0,10
2019-01-15,3,-6,阴,东南风,微风,-1.5,9
2019-01-16,0,-5,多云,西北风,1级,-2.5,5
2019-01-17,5,-2,晴,东南风,1级,1.5,7
2019-01-18,9,-2,阴,东南风,2级,3.5,11
2019-01-19,9,-2,多云,东南风,1级,3.5,11
2019-01-20,5,-4,阴,西南风,1级,0.5,9
2019-01-21,9,-4,晴,西北风,1级,2.5,13
2019-01-22,11,-4,晴,西北风,2级,3.5,15
2019-01-23,10,-2,晴,南风,微风,4.0,12
2019-01-24,7,1,阴,西北风,1级,4.0,6
2019-01-25,11,0,多云,东南风,1级,5.5,11
2019-01-26,6,1,阴,东南风,1级,3.5,5
2019-01-27,6,2,阴,东北风,1级,4.0,4
2019-01-28,8,1,阴,东南风,1级,4.5,7
2019-01-29,11,0,阴,东南风,1级,5.5,11
2019-01-30,8,0,阴,西南风,1级,4.0,8
2019-01-31,5,-4,阴,西北风,2级,0.5,9
2018-12-01,14,3,多云,西南风,1级,8.5,11
2018-12-02,11,2,浮尘,西北风,2级,6.5,9
2018-12-03,7,0,霾,西北风,2级,3.5,7
2018-12-04,5,-1,多云,东北风,1级,2.0,6
2018-12-05,5,-2,阴,西北风,1级,1.5,7
2018-12-06,5,-3,阴,东北风,2级,1.0,8
2018-12-07,0,-4,小雪,东北风,2级,-2.0,4
2018-12-08,-2,-6,小雪,东北风,1级,-4.0,4
2018-12-09,1,-5,多云,东北风,1级,-2.0,6
2018-12-10,3,-3,多云,西北风,1级,0.0,6
2018-12-11,2,-4,多云,东北风,1级,-1.0,6
