日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,15,阴,东北风,2级,19.0,8
2019-09-02,24,15,晴,西南风,2级,19.5,9
2019-09-03,26,17,晴,东南风,3级,21.5,9
2019-09-04,29,19,晴,西南风,3级,24.0,10
2019-09-05,30,19,晴,东南风,2级,24.5,11
2019-09-06,25,21,多云,北风,微风,23.0,4
2019-09-07,27,19,多云,东北风,1级,23.0,8
2019-09-08,25,11,多云,西北风,3级,18.0,14
2019-09-09,21,11,多云,西北风,3级,16.0,10
2019-09-10,21,9,晴,西南风,2级,15.0,12
2019-09-11,23,11,晴,东南风,1级,17.0,12
2019-09-12,25,16,阴,东南风,3级,20.5,9
2019-09-13,20,9,阴,西北风,1级,14.5,11
2019-09-14,23,16,晴,西南风,3级,19.5,7
2019-09-15,22,8,多云,东北风,4级,15.0,14
2019-09-16,18,9,晴,西南风,4级,13.5,9
2019-09-17,13,5,阴,西北风,4级,9.0,8
2019-09-18,15,5,晴,西北风,1级,10.0,10
2019-09-19,17,6,阴,西南风,1级,11.5,11
2019-09-20,17,6,阴,西南风,2级,11.5,11
2019-09-21,18,11,晴,西南风,4级,14.5,7
2019-09-22,24,11,晴,西南风,2级,17.5,13
2019-09-23,27,8,晴,东北风,2级,17.5,19
2019-09-24,20,10,晴,东南风,2级,15.0,10
2019-09-25,22,8,晴,北风,微风,15.0,14
2019-09-26,25,17,晴,东北风,1级,21.0,8
2019-09-27,30,15,晴,西南风,4级,22.5,15
2019-09-28,25,9,多云,西北风,3级,17.0,16
2019-09-29,16,10,多云,东南风,2级,13.0,6
2019-09-30,21,11,阴,东南风,2级,16.0,10
2019-08-01,27,19,多云,西北风,微风,23.0,8
2019-08-02,28,21,多云,西南风,2级,24.5,7
2019-08-03,29,21,阴,西南风,2级,25.0,8
2019-08-04,30,23,晴,西南风,2级,26.5,7
2019-08-05,28,19,阴,东北风,3级,23.5,9
2019-08-06,22,19,小雨,东北风,3级,20.5,3
2019-08-07,22,18,中雨,西北风,3级,20.0,4
2019-08-08,19,14,中雨,西北风,3级,16.5,5
2019-08-09,19,15,阴,东北风,2级,17.0,4
2019-08-10,19,17,小雨,东北风,1级,18.0,2
2019-08-11,21,17,阴,东北风,2级,19.0,4
2019-08-12,25,17,多云,东南风,1级,21.0,8
2019-08-13,27,18,多云,东南风,1级,22.5,9
2019-08-14,26,17,阴,西南风,1级,21.5,9
2019-08-15,28,19,阴,东北风,2级,23.5,9
2019-08-16,22,15,阴,东北风,3级,18.5,7
2019-08-17,20,12,小雨,东北风,3级,16.0,8
2019-08-18,22,13,多云,东北风,2级,17.5,9
2019-08-19,24,17,多云,东南风,1级,20.5,7
2019-08-20,21,18,小雨,东南风,3级,19.5,3
2019-08-21,21,16,大雨,西南风,2级,18.5,5
2019-08-22,23,15,阴,东北风,2级,19.0,8
2019-08-23,23,16,多云,北风,微风,19.5,7
2019-08-24,24,16,多云,东北风,1级,20.0,8
2019-08-25,26,18,多云,东南风,2级,22.0,8
2019-08-26,22,16,中雨,西北风,1级,19.0,6
2019-08-27,23,16,多云,西北风,2级,19.5,7
2019-08-28,21,14,小雨,北风,2级,17.5,7
2019-08-29,20,14,小雨,东北风,2级,17.0,6
2019-08-30,25,15,晴,东北风,1级,20.0,10
2019-08-31,25,16,多云,东南风,2级,20.5,9
2019-07-01,28,18,阴,西南风,2级,23.0,10
2019-07-02,25,16,小雨,西南风,2级,20.5,9
2019-07-03,26,20,多云,西南风,2级,23.0,6
2019-07-04,27,21,阴,西南风,3级,24.0,6
2019-07-05,17,17,暴雨,东北风,4级,17.0,0
2019-07-06,22,18,小雨,东北风,1级,20.0,4
2019-07-07,29,20,多云,西南风,1级,24.5,9
2019-07-08,29,20,多云,西南风,2级,24.5,9
2019-07-09,31,22,阴,西北风,微风,26.5,9
2019-07-10,30,20,小雨,东北风,2级,25.0,10
2019-07-11,29,19,多云,南风,微风,24.0,10
2019-07-12,29,20,阴,西北风,4级,24.5,9
2019-07-13,28,19,阴,东北风,1级,23.5,9
2019-07-14,28,19,小雨,东北风,2级,23.5,9
2019-07-15,28,21,多云,东南风,2级,24.5,7
2019-07-16,27,20,多云,东南风,1级,23.5,7
2019-07-17,28,20,多云,西南风,2级,24.0,8
2019-07-18,30,22,多云,东北风,2级,26.0,8
2019-07-19,31,23,多云,西南风,5级,27.0,8
2019-07-20,29,22,阴,东南风,3级,25.5,7
2019-07-21,28,20,多云,东南风,1级,24.0,8
2019-07-22,29,19,多云,东南风,1级,24.0,10
2019-07-23,24,19,小雨,西南风,4级,21.5,5
2019-07-24,21,14,阴,西北风,3级,17.5,7
2019-07-25,23,17,多云,东南风,1级,20.0,6
2019-07-26,24,20,阴,东南风,1级,22.0,4
2019-07-27,28,21,多云,东北风,3级,24.5,7
2019-07-28,31,21,多云,东南风,3级,26.0,10
2019-07-29,29,22,多云,东南风,3级,25.5,7
2019-07-30,28,20,小雨,东南风,4级,24.0,8
2019-07-31,26,18,阴,西南风,2级,22.0,8
2019-06-01,21,11,多云,东北风,6级,16.0,10
2019-06-02,22,11,多云,南风,微风,16.5,11
2019-06-03,25,14,多云,西南风,1级,19.5,11
2019-06-04,26,13,多云,东南风,1级,19.5,13
2019-06-05,22,13,阴,西南风,5级,17.5,9
2019-06-06,24,15,多云,东南风,2级,19.5,9
2019-06-07,23,16,阴,西北风,3级,19.5,7
2019-06-08,21,15,阴,东北风,2级,18.0,6
2019-06-09,24,16,阴,东北风,3级,20.0,8
2019-06-10,25,17,多云,西南风,1级,21.0,8
2019-06-11,27,17,阴,东南风,3级,22.0,10
2019-06-12,29,18,多云,东南风,3级,23.5,11
2019-06-13,26,13,多云,西北风,2级,19.5,13
2019-06-14,18,11,小雨,东北风,3级,14.5,7
2019-06-15,22,11,多云,西北风,1级,16.5,11
2019-06-16,23,14,晴,西南风,2级,18.5,9
2019-06-17,26,13,多云,东北风,3级,19.5,13
2019-06-18,26,19,晴,西南风,3级,22.5,7
2019-06-19,28,15,阴,东北风,4级,21.5,13
2019-06-20,26,15,多云,东北风,2级,20.5,11
2019-06-21,26,18,晴,西南风,2级,22.0,8
2019-06-22,28,19,多云,西南风,1级,23.5,9
2019-06-23,29,23,多云,西南风,4级,26.0,6
2019-06-24,34,24,阴,东南风,3级,29.0,10
2019-06-25,27,22,阴,东北风,3级,24.5,5
2019-06-26,27,19,中雨,东北风,3级,23.0,8
2019-06-27,22,12,小雨,东北风,2级,17.0,10
2019-06-28,14,14,小雨,西北风,2级,14.0,0
2019-06-29,17,13,小雨,东北风,4级,15.0,4
2019-06-30,23,15,阴,西南风,1级,19.0,8
2019-05-01,18,5,多云,西南风,3级,11.5,13
2019-05-02,21,10,晴,西南风,2级,15.5,11
2019-05-03,26,7,晴,西南风,2级,16.5,19
2019-05-04,17,2,阴,东北风,3级,9.5,15
2019-05-05,13,3,阴,西南风,1级,8.0,10
2019-05-06,19,4,多云,东南风,1级,11.5,15
2019-05-07,25,9,多云,西南风,3级,17.0,16
2019-05-08,21,4,多云,西北风,3级,12.5,17
2019-05-09,22,12,晴,东南风,3级,17.0,10
2019-05-10,27,16,多云,东南风,1级,21.5,11
2019-05-11,27,15,多云,东南风,1级,21.0,12
2019-05-12,26,14,多云,东南风,4级,20.0,12
2019-05-13,16,8,阴,西南风,3级,12.0,8
2019-05-14,17,11,阴,西南风,2级,14.0,6
2019-05-15,23,11,阴,东南风,1级,17.0,12
2019-05-16,21,10,多云,西南风,1级,15.5,11
2019-05-17,25,9,多云,西北风,1级,17.0,16
2019-05-18,20,9,阴,西南风,4级,14.5,11
2019-05-19,15,7,阴,东北风,4级,11.0,8
2019-05-20,9,7,阴,西北风,4级,8.0,2
2019-05-21,12,6,阴,西北风,3级,9.0,6
2019-05-22,18,9,多云,东南风,3级,13.5,9
2019-05-23,22,13,多云,东南风,3级,17.5,9
2019-05-24,33,16,阴,西南风,4级,24.5,17
2019-05-25,20,10,阴,西北风,4级,15.0,10
2019-05-26,16,9,阴,西南风,1级,12.5,7
2019-05-27,20,8,阴,西北风,2级,14.0,12
