日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,16,阴,南风,微风,22.5,13
2019-09-02,25,12,晴,西北风,4级,18.5,13
2019-09-03,28,13,晴,西北风,4级,20.5,15
2019-09-04,28,14,阴,西北风,6级,21.0,14
2019-09-05,24,11,阴,西北风,4级,17.5,13
2019-09-06,25,11,晴,西北风,4级,18.0,14
2019-09-07,21,9,阴,西北风,4级,15.0,12
2019-09-08,24,12,多云,西北风,4级,18.0,12
2019-09-09,24,11,阴,西南风,4级,17.5,13
2019-09-10,12,9,阴,西北风,4级,10.5,3
2019-09-11,15,7,阴,西北风,4级,11.0,8
2019-09-12,12,3,阴,西南风,2级,7.5,9
2019-09-13,15,6,多云,西北风,3级,10.5,9
2019-09-14,18,7,多云,西北风,2级,12.5,11
2019-09-15,19,7,晴,西北风,3级,13.0,12
2019-09-16,21,11,晴,西南风,4级,16.0,10
2019-09-17,18,8,阴,北风,微风,13.0,10
2019-09-18,21,9,晴,西北风,3级,15.0,12
2019-09-19,25,11,晴,西南风,2级,18.0,14
2019-09-20,26,12,晴,西北风,3级,19.0,14
2019-09-21,27,14,晴,西北风,3级,20.5,13
2019-09-22,29,16,晴,东南风,2级,22.5,13
2019-09-23,31,16,晴,西北风,3级,23.5,15
2019-09-24,30,15,阴,东北风,3级,22.5,15
2019-09-25,25,11,阴,西北风,5级,18.0,14
2019-09-26,22,10,阴,东北风,4级,16.0,12
2019-09-27,23,11,多云,西北风,3级,17.0,12
2019-09-28,25,9,阴,东南风,2级,17.0,16
2019-09-29,21,11,多云,东北风,2级,16.0,10
2019-09-30,10,-3,阴,西北风,5级,3.5,13
2019-08-01,30,19,晴,西北风,3级,24.5,11
2019-08-02,30,20,阴,东北风,2级,25.0,10
2019-08-03,34,21,阴,西北风,4级,27.5,13
2019-08-04,35,20,晴,西北风,6级,27.5,15
2019-08-05,33,19,多云,西北风,5级,26.0,14
2019-08-06,31,18,晴,西北风,4级,24.5,13
2019-08-07,30,18,晴,西北风,5级,24.0,12
2019-08-08,31,18,晴,西北风,5级,24.5,13
2019-08-09,34,21,晴,西北风,3级,27.5,13
2019-08-10,26,13,阴,西南风,4级,19.5,13
2019-08-11,25,13,晴,西南风,5级,19.0,12
2019-08-12,28,15,晴,西风,4级,21.5,13
2019-08-13,31,17,晴,西北风,5级,24.0,14
2019-08-14,34,20,阴,西南风,5级,27.0,14
2019-08-15,33,18,阴,西北风,5级,25.5,15
2019-08-16,23,15,小雨,西北风,5级,19.0,8
2019-08-17,27,14,多云,西北风,6级,20.5,13
2019-08-18,17,12,阴,西北风,4级,14.5,5
2019-08-19,23,13,多云,西北风,5级,18.0,10
2019-08-20,25,13,阴,西南风,4级,19.0,12
2019-08-21,26,15,多云,西北风,4级,20.5,11
2019-08-22,29,16,多云,西北风,2级,22.5,13
2019-08-23,25,10,小雨,西北风,6级,17.5,15
2019-08-24,23,11,多云,西北风,5级,17.0,12
2019-08-25,25,11,晴,西北风,5级,18.0,14
2019-08-26,28,13,晴,西北风,1级,20.5,15
2019-08-27,31,15,晴,西北风,3级,23.0,16
2019-08-28,32,17,多云,西北风,3级,24.5,15
2019-08-29,32,17,晴,西北风,3级,24.5,15
2019-08-30,34,19,晴,西北风,3级,26.5,15
2019-08-31,28,16,多云,东南风,2级,22.0,12
2019-07-01,27,14,晴,西北风,5级,20.5,13
2019-07-02,31,15,晴,西南风,4级,23.0,16
2019-07-03,28,16,晴,西北风,4级,22.0,12
2019-07-04,31,17,多云,西北风,6级,24.0,14
2019-07-05,25,15,阴,西北风,4级,20.0,10
2019-07-06,30,18,晴,西北风,5级,24.0,12
2019-07-07,35,19,晴,西南风,3级,27.0,16
2019-07-08,31,21,阴,西北风,2级,26.0,10
2019-07-09,33,21,多云,西南风,4级,27.0,12
2019-07-10,32,18,多云,西北风,6级,25.0,14
2019-07-11,26,16,多云,西南风,4级,21.0,10
2019-07-12,25,16,小雨,西南风,1级,20.5,9
2019-07-13,28,16,多云,西南风,3级,22.0,12
2019-07-14,26,18,多云,西北风,3级,22.0,8
2019-07-15,30,19,多云,西北风,5级,24.5,11
2019-07-16,31,19,多云,西北风,5级,25.0,12
2019-07-17,31,17,晴,西南风,6级,24.0,14
2019-07-18,31,18,晴,西北风,3级,24.5,13
2019-07-19,32,17,晴,西北风,5级,24.5,15
2019-07-20,29,16,晴,西北风,4级,22.5,13
2019-07-21,29,16,晴,西北风,6级,22.5,13
2019-07-22,30,16,晴,西南风,5级,23.0,14
2019-07-23,28,17,多云,西南风,4级,22.5,11
2019-07-24,22,14,阴,西南风,2级,18.0,8
2019-07-25,21,11,多云,西南风,3级,16.0,10
2019-07-26,20,14,中雨,西北风,3级,17.0,6
2019-07-27,23,13,多云,西北风,5级,18.0,10
2019-07-28,23,14,小雨,西北风,4级,18.5,9
2019-07-29,28,17,晴,西南风,2级,22.5,11
2019-07-30,32,20,晴,西北风,3级,26.0,12
2019-07-31,26,17,小雨,西北风,3级,21.5,9
2019-06-01,25,11,晴,西北风,5级,18.0,14
2019-06-02,26,11,多云,西北风,5级,18.5,15
2019-06-03,25,13,晴,西北风,5级,19.0,12
2019-06-04,26,12,多云,西北风,5级,19.0,14
2019-06-05,25,13,晴,西北风,4级,19.0,12
2019-06-06,28,16,晴,西北风,3级,22.0,12
2019-06-07,21,14,阴,西北风,3级,17.5,7
2019-06-08,26,13,晴,西北风,5级,19.5,13
2019-06-09,25,14,晴,西北风,6级,19.5,11
2019-06-10,22,11,多云,西北风,4级,16.5,11
2019-06-11,22,13,晴,西北风,5级,17.5,9
2019-06-12,27,14,多云,西北风,6级,20.5,13
2019-06-13,16,10,小雨,西南风,4级,13.0,6
2019-06-14,14,11,小雨,东南风,2级,12.5,3
2019-06-15,25,14,晴,西北风,4级,19.5,11
