日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,15,多云,西南风,3级,21.5,13
2019-09-02,23,13,多云,东北风,2级,18.0,10
2019-09-03,29,13,晴,西南风,2级,21.0,16
2019-09-04,26,15,多云,南风,微风,20.5,11
2019-09-05,24,14,阴,东北风,3级,19.0,10
2019-09-06,16,10,阴,东北风,1级,13.0,6
2019-09-07,22,10,阴,西北风,微风,16.0,12
2019-09-08,24,12,晴,西北风,1级,18.0,12
2019-09-09,21,12,阴,西南风,4级,16.5,9
2019-09-10,13,8,阴,西南风,1级,10.5,5
2019-09-11,20,8,阴,西北风,2级,14.0,12
2019-09-12,22,8,晴,西北风,1级,15.0,14
2019-09-13,19,8,晴,西南风,1级,13.5,11
2019-09-14,22,9,晴,西北风,1级,15.5,13
2019-09-15,23,9,晴,西南风,2级,16.0,14
2019-09-16,20,11,阴,东北风,3级,15.5,9
2019-09-17,22,10,阴,东南风,微风,16.0,12
2019-09-18,28,11,晴,东北风,2级,19.5,17
2019-09-19,24,10,多云,东北风,微风,17.0,14
2019-09-20,28,13,晴,南风,微风,20.5,15
2019-09-21,28,13,晴,南风,微风,20.5,15
2019-09-22,28,12,晴,北风,微风,20.0,16
2019-09-23,31,10,晴,西南风,2级,20.5,21
2019-09-24,25,13,多云,西南风,1级,19.0,12
2019-09-25,27,14,多云,西北风,1级,20.5,13
2019-09-26,26,13,阴,东南风,1级,19.5,13
2019-09-27,23,13,晴,西南风,1级,18.0,10
2019-09-28,26,13,阴,东北风,2级,19.5,13
2019-09-29,21,10,多云,东北风,1级,15.5,11
2019-09-30,14,7,阴,东南风,3级,10.5,7
2019-08-01,33,19,多云,西北风,4级,26.0,14
2019-08-02,34,21,晴,西南风,2级,27.5,13
2019-08-03,35,20,多云,西南风,1级,27.5,15
2019-08-04,36,22,多云,西南风,2级,29.0,14
2019-08-05,35,21,阴,西南风,1级,28.0,14
2019-08-06,37,21,晴,西南风,2级,29.0,16
2019-08-07,35,20,晴,东南风,2级,27.5,15
2019-08-08,36,18,晴,西北风,1级,27.0,18
2019-08-09,35,19,晴,西南风,1级,27.0,16
2019-08-10,27,16,阴,东南风,3级,21.5,11
2019-08-11,32,17,晴,东北风,2级,24.5,15
2019-08-12,33,19,晴,西南风,2级,26.0,14
2019-08-13,37,20,多云,东风,1级,28.5,17
2019-08-14,25,16,阴,东南风,2级,20.5,9
2019-08-15,17,13,小雨,东南风,1级,15.0,4
