日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,5,多云,西北风,2级,13.0,16
2019-09-02,23,10,多云,东南风,微风,16.5,13
2019-09-03,25,12,多云,西北风,1级,18.5,13
2019-09-04,26,13,雾,东南风,3级,19.5,13
2019-09-05,24,12,阴,东北风,1级,18.0,12
2019-09-06,21,13,阴,东北风,1级,17.0,8
2019-09-07,27,13,阴,东南风,3级,20.0,14
2019-09-08,22,5,多云,西北风,4级,13.5,17
2019-09-09,14,3,阴,西北风,3级,8.5,11
2019-09-10,18,2,阴,西北风,1级,10.0,16
2019-09-11,21,7,晴,东北风,1级,14.0,14
2019-09-12,26,10,阴,西南风,3级,18.0,16
2019-09-13,18,4,阴,东南风,1级,11.0,14
2019-09-14,19,7,阴,西南风,1级,13.0,12
2019-09-15,13,-2,阴,西南风,3级,5.5,15
2019-09-16,15,3,晴,东南风,1级,9.0,12
2019-09-17,10,-1,阴,西南风,3级,4.5,11
2019-09-18,11,0,晴,西南风,微风,5.5,11
2019-09-19,19,5,多云,东北风,1级,12.0,14
2019-09-20,16,-2,阴,西北风,2级,7.0,18
2019-09-21,20,1,多云,西南风,1级,10.5,19
2019-09-22,25,7,晴,东南风,1级,16.0,18
2019-09-23,18,2,晴,西南风,2级,10.0,16
2019-09-24,16,-1,多云,西南风,1级,7.5,17
2019-09-25,20,3,晴,西南风,1级,11.5,17
2019-09-26,24,5,晴,东南风,2级,14.5,19
2019-09-27,30,8,多云,东南风,1级,19.0,22
2019-09-28,24,-4,阴,西南风,4级,10.0,28
2019-09-29,14,0,多云,东南风,1级,7.0,14
2019-09-30,8,1,阴,东南风,1级,4.5,7
2019-08-01,27,13,多云,西北风,1级,20.0,14
2019-08-02,28,14,多云,东南风,2级,21.0,14
2019-08-03,29,16,多云,西南风,1级,22.5,13
2019-08-04,31,17,多云,东南风,1级,24.0,14
2019-08-05,22,13,小雨,西南风,1级,17.5,9
2019-08-06,17,13,小雨,西北风,1级,15.0,4
2019-08-07,22,13,阴,东北风,1级,17.5,9
2019-08-08,22,14,小雨,西北风,1级,18.0,8
2019-08-09,23,11,多云,东北风,1级,17.0,12
2019-08-10,18,13,阴,西南风,1级,15.5,5
2019-08-11,19,9,小雨,东南风,微风,14.0,10
2019-08-12,26,12,晴,东南风,1级,19.0,14
2019-08-13,26,14,阴,南风,微风,20.0,12
2019-08-14,27,10,阴,东北风,1级,18.5,17
2019-08-15,26,12,多云,西北风,3级,19.0,14
2019-08-16,22,15,小雨,西北风,2级,18.5,7
2019-08-17,17,12,小雨,西北风,1级,14.5,5
2019-08-18,17,7,小雨,东北风,1级,12.0,10
2019-08-19,24,13,多云,东南风,1级,18.5,11
2019-08-20,16,13,小雨,东南风,3级,14.5,3
2019-08-21,16,14,大雨,东北风,1级,15.0,2
2019-08-22,19,13,阴,东南风,3级,16.0,6
2019-08-23,21,12,小雨,东北风,1级,16.5,9
2019-08-24,24,11,小雨,东北风,1级,17.5,13
2019-08-25,24,11,阴,东南风,1级,17.5,13
2019-08-26,22,13,阴,西南风,1级,17.5,9
2019-08-27,21,13,中雨,东北风,1级,17.0,8
