日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,11,多云,西南风,1级,17.5,13
2019-09-02,24,14,多云,东南风,3级,19.0,10
2019-09-03,26,14,阵雨,西北风,3级,20.0,12
2019-09-04,26,12,多云,西北风,3级,19.0,14
2019-09-05,27,14,多云,南风,3级,20.5,13
2019-09-06,24,13,阴,东南风,3级,18.5,11
2019-09-07,24,13,阴,北风,微风,18.5,11
2019-09-08,26,14,阴,西南风,3级,20.0,12
2019-09-09,19,11,阴,东南风,3级,15.0,8
2019-09-10,18,13,阴,西南风,1级,15.5,5
2019-09-11,25,14,阴,东南风,2级,19.5,11
2019-09-12,18,9,阴,东南风,3级,13.5,9
2019-09-13,12,8,阴,东北风,1级,10.0,4
2019-09-14,20,10,多云,东南风,2级,15.0,10
2019-09-15,17,10,阴,东南风,2级,13.5,7
2019-09-16,16,10,阴,东南风,1级,13.0,6
2019-09-17,16,9,阴,西南风,2级,12.5,7
2019-09-18,13,9,小雨,北风,微风,11.0,4
2019-09-19,17,8,阴,西南风,2级,12.5,9
2019-09-20,17,6,阴,西南风,2级,11.5,11
2019-09-21,20,6,晴,西南风,2级,13.0,14
2019-09-22,18,7,阴,西北风,2级,12.5,11
2019-09-23,16,7,阴,西北风,1级,11.5,9
2019-09-24,20,6,阴,西北风,3级,13.0,14
2019-09-25,20,7,晴,西北风,2级,13.5,13
2019-09-26,21,6,晴,西南风,2级,13.5,15
2019-09-27,21,6,晴,西北风,1级,13.5,15
2019-09-28,21,6,晴,西北风,3级,13.5,15
2019-09-29,23,8,晴,西北风,3级,15.5,15
2019-09-30,21,8,多云,西北风,3级,14.5,13
2019-08-01,28,16,多云,东北风,2级,22.0,12
2019-08-02,22,12,小雨,西北风,2级,17.0,10
2019-08-03,28,12,晴,西北风,4级,20.0,16
2019-08-04,23,13,小雨,东南风,2级,18.0,10
2019-08-05,24,13,阴,西北风,3级,18.5,11
2019-08-06,30,14,晴,南风,微风,22.0,16
2019-08-07,29,16,阴,西北风,1级,22.5,13
2019-08-08,20,11,小雨,东南风,3级,15.5,9
2019-08-09,24,11,小雨,东南风,3级,17.5,13
2019-08-10,28,13,晴,西北风,3级,20.5,15
2019-08-11,30,14,晴,东南风,4级,22.0,16
2019-08-12,29,14,晴,西南风,3级,21.5,15
2019-08-13,24,12,小雨,西南风,2级,18.0,12
2019-08-14,28,13,多云,东南风,2级,20.5,15
2019-08-15,29,14,晴,西南风,3级,21.5,15
2019-08-16,29,14,阴,东南风,2级,21.5,15
2019-08-17,28,17,阴,东南风,3级,22.5,11
2019-08-18,30,18,阴,西南风,3级,24.0,12
2019-08-19,31,16,阴,东南风,1级,23.5,15
2019-08-20,17,12,阴,东南风,2级,14.5,5
2019-08-21,25,14,阴,东南风,2级,19.5,11
2019-08-22,22,14,阴,西南风,3级,18.0,8
2019-08-23,21,15,小雨,东南风,1级,18.0,6
2019-08-24,22,13,阴,南风,微风,17.5,9
2019-08-25,27,16,阴,东南风,2级,21.5,11
2019-08-26,18,13,小雨,北风,微风,15.5,5
2019-08-27,25,12,阴,东南风,2级,18.5,13
2019-08-28,23,10,中雨,东南风,1级,16.5,13
2019-08-29,24,14,多云,东南风,3级,19.0,10
2019-08-30,15,11,阴,西北风,1级,13.0,4
2019-08-31,23,10,多云,西南风,2级,16.5,13
2019-07-01,24,14,阴,东南风,2级,19.0,10
2019-07-02,26,14,阴,东风,3级,20.0,12
2019-07-03,26,15,小雨,西南风,2级,20.5,11
2019-07-04,27,13,晴,西南风,3级,20.0,14
2019-07-05,30,14,阴,西南风,3级,22.0,16
2019-07-06,25,16,阴,西南风,1级,20.5,9
2019-07-07,23,12,小雨,西南风,微风,17.5,11
2019-07-08,20,11,中雨,东北风,2级,15.5,9
