日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,12,多云,西北风,2级,20.5,17
2019-09-02,29,12,晴,西北风,1级,20.5,17
2019-09-03,29,12,晴,西北风,2级,20.5,17
2019-09-04,29,11,晴,西北风,1级,20.0,18
2019-09-05,31,13,晴,北风,微风,22.0,18
2019-09-06,31,14,晴,西北风,1级,22.5,17
2019-09-07,31,15,晴,西北风,2级,23.0,16
2019-09-08,33,16,晴,西北风,1级,24.5,17
2019-09-09,32,18,阴,北风,2级,25.0,14
2019-09-10,20,15,阴,东北风,2级,17.5,5
2019-09-11,15,14,阴,西北风,1级,14.5,1
2019-09-12,18,14,阴,西北风,微风,16.0,4
2019-09-13,20,13,多云,西南风,2级,16.5,7
2019-09-14,21,12,多云,南风,微风,16.5,9
2019-09-15,25,11,多云,西北风,1级,18.0,14
2019-09-16,25,12,多云,西南风,1级,18.5,13
2019-09-17,23,11,阴,东北风,2级,17.0,12
2019-09-18,25,12,多云,西北风,1级,18.5,13
2019-09-19,18,12,阴,西南风,1级,15.0,6
2019-09-20,22,9,阴,西北风,1级,15.5,13
2019-09-21,24,9,晴,东北风,1级,16.5,15
2019-09-22,26,9,晴,东北风,2级,17.5,17
2019-09-23,25,10,多云,西北风,1级,17.5,15
2019-09-24,28,9,晴,东北风,2级,18.5,19
2019-09-25,28,10,晴,西北风,2级,19.0,18
2019-09-26,26,8,晴,东北风,2级,17.0,18
2019-09-27,24,10,晴,西北风,1级,17.0,14
2019-09-28,25,10,多云,北风,2级,17.5,15
2019-09-29,27,12,晴,西北风,1级,19.5,15
2019-09-30,26,12,晴,西北风,1级,19.0,14
2019-08-01,33,19,多云,东北风,2级,26.0,14
2019-08-02,29,18,阴,西北风,2级,23.5,11
2019-08-03,24,19,阴,西北风,1级,21.5,5
2019-08-04,23,18,中雨,西南风,1级,20.5,5
2019-08-05,29,20,阴,东北风,1级,24.5,9
2019-08-06,29,18,阴,西北风,1级,23.5,11
2019-08-07,31,18,多云,西北风,微风,24.5,13
2019-08-08,31,21,阴,东北风,1级,26.0,10
2019-08-09,27,18,小雨,西南风,1级,22.5,9
2019-08-10,30,18,阴,东北风,2级,24.0,12
2019-08-11,29,18,多云,西北风,1级,23.5,11
2019-08-12,30,18,晴,西北风,1级,24.0,12
2019-08-13,31,20,晴,西北风,1级,25.5,11
2019-08-14,31,18,多云,西北风,1级,24.5,13
2019-08-15,32,16,晴,西北风,2级,24.0,16
2019-08-16,26,13,晴,西北风,1级,19.5,13
2019-08-17,28,14,晴,西北风,1级,21.0,14
2019-08-18,31,18,晴,东北风,1级,24.5,13
2019-08-19,32,20,多云,西北风,1级,26.0,12
2019-08-20,24,18,中雨,西北风,1级,21.0,6
2019-08-21,28,18,晴,西北风,1级,23.0,10
2019-08-22,26,17,小雨,西北风,1级,21.5,9
2019-08-23,27,18,阴,西北风,1级,22.5,9
2019-08-24,17,16,中雨,西北风,1级,16.5,1
2019-08-25,26,18,阴,西南风,2级,22.0,8
2019-08-26,22,16,阴,西北风,微风,19.0,6
2019-08-27,29,14,多云,西北风,2级,21.5,15
2019-08-28,29,11,晴,西北风,2级,20.0,18
2019-08-29,26,9,晴,东北风,2级,17.5,17
2019-08-30,27,13,多云,西北风,1级,20.0,14
2019-08-31,29,13,晴,西北风,1级,21.0,16
2019-07-01,32,16,多云,西南风,1级,24.0,16
2019-07-02,34,20,小雨,北风,3级,27.0,14
2019-07-03,35,20,晴,西北风,1级,27.5,15
2019-07-04,32,21,多云,西北风,1级,26.5,11
2019-07-05,34,17,小雨,东北风,4级,25.5,17
2019-07-06,27,15,晴,东北风,2级,21.0,12
2019-07-07,29,16,晴,西北风,2级,22.5,13
2019-07-08,26,17,阴,东南风,3级,21.5,9
2019-07-09,24,14,阴,东北风,1级,19.0,10
2019-07-10,26,17,阴,西北风,2级,21.5,9
2019-07-11,27,19,阴,西北风,1级,23.0,8
2019-07-12,31,16,阴,西北风,1级,23.5,15
2019-07-13,33,18,多云,东北风,1级,25.5,15
2019-07-14,34,19,阴,西南风,1级,26.5,15
2019-07-15,32,21,阴,西南风,2级,26.5,11
2019-07-16,26,19,阴,东北风,2级,22.5,7
2019-07-17,31,20,多云,东南风,2级,25.5,11
2019-07-18,33,21,阴,西南风,2级,27.0,12
2019-07-19,30,22,阴,西北风,1级,26.0,8
2019-07-20,29,20,小雨,西北风,3级,24.5,9
2019-07-21,33,22,阴,东北风,2级,27.5,11
2019-07-22,22,19,中雨,西南风,2级,20.5,3
2019-07-23,33,19,晴,东北风,1级,26.0,14
