日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,21,多云,东南风,1级,25.5,9
2019-09-02,29,22,晴,东南风,1级,25.5,7
2019-09-03,29,21,多云,东南风,2级,25.0,8
2019-09-04,29,19,多云,西北风,1级,24.0,10
2019-09-05,31,19,多云,西南风,2级,25.0,12
2019-09-06,32,21,多云,东北风,1级,26.5,11
2019-09-07,32,21,晴,东风,微风,26.5,11
2019-09-08,33,22,晴,东南风,2级,27.5,11
2019-09-09,31,22,晴,东南风,2级,26.5,9
2019-09-10,32,23,多云,东南风,2级,27.5,9
2019-09-11,28,22,阴,东南风,3级,25.0,6
2019-09-12,27,22,阴,东南风,3级,24.5,5
2019-09-13,29,23,多云,东北风,2级,26.0,6
2019-09-14,31,22,晴,东南风,3级,26.5,9
2019-09-15,26,20,阴,东北风,3级,23.0,6
2019-09-16,27,20,阴,西北风,2级,23.5,7
2019-09-17,24,18,阴,东南风,1级,21.0,6
2019-09-18,28,14,晴,东北风,2级,21.0,14
2019-09-19,23,17,阴,西北风,2级,20.0,6
2019-09-20,28,17,阴,西北风,2级,22.5,11
2019-09-21,30,18,多云,东南风,1级,24.0,12
2019-09-22,30,15,晴,东北风,3级,22.5,15
2019-09-23,30,16,晴,西北风,1级,23.0,14
2019-09-24,30,18,晴,东南风,1级,24.0,12
2019-09-25,31,17,阴,东北风,1级,24.0,14
2019-09-26,29,17,多云,东南风,2级,23.0,12
2019-09-27,28,17,晴,东南风,1级,22.5,11
2019-09-28,30,17,晴,东南风,1级,23.5,13
2019-09-29,30,17,晴,东南风,2级,23.5,13
2019-09-30,29,16,晴,东南风,2级,22.5,13
2019-08-01,26,24,暴雨,东南风,3级,25.0,2
2019-08-02,31,24,阴,东南风,2级,27.5,7
2019-08-03,33,24,阴,东南风,2级,28.5,9
2019-08-04,32,24,多云,东南风,3级,28.0,8
2019-08-05,29,24,大暴雨,东南风,3级,26.5,5
2019-08-06,30,25,小雨,东南风,3级,27.5,5
2019-08-07,27,25,暴雨,东北风,2级,26.0,2
2019-08-08,33,26,阴,东北风,1级,29.5,7
2019-08-09,34,25,阴,东北风,3级,29.5,9
2019-08-10,28,23,大雨,北风,3级,25.5,5
2019-08-11,25,22,大雨,西北风,5级,23.5,3
2019-08-12,23,23,小雨,西北风,2级,23.0,0
2019-08-13,28,23,阴,西北风,2级,25.5,5
2019-08-14,30,23,多云,东北风,1级,26.5,7
2019-08-15,32,22,晴,西南风,1级,27.0,10
2019-08-16,33,22,晴,东北风,3级,27.5,11
2019-08-17,32,19,晴,东北风,1级,25.5,13
2019-08-18,32,20,晴,东北风,1级,26.0,12
2019-08-19,31,19,小雨,东南风,3级,25.0,12
2019-08-20,31,21,多云,东南风,2级,26.0,10
2019-08-21,26,23,阴,东北风,2级,24.5,3
2019-08-22,32,23,多云,西北风,1级,27.5,9
2019-08-23,32,23,多云,东北风,1级,27.5,9
2019-08-24,30,23,多云,东南风,2级,26.5,7
2019-08-25,31,23,多云,东南风,2级,27.0,8
2019-08-26,29,24,阴,东南风,3级,26.5,5
2019-08-27,27,23,阴,西北风,1级,25.0,4
2019-08-28,32,21,多云,东南风,1级,26.5,11
2019-08-29,31,18,晴,西北风,2级,24.5,13
2019-08-30,32,19,晴,西北风,1级,25.5,13
2019-08-31,31,20,阴,东南风,2级,25.5,11
2019-07-01,35,22,多云,东南风,3级,28.5,13
2019-07-02,35,23,晴,东南风,3级,29.0,12
2019-07-03,36,24,多云,东南风,2级,30.0,12
2019-07-04,32,23,阴,东南风,3级,27.5,9
2019-07-05,36,23,多云,东南风,3级,29.5,13
2019-07-06,31,20,小雨,东南风,2级,25.5,11
2019-07-07,30,20,多云,东北风,2级,25.0,10
2019-07-08,30,21,阴,东南风,3级,25.5,9
2019-07-09,29,22,阴,西北风,2级,25.5,7
